text,highlighted
Skip to main contentby spotifyfeaturesswitch to anchorblogsign inget startedby spotifyanchor terms of service,0
Terms of service,0
Privacy policy,0
Dmca,0
"Date of last revision: october 7, 2020",1
"These terms of service, as well as our copyright policyand all other operating rules, policies and guidelines set out on the anchor websites (including at https://help.anchor.fm/) or other anchor-operated webpages, or otherwise notified to you ( policies ), each of which is incorporated by reference (collectively the terms ), govern your access to and use of the anchor websites, monetization services, anchor content (defined below), apis, email notifications, applications, buttons, widgets, ads and other services (collectively, the services ) provided by spotify ( spotify , we , us , or our means: (a) if you are an entity organized under or otherwise subject to the laws of the united states of america: spotify usa inc., a delaware corporation with offices at 4 world trade center, 150 greenwich street, 62nd floor, new york, new york 10007.",0
"Or (b) if you are an entity organized under or otherwise subject to the laws of any country outside of the united states of america: spotify ab, of regeringsgatan 19, 111 53 stockholm, sweden, with registered number 556703-7495).",0
"By clicking sign up or by using our services, you agree to these terms.",0
"If you do not agree to these terms, do not access or use our services.",0
Explainer: your agreement is with spotify.,0
The service is still called anchor and we re still the easiest way to make a podcast.,0
"These terms contain a mandatory arbitration provision that, as further set forth in section 14 below, requires the use of arbitration on an individual basis to resolve disputes, rather than jury trials or any other court proceedings, or class actions of any kind.",0
"To assist you with your review of the agreement, we provide at the end of most sections of these terms a short, very high-level explainer of some of the key concepts from that section.",0
"These explainers are included for reference purposes only, do not necessarily explain all key points in the terms, do not constitute contractual terms and are not a substitute for reading the actual contractual terms.",0
"The explainers will not affect the meaning or interpretation of these terms, and, in all cases, the substantive language of these terms (and not any explainer) will govern and take priority over any summary.",0
"We reserve the right to modify or otherwise change these terms at any time by posting the updated terms to our website(s) or through a notice provided through the services, via e-mail or by another appropriate means of electronic communication.",0
"Any such changes will not apply to any dispute between you and us arising prior to the date on which we posted the revised agreement incorporating such changes, or otherwise notified you of such changes.",0
"Unless we say otherwise in our notice, the updated terms will be effective immediately, and your continued access to or use of our services after we post the updated terms or provide other notice of such updated terms will confirm your acceptance of the changes.",0
"If you do not agree to the updated terms, you must stop accessing and using our services.",0
"We also reserve the right to modify or discontinue, temporarily or permanently, or suspend the services (or any part thereof) with or without notice.",0
We may also impose limits on certain features and services or restrict your access to parts or all of the services without notice or liability.,0
"You agree that we will not be liable to you or to any third party for any modification, suspension or discontinuance of services.1.",0
"Eligibilityin order to access or use the services, you need to (a) be at or above the age of majority in your province, state, territory or country (often, but not always, 18 years old), or be 13 years or older and have your parent or legal guardian consent to these terms on your and their behalf.",0
And (b) have the power to enter a binding contract with us and not be barred from doing so under any applicable laws.,0
"You also promise that any registration information that you submit to spotify is true, accurate, and complete, and you agree to keep it that way at all times.",0
You must notify us immediately of any change in your eligibility to use the services.,0
"We may, in our sole discretion, refuse to offer the services to any person or entity and change these eligibility criteria at any time.",0
Explainer: you cannot use anchor if you are under 13 years old.,0
If you are 13 years or older but under the age of majority (e.g.,0
"Often 18 years of age), you need parental/guardian consent to use anchor.",0
2.,0
"Registrationto use some aspects of the services, you must register for an account (an ""account"").",0
Registration data and certain other information about you and your account are governed by our privacy policy.,0
You will not: (a) select or use as a username a name of another person with the intent to impersonate that person.,0
"(b) use as a username a name subject to any rights of a person (including, without limitation, copyrights or trademarks) other than you without appropriate authorization.",0
"Or (c) use, as a username, a name that we reasonably consider is otherwise offensive, vulgar or obscene.",0
You are solely responsible for the activity that occurs on your account and for keeping your account password secure.,0
You may never use another person s user account or registration information for the services without permission.,0
You must notify us immediately of any breach of security or unauthorized use of your account.,0
"You should never publish, distribute or post login information for your account.",0
We will not be liable for any loss or damage arising from your failure to comply with this section.,0
"You will have the ability to delete your account, either by following the instructions on the services or by contacting us via our help page.",0
"Explainer: you are responsible for keeping your account details secure, and you need to notify us of any unauthorized use of your account.",0
"When choosing a username, please be respectful and only choose one you are authorized to use.",0
3.,0
Ownership.,0
"Limited licensethe services, including the text, graphics, images, photographs, videos, illustrations and other content contained therein, and including anchor content (defined below), are owned by spotify or our licensors and are protected under both united states and foreign laws.",0
"Except as explicitly stated in these terms, all rights in and to the services are reserved by us or our licensors.",0
"Subject to your compliance with these terms, you are hereby granted a limited, nonexclusive, nontransferable, non-sublicensable, revocable license to access and use our services.",0
