text,highlighted
"Bitly terms of servicelast updated: march, 2019",0
"Bitly, inc.",0
"( bitly, we or our ) provides url shortening, custom-branded link, and link management and analytics products and services to its users (collectively, the bitly services ).",0
"Please read these terms of service (the agreement ) carefully, as they govern your access to and use of the bitly services and constitutes a binding legal agreement between you and bitly.",0
"If you accept this agreement or use the bitly services on behalf of a company or other legal entity, you represent and warrant that you have the authority to bind that company or other legal entity to the agreement and, in such event, you , your and customer will refer and apply to that company or other legal entity.",0
"If you have been granted access to and use of the bitly services by and on behalf of the primary account holder, whether directly or through an administrator, you also agree to abide by this agreement.",0
"In addition to this agreement, customer s use of the bitly services is governed by the bitly privacy policy and bitly s dmca copyright policy.",0
"You acknowledge and agree that, by creating a bitly account, purchasing a paid account, or accessing or using the bitly services, you are indicating that you have read, understand and agree to be bound by these terms.",0
"If you do not agree to these terms, then you have no right to access or use the bitly services.",0
This agreement contains an arbitration provision and class action waiver as described in the arbitration section below.,0
"You agree that disputes between us will be resolved by binding, individual arbitration, and you are waiving your right to a trial by jury or to participate as a plaintiff or class member in any purported class action or representative proceeding.",0
Scope &amp.,0
Modifications,0
Modifications,0
"Bitly reserves the right, in its sole discretion, to modify or replace this agreement at any time.",1
"If we modify these terms, we will post the modification on our site or provide you with notice of the modification on your bitly account details page.",1
"By continuing to access or use the bitly services after the effective date of the modification, you are indicating that you agree to be bound by the modified agreement.",0
Customer agrees that it is customer s responsibility to check this agreement periodically for changes and that its use of the bitly services following the posting of any changes to this agreement constitutes acceptance of those changes.,0
"If the modified agreement is not acceptable to you, your only recourse is to cease using the bitly services.",0
Scope &amp.,0
Current offerings,0
"As of the effective date, bitly offers certain bitly services to customer.",0
"Bitly may add, remove, suspend, discontinue, modify or update the bitly services at any time, at its discretion.",0
"After the effective date of such update, bitly shall bear no obligation to run, provide or support legacy versions of the bitly services.",0
Bitly enterprise customers,0
"If you have purchased a bitly enterprise plan, these terms may be supplemented or modified by a supplemental enterprise agreement and one or more order forms, the terms of which will control to the extent they conflict with these terms.",0
"Support, uptime &amp.",0
Training,0
The training and level of customer support for the tier of bitly services you purchase is set forth on the bitly services pricing page.,0
Paid accounts,0
Fees,0
Bitly offers fee-based bitly services that provide additional features and functionality.,0
Pricing and services for paid accounts are described on bitly s services pricing page and may be updated from time to time.,0
"If you sign up for a paid account, you agree to pay bitly all applicable fees for the tier of bitly services according to your selection.",0
Fees are non-refundable except as required by law or as otherwise specifically permitted in this agreement.,1
Auto-renewals and trials,0
"If your account is set to auto-renew or is in a trial period and you have already provided a method of payment to bitly for the services, bitly will charge your payment account automatically at the end of the trial or beginning of each renewal term for the renewal term, unless you notify us that you want to cancel or disable auto-renewal before the expiration of the then-current term.",0
"You may terminate the agreement in your account s account details page, or, if you purchased your service through a bitly account representative by contacting your bitly account representative.",0
"If you are on a paid account plan lasting twelve (12) months or longer, we will notify you within 30 days before your account renews, including any changes in the fees for the plan.",0
Payment,0
Customer will pay bitly invoices on the payment interval selected.,0
"If not otherwise specified, payments will be due immediately.",0
Customer authorizes bitly to charge customer for all applicable fees using customer s selected payment method through bitly s online payments platform.,0
Customer will provide complete and accurate billing and contact information to bitly.,0
Bitly may suspend or terminate the services if fees are past due.,0
"Unpaid fees are subject to a finance charge of one percent (1.5%) per month (18% per annum), or the maximum permitted by law, whichever is lower, plus all expenses of collection, including reasonable attorneys fees.",0
Taxes,0
"Fees are exclusive of taxes, duties, levies, tariffs, and other governmental charges (collectively, taxes ), and customer is responsible for all taxes resulting from this agreement or customer s use of the bitly services.",0
"Bitly will invoice customer for taxes when required to do so by applicable law, and customer agrees to provide payment under the terms of the invoice.",0
"In the event customer is required by law to deduct and withhold any taxes on amounts payable under this agreement, any amounts required to be withheld will be promptly deducted and timely remitted by the customer on behalf of bitly to the appropriate taxation authority and customer agrees that it will provide bitly with copies of all necessary documents (including but not limited to tax receipts received from the applicable tax authority) in order for bitly to claim and receive a foreign tax credit in an amount corresponding to the amount withheld by the customer.",0
Downgrades,0
"Bitly reserves the right to downgrade, suspend or terminate customer s access to any or all bitly services if fees are past due.",0
"License, metrics and compliance",0
License to bitly services,0
"Subject to the terms and conditions of this agreement and payment of all fees due hereunder, bitly grants customer, and any other party agreed in an order form, a limited, revocable, non-exclusive, non-sublicensable, non-transferable right and license to use the bitly services solely to shorten uniform resource locators ( url ), receive certain bitly link metrics (defined in bitly s privacy policy) and, for enterprise plan customers, to utilize the other products and services defined on the applicable order form during the term.",0
Bitly link metrics,0
"As part of the provision of bitly services, bitly collects and generates bitly link metrics, which are described in bitly s privacy policy.",0
"Certain, limited bitly link metrics are published on bitly s website.",0
"Customer acknowledges and agrees that all bitly link metrics are owned by bitly, and that bitly has the right to use, license, sell or otherwise dispose of bitly link metrics as detailed in bitly s privacy policy.",0
Bitly does not make all bitly link metrics available to customer.,0
"Customer may access, use, and copy the limited bitly link metrics we make available to customer according to the customer s service tier.",0
"Customer may not combine any bitly link metrics with any personally identifiable information and may not sublicense, sell, syndicate or otherwise share bitly link metrics with any third party.",0
Access credentials,0
Bitly shall provide customer with non-transferable access credentials for the bitly services.,0
Customer shall not (i) misrepresent or mask identities when using the bitly services or seeking access credentials.,0
(ii) select or use as a username or branded short domain a name subject to any rights of a person or entity other than customer without appropriate authorization.,0
"(iii) select or use, as customer s username or branded short domain, a name that is otherwise offensive, vulgar or obscene.",0
Or (iv) exceed any access permitted by bitly.,0
Customer shall safeguard all access credentials provided by bitly and shall ensure the confidentiality and security thereof.,0
To the extent customer is a corporate entity rather than an individual (1) only employees and contractors of customer ( personnel ) may use the bitly services.,0
(2) customer shall require its personnel to comply with all laws and the use restrictions (including user seat restrictions) set out in the agreement or otherwise prescribed by bitly and shall not share access credentials to exceed the user limitations of the service tier customer has purchased.,0
(3) customer represents and warrants that its personnel have the capacity and authority to enter into this agreement.,0
"And (4) customer acknowledges that it shall be fully responsible for any acts or omissions of its personnel, whether authorized or unauthorized.",0
"Bitly may update, refresh or change the manner of accessing the bitly services in its discretion.",0
Compliance monitoring,0
Bitly may monitor customer s use of the bitly services for compliance with the agreement.,0
"If bitly observes usage of the bitly services that it believes are not in compliance with the agreement, bitly will notify the customer and give the customer five (5) business days to remedy its non-compliance.",0
"If customer does not remedy its non-compliance within five (5) business days, bitly reserves the right to suspend or terminate customer s use of the bitly services.",1
"Bitly reserves the right to suspend customer s use of the bitly services without notice in the event that it believes, in good faith, the security of customer s bitly account has been compromised, or the customer s bitly account is being used for an unlawful purpose.",1
And may suspend or terminate customer s access to the services without notice for violation of the agreement.,1
Intellectual property &amp.,0
License restrictions,0
Ownership,0
"Except for any customer content or customer services, customer acknowledges and agrees that bitly is the sole and exclusive owner of all right, title and interest in and to the bitly services and bitly link metrics and all related documentation, source code, tools, scripts, processes, techniques, methodologies, inventions, know-how, concepts, formatting, arrangements, visual attributes, ideas, database rights, copyrights, patents, trade secrets, and other intellectual property, and all derivatives, enhancements, modifications and improvements thereof ( bitly materials ).",0
Nothing in this agreement or any other document shall be deemed to transfer ownership of the bitly materials.,0
"Except for the limited license rights expressly granted herein, no rights to bitly materials are granted hereunder and all rights in such bitly materials are reserved.",0
Feedback,0
"Customer is not required to provide any suggestions, enhancement requests, recommendations or other feedback regarding the bitly services or bitly link metrics ( feedback ).",0
"However, if customer does so, all right, title and interest in and to such feedback shall be assigned to, and shall become the sole and exclusive property of, bitly upon its creation.",1
License restrictions,0
Customer shall not share access credentials to exceed the user limitations of the service tier customer has purchased.,0
"Customer and its personnel shall not, and shall not permit any third party to: (i) access the services or export data from the services to create a service, software, documentation or data for a url shortening service other than bitly or create shortened links or a service that is competitive with, substantially similar or confusingly similar to any aspect of the bitly services or bitly link metrics.",0
"(ii) use, modify, display, perform, copy, disclose or create derivative works of the bitly services except as expressly permitted herein.",0
"(iii) reverse engineer, decompile, disassemble, mimic, screen-scrape, frame or mirror the bitly services or bitly link metrics, or use any other means to attempt to discover their source code except as expressly permitted herein.",0
"(iv) benchmark, encumber, distribute, sublicense, assign, share, sell, rent, lease, pledge or otherwise transfer the bitly services or bitly link metrics to any third party.",0
"(v) transmit harmful, disabling or malicious code or devices, or infringing, defamatory, unlawful, tortious, deceptive, misleading, fraudulent, abusive, indecent or otherwise offensive content, or content that contains someone s personal information or violates a third party s intellectual property, privacy or publicity rights ( prohibited content ) through the bitly services.",0
