text,highlighted
"Welcome to bluemailthese terms of service (these terms ) explain how you can use the bluemail mobile apps, websites, services and software (collectively bluemail ), provided by blix inc.",0
"( bluemail , we or our ) so please read these terms before you get started.",0
"They apply to all visitors, users and others who access bluemail ( users ).",0
By using bluemail you agree to be bound by these terms and to the collection and use of your information as spelled out in our privacy policy.,0
"If you are using bluemail on behalf of a group, company or organization, you agree to these terms for that group or organization and represent that you have the authority to do so (in that case, you and your refers to that group or organization).using bluemailbluemail is an application and cloud that help you manage your email account and calendar from your device.",0
"You can add your gmail, yahoo, aol, icloud, outlook.com, office365, exchange and other mail accounts.",0
"When signing up for bluemail, you agree to provide accurate information.",0
You also understand that you are responsible for the activity in your bluemail and for safeguarding any passwords that you use.,0
You are not allowed to access another user s account without permission.,0
"Lots of people rely on bluemail, and we trust you to use bluemail and our services responsibly which means, for example, you agree not to interfere with bluemail or our services or try to access them using a method other than the interface and the instructions that we provide.",0
You agree not to:,0
"Copy, distribute, or disclose any part of bluemail in any medium.",0
"Probe, scan, or test the vulnerability of any system or network.",0
Breach or otherwise circumvent any security or authentication measures.,0
"Interfere with or disrupt any user, host, or network, for example: don t send a virus, overload, spam, or mail-bomb any part of bluemail.",0
Plant malware or otherwise use bluemail to distribute malware.,0
"Send unsolicited communications, promotions or advertisements, or spam.",1
"Send altered, deceptive or false source-identifying information, including spoofing or phishing .",0
"Publish anything that is fraudulent, misleading, or infringes another s rights.",0
Impersonate or misrepresent your affiliation with any person or entity.,0
"Violate the law in any way, or to violate the privacy of others, or to defame others.",0
"(for example, sending illegal or defamatory emails with bluemail)",0
We may permanently or temporarily revoke or suspend your access to bluemail without notice and liability for any reason including your violation of these terms.,1
"Upon termination for any reason or no reason, you continue to be bound by these terms.legal capacity, children and minors",0
"If you are under the age of consent in your country to form a binding agreement, you should only use our bluemail if you are either an emancipated minor, or have the legal consent of your parent or guardian for your use of our bluemail.",1
You should use bluemail only if you are fully able to understand and enter into and comply with these terms.,0
Use of bluemail by anyone under 13 is strictly prohibited.,1
"You may not access or use the bluemail for any purpose if either of the representations in this paragraph is not true.usagebluemail allows you to connect your email account so we can check, process and deliver email on your behalf.",0
"By using bluemail, you allow bluemail to help manage content, information, emails, and attachments in those emails.",0
