text,highlighted
Brax.me terms of service use,0
"Use of this service is free for non-commercial use and for personal storage use under 4gb, and file sharing download bandwidth under 4gb.",1
Socialvision use requires an annual subscription and is subject to the storage and bandwidth limits of the subscription.,0
Enterprise users must sign up on the website https://brax.me.,0
You may choose to terminate this service at any time,1
And,0
You have the ability to delete all content before you do so.,1
"If you terminate this service, your content will not be retrievable.",0
Use of this software is prohibited in certain countries to which export of cryptography is banned.,0
These are,0
"""terrorist supporting countries"" classified as ""e1"" as defined in ear part 772.1 of us export laws.",0
"There are no warranties with the use of this service, either expressed or implied.",0
Privacy,0
Your privacy is our focus and is of the utmost importance to us.,0
We designed our privacy policy to make important disclosures about how you can use brax.me to communicate with others and what information we collect and use.,0
"We encourage you to read the privacy policy, and to use it to help you make informed decisions.",0
Sharing your content and information,0
You own all of the content and information you post on brax.me,1
", and",0
You can control how it is shared through your privacy and application settings.,1
We do not share your information unless required,1
To do so by us law.,1
Brax.me photos - photos uploaded to the brax.me my photos are stored in an encrypted form.,0
We do not expose an open,0
Link to the internet to those photos unless you choose to do it yourself.,0
"You can share your photos as ""open"" or ""hidden"".",0
"At any time,",0
You can delete a photo and it will be unavailable to all where it was shared.,0
Brax.me files - files uploaded to the brax.me my files are also stored in an encrypted form.,0
You can provide links to your stored file for external use if you wish.,0
Note that downloads of your content is subject to the bandwidth and storage limit of your subscription.,0
Brax.me blog rooms - discussions and photos are private and encrypted and not exposed to non-members of the room.,0
The,0
Blog creator decides which blog rooms will have open or restricted membership.,0
Subscribers cannot see who is participating in any other brax.me blog room unless they are a member of that blog room.,0
Blog rooms are not visible to search engines and robot crawlers.,0
Brax.me chat - if you 'chat' with any party be assured that your messages are encrypted.,0
You control the lifespan of the conversation.,0
"Once you delete the conversation, there will be nothing kept on our end.",0
This is hipaa compliant.,0
"If you are on the free subscription, you are only eligible to see chat messages within the last 60 days.",0
"However, once you change to a paid subscription, viewing of all messages will be restored.",0
"Social media posts, likes, or any other content created through brax.me are not used to track your behavior in any",0
Way for advertising purposes.,0
We strive to limit exposure of your identity on the internet.,0
Passwords to all aspects of brax.me are stored with encryption or stored as hashes.,0
Only you can know your password.,0
We,0
Cannot view it or modify it for you.,0
You may reset the password yourself as long as you control your email address.,0
In,0
"The event that you lose control of your email address, we advise you to set up a new account.",0
We will be happy to transfer any account credits if any apply (for paid services).,0
Encryption,1
All content is kept in an encrypted form both in storage and in transport.,1
Encryption ciphers used meet or exceed us government security requirements (cipher used is approved for top secret use).,0
Content moderation,0
"Public (discoverable and searchable) viewable content or materials of any kind (text, graphics,",1
"Images, photographs, sounds, etc.)",1
That in our reasonable judgment may be found objectionable or,1
"Inappropriate, for example, materials that may be considered obscene, pornographic, or defamatory will be",1
Removed from public access.,1
"Inappropriate content includes: harassment, ad-hominem and defamatory attacks against specific people using the app.",0
"Users who create inappropriate content in publicly discoverable areas are subject to having their account inactivated, disabled, or have parts of their content partially or totally deleted in publicly visible areas.",1
They may also be subject to restrictions,0
On public posting.,0
Users may block individuals from contacting them by adding them to their block list.,0
Copyrights and trademarks,0
You will not represent yourself as employees or officials of brax.me without prior authorization.,0
You will not use the name brax.me and logos of brax.me on merchandise without the prior approval of the company.,0
"You will not use the name 'rob braxman','brax' or use usernames that imply authority within the platform.",0
Your commitments,0
"We do our best to keep brax.me safe, but we cannot guarantee it.",0
"We need your help to keep brax.me safe, which includes the following commitments by you:",0
You will not post unauthorized commercial communications (such as spam).,1
"You will not collect users' content or information, or otherwise access brax.me, using automated means (such as harvesting bots, robots, spiders, or scrapers) without our prior permission",1
"You will not engage in unlawful multi-level marketing, such as a pyramid scheme, on brax.me",0
"You will not create discoverable or searchable content that can be considered obscene, pornographic, or defamatory.",0
You will not upload viruses or other malicious code.,0
You will not solicit login information or access an account belonging to someone else.,0
You will not use brax.me to do anything unlawful,1
", misleading, malicious, or discriminatory.",0
"You will not do anything that could disable, overburden, or impair the proper working or appearance of brax.me, such as a denial of service attack, spamming, or interference with page rendering or other brax.me functionality.",0
You will not facilitate or encourage any violations of this statement or our policies.,0
You must agree to the terms of use before using this service.,0
You must be of legal age in your jurisdiction to accept the terms of use.,0
If not then the terms of use must be accepted by your guardian.,0
You must be at least 13 years old to use this service.,1
(c) copyright 2020 brax.me,0
