text,highlighted
This app works best with javascript enabled.your privacy,0
We use cookies on our website to analyze how people use it and improve the experience.,0
"You can read more about how we use cookies in our privacy policy, or manage your preferences here.accept allopen main menuclose main menu",0
Homepage,0
Encyclopedia,0
Menstrual cycle,0
Puberty,0
Skin &amp.,0
Hair,0
Diet &amp.,0
Exercise,0
Bleeding,0
Emotions,0
Miscarriage,0
Anatomy,0
Your vagina,0
Reviews,0
Products,0
Periods,0
Menopause and perimenopause,0
Birth control,0
Abortion,0
Hormones &amp.,0
Your cycle,0
Non-hormonal birth control,0
Hormonal birth control,0
Fertility,0
"Pregnancy, birth &amp.",0
Postpartum,0
Issues &amp.,0
Conditions,0
Cramps &amp.,0
Pain,0
Pms &amp.,0
Pmdd,0
Endometriosis,0
Covid-19,0
Pcos,0
Sex,0
Pleasure,0
Stis,0
Dating &amp.,0
Partnership,0
Life &amp.,0
Culture,0
Gender equality,0
Lgbtqia+,0
Race,0
Society,0
About clue,0
Events,0
How to use clue,0
Meet clue,0
Ambassadors,0
Clue app,0
Jobs,0
Clue birth control,0
Choose your languageenptes,0
"Clue is on a mission to help you understand your body, periods, ovulation, and so much more.",0
Start tracking today.app storeplay store,0
Terms of service,0
Updated 1 december 2020,1
1 general information,0
1.1.,0
"These terms of service (hereinafter referred to as ""terms"") govern the ""clue"" mobile application (referred to as ""clue"" or the ""clue app"") including all services provided through the clue app and the clue website www.helloclue.com (""clue services"").",0
"The clue services are operated by biowink gmbh, which is located at adalbertstrasse 7-8, 10999 berlin (hereinafter referred to as ""biowink"" or ""we"").",0
"1.2 in addition to these terms, the privacy policy available athttps://helloclue.com/privacy details your and our respective rights and obligations in connection with applicable data protection laws, in particular regarding the processing of your sensitive health data.",0
Information about how to exercise your right of revocation is listed at the end of these terms under 12.,0
1.3.,0
The clue services provide people with cycles with information and insights about menstrual and reproductive health from menarche to menopause.,0
Clue is intended to be used as an application on mobile devices.,0
"By tracking the cyclic changes in your body, you can detect patterns, improve your wellbeing, and notice when things are not ""normal"" for you.",0
We are always developing new features for different life stages that allow you to understand your body better.,0
"You can find general information about the clue app as well as different menstrual, sexual and reproductive health and wellbeing topics on the clue website (details regarding the scope of the services provided through the clue app are set out under 4 of these terms).",0
1.4.,0
"Notwithstanding the requirement for a valid consent to processing your personal data under our privacy policy, you must be at least 13 years old ( minimum age ) to use clue's paid services (see 6 below).",1
"If a minor between the ages of 13 and 17 (a person reaches majority at 18 under german law) uses clue's paid services, we provide the services on the basis of the deemed consent of their parent or legal guardian, both to these terms and to the use of the clue app.",1
Such consent is obtained when an account is created prior to first use of the app.,0
The parent or guardian takes full responsibility for the minor's use of clue's paid services.,0
"(consent regarding the processing of data in accordance with the applicable data protection laws is obtained separately, see section 9 of our privacy policy, which relates to persons between 13 and 16 years of age)",0
2 scope of application and amendments to these terms,0
2.1.,0
"By using the clue services, you agree to these terms.",0
2.2.,0
We will always ask for your consent to material changes to these terms if they affect any paid services (see 6).,0
"Material changes are changes to the type and scope of the contractually agreed paid services, or the duration and termination of the contract.",0
"However, this does not prevent us from improving our services or including additional features or services within the scope of paid services.",0
2.3.,0
We may make non-material amendments to these terms at any time.,0
We may implement non-material changes without notice or stating further reasons.,0
There are no oral or written side agreements under these terms.,0
3 disclaimer,0
3.1.,0
The clue services are not intended to provide medical advice.,0
"For medical advice that addresses your specific, individual needs, please always consult a qualified healthcare professional.",0
"When using clue services, you agree to use the respective service only for the intended purposes as described in these terms.",0
3.2.,0
"Clue is no substitute for a consultation with your healthcare provider, and the use of the clue services is at your own risk.",0
Specific medical conditions can only be diagnosed and treated properly by a qualified healthcare professional.,0
"If you feel that the use of the clue services causes you any physical or mental distress, please stop using them and seek medical help.",0
"We cannot give you medical advice, but if you have any complaint, comment or feedback on the clue services, you can reach out to us: go to the more menu and then select support to submit a question or comment to our clue support team.",0
"4 general scope of services of clue, clue plus and other clue premium features",0
4.1.,0
Clue is designed to provide general information about menstrual and reproductive health and related topics.,0
"The app collects the data you enter, for example on menstrual cycles, physical activities, health and medications, pregnancy, and other data about the body.",0
These data allow statistical and algorithmic data processing that can show you patterns in your menstrual cycle or pregnancy.,0
4.2.,0
Clue is a self-management app.,0
"This means that clue's services are based on the data that you provide, so the information and analysis available in the app depends on the amount and accuracy of the inputs you choose to record.",0
4.3.,0
Clue is intended for use on ios and android mobile devices in the following app versions:,0
"(a) usage with an account (requiring registration): in this case, the data is stored both locally on your mobile phone and on our servers, so that the service can be used on multiple logged-in devices ( clue as an online service ).",0
Further details regarding the registration process can be found in 5 of these terms.,0
"(b) usage without creating an account (without registration): in this case, the data is only stored locally on the memory of your mobile phone ( clue as a local service ) - this service is no longer available to new users.",0
4.4.,0
"Clue offers some functions and content free of charge ( "" clue"", or the ""basic"" clue app), while access to more extensive functions and content is paid (the ""paid services"", see 6 below).",0
"The basic clue app can be acquired free of charge from the relevant app store (if you have an iphone, the apple app store, or if you have an android phone, the google play store).",0
"In addition, you can purchase the paid services, clue plus and other clue premium features, from within the basic clue app.",0
4.5.,0
"In order to help us continue to provide the clue services, we reserve the right to display advertisements on our website or in our app.",0
"We may also offer the opportunity to donate via the website or app, so that you can support our services and mission.",0
5 creating a clue account,0
5.1.,0
"Today, clue exists only as an online service.",0
"To use clue, you need to create an account.",1
"This requires an acceptance of these terms and consent to data processing under the terms of our privacy policy, including all documents, declarations and consents included therein by reference.",0
"Furthermore, you will need to provide a username, email address, and a personalized password.",0
"In addition, you can provide other information as part of your onboarding, in order to personalize your clue experience from the start.",0
"Account creation is completed when you click on the link in the confirmation email sent to your email address, confirming your account.",0
5.2.,0
"Alternatively, you can create an account using your apple, google or facebook login details, which automatically transfers your relevant personal information.",0
5.3.,0
"When you create an account, you assure that all of the information you provide is correct and complete.",0
"We recommend that you secure your data as permitted by your device (and detailed in the privacy policy, e.g.",0
"Pin, face id or touch id).",0
5.4.,0
"We are not obliged to confirm or accept user registrations, and may, at our own discretion, refuse to create an account that may interfere with the clue services.",0
"We may accept your registration or order by activating the relevant service, i.e.",0
Without making a specific written declaration.,0
"6 clue plus and other clue premium features (together, the ""paid services"")",0
6.1.,0
"Within the free clue app, we offer certain features and enhanced functionality as paid services.",0
These are referred to as clue plus and other premium features.,0
"These services are generally tied to a subscription, i.e.",0
The regular purchase of the services over a fixed period of time for a specific fee.,0
6.2.,0
You can find an overview of the benefits included in a clue plus subscription on our website at https://helloclue.com/articles/about-clue/introducing-clue-plus.,0
"These may change from time to time, as we introduce new features, develop our existing offering and sometimes retire features that aren't working out as planned.",0
The features and content contained in different paid services may differ by country and language.,0
The applicable price offer is shown in the relevant app store (apple app store or google play store) and on the buy screen in-app prior to purchase.,0
6.3.,0
"Like the clue app itself, clue plus is only available via the third-party platform operators apple app store and google play store.",0
"Therefore, when you make a purchase within clue, you additionally enter into a separate contract with the respective third-party service provider, whose terms and conditions apply.",0
The right of cancellation and revocation must be exercised as against these service providers (for more details about contract duration and termination see 10),0
6.4.,0
The paid services are generally available on a subscription basis.,0
"Therefore, you will be charged once in the duration period of your subscription (for instance per month or per year).",0
"Our subscription will automatically be renewed at the same price at the end of the current subscription period, unless you have cancelled your subscription or disabled auto-renewals.",0
6.5.,0
"If payment cannot be collected, we will be entitled to block access to the relevant paid services.",0
7 your rights and duties as a user,0
7.1.,0
You may not transfer your user account to third parties.,0
"You may only use clue for your own private purposes or for such other purposes as we explicitly agree to in writing (for example, if you are an academic researcher and we enter into a research collaboration agreement).",0
7.2.,0
"Furthermore, you are not permitted to",0
Make the access data sent or used for authentication and identification available to third parties or to pass them on to third parties,0
Bypass the access control systems of paid services or to take other measures in order to use services without authorization,0
"Remove or obscure copyright notices and/or notices regarding trademarks or other intellectual property rights of clue, companies affiliated with clue or third parties",0
Transfer or assign rights or obligations under these terms to third parties.,0
7.3.,0
"When using the clue app and services provided through the app, you must observe your contractual obligations with third parties, in particular your internet access provider and the relevant app store operator.",0
7.4.,0
"For the best experience of the clue services, you must regularly update your operating systems and the version of the clue app on your device.",0
It is also possible that certain activations may be required to make full use of the service.,0
"From time to time, the clue app may automatically download and install updates and upgrades without specifically informing you.",0
These updates are intended to technically improve and/or enhance the software and service.,0
You agree that we may implement such updates as part of your use of the clue services.,0
7.5.,0
"You are only entitled to a right of set-off insofar as you may have legally established a counterclaim against us, or we do not dispute such counterclaim.",0
A right of retention arises only if and insofar as the counterclaim is based on the same contractual relationship.,0
8 copyright,0
8.1.,0
All of the content that we make available within the clue app or on our website is subject to international copyright law unless otherwise indicated.,0
"The reproduction, processing, distribution and any form of commercial exploitation of the content, services and software requires our written consent.",0
8.2.,0
"The use of the services (and/or the provision of input information) does not give you any legal rights, titles or legal interests in our services or software.",0
"The service and software are protected by copyright law, trademark law, intellectual property rights and other applicable laws.",0
8.3.,0
The clue app is a copyright protected software program.,0
"You as a user are granted a simple, non-exclusive, non-transferable and revocable right for personal use.",0
"You are not entitled to decompile, change or edit the app beyond the extent permissible by law.",0
"You are not permitted to lease, rent or otherwise transfer the app and/or its contents.",0
8.4.,0
The commercial use or retransmission of the clue services is prohibited.,0
"In particular, you may not copy or publish any part of the clue app or website.",0
8.5.,0
We use anonymous information from your usage of the clue services so that we can continue to improve them and for scientific research.,0
"We process personal information for these purposes also, as set out in detail in our privacy policy, which you also consent to when you create a clue account and use the clue app.",0
"In addition, you agree that",0
"By creating an account and using clue, you grant us permission to use your anonymous information to improve the clue services for all users and advance scientific research.",0
9 liability,0
9.1.,0
The content that we provide in the clue services has been compiled with the greatest care.,0
"However, we cannot accept any liability for the accuracy, completeness and currency of the content.",0
"We are also in no way responsible or liable for the content you track or otherwise provide in the clue app (""user content"").",0
You are solely responsible for the security of your personal user content.,0
"Except to the extent required by law, we accept no liability for the deletion, damage or failure to store user content maintained or transmitted through the use of the clue services.",0
9.2.,0
"When you use the clue services, you do so expressly at your own risk.",1
"The descriptions of our different services - whether the basic free clue app, clue plus, or other clue premium services - are not subject to any guarantees.",0
"We give no guarantee that any of our services can be used to achieve a specific aim, such as that events in your individual menstrual cycle will be correctly predicted, or that clue's outputs are complete and accurate.",0
9.3.,0
"We expressly point out that any health-related recommendations provided in the context of the clue services are general in nature, and aimed at users who are generally healthy and physically and mentally fit.",0
"We give references to published research and other sources wherever possible, so that you can find out more and evaluate the information for yourself.",0
"If you choose to follow any such general recommendations, you do so at your own risk.",0
"If you have any doubt as to whether this is appropriate for you, please speak to your qualified healthcare provider.",0
This applies especially if you are pregnant or breastfeeding.,0
9.4.,0
Any liability in respect of contractual or other claims made by you as a user depends on the merits of the case and extends only to actual damage suffered,0
"(a) which we, our legal representatives or vicarious agents have caused intentionally or by gross negligence,",0
"(b) from injury to life, body or health resulting from a breach of duty by us or one of our legal representatives or vicarious agents,",0
"(c) in cases of liability under the german product liability act, due to us having given a guarantee or due to fraudulent misrepresentation, and",0
"(d) which has arisen due to the breach of a fundamental obligation, the fulfillment of which is of fundamental importance to the proper execution of the contract, and which you are entitled to rely on and in fact regularly rely on (under german law, a cardinal obligation).",0
9.5.,0
"We are liable without limitation in the above-mentioned cases (a), (b) and (c) of the preceding paragraph.",0
"In all other cases, liability shall be limited to the reasonably foreseeable damage under these terms.",0
9.6.,0
In cases other than those specified in 9.4.,0
And 9.5.,0
"And notwithstanding the following paragraph, liability on our part is excluded irrespective of the legal grounds.",0
9.7.,0
"The above limitations of liability apply equally to all of our legal entities, employees and vicarious agents.",0
They do not alter the statutory burden of proof.,0
"10 contract duration, termination, refunds",0
10.1.,0
"In relation to the free clue service, you may terminate the contractual relationship with us at any time by deleting your account in accordance with the instructions in the app.",1
"If you are using clue without an account, you can terminate this contract by deleting the clue app from your mobile phone (remember to export your data first if you don't want to lose it).",1
"We too may terminate the contract at our sole discretion and without further notice, subject to the following provisions.",0
10.2.,0
The paid services run for the agreed (initial) term.,0
"At the end of the term, the contract is automatically extended by a time period equal to the agreed term, but by no more than one year, unless you or we terminate it before the end of the agreed term.",0
10.3.,0
"For technical and legal reasons, contractual relationships related to the use of paid services that were originally entered into via the apple app store or the google play store can only be terminated via the respective app stores.",0
"In such cases, apple and google act as resellers of the services.",0
The terms and conditions of the apple app store and the google play store apply.,0
"According to google and apple, notice of termination must be provided no later than 24 hours before the renewal of the subscription.",0
10.4.,0
The statutory right of both contracting parties to terminate the contract for good cause remains unaffected.,0
"Good cause for extraordinary termination of the contract is deemed to exist if the continuation of the contractual relationship until the end of the normal period of notice is unreasonable, given all circumstances of the individual case and the interests of the user.",0
"Good causes for us to exercise this right of termination include, in particular, if you breach applicable law, obligations under these terms, or obligations under your contract with the apple app store or google play store (or if your actions would cause us to breach our contracts with the apple app store or google play store).",0
No prior notice of termination is required.,0
11 other provisions,0
11.1.,0
"We endeavor to ensure that the clue app operates without disruption and is available to the greatest extent possible, but we point out that complete and uninterrupted availability is not technically feasible.",1
We therefore do not guarantee disruption-free operation or a specific level of availability.,1
"In particular, we may restrict access without providing reasons in whole or in part, temporarily or permanently.",1
"In addition, no claims shall exist regarding the maintenance of individual functionalities of the clue app.",0
"We are entitled at any time to change or remove content, services and functionalities that are provided within the app and to make new content, services and functionalities available or to discontinue the clue app entirely.",0
"This includes paywalling all or certain services that were previously free of charge, as well as their partial or complete discontinuation.",0
11.3.,0
We are entitled to transfer the rights and obligations arising under a contract to a third party.,0
"Should we wish to transfer the rights and obligations under these terms, we will inform you in writing about the transfer.",0
You are then entitled to terminate the contract.,0
The notice of termination must be in writing and reach us within 14 days of you receiving the notification of transfer,0
11.4.,1
Governing law: german law applies to the exclusion of the un convention on contracts for the international sale of goods (cisg).,1
11.5.,0
"Jurisdiction: to the extent permissible by law, all disputes arising under these terms shall be heard in the courts of our registered place of business in berlin, germany.",0
"Notwithstanding the foregoing, we are also entitled to sue you under these terms in your place of domicile.",0
11.6.,0
"In the event of a complaint against us, you can contact the european online dispute resolution platform at any time: https://ec.europa.eu/consumers/odr/.",0
We are neither obliged nor willing to participate in dispute resolution proceedings before a consumer arbitration body.,0
11.7.,0
"If individual provisions within these terms are or become invalid or unenforceable, the validity of the remaining provisions shall not be affected.",0
Any invalid or unenforceable provision shall be replaced by a valid and enforceable provision whose effects come as close as possible to the economic objective which the contracting parties had pursued with the invalid or unenforceable provision.,0
The above provisions shall also apply in the event that the provisions prove to be incomplete.,0
11.8.,0
"Clue is used by people with cycles around the world, who access the app in a multitude of different languages.",0
"We use professional translators and proofreaders to translate all of our communications, including these terms, as accurately as possible into those languages.",0
"However, please understand that we cannot assure 100% accuracy for all of our translations, in particular with respect to any legal content.",0
"Please note that the english version of these terms is therefore the original version, which prevails over all other versions in the event of deviation from the english original.",0
The most up-to-date version of these terms is always available in english on our website.,0
12 how to exercise your right of revocation,0
"As a company headquartered in germany, the consumer protection laws of germany apply to you as our customer no matter where you live.",0
"Since the clue services are directed exclusively at users who are consumers within the meaning of 13 bgb (german civil code), german law gives you a right to cancel this contract without penalty within 14 days of its conclusion.",0
If you have purchased our service via an app store (such as google play store or apple app store) please use the procedures provided by the respective app store for the revocation and reimbursement of your purchase.,0
The below reflects standard language prescribed by german law.,0
Revocation policy,0
Right of revocation,0
You have the right to revoke this contract within fourteen days without providing any reasons.,0
The revocation period (cancellation period) is fourteen days from the date when you entered into the contract.,0
"To exercise your right of revocation, you must inform us (biowink gmbh, adalbertstrasse 7-8, 10999 berlin, or contact support from within the clue app) of your decision to revoke this contract.",0
"You may use the attached sample revocation form for this purpose, but this is not mandatory.",0
"In order to comply with the revocation period, it is sufficient that you send us notification regarding your revocation of the contract before the end of the revocation period.",0
Consequences of revocation,0
"If you revoke this contract, we shall reimburse all payments we have received from you, including delivery charges (other than any additional charges resulting from your decision to select a different type of delivery than the cheapest standard delivery offered by us), immediately and no later than fourteen days from the date on which we receive notice of your revocation of this contract.",0
"For this refund, we will use the same means of payment that you used for the original transaction, unless expressly agreed otherwise with you.",0
In no event will you be charged for this refund.,0
Further information,0
"In the case of a contract for the provision of services, the following applies: if you have requested that the services be commenced during the cancellation period, you shall pay us a reasonable amount corresponding to the proportion of the services already provided by the time you inform us of the exercise of the right of cancellation in respect of this contract compared to the total scope of the services provided for in the contract.",0
- end of the cancellation policy -,0
Sample revocation form,0
"(if you want to cancel the contract, please fill out this form and send it back)",0
"To [insert here the name, address and, if applicable, the fax number and e-mail address of the entrepreneur by the entrepreneur]:",0
I/we (*) hereby revoke the contract which i/we (*) entered into for the purchase of the following goods (*)/the provision of the following service (*):,0
Ordered on (*)/received on (*):,0
Name of the consumer(s):,0
Address of the consumer(s):,0
Signature of the consumer(s) (only required if the notification is submitted in paper form):,0
Date:,0
(*) delete whichever does not apply.,0
"2021 clue by biowink gmbh, all rights reservedenptessocialcompany",0
Jobs,0
Press,0
Clinicians,0
Podcast,0
Support clue,0
App,0
Clue app,0
Faq,0
Encyclopedia,0
Menstrual cycle,0
Birth control,0
Fertility,0
Issues &amp.,0
Conditions,0
Sex,0
Life &amp.,0
Culture,0
About clue,0
Information,0
Legal,0
Privacy,0
Terms,0
Download the app,0
"Sign up for the newsletter 2021 clue by biowink gmbh, all rights reserved",0
