text,highlighted
Terms of service,0
"Date of last revision: march 9, 2021",1
P,0
Code.org is a 501(c)(3) nonprofit organization ( code.org ).,0
Our mission is to give every student the opportunity to learn computer science.,0
"As a part of that mission, code.org operates the websites located at https://code.org, https://studio.code.org, https://www.k12cs.org, https://hourofcode.com, https://curriculum.code.org, https://advocacy.code.org, other websites, information, text, curricula, videos, graphics, photos, apis, email notifications and other materials and related products and services (the services ).",0
Please read these terms of service ( terms ) carefully before accessing or using the services.,0
Accessing or using any part of the services or clicking on an i agree or sign up button that may be made available to you means that you agree to be bound by these terms without modification.,0
These terms are a legal contract between you (the user ) and code.org regarding your use of the services.,0
"In the event these terms are translated into another language resulting in any potential conflict or ambiguity, the official version of the terms shall remain the english version.",0
You may use the services only if you can form a binding contract with code.org and are not a person barred from receiving the services under the laws of the united states or other applicable jurisdiction.,0
"If you are accepting these terms and using the services on behalf of a company, organization, school, government, or other legal entity, you represent and warrant that you are authorized to do so.",0
"You may use the services only in compliance with these terms and all applicable local, state, national, and international laws, rules and regulations.",0
"Note: if you are a teacher creating an account on behalf of your students, you agree to be bound by these terms of service on behalf of the educational organization you work for, and are authorized to do so.",0
These terms are subject to change.,0
"You are agreeing to be bound by such changes if you continue to use the services after these terms change, so please check these terms for changes periodically",0
"Additional terms some services may be subject to additional posted guidelines, rules or terms of service ( additional terms ) and your use of such services will be conditioned on your agreement to the additional terms.",0
"If there is any conflict between these terms and the additional terms, the additional terms will control for that service, unless the additional terms expressly state that these terms will control",0
Children under age 13 we take steps to minimize the collection of personal data from users under the age of 13 as explained in the code.org privacy policy.,0
"Users under the age of 13 will be able to use our app lab, game lab, and web lab tools in the classroom with their teacher s approval.",0
Users under the age of 13 will not be permitted to use these tools for outside the classroom use.,0
"Users under 13 can try most tutorials and courses without creating an account, but their learning progress won t be saved.",0
Users under the age of 13 are required to to get the approval of a parent or legal guardian before creating an account on code.org.,0
"Code.org allows certain representatives of school districts and schools, such as teachers, administrators, counselors, and other educators (an educator ) to connect with their students through the services in order to provide tutorial, educational and similar services.",0
"If you are an educator, you may register accounts on the services for one or more of your students.",0
"If you are an educator and you register an account for a student who is under the age of 13 (a child ), you represent and warrant that you or the educational organization you work for has proper permission to register the child for code.org, and that you have obtained the necessary parental consent for code.org s collection of the child s personal data for the use and benefit of the school and for no other commercial purpose.",0
"In addition, you agree to be bound by these terms on behalf of the educational organization you work for",0
"Your account if you create an account for services, you are responsible for the security of your account and for keeping your own password safe.",0
"If you are using an account assigned to you by an educator, your educator may be able to access and disable your account.",0
"Code.org may permit you to register an account for the services through certain third party social networking services, such as facebook connect and google ( authentication service ).",0
"By registering for the services using an authentication service, you agree that code.org may access your account information from the authentication service and you agree to any and all terms of use of the authentication service regarding your use of the services via the authentication service.",0
You are solely responsible for your interactions with the authentication service,0
Privacy your privacy is important to us.,0
Code.org s privacy policy explains how we treat and protect your personal data and is incorporated into these terms by reference.,0
"Please read the privacy policy carefully for information relating to code.org s collection, use, and disclosure of your personal data as well as the administrative, technical and physical safeguards we maintain to protect against unauthorized use, disclosure of or access to personal data.",0
"In addition, if you are a student or teacher using code.org in a primary or secondary school with whom we have entered into a separate agreement that supplements these terms, such as our student data privacy addendum, the terms of those separate agreements may also apply.",0
"If you are a student that uses an account registered for you by an educator or otherwise connected to an educator, you agree that code.org may disclose your information to the educators associated with your account.",0
"If you are an educator, you agree not to share student records (as defined in our privacy policy) you receive from code.org with anybody other than authorized agents of the classroom, school district, or other educational establishment you represent.",0
"Code.org does not use student records for any targeted or behavioral advertising, profiling, or onward disclosure",0
The family educational rights and privacy act ( ferpa ) we help schools be compliant with the family educational rights and privacy act (ferpa) by facilitating a school s access to student data in response to a request from a parent.,0
Email us at support@code.org for assistance,0
User generated content - management.,0
License grant.,0
"Representations and warranties the services enable users and schools (as defined in our privacy policy) to provide, share or post certain content or information, including, but not limited to, computer code (including both source and object code), audio recordings, photographs, videos, documents, online educational resources, or other materials, and feedback, (as defined below) (collectively, user content ).",0
"You should not include any student s personal information (which are defined in our privacy policy) or student educational records, in any of the user content you create.",1
"If you or a student in your class accidentally includes any student s personal information, please contact us at support@code.org.",0
"User content may be used by code.org in connection with the services and may be visible to or shared with code.org, other schools, and certain other users.",0
Please visit our privacy policy for additional information on the types of information different users are able to provide.,0
"Teachers may contribute educational content, create answers to assessments, create derivative works (e.g., completion of assignments, projects, etc.",0
"), and transmit said data and content within the school s systems through the services (collectively, teacher content ).",0
"Schools and users may submit feedback, comments or suggestions for improvements to the services (in written, oral, or any other form) ( feedback )",0
Ownership,0
"By submitting or distributing user content through the services or directly to code.org staff, you hereby grant to code.org a worldwide, non-exclusive",1
", transferable, assignable, fully paid-up, royalty-free, perpetual, irrevocable right and license to host, transfer, display, perform, reproduce, modify, distribute and redistribute, adapt, prepare derivative works of, use, make, have made, import, and otherwise exploit your user content (which should not contain any student s personal information), under all intellectual property rights therein, in whole or in part, in any media formats and through any media channels (now known or hereafter developed).",0
"In addition, by submitting or distributing user content through the services, you hereby grant to each user of the services a non-exclusive license to access and use your user content",0
"License to user content user content you hereby grant to code.org a limited, non-exclusive, sublicensable (as necessary to provide the services, including distributing teacher content), worldwide, royalty-free, and transferable (only to a successor) right and license to:",0
"Use, host, copy, store, distribute, publicly perform and display, publish (in whole or in part), modify, and create derivative works from (such as changes we make so that your content works better with our service) user content as necessary to provide, improve and make the services available to you and other users, including through any future media in which the services may be distributed",0
"Use, modify, prepare derivative works, publish, distribute and sublicense feedback without any compensation to you",0
"Use and disclose metrics and analytics regarding the user content in an aggregate or other non-personally identifiable manner (including, for use in improving our service or in marketing and business development purposes)",0
"Use any de-identified user content for any lawful purpose (such as product development, research or other purposes) subject, if applicable, to the data privacy addendum or similar agreement.",0
And,0
"Use for other purposes permitted by the code.org privacy policy and, if applicable, the data privacy addendum or similar agreement.",0
Code.org will only share and use your personal data in accordance with code.org's current privacy policy.,0
"When you upload or create user content, this can be viewed by your teacher and (under your control) by other users and this means that you are allowing others to access and use that information and to associate it with you.",0
"By uploading, creating, submitting or distributing user content through the services, you hereby grant other users a non-exclusive, transferable (only to a successor), royalty-free right and license to use, reproduce, create derivative works, publicly display and perform any of your user content that is incorporated into that user's project, provided that code.org shall not use or distribute your user content on a stand alone basis if code.org s license grant has been terminated as set forth below.",0
The foregoing license and restrictions does not limit code.org rights under any third party or open source license in which your user content may be licensed,0
"Public content in addition to the rights, licenses and privileges referred to above, you agree that code.org may use and refer to your user content, first name and screenname that are posted publicly on the code.org website and not in private areas of our service ( public content ) (including screenshots) in marketing materials, press releases, financial reports, presentations, website materials, customer lists and other media now known or hereafter discovered in connection with the marketing, advertising and promotion of the service, and any products, goods, features, capabilities and/or services associated with the service.",0
This right will continue until your public content is deleted.,0
"Provided however, that any public content previously printed in brochures, articles or other marketing materials that code.org had prepared before any request for deletion was received will continue to be used",0
License termination the user content license above will terminate when you or your school (i) delete any user content containing intellectual property rights (like images or videos) or personally identifiable information (such as that in student data).,0
"Or (ii) delete your account, unless your user content has been shared with others, and they have not deleted it.",0
"Such termination may not apply to user content or teacher content, including student data or in messages sent through code.org, that may be deemed an education record under the family education rights act (ferpa) or various other student privacy laws, and which a school controls ( education record(s) ).",0
We will delete any education record upon receiving a valid request for deletion from your school.,0
Please see our faq for more information.,0
"Additionally, such termination will not affect the license rights granted to other users to use your user content if they previously copied your user content and they have not deleted it.",0
When you or your school delete user content it is deleted in a manner similar to emptying the recycle or trash bin on a computer.,0
"However, you understand that any removed user content may persist in backup copies for a reasonable period of time following deletion (but will not be available to others).",0
"Additionally, you understand and agree that user content may continue to appear on code.org, even after you have terminated your account or these terms of service, as portions of your user content may have been copied by other users and/or incorporated into their coding projects",0
User content representations and warranties you are solely responsible for user content you post to the services and the consequences of posting or publishing them.,0
"By uploading, submitting, creating, or publishing your user content to or through the services, you represent, and warrant that: (1) you are the creator and owner of your user content and that you have the authority to use or have the necessary licenses, rights, consents, and permissions to publish the user content you submit.",0
"(2) your user content does not and will not: (a) infringe, violate, or misappropriate any third-party right, including any copyright, trademark, patent, trade secret, moral right, privacy right, right of publicity, or any other intellectual property or proprietary right or (b) slander, defame, libel, or invade the right of privacy, publicity or other property rights of any other person.",0
"And (3) your user content does not contain any viruses, adware, spyware, worms, or other malicious code",0
"Restrictions on content and use of the services we reserve the right at all times (but will not have an obligation) to remove or refuse to distribute any user content on the website and to suspend or terminate users, without liability to you.",0
"We also reserve the right to access, read, preserve, and disclose any information as we reasonably believe is necessary to (i) satisfy any applicable law, regulation, legal process or governmental request, (ii) enforce the terms, including investigation of potential violations hereof, (iii) detect, prevent, or otherwise address fraud, security or technical issues, (iv) respond to user support requests, or (v) protect the rights, property or safety of code.org, its users and the public.",0
"You may not do any of the following while accessing or using the services: (i) access, tamper with, or use nonpublic areas of the services, code.org s computer systems, or the technical delivery systems of code.org s providers.",0
"(ii) probe, scan, or test the vulnerability of any system or network or breach or circumvent any security or authentication measures.",0
"(iii) access or search or attempt to access or search the services by any means (automated or otherwise) other than through currently available, published interfaces that are provided by code.org (and only pursuant to those terms and conditions), unless you have been specifically allowed to do so in a separate agreement with code.org (note: crawling the services is permissible if done in accordance with the provisions of the robots.txt file, however, scraping the services without the prior consent of code.org is expressly prohibited).",0
"(iv) forge any tcp/ip packet header or any part of the header information in any email or posting, or in any way use the services to send altered, deceptive or false source-identifying information.",0
Or,0
"(v) interfere with, or disrupt, (or attempt to do so), the access of any user, host or network, including, without limitation, bullying or harassing, sending a virus, overloading, flooding, spamming, mail-bombing the services, or by scripting the creation of content in such a manner as to interfere with or create an undue burden on the services.",1
Code.org has no obligation to monitor user content or other materials.,0
"You are responsible for evaluating all user content including for accuracy, completeness and reliability, and you bear all risk of using such user content.",0
Code.org will not be responsible for any damages that you may incur as a result of the submission or use of any user content.,0
"Code.org may, but is not obligated to, monitor or review any services where educators communicate solely with each other, including but not limited to chat rooms, live chats, bulletin boards or other user forums, and the content of any such communications.",0
"You assume the risk of such communications, and code.org has no liability related to the content or use of any such communications.",0
Users may include links to third party websites in user content as long as the content of such websites does not violate these terms.,0
Clicking on such links is at your sole risk.,0
"Code.org is not responsible for the availability or the content of linked websites, including the advertising, products or other materials thereon",0
"Your license to use code.org videos, tutorials, data, and apis code.org s library of videos may be redistributed freely on the express conditions that: (1) the videos are redistributed as-is in their entirety, using the embedded video player provided, or by downloading the original video file if a download link is provided, and with clear attribution to code.org.",0
(2) the videos are not incorporated into any mashups.,0
(3) the videos are used for computer science education purposes.,0
"(4) the use of the video does not constitute an endorsement of a 3rd party brand, service or product.",0
And (5) if access to such redistributed content or services is provided free of charge.,0
The celebrities and video cast members appearing in code.org tutorials and videos reserve all rights to their likeness and name.,0
"By allowing you to redistribute these videos or tutorials as-is, code.org does not grant any additional rights to use of the likeness or name of these individuals.",0
The artwork used in our tutorials is copyrighted and use of these tutorials does not grant you any rights to use the artwork in any other manner.,0
Plants vs.,0
Zombies are 2016 electronic arts inc.,0
Plants vs.,0
Zombies and popcap are trademarks of electronic arts inc.,0
Angry birds are 2016 rovio entertainment ltd.,0
Angry birds is a trademark of rovio entertainment ltd.,0
Scrat and ice age are trademarks and twentieth century fox licensing and merchandising.,0
Frozen is a trademark and 2016 disney.,0
Star wars is a trademark and 2016 lucasfilm and disney.,0
Minecraft is a trademark and 2016 microsoft.,0
The amazing world of gumball is a trademark and 2016 cartoon network.,0
The software powering code.org tutorials is governed by an open source license which is posted as part of the source code repository.,0
"Other than the proprietary videos and artwork mentioned above, all curriculum and tutorial materials developed by code.org are licensed to you for use under a creative commons attribution-noncommercial-sharealike 4.0 unported license.",0
More information about this license can be found at: http://creativecommons.org/licenses/by-nc-sa/4.0/.,0
"Code.org grants you a non-exclusive, transferable, non-sublicensable, limited right and license to access, view, use, and display the code.org curriculum and tutorial materials.",0
"The code.org curriculum and tutorial materials may only be used for noncommercial, computer science educational purposes.",0
"You may use these code.org resources in a classroom where you charge students a fee to cover such costs as instructor compensation, venue, snacks, etc., so long as you do not represent the code.org resources as your own creation or restrict access to the resources behind a paywall.",0
"If you are interested in licensing code.org materials for commercial purposes, contact us.",0
