text,highlighted
Sign up,0
Kata,0
Kumite,0
Forum,0
Wiki,0
Leaders,0
Log in,0
Sign up,0
"Website terms of servicelast updated oct, 2018a note to the communitythe codewars platform has been created to further skill mastery through challenge",0
And community support.,0
"In solving, improving, and authoring kata challenges, you are",0
Contributing to a collective resource that benefits the entire community thank you.,0
"To promote collaboration and create a living resource, all kata solutions are actively",1
Opensourced under the freebsd 2-clause license.,1
All authored kata remain the ip of,0
"Authors and contributors, with a license granted to codewars, to maintain and advance",0
The resource.,0
"If you have any questions, please contact us.terms of servicethe online service codewars ( website ) is provided by qualified inc.",0
( qualified ).,0
"The following terms and conditions govern all use of the website and all content,",0
Services and products available at or through the website.,0
The website is owned and,0
Operated by qualified inc.,0
The website is offered subject to your acceptance without,0
Modification of all of the terms and conditions contained herein and all other operating,0
"Rules, policies (including, without limitation, qualified s privacy policy) and procedures",0
"That may be published from time to time on this site (collectively, the agreement).",0
Please read this agreement carefully before accessing or using the website.,0
By,0
"Accessing or using any part of the web site, you agree to become bound by the terms",0
And conditions of this agreement.,0
If you do not agree to all the terms and conditions,0
"Of this agreement, then you may not access the website or use any services.",0
If these,0
"Terms and conditions are considered an offer by qualified, acceptance is expressly",0
Limited to these terms.,0
The website is available only to individuals who are at least 13,1
Years old.,1
Your codewars account and site,0
"If you create an account on the website, you are responsible for maintaining the",1
"Security of your account and its content, and you are fully responsible for all activities",1
That occur under the account and any other actions taken in connection with the,1
Account.,1
You must immediately notify qualified of any unauthorized uses of your,0
Account or any other breaches of security.,0
Qualified will not be liable for any acts or,0
"Omissions by you, including any damages of any kind incurred as a result of such acts",0
Or omissions.open-source contentin,0
"Submitting content in the form of kata solutions and comments, you license the",1
Content under the freebsd 2-clause license,1
":copyright (c) &ltyear of submission&gt, &ltusername&gt.",0
All rights reserved.,0
"Redistribution and use in source and binary forms, with or without",0
"Modification, are permitted provided that the following conditions are",0
Met:,0
1.,1
"Redistributions of source code must retain the above copyright notice,",0
This list of conditions and the following disclaimer.,0
2.,1
Redistributions in binary form must reproduce the above copyright,0
"Notice, this list of conditions and the following disclaimer in the",0
Documentation and/or other materials provided with the distribution.,0
"This software is provided by the copyright holders and contributors ""as",0
"Is"" and any express or implied warranties, including, but not limited to,",0
The implied warranties of merchantability and fitness for a particular,0
Purpose are disclaimed.,0
In no event shall the copyright owner or,0
"Contributors be liable for any direct, indirect, incidental, special,",0
"Exemplary, or consequential damages (including, but not limited to,",0
Procurement of substitute goods or services.,0
"Loss of use, data, or",0
Profits.,0
Or business interruption) however caused and on any theory of,0
"Liability, whether in contract, strict liability, or tort (including",0
Negligence or otherwise) arising in any way out of the use of this,0
"Software, even if advised of the possibility of such damage.",0
The views,0
And conclusions contained in the software and documentation are those,0
Of the authors and should not be interpreted as representing official,0
"Policies, either expressed or implied, of the freebsd project.submitted contentin submitting content, including authored kata, you agree to allow others to view, fork",0
And edit your content.,0
"For submitted content, including authored kata, kata solutions,",1
"And comments, you grant qualified the perpetual, worldwide, non-exclusive, nocharge, royalty-free, irrevocable copyright license to reproduce, prepare derivative",1
"Works of, publicly display, publicly perform, sublicense, and distribute the work and",1
"Such derivative works in source or object form, with or without modification ( content",1
License ).,1
"You warrant, represent and agree you have the right to grant qualified and",0
The website the rights set forth above.,0
"You represent, warrant and agree that you will",0
"Not contribute any content that (a) infringes, violates or otherwise interferes with any",0
"Copyright or trademark of another party, (b) reveals any trade secret, unless you own",0
"The trade secret or have the owner s permission to post it, (c) infringes any intellectual",0
"Property right of another or the privacy or publicity rights of another, (d) violates any",0
"Law or right of any third party, (e) is intended to damage, detrimentally interfere with,",0
"Surreptitiously intercept or expropriate any system, data or information.content removalwithout limiting any of those representations or warranties, qualified has the right",0
"(though not the obligation) to, in qualified s sole discretion (i) refuse or remove any",0
"Content that, in qualified s reasonable opinion, violates any qualified policy or is in any",0
"Way harmful or objectionable, or (ii) terminate or deny access to and use of the website",0
"To any individual or entity for any reason, in qualified s sole discretion.",0
Qualified will,0
"Have no obligation to provide a refund of any amounts previously paid.responsibility of website visitors.qualified has not reviewed, and cannot review, all of the material posted to the",0
"Website, and cannot therefore be responsible for that materials' content, use or effects.",0
"By operating the website, qualified does not represent or imply that it endorses the",0
"Material there posted, or that it believes such material to be accurate, useful or nonharmful.",0
You are responsible for taking precautions as necessary to protect yourself and,0
Your computer systems.,0
"The website may contain content that is offensive, indecent,",0
"Or otherwise objectionable, as well as content containing technical inaccuracies,",0
"Typographical mistakes, and other errors.",0
The website may also contain material,0
"That violates the privacy or publicity rights, or infringes the intellectual property and",0
"Other proprietary rights, of third parties, or the downloading, copying or use of which is",0
"Subject to additional terms and conditions, stated or unstated.",0
Qualified disclaims any,0
"Responsibility for any harm resulting from the use by visitors of the website, or from any",0
Downloading by those visitors of content there posted.intellectual property.this agreement does not transfer from qualified to you any codewars or third party,0
"Intellectual property, and all right, title and interest in and to such property will remain",0
(as between the parties) solely with qualified.,0
