text,highlighted
"Effective date april 24, 2014, updated august 30, 2016",1
"Nbcuniversal media, llc, its subsidiary and affiliated companies maintain this and related websites, games, interactive tv and mobile apps.",0
"Please read these terms of service carefully, they contain important information regarding your legal rights including mandatory arbitration, no class relief, and waiver of your right to a jury trial.",0
By using the site or any online services you agree to these terms of service.,0
"If you do not agree to these terms of service, please do not use the site or the online services.",0
Table of contents,0
1.,0
Acceptance of terms of service,0
"Each time you access and/or use sites or services, you agree to be bound by these terms of service and any additional terms that will apply prospectively to you.",0
You agree to accept notice of posting the new terms via our site on which you accessed these terms.,0
More,0
2.,0
Permitted uses,0
We only grant you a limited revocable license to use the site or service for your own non-commercial use subject to rules and limitations.,0
More,0
3.,0
Access to the site and availability of online services,0
Your use of our site and services is subject to various restrictions designed to protect the online services and our users.,0
We may change or discontinue our online service in whole or in part.,0
More,0
4.,0
"Registration, passwords, unauthorized use of your account, and sharing of social features",0
The sites and services may include a social network.,0
"You will provide true, accurate and current data if you establish an account.",0
"Your activities on the online services (including interaction with other members, advertisers, video viewing and audio accessed) may be shared with others.",0
More,0
5.,0
"Digital items, subscriptions and credits",0
"Any digital items and credits are provided subject to a limited revocable license to only you for certain virtual goods and game play, and have no cash value.",0
More,0
6.,0
You agree to our privacy policy and third party ads,0
"By accessing and using the online services, you consent to our privacy policy",0
"And our practices detailed in it, including targeted advertising and the use of tracking technologies.",0
More,0
7.,0
Wireless features.,0
Social media plug-ins,0
Wireless carrier charges may apply to use of our online services via wireless networks or devices and geo-location details.,0
More,0
8.,0
Your conduct and acceptable use,0
Your use is subject to our rules regarding acceptable conduct and practices,0
More,0
9.,0
Monitoring,0
"Nbcuniversal may, but has no obligation to, monitor your use of the online services.",0
More,0
10.,0
User content.,0
Grant of limited license,0
You grant us a broad license to content you post on our online services and bear all responsibility for all such content.,0
No confidential or fiduciary relationship is created by your posting on our online services,0
More,0
11.,0
Merchants,0
Nbcuniversal is not responsible for your business dealings with merchants found on the online services.,0
More,0
12.,0
Children s online privacy protection act notification .,0
Nbcuniversal s online services are not designed or intended for use by children.,0
More,0
13.,0
Disclaimer of warranties .,0
We disclaim warranties and provide the online services as is,0
More,0
14.,0
Exclusion of damages .,0
"You agree that you are entitled to no damages for any claims related to your use of the online services, except as set out below.",0
More,0
15.,0
Limitation of liability,0
"Applicability of disclaimers, exclusions and limits .",0
Our liability to you is limited,0
More,0
16.,1
Nbcuniversal is not responsible for third-party websites and content .,0
"We are not responsible for third parties or their content, advertisement(s), apps or sites, even if they are linked from or included within our online services.",0
More,0
17.,0
Indemnification .,0
You agree to indemnify us for material posted by you or through your account.,0
More,0
18.,0
Reservation of rights .,0
Nbcuniversal reserves the right to modify or discontinue the site or online services.,0
19.,1
Termination .,0
"We may terminate your account, password or access in our sole discretion at any time and without prior notice.",0
More,0
20.,0
Infringement policy .,0
"You may not post content you do not own or control or otherwise have the right to post, and we encourage you to report any infringing activity you identify on the online services",0
More,0
21.,0
Links by you to the online services,0
"You may link to our online services, subject to some basic rules.",0
More,0
22.,0
Responsible use of site .,0
Please act responsibly when using the online services.,0
23.,0
Investigations .,0
Nbcuniversalwe reserve the right to investigate suspected violations of these terms.,0
24.,0
Local regulations,0
If you choose to access the services from other locations you do so on your own initiative and at your own risk.,0
25.,0
Export control .,0
There are restrictions on the online services for those countries subject to u.s.,0
Export controls.,0
More,0
26.,0
Binding arbitration of all disputes,0
No class relief .,0
You agree to arbitrate,1
And waive jury trial and class actions.,1
More,0
27.,0
Dispute resolution for non-us residents only if a tribunal has ruled that arbitration is prohibited by law .,0
Non-us citizens agree to an alternative procedure for dispute resolution if a tribunal rules that arbitration is prohibited by law.,0
More,0
28.,0
Member disputes .,0
You are solely responsible for your communications with members or visitors to the online services.,0
More,0
29.,0
Notice for california users .,0
Residents of california are entitled to specific consumer rights information.,0
More,0
30.,0
General .,0
"By accessing and using the online services, you agree to certain terms regarding (a) to the applicable law and venue.",0
(b) no waiver.,0
(c) the enforcement and interpretation of these terms of service.,0
(d) your limited time to file claims.,0
(e) the manner in which you communications with us.,0
You also agree not to assign or delegate your rights and obligations under these terms of service.,0
More,0
31.,0
Terms applicable for apple ios .,0
There are some other things you should know if you are accessing or using the online services through an apple device.,0
More,0
32.,0
Product specifications.,0
Pricing.,0
Typographical errors .,0
Terms may change and errors may occur.,0
More,0
33.,0
Seller.,0
Risk of loss .,0
"All items purchased from the online services are pursuant to a shipment contract, and the risk of loss and title for such items passes to you upon delivery to the carrier.",0
More,0
34.,0
Our subscription services.,0
Automatic renewal conditions .,0
"The service may offer certain services (including without limitation, cnbc pro) for which we charge a fee that is billed in automatic regular increments (e.g.",0
"Monthly or yearly), unless you cancel, in order for registered users to access the service ( subscription services ).",0
More,0
1.,0
Acceptance of terms of service,0
"If you do not agree with any of these terms of service ( terms of service or terms ), including the privacy policy incorporated herein, please do not use this site or our online services.",0
By using this site you will be deemed to have irrevocably agreed to these terms.,0
"Some areas of this site may be subject to additional terms and conditions, which you should read carefully before making any use of those areas.",0
"Such additional terms will not change or replace these terms regarding use of this site, unless otherwise expressly stated.",0
"These terms of service apply when you interact digitally with the internet sites operated by nbcuniversal media, llc and its affiliates and subsidiaries ( nbcuniversal or we , our or us ), (the site or sites ), games, interactive tv, and any other services, products and any related software or mobile and/or tablet applications offered by nbcuniversal (collectively online services or services ).",0
"Note that in some instances, both these terms of service and separate additional terms or licenses, guidelines, rules or terms of service will apply to your use of some online services offered and/or operated by nbcuniversal (in each such instance, and collectively, additional terms ).",0
These additional terms will be posted in connection with the applicable online services and will be in addition to these terms of service.,0
"Where any direct conflict exists between these terms of service, or any additional terms, and the applicable privacy policy the terms of the privacy policy shall take precedence.",0
"However provisions unique to these terms of service (e.g., arbitration) will remain in effect as outlined here.",0
Nbcuniversal may modify these terms of service prospectively from time to time in its sole discretion.,0
Your continued use or accessing of the online services following the posting of any changes to the terms of service constitutes your acceptance of such changes.,1
You agree to be notified of changes to the terms of service via posting of updates on the site.,0
This is a general audience site for adults.,0
