text,highlighted
Terms and conditions of use agreement,0
Crain's chicago business,0
(the service ),0
Crain's chicago business,0
"Including its associated website at http://chicagobusiness.com newsletters, news alerts and all news, information, data, images, specifications, reviews, videos, and other content is an information and news service (collectively referred to as the service ) from crain communications inc ( crain )",0
By using the service you agree to be bound by all of the terms in this terms and conditions of use agreement (the agreement ),0
"If you do not fully agree with this agreement, do not use the service.",0
"Your failure to follow this agreement may result in termination of your access to the service, without notice and in addition to any other remedies available to crain",0
Access to part of the service may be restricted to users who have registered and paid for certain content ( restricted content ).,0
"If you have been issued a login id and password in order to access our restricted content, you may not share your login id and password with others.",1
"When you use your login id and password to access our restricted content, you warrant that you are the authorized user and that you provided accurate information about yourself and your company when you signed up for the restricted content.",1
Crain may change the terms in this agreement at any time.,1
"When material portions of the terms are changed, crain will notify you by posting a notice on the service, and the changes will appear in this document.",1
"By using the service after any change in the agreement is posted, you agree to be bound by all of the changes as well.",1
Copyright and limitations on use,0
The information available through the service is the property of crain and others and is protected by copyright and other intellectual property laws.,0
"Information received through the service may be displayed, reformatted and printed for your personal, noncommercial use only, provided you abide by this agreement",0
"Without the prior written consent of crain, you agree not to:",0
"Store, post, create a database from or otherwise archive the articles, data, information, images, works or other materials from the service (the content ) on a personal computer, local or wide area networks, online services, electronic bulletin boards or forums, internet sites or any other server that is internet-enabled",0
"Reproduce, retransmit, distribute, sell, publicly display, publish, post to newsgroups or electronic bulletin boards, or broadcast the content received through the service to anyone, including to others in the same company or organization",0
Use any content in competition with the service (whether or not such use would constitute a fair use under 17 u.s.c.,0
"107 or is substantially similar to the content), including without limitation by using such content as a principal source of a work distributed or displayed in connection with a commercial print- or web-based information source",0
"Create abstracts from, scrape or display headlines from the service for use on another web site or service.",0
Or,0
"Frame, or use other means of redirecting, the service content",0
"You may, on an occasional basis, include insubstantial portions of information from the service in memoranda, reports and presentations, but only if such memoranda, reports and presentations are for non-competitive purpose, to a limited number of individuals.",0
"You must include in all such memoranda, reports and presentations the phrase reprinted with permission from crain communications inc., copyright [year of article] .",0
You may also occasionally utilize the share and/or email to a friend (or similar) features on an article-by-article basis if such features are provided in the service,0
"Additionally, you agree to pay and authorize crain to assess you licensing fees at crain's standard reprint pricing for your use of the content in violation of the copyright and limitations of use restrictions above.",0
Disclaimer of warranties and liability,0
"Due to the number of sources from which information on the service is obtained, and the inherent hazards of electronic distribution, there may be delays, omissions or inaccuracies in such information and the service.",0
"The service may include facts, views, opinions and recommendations of individuals and organizations deemed of interest.",0
"Crain does not guarantee the accuracy, completeness or timeliness of, or otherwise endorse these views, opinions or recommendations",0
"All materials, information, software, products and services included in or available through the service are provided ""as is"".",1
"Crain and its agents and licensors do not warrant the accuracy, completeness, currentness, noninfringement, merchantability or fitness for a particular purpose of the news and information available through the service.",1
"Neither crain, nor any of its agents or licensors shall be liable to you or anyone else for any loss or injury caused in whole or part by its negligence or contingencies beyond its control in procuring, compiling, interpreting, reporting or delivering the service and any news and information through the service.",1
"In no event will crain, its agents or licensors be liable to you or anyone else for any decision made or action taken by you in reliance on such information or for any consequential, special or similar damages, even if advised of the possibility of such damages.",0
"You agree that the liability of crain, its agents and licensors, if any, arising out of any kind of legal claim (whether in contract, tort or otherwise) in any way connected with the service or the information in the service shall not exceed the amount, if any,that you paid to crain for use of the service.",1
User-provided content and license,0
"Certain portions of the service may allow you to post or submit comments, reviews, ideas, or creative content ( user content ) for use by the service.",1
We may offer you ways to access and remove your user content.,1
You retain all rights and responsibility for the user content you post.,1
"By posting or submitting such user content, you represent and warrant that you own or otherwise have sufficient rights to the user content that you provide, that the user content is accurate, that it does not violate this agreement or any applicable law, and that it will not violate the rights of any person or entity.",0
You further grant us a non-exclusive,1
", royalty-free,",0
"Perpetual, irrevocable license",1
"And right to publicly display, distribute, reproduce, modify, translate, edit, create derivative works and use the user content throughout the world in any media solely as part of the features of the service (including as an incidental part of advertising or marketing).",1
"This grant of rights and license applies to use of your name, photo, likeness, voice, and other personal information, if included in the user content.",1
"If you remove the user content, the service will discontinue further use of the user content but may retain copies for archival or backup purposes.",0
Posting of user content does not influence crain s news coverage but crain editors may comment on or post notable or interesting user content and crain reserves its fair use rights under applicable copyright laws to use user content in crain s news reporting operations,0
"Crain reserves the right to delete or edit any of your comments or content at any time, for any reason, but has no obligation to review or remove any such comments or content.",1
"We further reserve the right to disclose any information about you, including registration data, in order to comply with any applicable laws and/or requests under legal process, to operate our systems properly, to protect our property or rights, and to safeguard the interests of others",0
You agree to not post material that:,1
"Contains vulgar, profane, abusive or hateful language, inflammatory attacks of a personal, racial or religious nature, or expressions of bigotry, racism, discrimination or hate",1
"Is defamatory, threatening, false, misleading, fraudulent, unfair, contains gross exaggeration or unsubstantiated claims,",1
Or violates the privacy rights of any third party,0
"Violates any municipal, state or federal law, rule, regulation or ordinance, or attempts to encourage such an evasion or violation",0
Unfairly interferes with the uninterrupted use and enjoyment of the service,1
"Advertises or offers to trade any goods or services, except in areas specifically designated for such purpose",0
Includes copyrighted or other proprietary material of any kind without the express permission of the owner of that material.,0
Or,0
"Contains or transmits viruses or other harmful, disruptive or destructive files.",1
Miscellaneous,1
"Through your use of the service, you may be provided with hyperlinks to other internet sites or resources, including hyperlinks provided by third-party advertisers and sponsors to the service.",1
"Crain has no control over those sites and resources, or over the advertising material presented by third-party advertisers and sponsors through the service.",1
"You agree that crain will not be responsible or liable, directly or indirectly, for any damage or loss caused or alleged to be caused by or in connection with use of or reliance on any such information, goods or services available on or through any such site or resource.",1
"Crain may discontinue or change the service, or its availability to you, at any time without notice.",1
"This agreement is personal to you, and you may not assign your rights or obligations to anyone.",0
"If any provision of this agreement is invalid under applicable law, the remaining provisions will continue in full force and effect.",1
"The privacy policy and this agreement are, together, the complete and entire agreement between you and crain and supersedes any prior agreement, whether oral or written.",0
"This agreement, all intellectual property issues, and your rights and obligations shall be governed by the laws of the united states of america and the state of illinois governing contracts wholly entered into and wholly performed within illinois",1
And,0
"Any action to enforce this agreement or in any manner related to the service shall be brought exclusively in the federal or state courts located in chicago, illinois, and you agree to submit to the jurisdiction of such courts.",1
"You agree to be responsible for any damages resulting from your breach of this agreement and reimburse us for all of costs, expenses and fees (including all attorney's fees) arising from or relating to your breach.",0
"If you believe that your work has been copied and is accessible through the service in a way that constitutes copyright infringement, or that the service contains a link or other reference to another online location that contains materials or activity that infringes on your copyright rights, you may notify crain communications inc.",1
"By providing the information required by the online copyright infringement liability limitation act of the digital millennium copyright act, 17 u.s.c.",1
512 to the following address:,1
Crain communications inc.,0
Attn: legal counsel,0
1155 gratiot avenue,0
"Detroit, michigan 48207-2913",0
Telephone: (313) 446-6000,0
Download content in pdf format,0
