text,highlighted
Eea terms of service,0
Version: 1.2 -,0
08 july 2021,1
If you are a samsung pay+ user the terms of service that apply to you are here.,0
"If you are resident in the uk, the terms of service that apply to you are .",0
Here,1
General information,0
Who are we?,0
Hello.,0
"We re curve europe uab, registered in the republic of lithuania with company number 305626541, but you ll know us better as curve.",0
"In case you want to send us a letter, we are based at jogailos g.",0
"9, lt-01116 vilnius.",0
"If you have any questions about these terms and conditions (terms) or anything at all, just drop our friendly customer support team a line at support@curve.com or get in touch via the curve app.",0
"If we need to contact you, we ll contact you in english via the curve app, by email, phone or using your home address - depending on the information we need to share - so make sure your details are always up to date.",0
"If in doubt, these terms are concluded in english.",0
What are these terms?,0
These terms set out the terms of service for your curve account and other important things you need to know.,0
"By clicking accept/continue you re entering into a legally binding agreement with curve europe uab, which issues your curve card and electronic money (e-money)",0
Curve is authorised to issue e-money by the bank of lithuania (located at gedimino ave.,0
"6, lt-01103, vilnius, lithuania, telephone no.",0
+370 800 50 500.,0
More information about the bank of lithuania is detailed by this link https://www.lb.lt/en/) (licence no.,0
73 issued on 22 october 2020),0
These terms are always available on our website and,0
"If we make any changes to these terms, we'll always let you know about it via email.",1
Anything else you should read?,0
The fee schedule forms part of these terms and we highly recommend reading it.,0
"Along with these terms, you should take a look at our privacy policy, cookie policy, fair use policy, curve customer protection policy and refer to the faqs for any questions you may have.",0
Definitions used in these terms are provided in annex no 1.,0
Please read these terms carefully and contact us at support@curve.com or get in touch via the curve app if you have any questions,0
Who can open a curve account?,0
You can open a curve account:,0
"If you re a resident in one of the eligible countries listed in the app or on our website,",0
"Have the full legal capacity to enter into a contract, and",0
You re 18 years old or over.,1
You can t open a curve account:,0
"On someone else s behalf, or",0
"If you already have a curve account, or",0
If there is any reason that curve is unable to grant you an account under the law that applies to us.,0
"When you open your account, we ask you for information which is required to open the account",0
"If this information is not provided, your account opening will be delayed",0
"We may ask you for additional information, from time to time, in addition to what you provided when you opened your account and if this information is not provided to meet our requirements this may result in your account being suspended or closed.",0
What should you know about your curve account?,0
E-money.,0
"Your curve account stores e-money, an electronic alternative to cash that can be used to pay for goods and services, in store or online and to take money out at an atm.",0
Rest assured that your money is always kept separate from our own.,0
This is known as customer funds safeguarding.,0
It is required by law and ensures that your money is protected and returned to you in full if we decide to cease operations or become insolvent.,0
No interest.,0
We re not allowed to pay you interest on the funds we hold for you and they are not protected by the deposit insurance fund.,0
"Don t worry: curve is required to keep your funds safe in a safeguarding bank account, which means that all of your funds are protected.",0
How it works.,0
"You need to link and verify an eligible payment card to your curve account in the curve app, before you can use your curve card.",0
"The payment card can be any debit card, credit card or prepaid card that we allow you to link to your curve account.",0
"We may need to introduce certain restrictions on the cards that we are able to accept on to the curve system and will try to keep you informed on any changes, some of which may depend on the card schemes.",0
"When you make a transaction using your curve card, curve (with your permission) loads funds from your selected payment card to curve.",0
This is done for you automatically by the curve processing system (no hassle to you).,0
"The amount loaded will be the value of the transaction, plus any fees for that transaction (including for any curve services provided).",0
The loaded funds are used to issue e-money which is loaded onto your curve e-money account and are then used to pay for the transaction made with your curve card.,0
"If your selected payment card account has insufficient funds or declines the transaction for any other reason, the transaction will be declined.",0
"In case curve receives a decline from the payment card selected in the curve app, we may try to process the transaction from the cards that you have set as your default or back up cards (for more information on how to set this up, go here)",0
You can add multiple payment cards to the curve app and change the selected payment card at any time using the curve app.,0
Each time you link a payment card to your curve account you re giving us a continuous authority to use that payment card to fund the purchase of the e-money used to pay for transactions.,0
Curve will use various means to identify that the card you have added to your account is yours and that you have the right to use it.,0
You can see your transactions on the timeline in the curve app.,0
What should you know about your curve card?,0
"Curve will issue you either a personal or business curve card, based on the purpose of the card use you selected during the sign-up process.",0
It will either be a physical and/or digital card.,0
"A digital card is a card where you can see your curve card details in the curve app only, and can request a physical card if you want one (fees for this are in the fee schedule).",0
"You can use your curve card to make purchases for goods and services, in store or online.",0
"To withdraw cash, you will .",0
Need a physical curve card.,0
Please note that you cannot withdraw cash at an atm if you have your curve cash card selected as a funding source for the curve card.,0
Accounts &amp.,0
