text,highlighted
Dashlane terms of service,0
Our terms of service are below.,0
"You will have to accept them if you want to use our software, and we know that they are long and can be hard to follow.",0
"We want you to understand what you are agreeing to, so each section starts with a short plain english summary.",0
"The summaries are not part of the terms, but are provided as an aid to understanding them.",0
"Last updated: december 1, 2019 (effective january 1, 2020)",1
1.,0
Introduction,0
Summary:,0
This is a legal contract between you and dashlane.,0
"You must be at least 18 years old to accept these terms, which include our",0
Privacy policy,0
"We may change these terms on occasion, and by continuing to use our services after a change, you accept the revised terms.",0
The terms don t apply to sites and services you may access through the services that are operated by other companies.,0
Any subscription for paid services will automatically renew unless you cancel it within thirty days of the renewal date.,0
"If you are in the united states, any legal claim involving these terms or the services will be settled by arbitration, not by a trial in front of a judge or jury, or through a class action lawsuit.",0
These terms are governed by new york state law.,0
A.,0
"Dashlane, inc.",0
"And its affiliates ( dashlane , or we and its derivatives) operate",0
"Www.dashlane.com (together with any subdomains, the site ) and provide our users (each user, you ) with mobile, desktop, and web applications (each an app and, collectively, the apps ).",0
"These terms of service (the terms ) are a binding agreement between you and dashlane sas (if you are a french resident) or dashlane usa, inc.",0
"(for everyone else) regarding your use of the site, the apps, and any related services we may perform (the site, apps and services together, the services ).",0
"As used in these terms, a device means any computer, phone, tablet, or other computer hardware on which apps run.",0
B.,0
"By using the services, you represent that you (i) may legally do so, (ii) are at least 18 years old (or the age of majority in the jurisdiction where you reside), and (iii) have the power to enter into a binding contract with us either individually or on behalf of the entity for whom you are using the services.",1
You must affirmatively accept these terms and the,0
Privacy policy when initially downloading or accessing an app.,0
C.,0
"These terms do not apply to third-party websites, services and applications ( third-party services ) you may access through the services.",0
"Unless required by applicable law, we are not responsible for the content or practices of third-party services and provide links to them only for your convenience.",0
We recommend you review the terms and policies of any third-party service you access through the services.,0
D.,0
"When you pay for a subscription to the services, your subscription will automatically renew for additional periods of the same duration as the initial subscription at the then-current rate for such services, unless you cancel your subscription",1
As set forth in section 7(c).,0
E.,0
Your use of certain services may be subject to additional terms ( supplemental terms ).,0
"If any provision of the supplemental terms conflicts with these terms, the supplemental terms will control with respect to such service.",0
F.,0
Dashlane business is our offering for businesses.,0
"If you are purchasing a dashlane business license, you will be bound by",0
"Dashlane business terms, and not these terms, with respect to your use of the services.",0
