text,highlighted
Legal &amp.,0
Security,0
Terms of service agreement,0
"Terms of service agreementeffective on october 22, 2020",0
Prior tos available here,1
Introduction,0
"Welcome to digitalocean s terms of service! the first portion of our terms of service is an introduction, which is structured like an faq and lays out some high-level concepts before diving into other terms.what documents make up the tos?we refer to the terms of service as the tos",0
"This page lays out the core of our tos, but we also have other contractual documents that you can think of as additional terms for specific topics.",0
"Legally speaking, these other documents are incorporated by reference as if they were written here and form part of the overall tos.",0
"Therefore, you should also review these other documents, which can be found at the links below:",0
"Data processing agreement, which outlines the terms of data processing on your behalf through our services",0
"Acceptable use policy (the aup ), which outlines prohibited uses of our services",0
"Privacy policy, which outlines how we collect, use, and share data in our websites and services",0
"Marketplace terms of service, which outlines the terms for vendors in the digitalocean marketplace",0
"Whom does this tos apply to?when we refer to digitalocean or we use pronouns like we , us or our , we are referring to digitalocean, llc as well as its parents, affiliates and subsidiaries.",0
"When we refer to the user , we are talking about you, and we will also use words like you and your to refer to you.",0
"Who you are can get more complicated if you are using our services on behalf of a company, organization, or other entity.",0
"In that case, you are representing to us that you have the authority to bind your company, organization, other entity to this tos and that you agree to be legally bound by this tos on behalf of such entity (and user , you , and your then refer to such entity).",0
"If you aren t sure what this means or whether you are authorized to bind your company, organization, or entity to this contract, you should ask others in your organization to get clarification about authority.what is the tos?this tos is a binding contract between you and digitalocean, and covers all of the offerings, websites, products, services, features, content, applications and other things we offer to users like you.",0
"We will periodically differentiate between our websites such as digitalocean.com (which we will refer to collectively as the websites ) and all of our other services, such as our cloud infrastructure and other paid services (which we will refer to collectively as the services ).",0
"As you will see later in the tos, section 3 (website terms) is specific to your use of the websites and section 4 (service terms) is specific to your use of the services.when does this tos apply to me?now that we have some common language, we want to ensure you understand when and how the tos applies.",0
"First and foremost, you must understand that this is a binding legal contract that is required to use our websites and services.",0
"As such, you may only use our websites and services if you agree that you that have read, understood, and consented to be bound by this tos.",0
"If you sign up for services or create an account through our websites, this tos takes effect when you click i accept or other functionality indicating your acceptance of its terms.",0
"If you purchase services through a separate written contract, this tos is incorporated into that contract, whether it is called out or not.",0
"Regardless of these other methods, when you access or use our websites and services, this tos applies and is legally binding on you and to your access and use.",0
"These are common examples, and this paragraph does not necessarily include all the other ways you can become bound to this tos.what happens with disputes under this tos?one requirement of our tos is that you must agree to resolve disputes arising under this tos through binding arbitration directly between you and digitalocean.",0
"In arbitration, a neutral arbitrator or panel of arbitrators will hear the arguments of both sides and decide on disputes in an expedient and cost-effective manner.",0
"You will still be able to pursue cases in court when those cases are for small claims, but all other claims will be subject to arbitration.",0
You should understand that this means neither you nor digitalocean will have the opportunity to resolve some disputes in court before a judge or jury.,0
You will be unable to pursue claims in a conventional trial and will not be able to participate in a court-based class action or similar proceeding.terms &amp.,0
Conditions of the tos1.,0
Eligibility &amp.,0
"Registration1.1 before you use our websites and services, you must ensure that such use is in compliance with all laws, rules and regulations applicable to you.",0
"Your right to access the websites and services is revoked to the extent your use thereof is prohibited or to the extent our provision thereof conflicts with any applicable law, rule or regulation.",0
You are responsible for making these determinations before using the websites and services.,0
"1.2 the websites and services are not targeted towards, nor intended for use by, anyone under the age of 18.",0
"By using the websites and services, you represent and warrant to us that: (a) you are 18 years of age or older.",0
"Or (b) you otherwise have sufficient legal consent, permission and capacity to use the websites and services in applicable jurisdiction(s) as determined by you.",0
"1.3 to access the services and some features of the websites, you must register for an account ( account ).",1
"When you register for your account, you may be required to provide us with some information about yourself, such as your name, email address, and a valid form of payment, and you may also provide optional information about yourself on a voluntary basis.",0
"Account information, and our use and disclosure thereof, is subject to the privacy policy and data processing agreement.",0
"1.4 we may, in our sole discretion, refuse to provide or continue providing the websites and services to any person or entity and change eligibility criteria at any time, including if you fail to comply with the tos.",0
"We reserve the right to deactivate, terminate, prevent access to, disable services for, and/or delete any accounts or access to the websites and services at any time at our sole discretion.2.",0
"Digitalocean s proprietary rights2.1 as between you and digitalocean, the websites and services are owned and/or provided by digitalocean.",0
"The names, logos, trademarks, trade dress, arrangements, visual interfaces, graphics, design, compilation, information, data, computer code (including source code or object code), products, software, services, and all other elements of the websites and services ( materials ) that we provide are protected by intellectual property and other laws.",0
All materials included in the websites and services are the property of digitalocean or its third party licensors.,0
You may only use the websites and services as expressly authorized by us and as set forth in this tos.,0
"You shall abide by and maintain all intellectual property notices, information, and restrictions contained in the websites and services.",0
We reserve all rights to the websites and services not granted expressly in this tos.,0
"2.2 if you choose to provide input and suggestions regarding problems with or proposed modifications or improvements to the websites and services ( feedback ) then you hereby grant to us an unrestricted, perpetual, irrevocable, non-exclusive, fully-paid, royalty-free right to exploit the feedback in any manner and for any purpose, including to improve the websites and services and create other products and services.",0
"2.3 you grant us permission to include your name, logos, and trademarks in our promotional and marketing materials and communications.",0
"2.4 some of the materials provided by digitalocean are licensed under one or more open source, creative commons, or similar licenses (collectively, open source licenses ).",0
"Nothing in this tos prevents, restricts, or is intended to prevent or restrict you from obtaining such materials under the applicable open source licenses or to limit your use of such materials under those open source licenses.",0
"2.5 subject to your complete and ongoing compliance with this tos and our rights therein, digitalocean grants you a limited, non-exclusive, non-transferable, non-sublicensable, revocable license to access and use the websites and/or services as described in and subject to this tos.3.",0
Do community &amp.,0
"User content3.1 certain features of the websites (such as digitalocean community) permit you to submit or upload content, including messages, reviews, media, images, folders, data, text, and other types of works (your user content ) and to publish your user content on our websites.",0
"3.2 by providing your user content to or via the websites, you grant digitalocean a worldwide, non-exclusive, royalty-free, fully paid right and license (with the right to sublicense) to host, store, transfer, display, perform, reproduce, modify for the purpose of formatting for display, and distribute your user content, in whole or in part, in any media formats and through any media channels.",0
"3.3 by providing your user content via the websites, you grant to our other users a non-exclusive license to access and use your user content as permitted by this tos and the functionality of the websites.",0
"3.4 you are solely responsible for your user content, and you agree digitalocean is not and will not be in any way liable for your user content.",0
"By providing your user content via the websites, you affirm, represent, and warrant that:",0
"You are the creator and owner of your user content, or have the necessary licenses, rights, consents, and permissions to authorize digitalocean and users of the websites to use and distribute your user content as necessary to exercise the licenses granted by you in this tos or otherwise required of you under this tos",0
"Your user content, and use of your user content as contemplated by this tos, does not and will not: (i) infringe, violate, or misappropriate any third party right, including any copyright, trademark, patent, trade secret, moral right, privacy right, right of publicity, or any other intellectual property or proprietary right.",0
"(ii) slander, defame, libel, or invade a right of privacy, publicity or other property right of any other person.",0
Or (iii) cause us to violate any law or regulation.,0
And,0
You will indemnify us for any third party claims arising from your user content.,0
"3.5 we are under no obligation to edit or control your user content or the user content of others, and will not be in any way responsible or liable for user content.",0
"We may, however, at any time and without prior notice, screen, remove, edit, or block any of your user content at our discretion.",0
"3.6 by submitting or uploading your user content, you also agree to abide by the terms of any open source licenses that may apply to your user content.4.",0
"Services content4.1 our services allow you to provide us with source code, files, software, processes, interfaces, data, text, settings, media, or other information for storage, hosting, or processing by the services (your services content ).",0
Services content includes listing information and vendor offerings (as defined in the digitalocean marketplace terms and conditions).,0
"4.2 subject to this tos, by providing your services content to or via the services, you grant digitalocean a license to host, store, transfer, display, perform, reproduce, modify for the purpose of formatting for display, and distribute your services content solely for the purpose of providing the services to you.",0
"4.3 as between you and digitalocean, you retain any copyright and other ownership rights that you may hold in your services content.",0
