text,highlighted
Discoursehosting,0
Faq,0
Pricing,0
Contact,0
Log in,0
Discoursehosting terms of service usage,0
"We provide you with a hosted discourse forum and allow you a certain amount of data transfer and storage, depending on your plan.",0
"In most cases, if you use our services consistently with our terms of service, visitors to your web site will be able to download and view as much content from your site as they like.",0
"However, in certain circumstances, our server processing power, server memory, or abuse controls could limit downloads from your site.",0
You will always be able to use as much data transfer as your account has.,0
You are allocated a monthly data transfer allowance.,0
This allowance varies depending on the hosting package you purchase.,0
"Should your account pass the allocated amount we reserve the right to suspend the account until the start of the next allocation, suspend the account until more data transfer is purchased at an additional fee, suspend the account until you upgrade to a higher level of package, terminate the account and/or charge you an additional fee for the overages.",0
Note that we will always contact you first and discuss your options.,0
Unused transfer in one month cannot be carried over to the next month.,0
Payment and renewal,0
By selecting a subscription plan you agree to pay discoursehosting the monthly or annual subscription fees for the service and additional usage fees indicated for that subscription plan.,1
Payments will be charged on the subscription start date and will cover the use of the service for a monthly or annual period as indicated.,1
Subscription fees are not refundable and are paid in advance of using such services.,1
"Payment for services will be made by a valid credit card accepted by discoursehosting, unless other payment arrangements have been made.",0
Upon forum creation you authorize discoursehosting to charge your credit card for such amounts according to your service usage.,0
Discoursehosting reserves the right to change the payment terms and fees upon thirty (30) days prior written notice to you.,0
"Unless otherwise stated in your subscription agreement, the subscription can be canceled by you at anytime.",0
No refunds are provided for unused service portion of the billing period following cancellation.,0
"Unless you notify discoursehosting before the end of the applicable subscription period that you want to cancel your subscription, your subscription will automatically renew and you authorize us to collect the then-applicable annual or monthly subscription fee for the service (as well as any taxes) using any credit card or other payment mechanism we have on record for you.",0
The subscription can be canceled at any time in the payments section of your site s dashboard.,1
Availability and integrity,0
Your use of this service is at your sole risk.,0
"Our backup service runs once a day, and one week of backups are kept.",0
We offer an uptime guarantee of 99.9%.,1
Any downtime over 0.1% will be refunded with a prorated fee based on actual downtime per month.,1
"Our network and servers are monitored continuously, and are rarely down except for scheduled maintenance and hardware and software upgrades",1
Limitation of liability and indemnification,0
"Discoursehosting shall not be responsible for any claimed damages, including incidental and consequential damages, which may arise from discoursehosting servers going off-line or being unavailable for any reason whatsoever.",1
"Furthermore, discoursehosting shall not be responsible for any claimed damages, including incidental or consequential damages, resulting from the corruption or deletion of any web site from one of discoursehosting servers.",0
All damages shall be limited to the immediate termination of service.,0
Certain services provided by discoursehosting are resold.,1
"Thus, certain equipment, routing, software and programming used by discoursehosting are not directly owned or written by discoursehosting.",1
"Customer agrees that it shall defend, indemnify, save and hold discoursehosting harmless from any and all demands, liabilities, losses, costs and claims, including reasonable attorney s fees asserted against discoursehosting, its agents, its customers, officers and employees, that may arise or result from any service provided or performed or agreed to be performed or any product sold by customer, its agents, employees or assigns.",1
"Customer agrees to defend, indemnify and hold harmless discoursehosting against liabilities arising out of.",0
(1) any injury to person or property caused by any products sold or otherwise distributed in connection with discoursehosting.,0
(2) any material supplied by customer infringing or allegedly infringing on the proprietary rights of a third party.,0
(3) copyright infringement and (4) any defective products sold to customers from discoursehosting s server.,0
Restrictions in usage of our service,0
We provide you with a hosted discourse forum.,0
Our service may not be used as a means to carry out other activities that don t have anything to do with forum hosting.,0
"It may for instance not be used as a cheap file hosting service, or use it to spread other content like viruses, worms, malware, trojan horses or other harmful or destructive content.",0
Using our service to undermine or cause harm to a server or customer of discoursehosting is also strictly prohibited.,0
"If you create an account on discoursehosting, you are responsible for maintaining the security of your account and forum, and you are fully responsible for all activities that occur under the account and any other actions taken in connection with the forum.",1
"You must immediately notify us of any unauthorized uses of your forum, your account or any other breaches of security.",0
According to eu directive 2000/31/ec we are obligated to prevent you from spreading any illegal content as soon as we re made aware of its existence.,0
Changes to the tos,1
"Discoursehosting reserves the right to amend any or all of the above policies, guidelines and disclaimer upon thirty (30) days prior written notice to you.",1
Copyright 2013-2020 discoursehosting.com.,0
We are not affiliated with discourse.org.,0
Terms of service,0
Privacy policy,0
About us,0
We use cookies to ensure that we give you the best experience on our website.,0
If you continue to use this site we will assume that you are ok with that.ok,0
