text,highlighted
"Signup for free mcdougall articles, recipes &amp.",0
Event info main menu education- health and science- - hot topics- - success stories- - common health problems- - a lesson in nutrition- online 12-day mcdougall program- the free program- mcdougall s color picture book- success stories- recipes- - mcdougall recipes- - featured recipe videos- - mobile cookbook app- - canned &amp.,0
Packaged foods- videos- - mcdougall s moments- - free electures- - mcdougall experts- - star mcdougallers- - live with dr.,0
Mcdougall- mcdougall mailings- - featured articles &amp.,0
Videos- - newsletter subject index- - newsletter article index- - mcdougall newsletter archives- live with dr.,0
Mcdougall- free podcastsprograms- 12-day mcdougall program &amp.,0
Health center- free mcdougall program- mcdougall quick-start program: free- employee immersion program- starch solution certification for professionals and nonprofessionals- dr.,0
Mcdougall s dietary therapyonline centershop- books- ebooks- videos- podcasts- apparel- cookbook appconnect- discussion board- starch solution certification course graduates- finding a healthcare provider- contact usabout- about dr.,0
Mcdougall- dr.,0
John mcdougall s story- dr.,0
Mcdougall s team- dr.,0
John mcdougall interview- mcdougall foundation- contact ussearch,0
Education,0
Health and science,0
Hot topics,0
Success stories,0
Common health problems,0
A lesson in nutrition,0
Online 12-day mcdougall program,0
The free program,0
Mcdougall s color picture book,0
Success stories,0
Recipes,0
Mcdougall recipes,0
Featured recipe videos,0
Mobile cookbook app,0
Canned &amp.,0
Packaged foods,0
Videos,0
Mcdougall s moments,0
Free electures,0
Mcdougall experts,0
Star mcdougallers,0
Live with dr.,0
Mcdougall,0
Mcdougall mailings,0
Featured articles &amp.,0
Videos,0
Newsletter subject index,0
Newsletter article index,0
Mcdougall newsletter archives,0
Live with dr.,0
Mcdougall,0
Free podcasts,0
Programs,0
12-day mcdougall program &amp.,0
Health center,0
Free mcdougall program,0
Mcdougall quick-start program: free,0
Employee immersion program,0
Starch solution certification for professionals and nonprofessionals,0
Dr.,0
Mcdougall s dietary therapy,0
Online center,0
Shop,0
Books,0
Ebooks,0
Videos,0
Podcasts,0
Apparel,0
Cookbook app,0
Connect,0
Discussion board,0
Starch solution certification course graduates,0
Finding a healthcare provider,0
Contact us,0
About,0
About dr.,0
Mcdougall,0
Dr.,0
John mcdougall s story,0
Dr.,0
Mcdougall s team,0
Dr.,0
John mcdougall interview,0
Mcdougall foundation,0
Contact us,0
Search,0
"Terms of servicedrmcdougall.comaccess to and use of the web pages located at the domain drmcdougall.com (the site ) by you ( you ) (also referred to as the user ) is subject to, and constitutes your acceptance of, and agreement to comply with, the following terms and conditions (the agreement ).",0
"If you do not agree to the terms and conditions of this agreement, immediately discontinue any use of the site.",0
"Also, note that the terms and conditions of this agreement may change from time to time and it is your responsibility to check for such updates on this site.",0
"If any change is unacceptable to you , your sole recourse is to discontinue accessing or otherwise using this site.",0
"Your continued use of the site shall constitute your acceptance of the agreement as amended.authorized useby using any content of this website ( site ), including and not limited use of any information in posts, documents, or any other media, you agree to use any such content ( content ) only for non-commercial personal use, such as criticism, commentary, education, or reporting.",0
"The term information includes and is not limited to all text, pdf files, html code, videos, multimedia clips, images, graphics, icons, java code, and the selection and arrangement of the contents of the site (collectively the information",0
) user shall be fully responsible for any consequences resulting from such use.,0
Any other use of the information is strictly prohibited.,0
"None of the information may be otherwise reproduced, republished or re-disseminated, in whole or in part, in any manner or form without the prior written consent of drmcdougall.com.no doctor-patient relationshipyour use of this site does not create a doctor-patient relationship between you and drmcdougall.com or anyone affiliated with drmcdougall.comdrmcdougall.com does not provide medical advicethe information on this site is designed to complement, not replace, the relationship between a patient and his/her own physician and is for informational purposes only.",0
"The information is not intended to be a substitute for professional medical advice, diagnosis, or treatment.",0
Always seek the advice of your physician or other qualified health provider with any questions you may have regarding a medical condition.,0
Never disregard professional medical advice or delay in seeking it because of something you saw or read on the drmcdougall.com website.reservation of endorsement,0
The site may contain links to other sites.,1
These links are provided for your convenience only as references to help the user identify and locate other internet resources that may be of interest.,1
"Independent third parties, other than drmcdougall.com, have developed, maintain and operate these other sites and drmcdougall.com does not assume responsibility for the accuracy, completeness, appropriateness or timeliness of any statements, data, information, opinions, or advice contained at such sites.",1
"In providing links to other sites, drmcdougall.com is in no way acting as a publisher or disseminator of the material contained on those other sites and does not monitor, or maintain any type of control, editorial or otherwise, over such sites.",1
"A link to another site should not be construed to mean that drmcdougall.com recommends, approves or endorses, or is affiliated or associated with, that other site, or is authorized to use any trademark, service mark, trade name, logo, symbol or copyrighted work that may be reflected in the link or the description of the link to other such sites.",1
"The user s access to and use of such sites, whether through use of a link contained on this site or otherwise, including the use of any material, information, products or services contained therein, are solely at the user s own risk.",1
"Commenting, moderation, and terms of use",0
"To participate on this website, user should be at least 13 years of age.",1
Our comments are moderated occasionally and posteriorly.,0
Moderators can be volunteers.,0
Internet users posting comments on this blog should not be considered as health professionals.,0
"If a health professional gives medical information as a platform user, his status as a medical professional must be identified.",0
"By using drmcdougall.com, you agree to post information that is true and correct to the best of your knowledge and is of your personal experience.disclaimer of warranty",0
This site and all information and other materials made available on or through this site are provided as is,1
"Without representations, warranties, conditions and indemnities of any kind, either express or implied.",0
"Drmcdougall.com disclaims all representations, warranties and conditions, expressed or implied, statutory or otherwise, including, without limitation, implied warranties and conditions of merchantability, fitness for a purpose, uninterrupted or error-free operation, title, non-infringement or other violation of rights, or those arising out of a course of dealing or usage of trade.",0
