text,highlighted
Aviso legal,0
1.,0
Datos identificativos,0
1.1.,0
"Unidad editorial informaci n general, s.l.u.",0
"(en adelante, unidad editorial) es una entidad cuyo domicilio social se encuentra sito en la avenida de san luis, 25, 28033 madrid y cuyo cif es b-81.868.697.",0
"El tel fono de contacto es el (34) 91 443 50 00, y el fax el (34) 91 443 67 51.",0
La direcci n de correo electr nico de contacto es la siguiente: internet@elmundo.es.,0
"Esta entidad se encuentra inscrita en el registro mercantil de madrid, al tomo 25.571, folio 154, secci n 8 , hoja m-441081, inscripci n 25 .",0
1.2.,0
"Asimismo, el nombre de dominio, titularidad de unidad editorial, es elmundo.es.",0
2.,0
Objeto y mbito de aplicaci n,0
2.1.,0
"Estas son las condiciones generales (en adelante ""condiciones generales"") que regulan el acceso, navegaci n y uso de los sitios web bajo el dominio ""elmundo.es"" (en adelante, ""sitio web""), as como las responsabilidades derivadas de la utilizaci n de sus contenidos (entendiendo en adelante por ""contenidos"" los textos, gr ficos, dibujos, dise os, c digos, software, fotograf as, m sica, v deos, sonidos, bases de datos, im genes, expresiones e informaciones, as como cualquier otra creaci n protegida por las leyes nacionales y los tratados internacionales sobre propiedad intelectual e industrial).",0
"Independientemente de las mismas, unidad editorial podr establecer unas condiciones particulares que regulen la utilizaci n y/o contrataci n de servicios espec ficos ofrecidos a los usuarios a trav s del sitio web.",0
2.2.,0
Se entender que el acceso o la mera utilizaci n del sitio web por parte del usuario implica la adhesi n de ste a las condiciones generales que unidad editorial tenga publicadas en cada momento en el que acceda al sitio web y que estar n disponibles para los usuarios.,0
"En consecuencia, el usuario debe leer atentamente estas condiciones generales.",0
"En este sentido, se entender por ""usuario"" a la persona que acceda, navegue, utilice o participe en los servicios y actividades, gratuitas u onerosas, desarrolladas en el sitio web.",0
2.3.,0
"Asimismo, a trav s del sitio web, unidad editorial podr habilitar a terceras entidades para que publiciten o presten sus servicios.",0
"En estos casos, unidad editorial no ser responsable de establecer las condiciones generales y particulares a tener en cuenta en la utilizaci n, prestaci n o contrataci n de estos servicios por terceros y, por tanto, no podr ser considerado responsable de los mismos.",0
2.4.,0
"Antes de utilizar y/o contratar dichos servicios espec ficos prestados por unidad editorial, el usuario deber leer atentamente las correspondientes condiciones particulares creadas a tal efecto por unidad editorial.",0
La utilizaci n y/o la contrataci n de dichos servicios espec ficos implica la aceptaci n de las condiciones particulares que los regulen en la versi n publicada por unidad editorial en el momento en que se produzca dicha utilizaci n y/o contrataci n.,0
3.,0
Derechos de propiedad intelectual e industrial,0
3.1.,0
"Unidad editorial, como autor de obra colectiva, o cualquier obra o prestaciones de cualquier naturaleza, es titular de los derechos de propiedad intelectual e industrial del sitio web, y es tambi n titular o tiene la correspondiente licencia sobre los derechos de propiedad intelectual, industrial y de imagen sobre de los contenidos disponibles a trav s del mismo.",0
3.2.,0
"En ning n caso se entender que el acceso y navegaci n del usuario implica una renuncia, transmisi n, licencia o cesi n total ni parcial de dichos derechos por parte de unidad editorial.",0
3.3.,0
"En consecuencia, no est permitido suprimir, eludir o manipular el aviso de derechos de autor (copyright) y cualesquiera otros datos de identificaci n de los derechos de unidad editorial o de sus titulares incorporados a los contenidos, as como los dispositivos t cnicos de protecci n, las huellas digitales o cualesquiera mecanismos de informaci n y/o de identificaci n que pudieren contenerse en los contenidos.",0
3.4.,0
"Asimismo est prohibido modificar, copiar, reutilizar, explotar, reproducir, comunicar p blicamente, hacer segundas o posteriores publicaciones, cargar archivos, enviar por correo, transmitir, usar, tratar o distribuir de cualquier forma la totalidad o parte de los contenidos incluidos en el sitio web si no se cuenta con la autorizaci n expresa y por escrito de unidad editorial o, en su caso, del titular o titulares de los derechos a que corresponda.",0
3.5.,0
"En particular, unidad editorial se opone de manera expresa a que la reproducci n de sus p ginas pueda ser considerada una cita en los t rminos previstos en el art culo 32, 1 p rrafo segundo, de la ley de propiedad intelectual.",0
En caso de que est interesado en una autorizaci n o licencia para utilizar en cualquier forma los contenidos del sitio web dir jase aqu .,0
4.,0
Acceso gratuito limitado,0
4.1.,0
El acceso a los contenidos del sitio web por parte de los usuarios tiene car cter libre y gratuito para los 25 primeros accesos efectivos (seg n quedan definidos en el siguiente p rrafo) que se realicen cada mes natural.,1
"As , el c mputo del n mero de accesos efectivos se reiniciar el primer d a de cada mes.",0
4.2.,0
"A estos efectos, tendr la consideraci n de ""acceso efectivo"" a un contenido del sitio web el acceso que se realice desde el propio sitio web haciendo click sobre (i) una noticia en particular, (ii) un lbum de fotos (el acceso a cada foto de un lbum no computar como acceso efectivo) y (iii) los encuentros.",0
"4.3 no tendr la consideraci n de acceso efectivo, y por tanto, ser gratuito y sin restricciones (i) el acceso a cualquier contenido del sitio web que se realice a trav s del enlace directo al mismo facilitado por cualquier navegador o red social sin pasar por la p gina principal (en adelante, la ""home"") del sitio web.",0
(ii) el acceso general a la home.,0
(iii) el acceso a las portadillas.,0
"Y/o (iv) el acceso a urgentes, ltima hora, v deos, envivos, y todos los servicios (el tiempo, traductor, callejero, cartelera).",0
4.4.,0
"El usuario que decida registrarse (tal y como queda regulado en la siguiente cl usula 5) podr consultar de forma gratuita y sin que compute como acceso efectivo la newsletter, las alertas, y adem s podr participar sin l mite en la comunidad de lectores del sitio web y en las promociones y sorteos exclusivos.",0
4.5.,0
"Para poder superar el n mero de los 25 accesos efectivos a los contenidos del sitio web, ser necesario la contrataci n previa del servicio de suscripci n y al pago de una cantidad de dinero en la forma en la que se determina en el documento [o cl usula] ""t rminos de suscripci n"").",0
4.6.,0
"Asimismo, unidad editorial podr poner a disposici n del usuario la posibilidad de contratar la suscripci n en favor de un tercero beneficiario (el ""tercero"").",0
"Para ello, el usuario deber registrarse conforme se indica en la siguiente cl usula 5 (o, si ya es un usuario registrado, introducir su nombre de usuario y contrase a) y proceder al pago que corresponda seg n la suscripci n que este haya decidido adquirir en favor del tercero.",0
La activaci n de la suscripci n depender nica y exclusivamente del tercero.,0
"Para ello, unidad editorial enviar la informaci n necesaria para la activaci n de la suscripci n a la direcci n de correo electr nico del tercero que haya sido indicada por el usuario, lo que incluir con car cter no limitativo la aceptaci n, por parte del tercero, de los t rminos de suscripci n.",0
"Se recuerda al usuario que, para que la activaci n pueda ejecutarse correctamente, la direcci n de correo electr nico del tercero que proporcione deber ser v lida y estar completamente operativa.",0
4.7.,0
"Adicionalmente, otros de los servicios y contenidos ofrecidos por unidad editorial o terceros a trav s del sitio web pueden encontrarse sujetos a la contrataci n previa del servicio o producto y al pago de una cantidad de dinero en la forma que se determine en las correspondientes condiciones particulares, en cuyo caso se pondr n a su disposici n de forma clara.",0
4.8.,0
"Cuando sea necesario que el usuario se registre o aporte datos personales para poder acceder a alguno de los servicios, la recogida y el tratamiento de los datos personales de los usuarios ser de aplicaci n lo dispuesto en la ""pol tica de privacidad"" recogida en el sitio web.",0
"Respecto al dato de la direcci n de correo electr nico del tercero que proporcione el usuario en el marco de lo establecido en la cl usula 4.6., unidad editorial solo utilizar dicho dato para la verificaci n de su condici n de tercero (necesaria para la activaci n de la suscripci n por el tercero).",0
"Si el tercero no activase su suscripci n dentro del plazo concedido a tales efectos, el dato de su correo electr nico ser cancelado por unidad editorial.",0
4.9.,0
