text,highlighted
This terms of service document (the terms ) outlines the terms and conditions of use of the vpn services (the services or service ) provided by express vpn international ltd.,0
( expressvpn ).,0
"These terms also govern the use of and access to expressvpn s content (the content ), which includes the expressvpn website (the site ), applications (the apps ), and any software provided by expressvpn (the software ).",0
"By agreeing to these terms, you are also agreeing to the privacy policy ( privacy policy ).1.",0
"Acceptanceby accessing the content or services, you are agreeing on behalf of yourself or those you represent ( you ) to comply with and be legally bound by these terms in their entirety.",0
These terms constitute a legally binding agreement (the agreement ) between you and expressvpn.,0
"If you do not agree with any part of the terms, you may not use our services.",0
"By creating an account for using our services, you represent that you are at least eighteen (18) years of age or that you are a valid legal entity, and that the registration information you have provided is accurate and complete.",1
2.,0
Modificationexpressvpn may update the terms from time to time without notice.,0
"If you continue to use expressvpn s services, content, site, apps, or software after these changes take effect, then you agree to the revised terms.",0
The current version of the terms is available on the site.,0
You understand and agree that it is your obligation to review these terms from time to time in order to stay informed on current rules and obligations.,0
Notification on any core changes to the terms will be provided to subscribers through an email message or update to the site.,0
Your use of the content or services following the changes to these terms constitutes your acceptance of the changed terms.,1
3.,0
"Privacy policyexpressvpn is committed to your privacy and does not collect or log browsing history, traffic destination, data content, or dns queries from subscribers connected to our vpn.",0
"During your registration, we may collect some sensitive personal information, such as your email address and payment information.",0
We only collect information that are necessary for the proper delivery of the site and services.,0
"For the sake of clarity and transparency, we have placed all information related to data collection in a separate document known as the privacy policy, which is available on the site.",0
Please review the privacy policy in its entirety to get a clear understanding of how we handle your sensitive data.4.,0
Subscriptionsexpressvpn services are available to you upon registration on the site.,0
"By subscribing to the services, you agree to become a subscriber ( subscriber ) for the period you have elected.",0
A full list of subscription plans and pricing is available on the site.,0
Expressvpn reserves the right to amend subscription fees or institute new fees at any time upon reasonable advance notice posted on the site or sent via email.,0
Any changes to the pricing will not affect the subscriber s current subscription period and will become effective upon subscription renewal.,0
Subscription purchases and refunds are handled via multiple third-party payment companies.,0
"When supported by your payment method, plans renew automatically by default at the completion of the billing term.",0
"By default, the renewal term is for the same duration as the billing term for the original subscription.",0
The subscription fee will be charged automatically to the payment method you last selected.,1
"If you would like to discontinue automatic renewal, you may sign in to the site and turn off auto-renewal.",0
"By default, auto-renewal is turned on when you use a payment method that supports auto-renewal (such as a credit card or paypal)",1
", and turned off when you use a payment method that does not support auto-renewal (such as bitcoin).",0
Each paid subscription grants you one (1) license to use on five (5) different devices at any given time.,0
"If you want to use the services on more than five devices at a time, then you can either (i) use expressvpn on your router, (ii) purchase additional subscription plans, or (iii) purchase additional licenses through the volume licensing option.",0
"For more information on volume licensing program, please contact support.5.",0
Refund policy,0
You may cancel your account with a full refund within 30 days of your initial purchase ( money back guarantee ).,1
"Refunds beyond the 30-day purchase window will be considered, at the sole discretion of expressvpn, if a subscriber can demonstrate that the service was not available or usable during the subscription period and that reasonable attempts were made to contact expressvpn to resolve the issue.",1
"In this case, expressvpn may provide the subscriber with a pro-rata refund of service fees paid during the period when the service was not available or usable.",0
"Refunds are generally processed within seven (7) days, and are made to the original form of payment used for purchase.",0
All refunds are sent in usd and therefore the refund amount could differ from the amount originally paid in local currency or bitcoin.,0
"Any change to the original purchase, such as upgrading to an extended billing term or purchasing of additional licenses under the same account, shall constitute a waiver of the money back guarantee option.",0
"To request a refund under the money back guarantee, send an email with your request to the following email address: support@expressvpn.com",0
Users whose subscriptions are billed as an in-app purchase through the apple app store (itunes) do not have access to the expressvpn 30-day money-back guarantee.,0
"Instead, users can request refunds through the app store, which are issued solely at the discretion of apple support.6.",0
"Acceptable use policyexpressvpn services may be accessed from all around the world, so it is your responsibility to assess whether using the site, apps, software, or services is in compliance with local laws and regulations.",0
"Whenever you use the site, apps, software, or services, you should comply with these terms and applicable laws, regulations, and policies.",0
You understand that it is your responsibility to keep your expressvpn account information confidential.,1
You are responsible for all activity under your account.,1
"If you ever discover or suspect that someone has accessed your account without your authorization, you are advised to inform us immediately so that we may revoke your account credentials and issue new ones.",0
Expressvpn aims to provide the best service possible to all of our subscribers.,0
"In that sense, we require that you do not misuse our content or services.",0
"A misuse refers to any use, access, or interference with the content or services contrary to the terms or applicable laws and regulations.",0
"In order to protect the services from being misused or used to harm someone, expressvpn reserves the right to take appropriate measures when our services are being used contrary to these terms and applicable laws.",0
"You agree that expressvpn may terminate your account, without providing a refund for services already paid, if you misuse the service.",0
"In using our services, you agree not to:",0
"Send or transmit unsolicited advertisements or content (i.e., spam ) over the service.",0
"Send, post, or transmit over the service any content which is illegal, hateful, threatening, insulting, or defamatory.",0
Infringes on intellectual property rights.,0
Invades privacy.,0
Or incites violence.,0
"Upload, download, post, reproduce, or distribute any content protected by copyright or any other proprietary right without first having obtained permission from the owner of the proprietary content.",0
"Upload, download, post, reproduce, or distribute any content that includes sexual or explicit depictions of minors.",0
Engage in any conduct that restricts or inhibits any other subscriber from using or enjoying the service.,0
"Attempt to access, probe, or connect to computing devices without proper authorization (i.e., any form of hacking ).",0
"Attempt to compile, utilize, or distribute a list of ip addresses operated by expressvpn in conjunction with the service.",0
Use the service for anything other than lawful purposes.,0
7.,0
"Licensesubject to your compliance with these terms, expressvpn grants to you a non-exclusive and limited license to download and use the software.",0
"Modifying, distributing to unauthorized parties, reverse engineering, or otherwise using the software in any way not expressly authorized by expressvpn is strictly prohibited.",0
Usage of any material which is subject to expressvpn s intellectual property rights is prohibited unless you have been provided with explicit written consent by expressvpn.8.,0
Language and translation of contentall of our content was originally written in english.,0
Any translation of our content is done on a best-effort basis.,0
We cannot guarantee the accuracy of translated content.,0
"In the event of any discrepancy between the translated content and the english content, the english content shall prevail.9.",0
Third-party websitesexpressvpn may provide you with content belonging to third parties ( third parties ) or links leading to third-party websites.,0
"Expressvpn is not responsible for the availability of the content provided by third parties as they are not under the control or supervision of expressvpn, and they may have different terms of use and policies.",0
"Your access through our services to any website, service, or content provided by third parties does not indicate any relationship between expressvpn and such third parties.10.",0
Disclaimers,0
We will strive to prevent interruptions to the site and services.,1
"However, these are provided on an as-is and as-available basis,",1
And,0
"We do not warrant, either expressly or by implication, the accuracy of any materials or information provided through the site or service, or their suitability for any particular purpose.",1
"We expressly disclaim all warranties of any kind, whether express or implied, including but not limited to warranties of merchantability or fitness for a particular purpose, or non-infringement.",1
"We do not make any warranty that the services will meet your requirements, or that it will be uninterrupted, timely, secure, or error-free",1
", or that defects, if any, will be corrected.",1
You acknowledge that you access the site and services at your sole risk and discretion.,0
"Vpn service coverage, speeds, server locations, and quality may vary.",0
Expressvpn will attempt to make the service available at all times.,0
"However, the service may be subject to unavailability for a variety of factors beyond our control, including but not limited to emergencies.",0
Third-party-service failures.,0
"Or transmission, equipment, or network problems or limitations, interference, or signal strength.",0
"And may be interrupted, refused, limited, or curtailed.",0
"We are not responsible for data, messages, or pages lost, not delivered, delayed, or misdirected because of interruptions or performance issues with the service, communications services, or networks.",0
"We may impose usage or service limits, suspend service, terminate vpn accounts, or block certain kinds of usage in our sole discretion to protect subscribers or the service.",1
The accuracy and timeliness of data received is not guaranteed.,0
Delays or omissions may occur.,0
Expressvpn reserves the right to investigate matters we consider to be violations of these terms.,0
"We may, but are not obligated to, in our sole discretion and without notice, remove, block, filter, or restrict by any means any materials or information that we consider to be actual or potential violations of the restrictions set forth in these terms, and any other activities that may subject expressvpn or our customers to liability.",1
Expressvpn disclaims any and all liability for any failure on our part to prevent such materials or information from being transmitted over the service and/or into your computing device.11.,0
Limitations of liability,0
Expressvpn shall not be liable and shall not have responsibility of any kind to any subscriber or other individual for any loss or damage that you incur in the event of:,1
Any failure or interruption of the site or service,1
Any act or omission of any third party involved in making the site or service or the data contained therein available to you,1
"Any other cause relating to your access or use, or inability to access or use, any portion of the site or its content",1
Your interactions on the site or service,1
Your failure to comply with this agreement,1
The cost of procurement of substitute goods or services.,1
