text,highlighted
Terms of service,0
1.,0
Acceptance of terms,0
A.,0
"By using and/or access our services (collectively, including all content available through",0
"The fanfiction.net domain name, apps, and any country-specific domains, subdomains thereof,",0
The,1
"""fanfiction.net service"", or ""service""), you signify your agreement to (1) these terms",0
And,1
"Conditions (the ""terms of service""),",0
"(2) fanfiction.net's privacy policy and incorporated here by reference, and",0
"(3) fanfiction.net's cookies policy and incorporated here by reference, and",0
(4) fanfiction.net's community guidelines and also incorporated here by reference.,0
If you do not agree to any of,0
"These terms, the fanfiction.net privacy policy, cookies policy, or the community guidelines, please do not use",0
The fanfiction.net service.,0
B.,0
"Although we may attempt to notify you when major changes are made to these terms of service, you",0
Should,0
Periodically review the most up-to-date version (https://www.fanfiction.net /tos/).,0
"Fanfiction.net may, in its sole discretion, modify or revise these terms of",0
Service and,0
"Policies at any time, and you agree to be bound by such modifications or revisions.",0
Nothing in this,0
Agreement shall be deemed to confer any third-party rights or benefits.,0
2.,0
Service,0
A.,0
"These terms of service apply to all users of the fanfiction.net service, including",0
Users who,0
"Are also contributors of content, information, and other materials or services on the service.",0
B.,0
The fanfiction.net service may contain links to third party websites or services that are not,0
Owned or,0
Controlled by fanfiction.net.,0
"Fanfiction.net has no control over, and",1
Assumes no,1
"Responsibility for, the content, privacy policies, or practices of any third party websites or services.",1
In,0
"Addition, fanfiction.net will not and cannot censor or edit the content of any",0
Third-party website or services.,0
"By using the service, you expressly relieve fanfiction.net from any and all liability",0
Arising from your use of any third-party website or services.,0
3.,0
Accounts,0
A.,0
"In order to access some features of the service, you will have to create",0
A fanfiction.net account.,0
You may never use another's account without permission.,0
"When creating your account, you",0
Must,0
Provide accurate and complete information.,0
You are solely responsible for the activity that occurs,1
On your,1
"Account, and you must keep your account password secure.",1
You must notify fanfiction.net immediately of any breach of security or unauthorized use of your account.,1
B.,0
Although fanfiction.net will not be liable for your losses caused by any unauthorized,0
Use of,0
"Your account, you may be liable for the losses of fanfiction.net or others due to such",0
Unauthorized use.,0
4.,0
General use of the service,0
Fanfiction.net hereby grants you permission to access and use the service as set forth,0
In these,0
