text,highlighted
Fastmail email on your side why fastmail?,0
Powerful features privacy and security our values great for business our company pricing news get support log in sign up,0
"Terms of service these terms of service came into effect on may 25th, 2020",1
We still have our previous terms of service online,1
The only change from our previous terms is the amendment of 'fastmail' to 'fastmail' to reflect our updated name.,0
You can also find our previous 2017 terms of service online.,0
"The following are the terms and conditions for use of the various services provided by fastmail pty ltd, acn 142 646 580, po box 234, collins st west 8007, australia (referred to as fastmail ), including the fastmail email service, the topicbox mailing list service, the pobox email forwarding, filtering and domains services and the listbox email service (collectively referred to as the service ).",0
Please read these terms and conditions carefully.,0
This service is provided only to individuals who are at least 18 years old or minors who have parental permission to open and maintain an account.,1
"By completing the registration process, you are stating that you are eligible for an account and that you agree to be bound by all of these terms and conditions of the service (referred to as these terms ).",0
You are not authorised to use the service unless you accept these terms without modification.,0
1.,0
"Member account, password, and security",0
You must maintain the confidentiality of your password and account.,0
"You are responsible for any and all activities that occur in relation to the service under your account (including the content of transmissions from your account, or any content uploaded or published through your account), except to the extent that a third party accesses your account as a result of fastmail s negligence.",0
You must notify fastmail immediately if you become aware of any unauthorised use of your account or any other breach of security.,0
"If a third party accesses your account without your authorisation, we will endeavour to block the unauthorised access and to restore your control of the account.",0
2.,0
"Message storage, file storage, outbound messages and other limitations",0
The amount of storage space per user may be limited.,0
"Some sent or received messages, or uploaded or downloaded files, may not be processed due to space constraints or other limitations.",0
"You agree that fastmail is not responsible or liable for the deletion or failure to store messages, files or other information.",0
"Where free accounts are provided, you agree that you will not create more than one free account.",0
3.,0
Member conduct,1
"As a condition of your use of the service, you warrant to fastmail that you will not use the service for any purpose that is unlawful or prohibited by these terms.",1
"If you have a free account for the service, you agree to use the service only to send, receive, upload and publish personal messages and content.",0
"Any unauthorised commercial use of the service, or the resale of its services, is expressly prohibited.",0
"If you are a paying user of the service, you are authorised to use the service for business-related communications, but may not use it in ways not permitted by other clauses of these terms, including, but not limited to, use in connection with unsolicited commercial email, multi-level marketing schemes, or illegal activities.",0
You must not re-sell the service unless you have been given explicit prior permission to be a reseller by fastmail.,0
"You agree to abide by all applicable local, state, national and international laws and regulations.",0
"By way of example, and not as a limitation, you agree not to:",0
"(a) use the service in connection with surveys, contests, pyramid schemes, multi-level marketing schemes, chain letters, junk email, spamming or any duplicative or unsolicited messages (commercial or otherwise).",0
(b),0
"Defame, abuse, harass, stalk, threaten or otherwise violate the legal rights (such as rights of privacy and publicity) of others.",1
(c),0
"Publish, distribute or disseminate any inappropriate, profane, defamatory, infringing, obscene, indecent or unlawful material or information.",1
(d),0
"Harvest or otherwise collect information about others, including email addresses, without their consent.",1
(e) create a false identity for the purpose of misleading others as to the identity of the sender or the origin of a message.,0
"(f) use, download or otherwise copy, or provide (whether or not for a fee) to a person or entity that is not a service member any directory of the service members or other user or usage information or any portion thereof other than in the context of your use of the service as permitted under these terms.",0
"(g) knowingly transmit or upload any material that contains viruses, trojan horses, worms, time bombs, cancelbots, or any other harmful or deleterious programs.",0
"(h) transmit or upload any material that contains software or other material protected by intellectual property laws, rights of privacy or publicity or any other applicable law unless you own or control the rights thereto or have received all necessary consents.",0
"(i) interfere with or disrupt networks connected to the service or violate the regulations, policies or procedures of such networks.",0
(j),0
"Attempt to gain unauthorised access to the service, other accounts, computer systems or networks connected to the service, through password mining or any other means.",1
"(k) violate any applicable laws or regulations including, without limitation, laws regarding the transmission of technical data or software exported from the united states through the service.",0
(l),0
Interfere with another member s use and enjoyment of the service or another individual s or entity s use and enjoyment of similar services.,1
Fastmail has no obligation to monitor the service or any user s use thereof or retain the content of any user session.,0
"However, fastmail reserves the right at all times to monitor, review, retain and/or disclose any information as necessary to satisfy any applicable law, regulation, legal process or governmental request.",0
4.,0
Links to third party sites,0
The links included within the service may let you leave the service web sites ( linked sites ).,0
"The linked sites are not under the control of fastmail and fastmail is not responsible for the contents of any linked site or any link contained in a linked site, or any changes or updates to such sites",1
"Fastmail is providing these links to you only as a convenience, and the inclusion of any link does not imply endorsement by fastmail of the site or any association with their operators.",0
5.,0
Disclaimers/limitation of liability,0
The information and services included in or available through the service may include inaccuracies or typographical errors.,0
Changes are periodically added to the information herein.,0
Fastmail may make improvements and/or changes to the service at any time.,0
"Fastmail does not represent or warrant that the service will be uninterrupted or error-free, that defects will be corrected, or that the service or the server that makes it available are free of viruses or other harmful components.",0
"Fastmail does not warrant or represent that the use or the results of the use of the service or the materials made available as part of the service will be correct, accurate, timely, or otherwise reliable.",0
You specifically agree that fastmail shall not be responsible for or liable for:,0
"(a) unauthorised access to or alteration of your transmissions or data, any material or data sent or received or not sent or received, or any transactions entered into through the service",0
"(b) any threatening, defamatory, obscene, offensive or illegal content or conduct of any other party or any infringement of another s rights, including intellectual property rights.",0
Or,0
(c) any content sent using and/or included in the service by any third party.,0
"Fastmail make no representations about the suitability, reliability, availability, timeliness, and accuracy of the service for any purpose.",0
The service is provided as is without warranty of any kind,1
"Fastmail hereby disclaim all warranties and conditions with regard to the service, including all implied warranties and conditions of merchantability, fitness for a particular purpose, title and non-infringement.",0
"In no event shall fastmail be liable for any direct, indirect, punitive, incidental, special, consequential damages or any damages whatsoever including, without limitation, damages for loss of use, data or profits, arising out of or in any way connected with the use or performance of the service or related web sites, with the delay or inability to use the service or related web sites, the provision of or failure to provide services, or for any information, software, products, services and related graphics obtained through the service, or otherwise arising out of the use of the service, whether based on contract, tort, negligence, strict liability or otherwise, even if fastmail has been advised of the possibility of damages.",0
"Because some states/jurisdictions do not allow the exclusion or limitation of liability for consequential or incidental damages, the above limitation may not apply to you.",0
"If you are dissatisfied with any portion of the service, or with any of these terms of use, your sole and exclusive remedy is to discontinue using the service and its related web sites.",0
6.,0
Indemnification,0
"You agree to indemnify and hold fastmail, its parents, subsidiaries, affiliates, officers and employees, harmless from any claim, demand, or damage, including reasonable attorneys fees, asserted by any third party due to or arising out of your use of or conduct on the service.",1
7.,0
Termination,0
"Fastmail may terminate your access to any part or all of the service and any related service(s) effective immediately if you fail to comply with these terms, or where required to by law.",1
"Fastmail may also terminate or suspend your account for non-payment, which is defined as failure to make a renewal after your paid subscription period expires.",0
"Upon termination of the service, your right to use the service immediately ceases.",0
Fastmail shall have no obligation to maintain any content in your account or to forward any unread or unsent messages to you or any third party.,0
8.,0
Refunds,0
"Fastmail may choose to make a refund of prepaid fees for the services at its sole discretion, however fastmail shall have no obligation to refund any portion of any fees in the event that you wish to discontinue use of all or part of the service, or in the event that your access is terminated by fastmail as a result of you failing to comply with these terms.",0
9.,0
No spam,0
"Fastmail will immediately terminate any account which it believes, in its sole discretion, is transmitting or is otherwise connected with any spam or other unsolicited bulk email.",1
10.,0
Proprietary rights to content,0
"You acknowledge that content, including but not limited to text, software, music, sound, photographs, video, graphics or other material contained in either sponsor advertisements or electronically distributed, commercially produced information presented to you by the service, fastmail, or fastmail s advertisers or other content providers, is protected by copyrights, trademarks, service marks, patents or other proprietary rights and laws.",0
"You may make a copy of this content for your personal, non-commercial use only, provided that you keep all copyright and other proprietary notices intact.",0
"You may not modify, copy, reproduce, republish, upload, post, transmit, or distribute in any way content available through the service and its associated web sites, including code and software.",0
11.,0
Changes to these terms of service,0
Fastmail reserves the right to change these terms or its policies regarding the use of the service at any time and to notify you by posting an updated version of these terms on this web site.,0
You are responsible for regularly reviewing these terms to check for updates.,0
Continued use of the service after any such changes shall constitute your consent to such changes.,0
12.,0
General,0
These,0
"Terms are governed by the laws of the state of victoria, and australia, without regard to the conflict or choice of law rules thereof.",1
"The courts sitting in the state of victoria, australia shall have exclusive jurisdiction over any dispute arising hereunder.",1
"Use of the service is unauthorised in any jurisdiction that does not give effect to all provisions of these terms and conditions, including without limitation this paragraph.",0
"You agree that no joint venture, partnership, employment, or agency relationship exists between you and fastmail as a result of this agreement or use of the service.",0
"Fastmail s performance of this agreement is subject to existing laws and legal process, and nothing contained in this agreement is in derogation of fastmail s right to comply with governmental, court and law enforcement requests or requirements relating to your use of the service or information provided to or gathered by fastmail with respect to such use.",0
"If any part of these terms are determined to be invalid or unenforceable pursuant to applicable law including, but not limited to, the warranty disclaimers and liability limitations set forth above, then the invalid or unenforceable provision will be deemed superseded by a valid, enforceable provision that most closely matches the intent of the original provision and the remainder of these terms shall continue in effect.",1
"Unless otherwise specified herein, these terms constitute the entire agreement between you and fastmail with respect to the service (excluding the use of any software which may be subject to an end-user license agreement) and it supersedes all prior or contemporaneous communications and proposals, whether electronic, oral or written, between you and fastmail with respect to the service.",0
A printed version of these terms and of any notice given in electronic form shall be admissible in judicial or administrative proceedings based upon or relating to these terms to the same extent and subject to the same conditions as other business documents and records originally generated and maintained in printed form.,0
You and fastmail agree that any cause of action arising out of or related to these terms and/or the service must commence within one (1) year after the cause of action arose.,1
"Otherwise, such cause of action is permanently barred.",1
Headings in these terms are solely used for the convenience of the parties and have no legal or contractual significance.,0
"Except where explicitly indicated otherwise, prices shown on this site exclude any sales tax that might be applicable in your jurisdiction.",0
You must pay fastmail any additional sales taxes not previously levied upon request.,0
Fastmail reserves the right to assign its rights and responsibilities under this agreement to any third party.,0
13.,0
Content uploaded by members,1
Fastmail does not claim ownership of content you submit or make available for inclusion on the service,1
"However, with respect to content you submit or make available for public or shared access on the service, you grant a world-wide, royalty free and non-exclusive license(s) to use, distribute, reproduce, modify, adapt, publicly perform and publicly display such content on the service solely for the purpose for which such content was submitted or made available.",0
This license exists only for as long as you elect to continue to include such content on the service and will terminate at the time you remove or fastmail removes such content from the service.,0
"You acknowledge that if you permit third parties to access your private content through the service, those third parties may share such data outside of the service.",0
You acknowledge that fastmail is not responsible for such sharing.,0
Fastmail does not endorse the content or views expressed in content hosted by our customers.,0
Claiming endorsement by fastmail is a violation of these terms.,0
14.,0
Reseller accounts,0
You must not re-sell the service unless you have been given explicit prior permission to be a reseller by fastmail.,0
"If you are given permission to operate as a reseller of the service, you acknowledge that:",0
(a) your customers own the data associated with their accounts,0
"(b) at fastmail s request, you must assist fastmail in enforcing these terms against your customers",0
