text,highlighted
"This website stores data such as cookies to enable essential site functionality, as well as marketing, personalization, and analytics.",0
You may change your settings at any time or accept the default settings.,0
Privacy policy,0
Marketing,0
Personalization,0
Analytics,0
Save accept all,0
"Productsintroducing figjam betaan online whiteboard for teamsdesignprototypingdesign systemsdownloadsenterpriseoverviewcustomerscontact salespricingcommunityfiles and templates1,000+ free files you can duplicate, remix, and reusepluginsextend what s possible and automate workevents and livestreamsbest practiceseducation programuser groupscompanyblogcareersour storyhelp centerlog insign upsign upsign upterms of service",0
"Last updated: august 19, 2021.",1
"Welcome to the figma, inc.",0
"( figma , us we or our ) website.",0
"Please read these terms of service (the terms ) carefully because they govern your use of our websites including figma.com, designsystems.com and any other websites that we may later own or operate (each, a site, and collectively, the sites ).",0
"Our mobile applications ( apps ), our application program interfaces ( apis ), our software development kits ( sdks ) and our collaboration tools and other products and services we may later own or operate (collectively, with the sites, apps, apis, and sdks, the services ).",0
"Arbitration notice: unless you opt out of arbitration within 30 days of the date you first agree to these terms by following the opt-out procedure specified in the dispute resolution section below, these terms will, with limited exception, require you to submit claims you have against us to binding and final arbitration solely on an individual basis, and not as part of a class, representative or consolidated action.1.",0
"Agreement to these termsby using the services, you agree to be bound by these terms.",0
"If you don t agree to these terms, do not use the services.",0
"If you are accessing and using the services on behalf of a company (such as your employer) or other legal entity, you represent and warrant that you have the authority to bind that company or other legal entity to these terms.",0
"In that case, you and your will refer to that company or other legal entity.2.",0
Changes to the terms or services,0
"We may modify the terms at any time, at our sole discretion.",1
"If we do so, we will let you know either by posting the modified terms on the site or through other communications.",1
"If you continue to use the services after such a change, you are indicating that you agree to the modified terms.",1
"We may also change or discontinue all or any part of the services, at any time and without notice, at our sole discretion.",1
3.,0
Service termsyou agree to comply with the service terms attached as exhibit a.4.,0
"Licensesubject to the terms and conditions of these terms, we hereby grant you a limited, non-exclusive, non-transferable, non-sublicensable license worldwide,",0
"With the exception of countries that are embargoed or designated as supporting terrorist activities by the united states government,",1
For you to access and use the services in connection with your internal business operations.5.,0
Charges and payment5.1,0
Pricing.,0
"Certain services are offered under different pricing plans, the limits and features of which are available at www.figma.com/pricing, and further governed by https://www.figma.com/pricing-faq/.",0
Your rights and obligations with respect to certain services will be based in part on the pricing plan you choose.,0
5.2,0
Payment terms.,0
5.2.1.,0
"When you purchase services (each such purchase, a subscription ), you expressly authorize us or our third-party payment processor to charge you for such services.",0
You represent and warrant that you have the legal right to use all payment methods that you provide to us.,0
5.2.2.,0
All fees are stated and solely payable in u.s.,0
"Dollars,",0
"Non-refundable,",1
And not subject to setoff.,0
"You are solely responsible for any bank fees, interest charges, finance charges, overdraft charges, and any other fees you incur as a result of the charges billed by us.",0
5.2.3.,0
"In the event that you fail to pay the full amount owed to us, we may limit your access to the services, in addition to any other rights or remedies we may have.",0
5.3.,0
Authorization for recurring payments.,0
5.3.1.,0
"All pricing plans involve recurring fees (each, along with any applicable taxes and other charges are a subscription fee ).",0
"Depending on which options you choose, those fees may recur each month, quarter or year thereafter, at the then-current rate.",0
"Please note that our fees are subject to change, although we will notify you before we effect any change.",0
5.3.2.,0
"By agreeing to these terms and purchasing a subscription, you acknowledge that your subscription has recurring payment features and you accept responsibility for all recurring payment obligations prior to cancellation of your subscription by you or figma.",0
"We (or our third party payment processor) will automatically charge you in accordance with the term of your subscription (e.g., each month, quarter, or year), on the calendar day corresponding to the commencement of your subscription using the payment information you have provided.",1
5.3.3.,0
"In the event your subscription begins on a day not contained in a later month, your payment method will be charged on such other day as we deem appropriate.",0
"For example, if you started a monthly subscription on january 31st, your next payment date is likely to be february 28th, and your payment method would be billed on that date.",0
