text,highlighted
Gamebanana's terms of service.,0
1.,0
Definitions,0
2.,0
Responsibility for data,0
3.,0
Content,0
4.,0
Copyright policy,0
5.,0
Links,0
6.,0
Paid services,0
7.,0
Maintenance,0
8.,0
Limitation of liability,0
9.,0
Disclaimer,0
10.,0
Indemnity,0
11.,0
Severability,0
12.,0
Waiver,0
13.,0
Consent to jurisdiction.,0
Choice of law,0
14.,0
Ability to accept terms of service,0
15.,0
Assignment,0
16.,0
Modification,0
These terms of service constitute a binding agreement between you and gamebanana co.,0
"By accessing and/or using gamebanana.com and its related webpages, you signify that you agree to be bound by these terms of service.",0
"If you do not agree to be bound by these terms of service, please do not use gamebanana.com and its related webpages.",0
1.,0
Definitions,0
'gamebanana' refers to gamebanana.com and its related webpages which are owned and operated by gamebanana co.,0
"'submitted content' refers to all materials, including but not limited to posts, messages, file archives, executable files, threads, themes, maps, skins, guis, sound files, movie files, flash files, articles, mirrors, prefabs, tutorials, sprays, icons, profiles, clans, studios and wallpapers whether publicly posted or privately transmitted, that are uploaded, posted, emailed, transmitted or otherwise made available on gamebanana by users.",0
'services' refer to all paid or unpaid functionalities rendered to a user by gamebanana.,0
'user' refers to any individual or individual acting on behalf of an organisation using the services of gamebanana.,0
'your content' refers to your submitted content as a user.,0
2.,0
Responsibility for datayou have sole responsibility for all of your content that you make available on gamebanana through use of it's services.,0
"You acknowledge and agree that gamebanana will not be responsible for any failure of the services to store submitted content, for the deletion of a submitted content stored on the services, or for the corruption of or loss or any data, information or content contained in submitted content.",0
3.,0
Contentyou are solely responsible for your content.,0
You certify that you own all intellectual property rights in your content.,0
"You hereby grant gamebanana irrevocable, royalty-free, non-exclusive, sub-licensable license to use, modify, copy, reproduce, create derivative works of, distribute, publicly perform, publicly display, transfer, transmit, distribute and publish your content and subsequent versions of your content for the purposes of displaying your content on gamebanana and distributing your content, either electronically or via other media, to users seeking to download or otherwise acquire it.",0
"This license shall apply to the distribution and the storage of your content in any form, medium, or technology now known or later developed.",0
"The foregoing grants shall include the right to exploit any proprietary rights in such communication, including but not limited to rights under copyright, trademark, service mark or patent laws under any relevant jurisdiction.",0
"Gamebanana does not guarantee the accuracy, integrity, quality or reliability of submitted content on it's website.",0
"Without limitation, gamebanana is not responsible for any submitted content, even if it is deemed unlawful, harassing, libelous, privacy invading, abusive, threatening, harmful, vulgar, obscene, or otherwise objectionable, or that it infringes or may infringe the intellectual property or other rights of another.",0
"You acknowledge that gamebanana does not pre-screen or moderate all submitted content, but that it retains the right, but not the obligation, at it's sole discretion, to refuse, edit, move or remove any submitted content that is publicly available via the site.",0
"Gamebanana reserves the right to reject, refuse to post or remove any posting (including private messages) by you, or to restrict, suspend, or terminate your access to all or any part of the gamebanana services at any time, for any or no reason, with or without prior notice, and without liability.",0
4.,0
Copyright policygamebanana respects the intellectual property rights of others and expects our users to do the same.,0
"Unauthorized copying, modification, distribution, public display, or public performance of a copyrighted work is an infringement of the copyright holder's rights.",0
"Gamebanana is an online service provider under title ii of the digital millennium copyright act, 17 u.s.c.",0
"Section 512 (""dmca"") - refer to gamebanana's dmca policy for information and instructions on notifying and counter-notifying gamebanana's designated agent about copyright infringements.",0
5.,0
Linksthe services may make available links to third-party websites.,0
You acknowledge and agree that gamebanana is not responsible or liable for: (i) the availability or accuracy of such websites.,1
"Or (ii) the content, products, or services on or available from such websites.",1
"Links to such websites do not imply any endorsement by gamebanana of such websites or the content, products, or services available from such websites.",1
You acknowledge sole responsibility for and assume all risk arising from your use of any such websites.,1
6.,0
Paid servicesyou acknowledge and agree that gamebanana cannot guarantee uptime and cannot be held responsible for temporary loss of paid services due to network downtime.,0
You acknowledge that gamebanana reserves the right to remove your paid services and bar you from accessing the site if you violate the terms of service.,0
"Gamebanana reserves the right to remove paid services in response to customer initiated transaction reversals, refunds, chargebacks or exploitation of gamebanana's payment system.",0
Gamebanana will offer a refund proportional to the remaining life or quantity of a paid service.,0
"For example, if you have used one quarter of a paid service you are entitled to a refund of three quarters of the initial cost of the paid service.",0
You acknowledge that gamebanana is only obliged to perform a refund upon your request and within 3 business days of the request.,0
7.,0
Maintenancegamebanana will perform maintenance services as gamebanana determines reasonably necessary.,0
User acknowledges that such maintenance may require downtime.,0
"Gamebanana will attempt to provide prior notice of the maintenance downtime, except in the case that circumstances beyond gamebanana's control limit the ability to do so.",0
8.,0
"Limitation of liabilityin no event will gamebanana be liable to you or to any third party for any incidental, special, consequential or punitive damages arising out of or in connection with these terms of service or from the use or inability to use the services or any submitted content sent through, stored by or downloaded from gamebanana, whether based on warranty, contract, tort (including negligence) or any other legal theory, and whether or not gamebanana has been informed of the possibility of such damage, even if a remedy set forth herein is found to have failed of its essential purpose.",0
In no event will gamebanana's aggregate liability to you or to any third party for any and all claims arising out of or in connection with the use of the services exceed one hundred dollars ($100).,0
The limitations of damages set forth above are fundamental elements of the basis of the bargain between gamebanana and you.,0
"Some jurisdictions do not allow the exclusion or limitation of liability for consequential or incidental damages, so the above limitation may not apply to you.",0
9.,0
"Disclaimeryou acknowledge that your access and use of the website and services is provided as is , with all faults and without any warranty of any kind whatsoever including, but not limited to, warranties of merchantability, fitness for a particular purpose, title, noninfringement, freedom from computer virus, and any other warranties arising from course of dealing or course of performance.",0
10.,0
"Indemnityuser agrees to indemnify and hold gamebanana harmless from any loss, liability, claims, damages and expenses, including attorneys fees, arising from or related to the content, use, or deletion of submitted content or use of any other feature or service.",0
This expressly includes:,0
User's responsibility for any and all liability arising from the violation or infringement of proprietary rights or copyrights.,0
Any defamatory or unlawful material contained within submitted content.,0
11.,0
"Severabilityin the event that any provision of these terms of service is held to be invalid or unenforceable, the remaining provisions of these terms of service will remain in full force and affect.",0
12.,0
Waiverthe failure of gamebanana to enforce any right or provision of these terms of service will not be deemed a waiver of such right or provision.,0
13.,0
Consent to jurisdiction.,0
Choice of law,0
"By accessing and using website, you agree that:",1
Any case or controversy arising from or related to your use of the website shall be governed by and construed in accordance with the laws of the state of pennsylvania without giving effect to its conflict of laws principles.,1
And,1
"Jurisdiction of any legal dispute arising hereunder shall be exclusively had in munroe county, pennsylvania",1
14.,0
Ability to accept terms of service,0
You represent and warrant that:,1
You are over the age of thirteen (13).,1
And,1
Are fully able and competent to accept these terms of service.,1
"For the avoidance of doubt, if you are under the age of thirteen (13), please do not use the website or the services.",1
15.,0
"Assignmentthese terms of service and any rights granted hereunder may not be transferred or assigned by you, but may be assigned by gamebanana without restriction.",0
16.,0
Modification,0
Gamebanana may revise these terms and conditions at any time without notice by updating these terms of service.,1
You should visit this web page periodically to review the terms of service.,0
Likelike7login or sign up to access this!,0
Pussyslayer,0
Joined 5mo ago offline 215 points,0
"Ranked 69,214th",0
2 medals,0
Pussyslayer 4mo balls,0
Among us url to post:,0
Joined 15y ago modboy dev ripe supporter ac:nl manager,0
Ut2k4 manager,0
Sn manager,0
"Admin likely asleep 100,672 points",0
Ranked 39th,0
50 medals,0
7 legendary,0
14 rare,0
Aom,0
Modboy dev 4y did you move the company to another state?,0
Top banana x 1,0
Mantra,0
Thar be snow.,0
Url to post: 1 reply,0
Admer456,0
Joined 7y ago goldsrc snowball gone.,0
":3 16,640 points",0
Ranked 442nd,0
33 medals,0
2 legendary,0
6 rare,0
Admer456,0
Goldsrc snowball 6y i noticed a spelling mistake:,0
"""...refer to gamebanana's dcma policy...""",0
"It should have been ""dmca"".",0
It's located under the copyright policy.,0
Thanks x 1,0
Url to post:,0
Enthers,0
Joined 10y ago offline 737 points,0
"Ranked 47,091st",0
7 medals,0
"Enthers 8y glad to see it all laid out, clear as day.",0
Url to post:,0
Officialcliquemusic,0
Joined 11y ago offline 710 points,0
"Ranked 47,497th officialcliquemusic 9y very well then",0
Risosi industries url to post:,0
Ykel_1337,0
Joined 11y ago offline 761 points,0
"Ranked 46,779th",0
5 medals,0
Ykel_1337 10y naise mantra,0
"Inactive, bf3 &lt3 ^^ url to post:",0
