text,highlighted
Genius terms of service,0
"Last updated: june 24, 2020",1
"Welcome to the services operated by genius media group, inc (""genius,"" ""we,"" ""us"" or ""our""), consisting of the website available at genius.com, the genius live website available at live.genius.com (""genius live"") and the other online and/or mobile services, websites and software provided by genius (collectively the ""service"").",0
"By accessing or using the service, you (""you"" or ""your""), signify that you have read, understand and agree to be bound by these genius terms of service (as amended from time to time, ""terms"") and to the collection, use, and disclosure of your information as set forth in our privacy policy, as modified from time to time and which is incorporated by reference herein.",0
"These terms apply to all visitors, users, and others who access the service (""users"").",0
"If you are a united states federal agency, this amendment is applied to the terms of service.",0
We provide the service for your use subject to the terms.,0
"We reserve the right, in our sole discretion, to change or modify portions of these terms at any time.",1
"If we modify these terms, we will post a notice at the top of our service for a period of seven (7) days.",1
"Your continued use of the service constitutes your acknowledgement of, acceptance of, and agreement to the revised terms.",0
You agree to periodically visit this page to review the current terms so you are aware of any revision to which you are bound.,0
We will indicate at the top of this page the date these terms were last revised.,0
"If you do not agree to abide by these or any future terms, do not use or access (or continue to use or access) the service.",0
"Additional terms and conditions may apply to certain components or features of or provided via the service (including genius live), and you agree that you shall be subject to any such terms that may be posted via the service or otherwise made available to you from time to time.",0
All such terms are hereby incorporated by reference into these terms.,0
Please read these terms carefully to ensure that you understand each provision.,0
"These terms contain a mandatory individual arbitration and class action/jury trial waiver provision that requires the use of arbitration on an individual basis to resolve disputes, rather than jury trials or class actions.",0
"The service may contain content that is inaccurate, objectionable, inappropriate for children, or otherwise unsuited to your purpose, and you agree that genius shall not be liable for any damages you allege in incur as a result of any exposure to such content.",0
You use the service at your own risk.,0
Eligibility,0
This service is intended solely for users who are 13 years of age or older.,0
"Any registration by, use of or access to the service by anyone under 13 is unauthorized and in violation of these terms.",0
"By using the service, you represent and warrant that you are 13 years of age or older.",1
The children s online privacy protection act ( coppa ) requires that online service providers obtain parental consent before they knowingly collect personal data online from children who are under 13.,0
We do not knowingly collect or solicit personal data from children under 13.,0
"If you are a child under 13, please do not attempt to register for the service or send any personal data about yourself to us.",0
"If we learn we have collected personal data from a child under 13, we will delete that information as quickly as possible.",0
"If you believe that a child under 13 may have provided us personal data, please contact us at privacy@genius.com.",0
