text,highlighted
Features,0
Pricing,0
Support,0
Blog,0
Log in,0
Terms of service general,0
Hideipvpn.com (hereafter referenced as hideipvpn) provides vpn services under the name of hideipvpn.com.,0
"As a provider of internet services, hideipvpn offers its clients, and their customers and users, the means to disseminate public, private, commercial, and non-commercial information.",0
Hideipvpn respects the fact that the internet provides a forum for free and open discussion and dissemination of information.,0
"However, when there are competing interests at issue, hideipvpn reserves the right to take certain preventative or corrective actions.",0
"In order to protect these competing interests, hideipvpn has developed these terms of service, which supplements and explains certain terms of each customer s respective service agreement.",0
These terms are intended as a guide to the customer s rights and obligations when utilizing hideipvpn s services.,0
These terms will be revised from time to time.,0
A customer s use of hideipvpn s services after changes to these terms are posted on hideipvpn.com web sites will constitute the customer s acceptance of any new or additional terms.,1
P,0
"Hideipvpn does not review, edit, censor, or take responsibility for any information its clients may create.",0
"By placing information on the internet, clients have the same liability as other authors for copyright infringement, defamation, and other harmful speech.",0
"Also, because the information they place on hideipvpn s network may be carried to a large number of people, including both clients and non-clients of hideipvpn, clients postings to the internet may affect other clients and may harm hideipvpn s goodwill, business reputation, and operations.",0
Prohibited activities,0
Hideipvpn prohibits the use of any of its services in any of the following ways:,0
1,0
"P2p and torrents on (us, uk, ca, pl, fr and sg servers)",0
2.,0
Connect to vpn or proxy to more than 3 servers at the same time.,0
3.,0
"Share your vpn/smartdns account details, smartdns key as well as access to your client area on hideipvpn website.",0
You may install and use both our services on all devices in your household as long as you will not breach point above.,0
4.,0
Spamming,0
5.,0
Intellectual property violations,0
6.,0
Defamatory or abusive language,0
7.,0
Forging of headers,0
8.,0
Illegal or unauthorized access to other computers or networks,0
9.,0
Background running programs,0
10.,0
"Distribution of internet viruses, worms, trojan horses, or other destructive activities",0
11.,0
Facilitating a violation of this tos,0
12.,0
Export control violations,0
13.,0
Spamming usenet groups or message boards,0
14.,0
Any other illegal activities,0
It is hideipvpn s policy to terminate the privileges of customers who commit repeat violations of hideipvpn policy and service agreements,1
"To avoid any misunderstandings of what is considered a prohibited activity, hideipvpn offers a brief explanation of previously stated prohibited activities.",0
Spamming is the sending unsolicited bulk and/or commercial messages over the internet.,0
"It is not only harmful because of its negative impact on consumer attitudes toward hideipvpn, but also because it can overload hideipvpn s network and disrupt service to hideipvpn clients.",0
"Also, maintaining an open smtp relay is prohibited.",0
