text,highlighted
Privacy policy,0
Faq,0
Blog,0
Download,0
English,1
Deutsch,1
Espa ol (spain),1
Espa ol (la),1
Fran ais,1
Italiano,1
Portugu s (brasil),1
"Houseparty privacy policy last updated: july 22nd, 2020",0
The houseparty privacy policy is designed to help you understand the information we collect and the different ways we may use or share it.,0
This policy applies to your use of houseparty.,0
"By houseparty, we mean the houseparty website, browser extension, mobile app, and any other of our products and services that directly link to this policy.",0
And who are we?,0
"We re life on air, inc., a subsidiary of epic games.",0
"To learn more about privacy at houseparty, please keep reading below!",0
"If you d like to read more about privacy at epic games, be sure to check out the epic games privacy policy here",0
What information we collect you probably wonder what information we collect.,0
"This often depends on the exact nature of our relationship with you and how you choose to use houseparty, but we ve described the most common examples below.",0
We have broken these descriptions down into categories to make them clearer:,0
We collect account information,0
We collect information relating to your account.,0
"For example, we collect basic registration details like name, email address, birthday, and username and password when you create a houseparty account.",0
"You may be able to share other account-related information with us too, like if you choose to provide a profile photo or telephone number.",0
We collect some information about your friends when you invite or refer them to houseparty or import your contacts.,0
We collect usage information,0
We collect information about your interactions with and on houseparty.,0
"For example, we collect information about how long you chat with your friends.",0
"If you purchase items, we collect information about what you purchase.",0
Houseparty uses this info to make the product better for you so you can focus on being present with your friends.,0
"We want to do the heavy lifting, utilizing tech to improve the experience.",0
We collect certain information when you link third party accounts or apps to houseparty,0
"If you link social media accounts to houseparty, we collect certain social media account information.",0
"If you link your contacts we collect information about your friends, like their phone numbers and addresses.",0
We collect location information,0
"For example, we may collect your zip code and state.",1
"Based on your ip address, we also derive location information.",1
We collect feedback information,0
We collect information that you give us when you complete a survey or participate in a contest or promotion.,0
This includes when you write a review or make a suggestion.,0
We collect device information,0
We collect information about the browser or device you are using.,0
"We may look at what site you came from, or what site you visit when you leave us.",1
We may also collect device identifiers.,0
"For example, this might include your operating system and hardware model.",0
This may also include your mobile carrier,0
"Why we collect information now that you know what we collect, we want to tell you why and what we do with that information.",0
Below we explain how we use information:,0
We use some information to communicate with you,0
"We use information to respond to your questions, including questions about our services or your relationship with us, and to communicate with you about this policy or our terms.",0
We may also contact you about your feedback.,0
"We just want to be able to be responsive to you, and occasionally reach out to hear how it s going on houseparty, and make sure you have updates on what s going on with us!",0
We use some information so you can participate in houseparty and to enhance your experience,0
We use information to process your registration and to empower you to use certain features.,0
"With your permission where required by law, for example, we use information to suggest other users with whom you may want to connect.",0
We also use information so you can invite new people to join houseparty and to provide or suggest specific features.,0
We help you find friends and make connections.,0
"For example, we might suggest a connection to you based on your friends on who could be a good addition to the party.",0
We use some information to improve our products,0
"We use information to make houseparty better, for example by saving certain preferences you choose, tracking events in houseparty, and recording other performance data.",0
"We use this information to customize your experience, analyze product trends, and to develop and improve our products.",0
We use some information for marketing purposes,0
"We use your information to share updates about new products and special offers, including promotions, surveys, and contests, through email, on our app, or on social media platforms.",0
"We might also use this information to tell you about products and offers, new features, or updates.",1
These might be our own offers or products or select third-party offers or products we think you might find interesting.,1
We use information to protect our company and users,0
"We use information to protect our company and users, for example to identify fraud and secure, protect accounts, and protect houseparty.",0
This includes looking into potentially prohibited or illegal activity.,0
We may also use push notifications in our mobile apps,0
"We may send you push notifications about updates and other information we think you will find interesting, for example to let you know when a friend is online.",0
Our basis for processing european information,0
"Our basis for processing your information for the reasons described above is typically to perform a contract, including responding to your requests.",0
"For example, this includes providing customer service.",0
"Where this applies, if you choose not to provide information, we may be unable to perform the contract or respond to your request.",0
We also process information based on your consent.,0
"Where you have provided consent, you have the right to withdraw it.",0
We also use information about you when we have a legitimate purpose in doing so.,0
"For example, this includes helping secure and improve houseparty.",0
We also use information as otherwise permitted by law.,0
"How we collect information like many other companies, there are different ways that we collect information, which we ve outlined below:",0
We collect information directly from you,0
You might provide us information in several ways.,0
"For example, we collect information when you create an account, contact us, or participate in a survey.",0
We collect information passively,0
We use tracking tools to collect information from you passively.,1
These tools include things like browser cookies and web beacons.,1
We use these on our sites and in emails that we send to you.,1
We collect this information about users over time when you download and use our app.,0
The information we gather helps us give you the best experience on houseparty.,0
We get information about you from third parties,0
Social media platforms and third-party apps may give us information about you.,1
We may also collect information about you from other users.,0
"This might include your name, phone number, or email address if they invite or refer you to our app or if they have linked their contacts to their houseparty account.",0
What social platforms are we talking about?,0
"We might get information, for example, from snapchat or facebook if you choose to link your houseparty account with these third-party platforms.",0
Information they share with us includes certain details from your profile.,0
We combine information,0
"Houseparty is an integrated social media platform, which means we may combine information that we have collected across devices, such as computers and mobile devices.",0
We may also combine information we get from a third party with information we already have and combine information that we have collected from other third-party sites,0
"When we share information houseparty is part of the digital community, and as part of our business there are times that we share information with third parties.",0
