text,highlighted
Terms of service,0
Last updated: 21 january 2021,1
"These are the terms of service you are agreeing to when you subscribe and/or are using the services of ivpn, operated by privatus limited.",0
"Please note that in this agreement, the term you means you the subscriber/user , and the term we or our means privatus limited, its owners, employees, agents and any others involved with privatus limited",0
"As a subscriber of our services, you agree that:",1
You will not use our service to hack or attack other computers or networks on the internet.,1
You will not use our service to scan (eg.,0
"Port scanning, running proxy hunters) other computers or networks on the internet.",0
"You will not use our service to transmit viruses, worms, trojans etc.",0
To other computers or networks on the internet.,0
You will not use our service to attack our servers and resources in any way.,0
You will not use our service for receiving and distributing pirated copyright materials.,0
"This includes, but is not limited to the following activities: trading, selling, bartering, sharing, transmitting or receiving, of such materials.",0
You will not use our service to send unsolicited data in any form.,1
"This includes, but is not limited to the following: sending unsolicited emails (i.e.",1
"Spam email), hate email, mass-marketing emails, unsolicited instant messages and unsolicited sms.",1
You will not use our services to engage in any sort of child pornography activities.,0
"This includes, but not limited to the following: trading, bartering, selling, transmitting or receiving such material.",0
You will not use our service for any type of criminal activities.,1
"This includes but is not limited to the following: engaging in the use of stolen credit cards, stolen bank accounts, stolen debit cards, stolen charge cards, stolen online payment accounts (eg.",0
Paypal).,0
You will not use our service to send out phishing or identity theft emails.,0
You will not promote or encourage criminal or terrorist activities of any sort.,0
You will not use our services to threaten or harass others.,1
You will not run resource intensive programs that will interfere with the usage of our services by our users.,1
You will not share your account with others.,0
You will be responsible for all the activities involving your account.,0
You agree not to pay for the service from a stolen credit card.,0
You will not resell or attempt to resell ivpn accounts or services to any individual or entity for use or further resale without the express written permission of privatus limited.,0
"The service that is offered to you is provided on an as is basis, with no warranties whatsoever.",1
"We are not liable for any direct, indirect, consequential, inconveniences, or whatsoever damages, or loss of profit, that may arise from the use of our services.",1
We cannot and do not guarantee the speed of our service.,1
We also cannot and do not guarantee that you will have an uninterrupted service.,1
"We are not liable for any direct, indirect, consequential, inconveniences, or whatsoever damages, or loss of profit, that may arise from the use of our services.",1
"We are not in any shape or form liable for damages of any sort (realized or unrealized) resulting from the use of, or through the use of, or arising from the use of, or the inability to use the ivpn service pertaining to any registered user.",0
"In any event, ivpn shall never be liable for any monetary damages beyond what the user paid to ivpn and this will not include court costs or attorney fees irrespective of any statutes or laws that may be interpreted otherwise.",1
We reserve the right to make amendments or modifications to our terms of use agreement.,1
"If we make changes that are material, we will take every reasonable step to ensure that changes are brought to your attention by posting all changes prominently on the ivpn website and emailing our existing customers.",1
The notice will designate a reasonable period of time after which the new terms will take effect.,1
"If you disagree with our changes, then you should stop using the ivpn service within the designated notice period.",0
Your continued use of the ivpn service will be subject to the new terms.,0
"However, any dispute that arose before the changes shall be governed by the terms that were in place when the dispute arose.",0
This is our binding agreement when you agree to these terms of service.,0
The main goal of our service is to protect your privacy.,0
We absolutely do not condone or promote criminal activities of any sort.,0
"If you violate any of our terms, we reserve the right to terminate your service without any advance warning or notification.",1
No refunds or credit will be given.,0
If you have any questions about this policy please contact us.,0
