text,highlighted
Your acceptance,0
"This id cloud services ltd terms of service, in conjunction with the privacy policy and other terms and conditions of use which are incorporated herein by reference and may be posted and applicable to specific services, governs your use of the icedrive website, is a legally binding contract, and are collectively referred to as the ""agreement"".",0
"By visiting the icedrive website, using any content, products or services provided to you on, from, or through the icedrive website (collectively the ""services"" or ""packages"") or by checking the box next to ""i agree to the terms, privacy, refund and cancellation policies"", you are signifying that you have read the agreement, that you understand the agreement, and you agree to be bound by all of the terms of the agreement.",0
"If you do not fully and completely agree to the terms of the agreement and you, as a responsible user, choose to continue to use the services, you will be bound to the terms of the agreement.",0
Id cloud services ltd may modify the agreement which will become effective immediately upon its posting to the website,1
Your continued use of the website and any associated services indicates your acceptance of the agreement and you agree to be bound by such modification or revisions,1
"If you are dissatisfied with anything related to the icedrive website, your sole remedy is to discontinue use of the services.",0
You use the services of id cloud services ltd at your own risk.,0
Nothing in the agreement shall be deemed to confer any third-party rights or benefits.,0
The services,0
"By visiting the icedrive website, using any content, products or services provided to you on, from, or through the icedrive website (collectively the ""services"")",0
"The agreement applies to all users of the services, including users who contribute content.",0
"""content"" includes text, software, scripts, graphics, photos, sounds, music, videos, audiovisual combinations, interactive features and other materials you may view on, access through, or contribute to the services.",0
"The services includes all aspects of id cloud services ltd, including but not limited to, all products, software and services offered via the icedrive website.",0
"Id cloud services ltd may change, suspend or discontinue all or any aspect of the services at any time, including the availability of any feature, database, or content, without prior notice or liability.",1
Https://icedrive.net may contain links to third party websites.,0
"By use of the services, you expressly relieve id cloud services ltd from any and all liability arising from your use of any third-party website.",1
"Light patterns, like those displayed when using the services, may result in epileptic seizures in some people.",0
"Discontinue use of the services, if advised by your physician or you experience epileptic symptoms.",0
Icedrive accounts,0
"To access or benefit from some of the services or features on icedrive, you will have to create a icedrive account.",1
You are responsible for maintaining the confidentiality of your access information and are responsible for all activities that occur utilizing your information.,1
Id cloud services ltd will not be liable for any losses you might suffer due to account insecurity or personal misplacement of passwords or keys.,1
Icedrive subscription accounts terms and conditions,1
"Id cloud services ltd services are automatically renewed for successive terms, with recurring credit card charges or other payment method selected by you, unless terminated or cancelled by you or id cloud services ltd as provided in the agreement.",1
You agree to pay all account charges and any applicable taxes and other fees that accrue in relation to your use of the services.,0
You may cancel a subscription at any time through your my account page.,0
Your account will remain active for the remainder of the term for which you have previously paid after which it will become inactive.,0
To renew an inactive account you will need to add funds in your my account page.,0
Your data will remain in an inactive account for a period of 90 days.,0
Contact icedrive customer service to request a refund for unused months of prepaid services.,1
"Id cloud services ltd may, without compensation or proration, cancel your subscription in the event of nonpayment or dispute of payment or if you violate any terms or conditions of the agreement.",0
Refund policy,0
"We believe in our product and offer a full, 14-day money back guarantee on all purchases.",0
"Since there is no fixed contract and users may cancel at any time, id cloud services ltd does not offer refunds on subscription payments.",0
"Due to the nature of crypto payments, cryptocurrencies cannot be refunded.",1
"You agree while using icedrive, that you may not:",0
Alter or modify any part of the services,0
Use the services for any illegal purpose,1
"Use any robot, spider, offline readers, site search and/or retrieval application, or other device to retrieve or index any portion of the services, with the exception of public search engines",1
"Transmit any viruses, worms, defects, trojan horses or other items of a contaminating or destructive nature",0
Upload any content that includes code hidden or otherwise contained within the content which is unrelated to the content,0
Reformat or frame any portion of any web page that is part of the services without the express permission of id cloud services ltd,0
Collect or harvest any personal identifiable information or account names or solicit users,0
Will not over use or over consume more resources than your allocated plan accounts for.,0
"In the case of free users, creating multiple registrations",0
"Impersonate another person, whether real or fictional",0
Permit any third parties to use your name and password,0
Violate or attempt to violate id cloud services ltd systems or interfere with the normal use of the services by users,0
"Post advertisements, promotions or solicitations of business",0
