text,highlighted
1.,0
Acceptance of terms,0
Infinityfree welcomes you.,0
Infinityfree provides its service to you subject to the following terms,1
"Of service (""tos""), which may be updated by us from time to time",1
Without notice to you.,1
You can review the most current version of the,0
Tos at any time at: /terms/.,0
"In addition, when using",0
"Particular infinityfree owned or operated services, you and infinityfree",0
Shall be subject to any posted guidelines or rules applicable to such,0
"Services, which may be posted from time to time.",0
All such guidelines or,0
Rules (including but not limited to our spam policy) are hereby,0
Incorporated by reference into the tos.,0
Infinityfree may also offer,0
Other services that are governed by different terms of service.,0
2.,1
Description of service,0
Infinityfree provides users with access to a rich collection of,0
"Resources, including various communications tools, forums, shopping",0
"Services, search services, personalized content and branded programming",0
Through its network of properties which may be accessed through any,0
Various medium or device now known or hereafter developed (the,0
"""service"").",0
You also understand and agree that the service may include,0
Advertisements and that these advertisements are necessary for,0
Infinityfree or it's partners to provide the service.,0
You also,1
Understand and agree that the service may include certain communications,1
"From infinityfree or it's partners, such as service announcements,",1
"Administrative messages and the infinityfree newsletter, and that these",1
Communications are considered part of infinityfree membership and you,1
Will not be able to opt out of receiving them.,1
Unless explicitly stated,0
"Otherwise, any new features that augment or enhance the current service,",0
"Including the release of new infinityfree properties, shall be subject",0
To the tos.,0
You understand and agree that the service is provided,0
"""as-is"" and that infinityfree assumes no responsibility for the",0
"Timeliness, deletion, mis-delivery or failure to store any user",0
Communications or personalization settings.,0
You are responsible for,0
"Obtaining access to the service, and that access may involve third-party",0
Fees (such as internet service provider or airtime charges).,0
You are,0
"Responsible for those fees, including those fees associated with the",0
Display or delivery of advertisements.,0
"In addition, you must provide and",0
Are responsible for all equipment necessary to access the service.,0
3.,0
Your registration obligations,0
"In consideration of your use of the service, you represent that you are",0
Of legal age to form a binding contract and are not a person barred from,0
Receiving services under the laws of the united states or other,0
Applicable jurisdiction.,0
You also agree to:,0
"(a) provide true, accurate, current and complete information about",0
Yourself as prompted by the service's registration form (the,0
"""registration data"") and",0
"(b) maintain and promptly update the registration data to keep it true,",0
"Accurate, current and complete.",0
If you provide any information that is,0
"Untrue, inaccurate, not current or incomplete, or infinityfree has",0
"Reasonable grounds to suspect that such information is untrue,",0
"Inaccurate, not current or incomplete, infinityfree has the right to",0
Suspend or terminate your account and refuse any and all current or,0
Future use of the service (or any portion thereof).,0
"Infinityfree is concerned about the safety and privacy of all its users,",0
Particularly children.,0
Please remember that the service is designed to,0
Appeal to a broad audience.,0
"Accordingly, as the legal guardian, it is",0
Your responsibility to determine whether any of the service areas and/or,0
Content (as defined in section 6 below) are appropriate for your child.,0
4.,0
Infinityfree privacy policy,0
Registration data and certain other information about you is subject to,0
Our privacy policy.,0
"For more information, see our full privacy policy at",0
"/privacy/ , you",0
Understand that through your use of the service you consent to the,0
Collection and use (as set forth in the privacy policy) of this,0
"Information, including the transfer of this information to the united",0
"States and/or other countries for storage, processing and use by",0
Infinityfree and its affiliates.,0
5.,0
"Member account, password and security",0
You will receive a password and account designation upon completing the,0
Service's registration process.,0
