text,highlighted
Solid,0
Enterprise,0
Products,0
Enterprise solid server,0
Developer tools,0
Podbrowser,0
Documentation,0
Company,0
About,0
Press and events,0
Blog,0
Terms of use,1
Terms of use,1
"Last updated: [november 24, 2020]",1
Welcome to inrupt.,0
"Please read on to learn the rules and restrictions that govern your use of our website(s), products, services and applications, which include (but are not limited to) podbrowser.inrupt.com, inrupt.net, pod.inrupt.com and inrupt.com (the services ).",0
"If you have any questions, comments, or concerns regarding these terms or the services, please contact us at:",0
Email: support@inrupt.com,0
"Address: inrupt inc., c/o gunderson dettmer, one marina park drive, suite 900, boston ma 02210",0
"These terms of use (the terms ) are a binding contract between you and inrupt, inc",0
"( inrupt, we and us ).",0
"Your use of the services in any way means that you agree to all of these terms, and these terms will remain in effect while you use the services.",0
These terms include the provisions in this document as well as those in the privacy policy and any other relevant policies,0
Please read these terms carefully.,0
They cover important information about services provided to you.,0
"These terms include information about future changes to these terms, limitations of liability, a class action waiver and resolution of disputes by arbitration instead of in court.",0
Please note that your use of and access to our services are subject to the following terms.,0
"If you do not agree to all of the following, you may not use or access the services in any manner.",0
"Arbitration notice and class action waiver: except for certain types of disputes described in the arbitration agreement section below, you agree that disputes between you and us will be resolved by binding, individual arbitration and you waive your right to participate in a class action lawsuit or class-wide arbitration.",0
Will these terms ever change?,0
"We are constantly trying to improve our services, so these terms may need to change along with our services.",0
"We reserve the right to change the terms at any time, but if we do, we will place a notice on our site located at inrupt.com, send you an email, and/or notify you by some other means",0
"If you don t agree with the new terms, you are free to reject them.",0
"Unfortunately, that means you will no longer be able to use the services.",0
"If you use the services in any way after a change to the terms is effective, that means you agree to all of the changes",0
"Except for changes by us as described here, no other amendment or modification of these terms will be effective unless in writing and signed by both you and us",0
What about my privacy?,0
Inrupt takes the privacy of its users very seriously.,0
"For the current inrupt privacy policy, please click here.",0
Children s online privacy protection act,0
The children s online privacy protection act ( coppa ) requires that online service providers obtain parental consent before they knowingly collect personally identifiable information online from children who are under 13 years of age.,0
We do not knowingly collect or solicit personally identifiable information from children under 13 years of age.,0
"If you are a child under 13 years of age, please do not attempt to register for or otherwise use the services or send us any personal information.",0
"If we learn we have collected personal information from a child under 13 years of age, we will delete that information as quickly as possible.",0
"If you believe that a child under 13 years of age may have provided us personal information, please contact us at security@inrupt.com.",0
What are the basics of using inrupt?,0
"You represent and warrant that you are an individual of legal age to form a binding contract (or if not, you ve received your parent s or guardian s permission to use the services and have gotten your parent or guardian to agree to these terms on your behalf)",0
You will only use the services in a manner that complies with all laws that apply to you.,0
"If your use of the services is prohibited by applicable laws, then you aren t authorized to use the services.",0
We can t and won t be responsible for your using the services in a way that breaks the law.,0
What about messaging?,0
"As part of the services, you may receive communications through the services, including messages that inrupt sends you (for example, via email)",0
Are there restrictions in how i can use the services?,0
These services are provided for evaluation purposes only,0
"You agree that you will not upload, store, use, access, or provide to the services any sensitive information, including any sensitive, confidential or proprietary business information, any regulated data, or any personally identifiable information.",0
"You represent, warrant, and agree that you will not provide or contribute anything, including any content or user submission (as those terms are defined below), to the services, or otherwise use or interact with the services, in a manner that:",0
(a) infringes or violates the intellectual property rights or any other rights of anyone else (including inrupt),0
"(b) violates any law or regulation, including, without limitation, any applicable export control laws, privacy laws or any other purpose not reasonably intended by inrupt",0
"(c) is dangerous, harmful, fraudulent, deceptive, threatening, harassing, defamatory, obscene, or otherwise objectionable",0
"(d) attempts, in any manner, to obtain the password, account, or other security information from any other user",0
"(e) violates the security of any computer network, or cracks any passwords or security encryption codes",0
"(f) runs maillist, listserv, any form of auto-responder or spam on the services, or any processes that run or are activated while you are not logged into the services, or that otherwise interfere with the proper working of the services (including by placing an unreasonable load on the services infrastructure)",0
"(g) crawls, scrapes, or spiders any page, data, or portion of or relating to the services or content (through use of manual or automated means)",1
(h) copies or stores any significant portion of the content.,1
Or,1
"(i) decompiles, reverse engineers, or otherwise attempts to obtain the source code or underlying ideas or information of or relating to the services.",1
A violation of any of the foregoing is grounds for termination of your right to use or access the services.,0
Such acts may also give rise to civil or criminal consequences.,0
What are my rights in the services?,0
"The materials displayed or performed or available on or through the services, including, but not limited to, text, graphics, data, articles, photos, images, illustrations, user submissions (as defined below) and so forth (all of the foregoing, the content ) are protected by copyright and/or other intellectual property laws.",0
"You promise to abide by all copyright notices, trademark rules, information, and restrictions contained in any content you access through the services, and you won t use, copy, reproduce, modify, translate, publish, broadcast, transmit, distribute, perform, upload, display, license, sell, commercialize or otherwise exploit for any purpose any content not owned by you, (i) without the prior consent of the owner of that content or (ii) in a way that violates someone else s (including inrupt's) rights.",0
"Subject to these terms, we grant each user of the services a worldwide, non-exclusive, non-sublicensable and non-transferable license to use (i.e., to download and display locally) content solely for purposes of using the services.",0
"Use, reproduction, modification, distribution or storage of any content for any purpose other than using the services is expressly prohibited without prior written permission from us.",0
You understand that inrupt owns the services.,0
"You won t modify, publish, transmit, participate in the transfer or sale of, reproduce (except as expressly provided in this section), create derivative works based on, or otherwise exploit any of the services.",0
"The services may allow you to copy or download certain content, but please remember that even where these functionalities exist, all the restrictions in this section still apply.",0
What about anything i contribute to the services do i have to grant any licenses to inrupt or to other users?,0
User content,0
"Anything you post, upload, share, store, or otherwise provide through the services is your user contentsubmission .",0
Some user content may be viewable by other users.,0
You are solely responsible for all user content you contribute to the services.,0
"You represent that you have all necessary rights to provide the user content and that all user content submitted by you in compliance with all applicable laws, rules and regulations",0
"You agree that you will not post, upload, share, store, or otherwise provide through the services any user content that: (i) infringe any third party's copyrights or other rights (e.g., trademark, privacy rights, etc.).",0
(ii) contain sexually explicit content or pornography.,1
"(iii) contain hateful, defamatory, or discriminatory content or incite hatred against any individual or group.",1
(iv) exploit minors.,1
(v) depict unlawful acts or extreme violence.,0
(vi) depict animal cruelty or extreme violence towards animals.,0
"(vii) promote fraudulent schemes, multi-level marketing (mlm) schemes, get rich quick schemes, online gaming and gambling, cash gifting, work from home businesses, or any other dubious money-making ventures.",0
Or (viii) that violate any law.,0
Licenses,0
"For all user content, you hereby grant inrupt a license to transform, modify (for technical purposes, for example, making sure your content is viewable on a mobile device as well as a computer) and reproduce and otherwise act with respect to such user submissions, in each case to enable us to operate the services, as described in more detail below.",0
This is a license only your ownership in user submissions is not affected.,0
"You understand and agree that inrupt, in performing the required technical steps to provide the services, may need to make changes to your user content to conform and adapt those user content to the technical requirements of connection networks, devices, services, or media, and the foregoing licenses include the rights to do so.",0
"In connection with the services, you may provide us (in a direct email or otherwise) with feedback, suggestions, improvements, enhancements, and/or feature requests relating to the services (each of the foregoing, a feedback )",0
"Additionally, inrupt may collect certain analytics or usage information based on your use of the services ( usage data )",0
"You hereby grant inrupt the licenses above, as well as a license to display, perform, and distribute the feedback and usage data, as well as all other rights necessary to use and exercise all rights in that feedback and usage data in connection with the services.",0
"You agree that the licenses you grant are royalty-free, perpetual, sublicensable, irrevocable, and worldwide.",0
Who is responsible for what i see and do on the services?,0
"Any information or content publicly posted or privately transmitted through the services is the sole responsibility of the person from whom such content originated, and you access all such information and content at your own risk, and we aren t liable for any errors or omissions in that information or content or for any damages or loss you might suffer in connection with it.",1
"We cannot control and have no duty to take any action regarding how you may interpret and use the content or what actions you may take as a result of having been exposed to the content, and you hereby release us from all liability for you having acquired or not acquired content through the services.",0
We can t guarantee the identity of any users with whom you interact in using the services and are not responsible for which users gain access to the services,0
"You are responsible for all content you contribute, in any manner, to the services, and you represent and warrant you have all rights necessary to do so, in the manner in which you contribute it.",0
The services may contain links or connections to third-party websites or services that are not owned or controlled by inrupt.,0
"When you access third-party websites or use third-party services, you accept that there are risks in doing so, and that inrupt is not responsible for such risks",0
"Inrupt has no control over, and assumes no responsibility for, the content, accuracy, privacy policies, or practices of or opinions expressed in any third-party websites or by any third party that you interact with through the services.",0
"In addition, inrupt will not and cannot monitor, verify, censor or edit the content of any third-party site or service.",0
We encourage you to be aware when you leave the services and to read the terms and conditions and privacy policy of each third-party website or service that you visit or utilize.,0
"By using the services, you release and hold us harmless from any and all liability arising from your use of any third-party website or service",0
"Your interactions with organizations and/or individuals found on or through the services, including payment and delivery of goods or services, and any other terms, conditions, warranties or representations associated with such dealings, are solely between you and such organizations and/or individuals.",0
You should make whatever investigation you feel necessary or appropriate before proceeding with any online or offline transaction with any of these third parties.,0
