text,highlighted
"Terms of serviceyour acceptance of the termsinstabridge.com (the website ) is operated by degoo backup ab, a company incorporated under swedish law with company registration number 556886-0729 ( we , us , our , or the company ).",0
The company provides a software application called instabridge ( instabridge or the application ).,0
"When (i) downloading, installing, activating and/or using the application or (ii) using or accessing the website ((i) and (ii) collectively the service ), you (the user or you ) agree that you have read, understood, and accept to be bound by (a) these terms of service, (b) the privacy policy and (c) the cookie policy ((a), (b) and (c) collectively the terms ), and any modifications that may be made to these terms from time to time.",0
"If you do not agree to these terms, please do not use the service.username and passwordyou do not have to create a user account to be able to use the service, but if you choose to create a user account you may choose a user name and a password.",0
"If you choose to create a user account, the username and password which you choose must not be: harmful, abusive, racially or ethnically offensive, sexually explicit, defamatory, infringing any intellectual property right or invasive of personal privacy rights.",0
"We have the right to change your username and/or password if they, in our opinion, violate these terms of service.",0
"When creating your user account, you will be asked to submit certain information about yourself such as your user name and email address.",0
"The information will be used to provide the service to you and to publish top lists on instabridge, thus disclosing your user name to other users.",0
"When creating a user account on instabridge, you agree to comply with these terms of service.",0
You also acknowledge that you have read and understood our privacy policy (available here https://instabridge.com/privacy-policy/) which apply to our processing of your personal data.,0
Your account is personal and you are not allowed to transfer your account to any third party.,0
"You are responsible for keeping the credentials of your user account confidential, and that you will not disclose (wilfully or by negligence) credentials of your user account to any third party or otherwise allow any third party to use your user account or your access to the service.",0
"If you have reason to believe that any third party has gained access to your user account, you must immediately inform us.",0
"We have the right, but not the obligation, to suspend access to your user account on instabridge if we have reason to believe that any third party has gained unlawful access to your user account.ownershipthe company or its licensors owns all materials and intellectual property that form part of the service, including but not limited to software, source code, text, pictures, icons, trademarks, logotypes, and/or sounds.",0
Using the service does not give the user any ownership rights over such materials.,0
Your usage of the service does not allow you to exploit in any way any part of or the whole service or produce derivatives of it.,0
You agree not to tamper with the service or to collect any data or source code from the service.,0
Any such attempt is a violation to these terms and may without any prior warnings lead to termination of your account and prohibition to create new accounts.user datainstabridge can require the user to log in with accounts from third party services.,0
The password to the user s third party account is not shared with or accessible by us.,0
