text,highlighted
Back to js bin,0
Blog help js bin terms of service agreement,0
"Last updated 12-jun, 2014 1.",0
Definitions 1.1.,0
The following defined terms apply in this agreement.,0
"Account: means your account enabling you to access the services relevant to your subscription being one, some or all of the following accounts - anonymous user , free user or pro user or such other package as js bin may provide from time to time.",0
Bin: means the user s generated content as content is defined later in these terms.,0
Documentation: any documentation made available to the user by js bin online via the js bin site or such other web address where the services may be accessed by the user from time to time which sets out a description of the services and the user instructions for the services.,0
Services: the services provided by js bin to you as defined in clause 2.2 below.,0
Software: the online software applications provided by js bin as part of the services.,0
Terms: the terms and conditions set out in this document.,0
User: the user of the service being a person who has set up an account,0
1.2.,0
Any other defined terms (introduced as such by capitalisation in bold) which appear later in these terms will take the meaning ascribed to them,0
1.3.,0
A reference to writing or written means to email.,0
"In other words,",0
This mighty document is our legal terms.,0
"Exciting stuff, but worth taking a few minutes to look through to understand what it means to you.",0
"We've tried to summarise the main points of each section, to make our terms a little more digestable",0
2.,0
Our contract with you 2.1.,0
"These terms are a contract between you, the user, and js bin limited ( we or us ), a company incorporated in england and wales under company number 08998555 with its registered office at 44 burstead close, brighton bn1 7ht ( js bin )",0
2.2.,0
Js bin operates jsbin.com which includes other domains from time to time which direct to jsbin.com via dns aliases (the js bin site ) and the js bin creation service contained therein.,0
"By using the js bin site and any services accessible from the js bin site, you are agreeing to be bound by these terms.",0
"If you do not agree to these terms or any part thereof, your only remedy is to not use the js bin site or any services or products offered on the js bin site or on any other platform, including mobile applications, offered by js bin (collectively, the service or services )",0
2.3.,0
Breach of these terms or any part thereof will entitle js bin to terminate your right to use the service.,0
Any account you may have created will be deleted.,0
Js bin reserves the right to refuse provision of the service to anyone at their complete discretion,0
2.4.,0
You agree and accept that your use of the service is entirely at your own risk,0
2.5.,0
These terms will apply for as long as you use the js bin site and/or the services.,0
Any part of these terms that by necessity or implication are to continue after your use of the js bin site or the services ends (including the licence under clause 5.1) shall continue in force.,0
"In other words,",0
There are a few rules which we need to play by.,0
We run jsbin.com and all the sites under that domain.,0
