text,highlighted
English,1
English,1
Indonesian,1
Sign in,0
Home,0
Press kit,0
Community,0
Open source,0
Privacy,0
Terms of service,0
Corporate information,0
"Terms of service these terms of service ( terms ) constitute an agreement between kinemaster corporation or its affiliates ( company ) and our customers who use our services through the access of our websites, mobile applications, products and contents ( customer ).",0
"When used in these terms, you or your refers to the customer who use our services, and we, our or us refers to the company.",0
The terms of service for the ios applications is separately provided here.,0
1.,0
"Purpose these terms aim to define all necessary conditions of a legally binding contract, including the rights, duties and obligations between the company and our customer who use our services through the access of our websites, mobile applications, products and contents.",0
2.,0
"Definitions (1) service collectively refers to all the services provided by the company through the access of our websites, mobile applications, products and contents.",0
(2)	 free service refers to any service provided by the company free of charge.,0
"(3)	 premium service refers to all the paid services provided by the company, in exception to paid asset and ip premium asset.",0
"(4)	 asset refers to any video, image, audio, animation, filter, template, effect, project and other features provided within the service.",0
(5)	 paid asset refers to any paid asset provided in distinction from the premium service.,0
(6)	 ip premium asset refers to any asset provided through a contract with an external content provider and which can be discovered in the fandom category of the asset store.,0
(7)	 customer refers to any customer who use our service.,0
(8)	 member refers to any customer who has created an account through the registration procedure prescribed by the company.,0
(9)	 non-member refers to any customer who are not registered as a member.,0
(10) id refers to the email address submitted by the customer and approved by the company for your identity verification and use of service.,0
(11) password refers to the combination of letters and/or numbers created by the customer for identity verification and protection of your rights and interests.,0
"(12) original video refers to the customer s images, video clips and other data used within the service but not provided by the company.",0
(13) customer work refers to any content created and stored by the customer through editing the original video using the given features within the service.,0
3.,0
Terms and agreement (1) you shall use the service in accordance to the provisions prescribed in these terms.,0
"(2)	if you do not agree to these terms, you do not have the right to use our service.",0
(3)	these terms shall be displayed on the initial page of our service for your easy access.,0
(4),0
"We may constitute separate terms of use and policies for the premium service and individual service (collectively, terms of premium service, etc",1
"), and if these terms herein conflict with the terms of premium service, etc., the latter takes precedence.",1
(5),0
"For matters not prescribed in or interpretable through these terms, they are governed by the terms of premium service, etc., the act on the regulation of terms and conditions, the framework act on telecommunications, the act on promotion of information and communications network utilization and information protection, etc., other applicable laws and regulations and the current commercial practices.",1
4.,0
"Modification of terms (1) we may amend these terms to the extent that does not violate the applicable laws and regulations, such as the act on the regulation of terms and conditions, the framework act on telecommunications, the act on promotion of information and communications network utilization and information protection, etc.",0
(2),0
"If these terms are to be amended, we will give you a notice prior to the amendment s effective date by publishing the current terms on the initial page of the service, with the reasons and the application date of the changes specified.",1
"In the case where the amendment is significant or may apply unfavorably to you, we will notify you individually in advance via digital methods, such as email, in-app message or push notification within the service, and the modifications will go into effect at least 30 days from the day of notification.",1
"However, if you have not provided your contact or did not update your contact information after changing them and thus is unable to be reached, you will be deemed to have been notified through means specified in article 18.",1
Changes addressing new features for enhancement of customer convenience or for legal reasons may be applied immediately.,1
"(3)	when we announce or notify you of the amendment based on the preceding paragraph and also specifically announce or notify that no response within the aforementioned time period will be deemed as an expression in itself, unless you explicitly refuse to the amendment, we will consider you have agreed to it.",0
5.,0
"Membership registration (1)	in order to use some of the service, you must register for a membership account.",0
Those who wish to become a member ( applicant ) must agree to these terms and the company s privacy policy and sign up for an account according to our registration procedure.,0
"With our approval, the registration will be complete.",0
"(2)	in principle, we approve of all membership registration applications.",0
"However, for any applicant who falls under following cases, we may reject the application, cancel the registration or terminate the membership contract:",0
"Anyone who had previously lost the membership according to these terms, except in the case where the company has approved of the re-registration.",1
Anyone who has submitted false information or has omitted the required information.,0
"Anyone under the age of 14 who has made the registration without the consent of one s legal representative (parent, etc.)",1
And our approval of such registration,1
(,0
"In principle, we do not permit the membership registration of anyone under the age of 14",1
).,0
And,0
"When the application is unacceptable due to reasons attributable to the applicant, or if the applicant has violated other prescribed matters.",0
(3)	the approval of registration may be withheld if the company is facing shortages in service facilities or technical or business-related problems.,0
6.,0
Modification of member information (1) the member may view and modify one s personal information through the personal information management page.,0
