text,highlighted
"Welcome to kolab now, provided by apheleia it ag ( we ), a software freedom company from bern, switzerland that is focused on the development of open source technologies for collaboration.",0
"The kolab now hosted service (the service ) provides such collaboration technologies as developed by apheleia it ag to individuals, groups, organizations and businesses ( you ).",0
"These currently include secure email, calendaring, personal address books and tasks lists, but we intend to add other capabilities over time.",0
"The service can be accessed through a variety of open standards with any modern web browser, mobile phone/tablet or desktop.",0
"The standard package includes ssl secured access via http, pop, imap, caldav, carddav, and webdav.",0
"Optionally, users can also connect their mobile devices via activesync.",0
The site terms of service.,0
"Didn t read independently reviewed these terms, which may help you to understand them better:",0
"The terms of service treat you fairly, respect your rights and follow the best practices.",0
Developed features are made available under a free software license,0
Only the necessary logs and debug information are kept,0
4 weeks to review changes and possibility to negotiate,0
No third-party access to your data without a duly authorized judicial swiss warrant,1
Fines for spammers,1
More details,0
"By making use of the service, you agree to the following terms",0
Please ensure you read them carefully.,0
Using kolab now,0
"We provide the service on software we have developed, participated in the development in, as well as software that was developed by third parties.",1
All that software is open source / free software according to the definitions of the open source initiative (osi) and the free software foundation (fsf).,1
"This is essential to protect your freedom to leave: there are no proprietary components that would stop you from setting up your own server for the same purpose, and migrate your data from kolab now to that server.",1
You are our customer.,0
All of the service is paid for by your monthly fee.,0
"There are no third party revenue streams, no selling of advertising or personal data.",0
We are at your service.,0
"Unlike other providers of similar services and this software, we also pay the developers of the software, which apheleia it ag releases as open source / free software.",0
"So by choosing kolab now, you are allowing key contributors to your favourite open source applications to focus on what they do best: developing more software, which is then made available to all.",0
"Your obligations include the payment of your monthly fee (according to the price list), and to use this service only as permitted by law.",0
Do not abuse this service to invade the privacy and violate the rights of others.,0
Abuse also includes the sending of unsolicited email ( spam ) for which you explicitly agree to pay a compensation of 0.01 chf per incident and recipient by making use of the service.,0
You must keep your account password and information confidential and not share it with any other person.,0
"If you learn of unauthorized use of your password or account, please contact us immediately.",0
We may at times inform you about service windows and administrative matters but will try to keep that mandatory communication to a minimum.,0
In case of urgency we may abstain from informing you about maintenance work.,0
"Effective date, term and termination",0
This agreement takes effect with the electronic confirmation of your subscription issued by apheleia it ag to you.,0
This agreement shall remain in force for an indefinite period of time.,0
It can be terminated by either party with a notice period of one month to the end of any calendar month.,0
Data privacy and security,0
This service is subject to the national laws of switzerland and we do our best to provide you with the maximum level of privacy in this legislation.,1
That means there will be no access to your data by third parties without a duly authorized warrant issued by a swiss judge.,0
We will only keep the minimum of logs and debug information necessary to ensure that we can improve the service and resolve issues that may have occurred.,0
The service employs a state-of-the art security-centric design of which we make use of to provide the service.,0
"Failure is always a possibility, though, and you have the obligation to ensure that you hold additional off-site copies of your data in the service.",0
"Due to the storage concepts of the service, the easiest way to maintain such copies are off-line/disconnected imap copies of all your data.",0
Warranties and disclaimers,0
We provide our service using a professionally and commercially determined level of skill and care to the best of our means and resources available to this service.,0
Other than as expressedly set out in these terms apheleia it ag does not make specific promises about the service.,0
"This includes in particular the data within the service, the specific functions of the service, or its reliability, availability, or ability to meet your needs.",0
We provide the services as is .,1
"Some jurisdictions provide for certain warranties, like the implied warranty of merchantability, fitness for a particular purpose and non-infringement.",0
"To the extent permitted by applicable law, we exclude all such warranties.",0
Liability,0
Each party shall without limitation be liable for damages caused by injury or death of any person employed or contracted by the other party which is caused by any breach of contract.,1
"To the extent permitted by the law, the liability of apheleia it ag and its staff for lost profits, revenues, or data, financial losses or any other indirect, special, consequential, exemplary, or punitive damages is excluded.",0
"In particular, our liability for slight negligence, as well as our liability for auxiliary persons, is excluded.",0
"To the extent permitted by law, the total liability of apheleia it ag for any claim under these terms, including for any implied warranties, is limited to the amount paid in the past year of usage of the service.",0
Never will apheleia it ag be liable for any loss or damage that has not been adequately foreseeable.,0
Indemnification,0
"You will indemnify and hold harmless apheleia it ag, our affiliates, officers, agents, and employees from any claim, suit or action arising from or related to the use of the services or violation of these terms, including any liability or expense arising from claims, losses, damages, suits, judgements, litigation costs and attorneys fees.",1
General,0
"These terms and the service prices may need to be modified in the future to adjust to changes in the service, to adhere to applicable legislation or to reflect economic necessities.",1
"When we change terms or prices, we will notify you by email to your main account in this service.",1
"After receiving that email you have 30 days to respond (a) by informing us that you agree to the new terms or prices, (b) by informing us that you disagree, in which case apheleia it ag may on a case to case basis agree to continue providing you with the service under the previous terms and/or prices, or (c) by giving us notice that you terminate this agreement regardless of the remaining duration you had agreed to under the previous terms.",1
Continuation of use after 30 days will constitute agreement to the new terms.,1
"If you violate these terms, apheleia it ag may seek to rectify the situation, including suspension and/or discontinuation of your account.",1
We will aim to be fair and proportionate.,1
"Also, apheleia it ag reserves the right to take measures belatedly against violations even if we decided to take no immediate measures.",0
This agreement constitutes the entire agreement between the parties regarding this subject matter.,0
All amendments or additions to the agreement must be made in writing.,0
"If any part of these terms shall be deemed invalid or unenforceable that part shall be replaced by a valid, enforceable term that comes closest to the intended meaning and leave the remainder of these terms unaffected.",1
"These terms are subject and governed by the substantial laws of switzerland with the exclusion of the vienna convention on the international sale of goods dated april 11, 1980.",0
"Disputes arising under or in connection with this agreement shall be exclusively subject to the jurisdiction of the courts of zurich, switzerland",0
Mandatory legal venue for consumer contracts is reserved.,0
Version: 2013-07-25,1
Updated to replace mykolab.com by kolab now on 2015-01-26,1
Updated to replace kolab systems ag with apheleia it ag on 2019-12-05,1
