text,highlighted
"Legal information this website is managed by liberapay, a non-profit organization legally founded in 2015 in france (identifier: w144000981).",0
Liberapay complies with the laws of the european union.,0
"With the help of our partners we monitor transactions for possible fraud, money laundering, and terrorism financing.",0
Contact us,0
Postal address:,0
Association liberapaychez m.,0
Costele bourgst jean le blanc14770 terres de druancefrance,0
This website is hosted on aws (ireland) by:,0
"Amazon web services, inc.p.o.",0
"Box 81226seattle, wa 98108-1226usa",0
"Amazon data services ireland ltdburlington plaza, burlington roaddublin 4ireland",0
"The publication director is liberapay's legal representative, currently charly coste",0
"Terms of service this contract is between liberapay, a non-profit organization founded in 2015",0
"Based on french law, hereinafter referred to as the organization , and the",0
"Person who signs up for its eponymous service, hereinafter referred to as the",0
User,0
1.,0
"Nature of the service the service is designed to facilitate anonymous, recurrent, monetary donations",0
Between its users.,0
The service normally allows the user to increase the visibility of its profile,1
"In various way, but the organization reserves the right to disable the user's",1
Access to those features.,1
The user agrees not to use the service for financial transactions that are not,0
"Donations, notably those linked to the execution of a contract or a promise of",0
Recompense,0
2.,0
Pricing the service is free.,0
"The user is invited to participate in its funding, through",0
"The service itself, by donating to the natural and legal persons that maintain",0
It,0
3.,0
Management of the funds,0
The organization guarantees that the funds the user has put in its custody will,1
Not be lost in case of bankruptcy of itself or of a third party to whom it has,1
Delegated the custody of the funds.,1
The organization pledges to correct any mistake on its part in the execution of,0
The donations.,0
The organization does not guarantee that the user will be able to withdraw the,1
Money in its account without delay.,1
"In particular, the organization may impose a",1
Delay to deter and protect itself from fraud,0
4.,0
Honesty,0
"The user commits to use the service in good faith, in particular the user",1
Commits not to lie about their identity and not to fill their profile in a,1
Deceptive way for the purpose of attracting more donations.,1
5.,0
Reimbursements the user commits to reimburse a donation received if it is revealed that its,0
Origin is fraudulent.,0
Neither the user nor the organization commit to the reimbursement of a donation,0
Following a request with no solid legal or contractual basis,0
6.,0
"Intellectual property when the user transmits to the service a copyrighted content, it authorizes the",0
"Organization to store, copy, translate, and publish it.",0
By doing so the user,0
Declares that they hold the rights necessary to grant this licence,0
7.,0
Termination of service,0
The user can quit the service by closing their account.,1
Doing so does not negate,0
The responsibility of the user for the period during which they used the,0
Service.,0
The organization may close the user's account if it considers that they have,1
"Violated this contract, or a contract with a partner of the organization, or any",1
Applicable law.,1
8.,0
Disclaimers the only commitments made by the organization in this contract are those that,0
Are explicitly listed in it.,0
The organization does not implicitly commit to,1
"Anything, in particular it does not guarantee that the service will be",1
Operational at all times without interruptions,1
The organization cannot be held responsible for the consequences of negligence,1
"By the user, notably of failure by the user to secure their password.",1
The organization does not assume any of the user's responsibilities.,0
"Notably,",0
The user is responsible for the declaration of any income received through the,0
Service to the competent authorities and to pay any applicable taxes.,0
The organization is not responsible in case of dispute between a donor and a,0
Donee when it only acted as an intermediary between them,0
9.,0
Modifications,0
The organization may modify this contract at any time.,1
It undertakes to inform,1
The user of any changes.,1
"By continuing to use the service, the user tacitly",0
Accepts the new conditions.,0
"If the user refuses the new conditions, then they",0
Must close their account,0
10.,0
Jurisdiction,0
This contract is subject to french law.,1
Any dispute shall be submitted to the,1
Competent french jurisdiction.,1
"This document is a translation provided for your convenience, the actual binding",0
Contract is the original version written in french.,0
"If a part of this contract is nullified, that judgment does not nullify the rest",1
Of the agreement,1
11.,0
Cookies,0
The user acknowledges that cookies are necessary for the service to function and,1
Agrees to their use.,1
Privacy policy see the privacy page.,0
