text,highlighted
"Effective on august 11, 2020",1
Our mission is to connect the world s professionals to allow them to be more productive and successful.,0
"Our services are designed to promote economic opportunity for our members by enabling you and millions of other professionals to meet, exchange ideas, learn, and find opportunities or employees, work, and make decisions in a network of trusted relationships.more information about how we use your content is in our user agreement videotable of contents:",0
Introduction,0
Obligations,0
Rights and limits,0
Disclaimer and limit of liability,0
Termination,0
Governing law and dispute resolution,0
General terms,0
Linkedin dos and don ts,0
Complaints regarding content,0
How to contact us,0
1.,0
Introduction1.1 contractwhen you use our services you agree to all of these terms.,0
"Your use of our services is also subject to our cookie policy and our privacy policy, which covers how we collect, use, share, and store your personal information.",0
"You agree that by clicking join now , join linkedin , sign up or similar, registering, accessing or using our services (described below), you are agreeing to enter into a legally binding contract with linkedin (even if you are using our services on behalf of a company).",0
"If you do not agree to this contract ( contract or user agreement ), do not click join now (or similar) and do not access or otherwise use any of our services.",0
"If you wish to terminate this contract, at any time you can do so by closing your account and no longer accessing or using our services.servicesthis contract applies to linkedin.com, linkedin-branded apps, linkedin learning and other linkedin-related sites, apps, communications and other services that state that they are offered under this contract ( services ), including the offsite collection of data for those services, such as our ads and the apply with linkedin and share with linkedin plugins.",0
Registered users of our services are members and unregistered users are visitors .linkedinyou are entering into this contract with linkedin (also referred to as we and us ).,0
"We use the term designated countries to refer to countries in the european union (eu), european economic area (eea), and switzerland.",1
"If you reside in the designated countries , you are entering into this contract with linkedin ireland unlimited company ( linkedin ireland ) and linkedin ireland will be the controller of your personal data provided to, or collected by or for, or processed in connection with our services.",0
"If you reside outside of the designated countries , you are entering into this contract with linkedin corporation ( linkedin corp",0
) and linkedin corp.,0
"Will be the controller of your personal data provided to, or collected by or for, or processed in connection with our services.",0
This contract applies to members and visitors.,0
"As a visitor or member of our services, the collection, use and sharing of your personal data is subject to this privacy policy (which includes our cookie policy and other documents referenced in this privacy policy) and updates.1.2 members and visitorswhen you register and join the linkedin services, you become a member.",0
"If you have chosen not to register for our services, you may access certain features as a visitor",1
1.3 changewe may make changes to the contract,0
"We may modify this contract, our privacy policy and our cookies policy from time to time.",1
"If we make material changes to it, we will provide you notice through our services, or by other means, to provide you the opportunity to review the changes before they become effective.",1
We agree that changes cannot be retroactive.,1
"If you object to any changes, you may close your account.",1
Your continued use of our services after we publish or send a notice about our changes to these terms means that you are consenting to the updated terms as of their effective date,0
2.,0
Obligations2.1 service eligibilityhere are some promises that you make to us in this contract:,0
You re eligible to enter into this contract and you are at least our minimum age,0
The services are not for use by anyone under the age of 16.,1
"To use the services, you agree that: (1) you must be the minimum age members who were below this new minimum age when they started using the services under a previous user agreement which had allowed certain persons under 16 to use the services, may continue to use the services.",0
As of june 2017 persons under the age of 16 are not eligible to use our services,0
(described below) or older.,0
"(2) you will only have one linkedin account,",1
Which must be in your real name.,0
And (3) you are not already restricted by linkedin from using the services.,0
"Creating an account with false information is a violation of our terms, including accounts registered on behalf of others or persons under the age of 16.",0
Minimum age means 16 years old.,0
"However, if law requires that you must be older in order for linkedin to lawfully provide the services to you without parental consent (including using of your personal data) then the minimum age is such older age.2.2 your accountyou will keep your password a secret.",0
You will not share an account with anyone else and will follow our rules and the law.,0
Members are account holders.,0
You agree to: (1) use a strong password and keep it confidential.,0
"(2) not transfer any part of your account (e.g., connections) and (3) follow the law and our list of dos and don ts and professional community policies.",0
You are responsible for anything that happens through your account unless you close it or report misuse.,0
"As between you and others (including your employer), your account belongs to you.",0
"However, if the services were purchased by another party for you to use (e.g.",0
"Recruiter seat bought by your employer), the party paying for such service has the right to control access to and get reports on your use of such paid service.",0
"However, they do not have rights to your personal account.2.3 paymentyou ll honor your payment obligations and you are okay with us storing your payment information.",0
You understand that there may be fees and taxes that are added to our prices.,0
Refunds are subject to our policy.,0
"If you buy any of our paid services ( premium services ), you agree to pay us the applicable fees and taxes and to additional terms specific to the paid services.",0
Failure to pay these fees will result in the termination of your paid services.,0
"Also, you agree that:",0
Your purchase may be subject to foreign exchange fees or differences in prices based on location (e.g.,0
Exchange rates).,0
We may store and continue billing your payment method (e.g.,0
"Credit card) even after it has expired, to avoid interruptions in your services and to use to pay other services you may buy.",0
"If you purchase a subscription, your payment method automatically will be charged at the start of each subscription period for the fees and taxes applicable to that period.",1
"To avoid future charges, cancel before the renewal date.",0
Learn how to cancel or suspend your premium services.,0
All of your purchases of services are subject to linkedin s refund policy.,0
We may calculate taxes payable by you based on the billing information that you provide us at the time of purchase.,0
"You can get a copy of your invoice through your linkedin account settings under purchase history .2.4 notices and messagesyou re okay with us providing notices and messages to you through our websites, apps, and contact information.",0
"If your contact information is out of date, you may miss out on important notices.",0
"You agree that we will provide notices and messages to you in the following ways: (1) within the service, or (2) sent to the contact information you provided us (e.g., email, mobile number, physical address).",0
You agree to keep your contact information up to date.,0
"Please review your settings to control and limit messages you receive from us.2.5 sharingwhen you share information on our services, others can see, copy and use that information.",0
"Our services allow messaging and sharing of information in many ways, such as your profile, articles, group posts, links to news articles, job postings, messages and inmails.",0
"Information and content that you share or post may be seen by other members, visitors or others (including off of the services).",0
"Where we have made settings available, we will honor the choices you make about who can see content or information (e.g., message content to your addressees, sharing content only to linkedin connections, restricting your profile visibility from search engines, or opting not to notify others of your linkedin profile update).",1
"For job searching activities, we default to not notifying your connections network or the public.",1
"So, if you apply for a job through our service or opt to signal that you are interested in a job, our default is to share it only with the job poster.",1
We are not obligated to publish any information or content on our service and can remove it with or without notice.3.,0
Rights and limits3.1.,0
Your license to linkedin,0
You own all of the content,1
",",0
Feedback and personal information you provide to us,1
", but you also grant us a non-exclusive license to it.",0
"We ll honor the choices you make about who gets to see your information and content, including how it can be used for ads.",0
"As between you and linkedin, you own the content and information that you submit or post to the services, and you are only granting linkedin and our affiliatesaffiliates are companies controlling, controlled by or under common control with us, including, for example, linkedin ireland, linkedin corporation, linkedin singapore and microsoft corporation.",0
The following non-exclusive license:,1
"A worldwide, transferable and sublicensable right to use, copy, modify, distribute, publish and process, information and content that you provide through our services and the services of others, without any further consent, notice and/or compensation to you or others.",1
These rights are limited in the following ways:,0
"You can end this license for specific content by deleting such content from the services, or generally by closing your account, except (a) to the extent you shared it with others as part of the service and they copied, re-shared it or stored it and (b) for the reasonable time it takes to remove from backup and other systems.",0
We will not include your content in advertisements for the products and services of third parties to others without your separate consent (including sponsored content).,1
"However, we have the right, without payment to you or others, to serve ads near your content and information, and your social actionse.g.",1
"Likes, comments, follows, shares may be visible and included with ads, as noted in the privacy policy.",1
"If you use a service feature, we may mention that with your name or photo to promote that feature within our services, subject to your settings.",1
We will get your consent if we want to give others the right to publish your content beyond the services.,0
"However, if you choose to share your post as ""publicincluding any public + (e.g.",0
"Public + twitter)"", we will enable a feature that allows other members to embed that public post onto third-party services, and we enable search engines to make that public content findable though their services.",0
Learn more,0
"While we may edit and make format changes to your content (such as translating or transcribing it, modifying the size, layout or file type or removing metadata), we will not modify the meaning of your expression.",0
"Because you own your content and information and we only have non-exclusive rights to it, you may choose to make it available to others, including under the terms of a creative commons license.",0
"You and linkedin agree that if content includes personal data, it is subject to our privacy policy.",0
"You and linkedin agree that we may access, store, process and use any information and personal data that you provide in accordance with, the terms of the privacy policy and your choices (including settings).",0
"By submitting suggestions or other feedback regarding our services to linkedin, you agree that linkedin can use and share (but does not have to) such feedback for any purpose without compensation to you.",0
"You promise to only provide information and content that you have the right to share, and that your linkedin profile will be truthful.",0
You agree to only provide content or information that does not violate the law nor anyone s rights (including intellectual property rights).,0
You also agree that your profile information will be truthful.,0
Linkedin may be required by law to remove certain information or content in certain countries.3.2 service availabilitywe may change or end any service or modify our prices prospectively,0
"We may change, suspend or discontinue any of our services.",1
We may also modify our prices effective prospectively upon reasonable notice to the extent allowed under the law.,0
We don t promise to store or keep showing any information and content that you ve posted.,0
Linkedin is not a storage service.,0
"You agree that we have no obligation to store, maintain or provide you a copy of any content or information that you or others provide, except to the extent required by applicable law and as noted in our privacy policy.3.3 other content, sites and appsyour use of others content and information posted on our services, is at your own risk.",0
"Others may offer their own products and services through our services, and we aren t responsible for those third-party activities.",0
"By using the services, you may encounter content or information that might be inaccurate, incomplete, delayed, misleading, illegal, offensive or otherwise harmful.",0
Linkedin generally does not review content provided by our members or others.,0
You agree that we are not responsible for others (including other members ) content or information.,0
"We cannot always prevent this misuse of our services, and you agree that we are not responsible for any such misuse.",0
You also acknowledge the risk that you or your organization may be mistakenly associated with content about others when we let connections and followers know you or your organization were mentioned in the news.,0
Members have choices about this feature.,0
"Linkedin may help connect members offering their services (career coaching, accounting, etc.)",0
With members seeking services.,0
Linkedin does not perform nor employs individuals to perform these services.,0
"You must be at least 18 years of age to offer, perform or procure these services.",0
"You acknowledge that linkedin does not supervise, direct, control or monitor members in the performance of these services and agree that (1) linkedin is not responsible for the offering, performance or procurement of these services, (2) linkedin does not endorse any particular member s offered services, and (3) nothing shall create an employment, agency, or joint venture relationship between linkedin and any member offering services.",0
"If you are a member offering services, you represent and warrant that you have all the required licenses and will provide services consistent with our professional community policies.",0
"Similarly, linkedin may help you register for and/or attend events organized by members and connect with other members who are attendees at such events.",0
"You agree that (1) linkedin is not responsible for the conduct of any of the members or other attendees at such events, (2) linkedin does not endorse any particular event listed on our services, (3) linkedin does not review and/or vet any of these events, and (4) that you will adhere to these terms and conditions that apply to such events.3.4 limits",0
We have the right to limit how you connect and interact on our services.,1
"Linkedin reserves the right to limit your use of the services, including the number of your connections and your ability to contact other members.",1
"Linkedin reserves the right to restrict, suspend, or terminate your account if you breach this contract or the law or are misusing the services (e.g., violating any of the dos and don ts or professional community policies).",1
3.5 intellectual property rightswe re providing you notice about our intellectual property rights.,0
Linkedin reserves all of its intellectual property rights in the services.,0
Trademarks and logos used in connection with the services are the trademarks of their respective owners.,0
"Linkedin, and in logos and other linkedin trademarks, service marks, graphics and logos used for our services are trademarks or registered trademarks of linkedin.3.6 automated processingwe use data and information about you to make relevant suggestions to you and others.",0
"We use the information and data that you provide and that we have about members to make recommendations for connections, content and features that may be useful to you.",0
"For example, we use data and information about you to recommend jobs to you and you to recruiters.",0
Keeping your profile accurate and up to date helps us to make these recommendations more accurate and relevant.4.,0
"Disclaimer and limit of liability4.1 no warrantythis is our disclaimer of legal liability for the quality, safety, or reliability of our services.",0
"Linkedin and its affiliates make no representation or warranty about the services, including any representation that the services will be uninterrupted or error-free,",1
And provide the services (including content and information) on an as is and as available basis.,1
"To the fullest extent permitted under applicable law, linkedin and its affiliates disclaim any implied or statutory warranty, including any implied warranty of title, accuracy of data, non-infringement, merchantability or fitness for a particular purpose.",1
4.2 exclusion of liabilitythese are the limits of legal liability we may have to you.,0
"To the fullest extent permitted by law (and unless linkedin has entered into a separate written agreement that overrides this contract),",0
"Linkedin, including its affiliates, will not be liable in connection with this contract for lost profits or lost business opportunities, reputation (e.g., offensive or defamatory statements), loss of data (e.g., down time or loss, use of, or changes to, your information or content) or any indirect, incidental, consequential, special or punitive damages.",1
"Linkedin and its affiliates will not be liable to you in connection with this contract for any amount that exceeds (a) the total fees paid or payable by you to linkedin for the services during the term of this contract, if any, or (b) us $1000.",1
4.3 basis of the bargain.,0
"Exclusionsthe limitations of liability in this section 4 are part of the basis of the bargain between you and linkedin and shall apply to all claims of liability (e.g., warranty, tort, negligence, contract and law) even if linkedin or its affiliates has been told of the possibility of any such damage, and even if these remedies fail their essential purpose.",0
"These limitations of liability do not apply to liability for death or personal injury or for fraud, gross negligence or intentional misconduct, or in cases of negligence where a material obligation has been breached, a material obligation being such which forms a prerequisite to our delivery of services and on which you may reasonably rely, but only to the extent that the damages were directly caused by the breach and were foreseeable upon conclusion of this contract and to the extent that they are typical in the context of this contract.5.",0
"Terminationwe can each end this contract, but some rights and obligations survive.",0
Both you and linkedin may terminate this contract at any time with notice to the other.,1
"On termination, you lose the right to access or use the services.",0
The following shall survive termination:,0
Our rights to use and disclose your feedback,0
Members and/or visitors rights to further re-share content and information you shared through the services,0
"Sections 4, 6, 7, and 8.2 of this contract",0
Any amounts owed by either party prior to termination remain owed after termination.,0
You can visit our help center to close your account.6.,0
Governing law and dispute resolution,0
"In the unlikely event we end up in a legal dispute, you and linkedin agree to resolve it in california courts using california law, or dublin, ireland courts using irish law.",1
"This section shall not deprive you of any mandatory consumer protections under the law of the country to which we direct services to you, where you have your habitual residence.",0
If you live in the designated countries,0
"We use the term designated countries to refer to countries in the european union (eu), european economic area (eea), and switzerland.: you and linkedin ireland agree that the laws of ireland, excluding conflict of laws rules, shall exclusively govern any dispute relating to this contract and/or the services.",1
"You and linkedin ireland agree that claims and disputes can be litigated only in dublin, ireland, and we each agree to personal jurisdiction of the courts located in dublin, ireland.",1
"For others outside of designated countries, including those who live outside of the united states: you and linkedin agree that the laws of the state of california, u.s.a., excluding its conflict of laws rules, shall exclusively govern any dispute relating to this contract and/or the services.",1
"You and linkedin both agree that all claims and disputes can be litigated only in the federal or state courts in santa clara county, california, usa, and you and linkedin each agree to personal jurisdiction in those courts.7.",0
General termshere are some important details about the contract.,0
"If a court with authority over this contract finds any part of it unenforceable, you and we agree that the court should modify the terms to make that part enforceable while still achieving its intent.",0
"If the court cannot do that, you and we agree to ask the court to remove that unenforceable part and still enforce the rest of this contract.",0
This contract (including additional terms that may be provided by us when you engage with a feature of the services) is the only agreement between us regarding the services and supersedes all prior agreements for the services.,0
