text,highlighted
Condiciones legales,0
1.,0
Datos identificativos,0
"Unidad editorial informacion deportiva s.l.u, (en adelante, unidad editorial) es titularidad de unidad editorial, s.a, cuyo domicilio social se encuentra sito en la avenida de san luis, 25, 28033 madrid (espa a) con cif es b-81868697.",0
"Esta entidad se encuentra inscrita en el registro mercantil de madrid, al, tomo 12.636, folio 180, hoja m-202141, inscripci n 1 .el tel fono de contacto es el [*] y el fax el [*] la direcci n de correo electr nico de contacto es la siguiente unidad editorial informaci n deportiva, s.l.u est adherida al c digo de conducta publicitaria de autocontrol.",0
Asimismo el nombre de dominio titularidad de unidad editorial es marca.com,0
2.,0
Objeto y mbito de aplicaci n,0
2.1.,0
"Estas son las condiciones generales (en adelante ""condiciones generales"") que regulan el acceso, navegaci n y uso de los sitios web bajo el dominio ""marca.com"" (en adelante ""sitio web""), as como las responsabilidades derivadas de la utilizaci n de sus contenidos (entendiendo en adelante por ""contenidos"" los textos, gr ficos, dibujos, dise os, c digos, software, fotograf as, m sica, v deos, sonidos, bases de datos, im genes, expresiones e informaciones, as como cualquier otra creaci n protegida por las leyes nacionales y los tratados internacionales sobre propiedad intelectual e industrial).",0
"Independientemente de las mismas, unidad editorial podr establecer unas condiciones particulares que regulen la utilizaci n y/o contrataci n de servicios espec ficos ofrecidos a los usuarios a trav s del sitio web.",0
2.2.,0
Se entender que el acceso o la mera utilizaci n del sitio web por parte del usuario implica la adhesi n de ste a las condiciones generales que unidad editorial tenga publicadas en cada momento en el que acceda al sitio web y que estar n disponibles para los usuarios.,0
"En consecuencia, el usuario debe leer atentamente estas condiciones generales.",0
"En este sentido, se entender por usuario a la persona que acceda, navegue, utilice o participe en los servicios y actividades, gratuitas u onerosas, desarrolladas en el sitio web.",0
2.3.,0
"Asimismo, a trav s del sitio web, unidad editorial podr habilitar a terceras entidades para que publiciten o presten sus servicios.",0
"En estos casos, unidad editorial no ser responsable de establecer las condiciones generales y particulares a tener en cuenta en la utilizaci n, prestaci n o contrataci n de estos servicios por terceros y, por tanto, no podr ser considerado responsable de los mismos.",0
2.4.,0
"Antes de utilizar y/o contratar dichos servicios espec ficos prestados por unidad editorial, el usuario deber leer atentamente las correspondientes condiciones particulares creadas a tal efecto por unidad editorial.",0
La utilizaci n y/o la contrataci n de dichos servicios espec ficos implica la aceptaci n de las condiciones particulares que los regulen en la versi n publicada por unidad editorial en el momento en que se produzca dicha utilizaci n y/o contrataci n,0
3.,0
Derechos de propiedad intelectual e industrial,0
3.1.,0
"Unidad editorial como autor de obra colectiva, o cualquiera obra o prestaciones de cualquier naturaleza, es titular de los derechos de propiedad intelectual e industrial del sitio web, y es tambi n titular o tiene la correspondiente licencia, autorizaci n o cesi n sobre los derechos de propiedad intelectual, industrial y de imagen sobre de los contenidos y servicios disponibles a trav s del mismo.",0
3.2.,0
"En ning n caso se entender que el acceso y navegaci n del usuario implica una renuncia, transmisi n, licencia o cesi n total ni parcial de dichos derechos por parte de unidad editorial.",0
3.3.,0
