text,highlighted
Terms of servicethe gist we (the people who work with minds) create free and open source software and run the minds.com social network.,0
We would love for you to use it and help us evolve this document in the direction that best supports and protects minds and its community.,0
Public commentary and peer-review is encouraged via the help &amp.,0
Support group and also on gitlab.,0
The minds basic service of creating a channel or launching a presence on minds.com is free.,0
We also offer paid upgrades for advanced features and other commercial services.,0
Minds software and services are designed to give you as much control and ownership over your social experience as possible and to encourage you to express yourself freely.,0
"However, be responsible in what you publish and use basic internet safety procedures when posting.",0
"In particular, make sure that none of the prohibited items listed in the minds content policy, as defined in section 15, appear on your channel or get linked to/from your channel (things like spam, malware, viruses, or illegal content or serious threats of violence.)",0
"If you find content that is objectionable, then unsubscribe, block, report or just swipe on by.",0
"Minds is an open, free and public commons where users respect the right to use free speech.",0
"Of course, you may find a violation of these terms of service as you traverse minds, in which case please report the channel from the settings cog on the content or channel profile or by email to info@minds.com.",0
"(note, we ve decided to make the below terms of service available under a creative commons attribution-sharealike license, as wordpress provided for us, which means you re more than welcome to repurpose it for your own use.",0
"Just make sure to replace references to us with ones to you, and give an attribution link to minds.com somewhere on your website.)",0
"Minds software and services are owned and operated by minds, inc.",0
"( minds , we or us ).",0
"Our software and services are offered subject to your acceptance without modification of these terms of service and all other operating rules, policies (including our privacy policy) and procedures that may be published from time to time on this site by minds, as well as the terms of sale of minds tokens (available at https://www.minds.com/token) (collectively, these terms ).",0
"We may, from time to time, change or upgrade the services (defined below), in whole or in part.",0
You acknowledge that these terms will apply to any such changes or upgrades.,0
"These terms govern your access to and use of minds tokens in connection with the minds social network, including https://www.minds.com, www.minds.org, and all other network sites under the minds domain ( minds network ), the minds network, and minds mobile applications and any other online services (collectively, the services ) provided by us or our legal affiliates, including any content, functionality, features and applications offered on or through the services to you as a guest or registered user of the services (each, a user ).",0
Please read these terms carefully before you start to use our services.,0
"By using any of the services, you accept these terms, which means that you are entering a legally binding contract with us.",0
"If you do not accept these terms, or if you violate these terms in any way, you may not be authorized to access or use the services, and your minds tokens will be forfeited.",0
You understand that we may change these terms from time to time in our sole discretion and in accordance with section 21 below.,0
"It is your responsibility to periodically check these terms posted so that you are aware of any changes, as they are binding on you.",0
1.,0
Your minds username and channel 1.,0
Use of our services requires a minds username and channel.,0
You are responsible for keeping your password secure.,0
You affirm that you are either more than 18 years of age or possess legal parental or guardian consent to enter into these terms &amp.,0
"Conditions, and to comply with these terms of use.",0
"In any case, you affirm that you are over the age of 13 ( minimum age ), as the website is not intended for children under 13.",0
2.,1
"If you create a channel on the minds platform, you are responsible for maintaining the security of your channel, and you are fully and solely responsible for all activities that occur therein.",1
3.,0
"Minds reserves the right to reclaim any username that has not been active for one year or longer, violates any terms or conditions of these terms or that was created for the sole purpose to resell to a verified user with that same name (a.k.a.",0
Cybersquatting channels.),0
2.,1
Responsibility of registered users 1.,0
You acknowledge that you are solely responsible for all activity that occurs through your channel or username and all of your activity on the minds network.,0
You acknowledge that you are solely responsible for keeping your account information (including your access credentials) secret and secure.,0
"You shall not sell, rent, lease, lend, transfer, license or assign your account, credentials, or any account rights.",0
"With the exception of people or businesses that are expressly authorized to create accounts on behalf of their employers or clients, minds prohibits the creation of accounts on behalf of other persons or entities.",0
"Unless you are so authorized, you shall not create a minds account on behalf of any other person or entity.",0
2.,1
You also acknowledge that:,0
A.,0
"You are solely responsible for your interaction with other users of the services, whether online or offline.",0
You agree that minds is not responsible or liable for the conduct of any user.,0
"Minds reserves the right, but has no obligation, to become involved in disputes between you and other users.",1
B.,0
"You shall not describe or assign keywords to your channel in a misleading or unlawful manner, including any manner which trades on the name or reputation of others.",0
