text,highlighted
Monkey see,0
Monkeytype,0
"Terms of service these terms of service were last updated on september 11, 2021.",0
Agreement,0
"By accessing this website, accessible from monkeytype.com, you are",0
Agreeing to be bound by these website terms of service and agree that,0
You are responsible for the agreement in accordance with any,0
Applicable local laws.,0
If you do not agree to all the terms and conditions of this,0
"Agreement, you are not permitted to access or use our services.",0
Limitations,0
You are responsible for your account's security and all activities on,1
Your account.,1
"You must not, in the use of this site, violate any",0
"Applicable laws, including, without limitation, copyright laws, or any",0
"Other laws regarding the security of your personal data, or otherwise",0
Misuse this site.,0
Monkeytype reserves the right to remove or disable any account or any,1
"Other content on this site at any time for any reason, without prior",1
"Notice to you, if we believe that you have violated this agreement.",1
"You agree that you will not upload, post, host, or transmit any",1
Content that:,1
Is unlawful or promotes unlawful activities,1
Is or contains sexually obscene content,1
"Is libelous, defamatory, or fraudulent",1
Is discriminatory or abusive toward any individual or group,1
"Is degrading to others on the basis of gender, race, class,",1
"Ethnicity, national origin, religion, sexual preference,",1
"Orientation, or identity, disability, or other classification, or",1
"Otherwise represents or condones content that: is hate speech,",1
"Discriminating, threatening",1
", or pornographic.",0
Incites violence.,0
Or,0
Contains nudity or graphic or gratuitous violence.,0
"Violates any person's right to privacy or publicity, or otherwise",0
"Solicits, collects, or publishes data, including personal",0
"Information and login information, about other users without consent",0
Or for unlawful purposes in violation of any applicable,0
"International, federal, state, or local law, statute, ordinance, or",0
Regulation.,0
Or,0
Contains or installs any active malware or exploits/uses our,0
Platform for exploit delivery (such as part of a command or control,0
System).,0
"Or infringes on any proprietary right of any party,",0
"Including patent, trademark, trade secret, copyright, right of",0
"Publicity, or other rights.",0
"While using the services, you agree that you will not:",0
"Harass, abuse, threaten, or incite violence towards any individual",0
"Or group, including other users and monkeytype contributors.",0
Use our servers for any form of excessive automated bulk activity,0
"(e.g., spamming), or rely on any other form of unsolicited",0
Advertising or solicitation through our servers or services.,0
Attempt to disrupt or tamper with our servers in ways that could a),0
Harm our website or services or b) place undue burden on our,0
Servers.,0
Access the services in ways that exceed your authorization,0
"Falsely impersonate any person or entity, including any of our",0
"Contributors, misrepresent your identity or the site's purpose, or",0
Falsely associate yourself with monkeytype.,0
"Violate the privacy of any third party, such as by posting another",0
Person's personal information without their consent.,0
Access or attempt to access any service on the services by any means,0
"Other than as permitted in this agreement, or operating the services",0
On any computers or accounts which you do not have permission to,0
Operate.,0
Facilitate or encourage any violations of this agreement or,0
"Interfere with the operation, appearance, security, or functionality",0
Of the services.,0
Or,0
Use the services in any manner that is harmful to minors.,0
"Without limiting the foregoing, you will not transmit or post any",0
Content anywhere on the services that violates any laws.,0
Monkeytype,0
Absolutely does not tolerate engaging in activity that significantly,0
Harms our users.,0
We will resolve disputes in favor of protecting our,0
Users as a whole.,0
Privacy policy,0
"If you use our services, you must abide by our privacy policy.",0
You,0
"Acknowledge that you have read our privacy policy and understand that it sets forth how we collect, use, and store your",0
Information.,0
"If you do not agree with our privacy statement, then you",0
Must stop using the services immediately.,0
"Any person, entity, or service",0
Collecting data from the services must comply with our privacy,0
Statement.,0
Misuse of any user's personal information is prohibited.,0
If,0
"You collect any personal information from a user, you agree that you",0
Will only use the personal information you gather for the purpose for,0
Which the user has authorized it.,0
You agree that you will reasonably,0
"Secure any personal information you have gathered from the services, and",0
"You will respond promptly to complaints, removal requests, and 'do not",0
Contact' requests from us or users.,0
Limitations on automated use,0
You shouldn't use bots or access our services in malicious or,0
Un-permitted ways.,0
"While accessing or using the services, you may not:",0
"Use bots, hacks, or cheats while using our site",0
Create manual requests to monkeytype servers,0
"Tamper with or use non-public areas of the services, or the computer",0
Or delivery systems of monkeytype and/or its service providers.,0
"Probe, scan, or test any system or network (particularly for",0
"Vulnerabilities), or otherwise attempt to breach or circumvent any",0
"Security or authentication measures, or search or attempt to access",0
Or search the services by any means (automated or otherwise) other,0
"Than through our currently available, published interfaces that are",0
Provided by monkeytype (and only pursuant to those terms and,0
"Conditions), unless you have been specifically allowed to do so in a",0
"Separate agreement with monkeytype, inc., or unless specifically",0
"Permitted by monkeytype, inc.'s robots.txt file or other robot",0
Exclusion mechanisms.,0
"Scrape the services, scrape content from the services, or use",1
"Automated means, including spiders, robots, crawlers, data mining",1
"Tools, or the like to download data from the services or otherwise",1
Access the services,1
Employ misleading email or ip addresses or forged headers or,0
Otherwise manipulated identifiers in order to disguise the origin of,0
Any content transmitted to or through the services.,0
"Use the services to send altered, deceptive, or false",0
"Source-identifying information, including, without limitation, by",0
Forging tcp-ip packet headers or e-mail headers.,0
Or,0
"Interfere with, or disrupt or attempt to interfere with or disrupt,",0
"The access of any user, host, or network, including, without",0
"Limitation, by sending a virus to, spamming, or overloading the",0
"Services, or by scripted use of the services in such a manner as to",0
Interfere with or create an undue burden on the services.,0
Links,0
Monkeytype is not responsible for the contents of any linked sites.,0
The,0
Use of any linked website is at the user's own risk.,0
Changes,0
Monkeytype may revise these terms of service for its website at any time,0
Without prior notice.,0
"By using this website, you are agreeing to be",0
Bound by the current version of these terms of service.,0
Disclaimer,0
"Excluding the explicitly stated warranties within these terms, we only",1
Offer our services on an 'as-is' basis.,1
Your access to and use of the,1
Services or any content is at your own risk.,1
You understand and agree,0
"That the services and content are provided to you on an 'as is,' 'with",0
"All faults,' and 'as available' basis.",0
"Without limiting the foregoing,",0
"To the full extent permitted by law, monkeytype disclaims all",0
"Warranties, express or implied, including without limitation",0
"Warranties of merchantability, fitness for a particular purpose, or",0
Non-infringement.,0
To the extent such disclaimer conflicts with,0
"Applicable law, the scope and duration of any applicable warranty will",0
Be the minimum permitted under such law.,0
Monkeytype makes no,0
"Representations, warranties, or guarantees as to the reliability,",0
"Timeliness, quality, suitability, availability, accuracy, or",0
"Completeness of any kind with respect to the services, including any",0
Representation or warranty that the use of the services will (a) be,0
