text,highlighted
"By using or paying for mullvad vpn ab s mullvad vpn service, you agree to these terms.",0
Any material changes to these terms will be notified via a prominent notice on mullvad.net/blog at least one month before the changes are applied.,1
"If you wish to exercise your right to reject such changes, you should stop using the service (for refunds, see below)",0
The service the vpn service protects personal information with the use of encryption and masks user metadata by hiding the user's ip address and replacing it with one of ours.,0
"This replacement address is shared with many other users, which not only protects each individual's user data but also hides his or her pattern of activity.",0
"Therefore, the traceable chain between users and their online activity is broken.",0
Please read more about protecting your privacy at mullvad.net/help/first-steps-towards-online-privacy/.,0
"To protect ourselves, our customers, and the quality of our service, we block tcp port 25 because of email spam and ports 137, 138, 139, and 445 due to a microsoft security issue.",0
We also hijack dns requests (port 53) in order to prevent dns leaks.,0
We do not block or filter domains except when requested by the owner of an ip address or when known botnet addresses cause our servers to be null-routed by hosting providers.,0
"We do not modify, redirect, or inject data into users' traffic.",0
Port-forwarding (2021-03-22),0
Port-forwarding is not allowed on an account that has an active subscription,0
It is therefore not possible to:,0
Adding forwarding ports to accounts that has a subscription,0
Add a subscription to an account that has forwarded ports,0
Access to the service,0
"To use the service, you need to use a mullvad account number together with the mullvad vpn app,",1
Or with another wireguard or openvpn client and our downloadable configuration files.,0
You can generate an account number at mullvad.net/account/create.,0
The cost for the service is 5 per month.,0
An account can be used on up to 5 devices.,0
You can see how much time is left on your account by visiting the account page on mullvad.net or looking in the mullvad vpn app.,0
Please be sure to write down your account number in a safe place,0
"Payment we accept payment by cash in bills (eur, usd, gbp, sek, dkk, nok, chf, cad, aud, nzd) sent by regular mail, bitcoin, bitcoin cash, credit card, sepa, paypal, ios in-app purchases, our mullvad vouchers, and swish.",0
One month is equal to 5 when purchased directly from mullvad.net.,0
The price may vary when purchasing through the app store or an official reseller.,0
The service is activated as soon as the payment is credited and time starts counting down.,0
These terms will expire at the end of the period purchased.,0
"If you wish to subscribe to the service, you can sign up for a paypal subscription.",0
"With a subscription, 5 is automatically deducted from your paypal account each month.",1
You may cancel the subscription at any time from your account page on mullvad.net (select unsubscribe under the paypal tab).,0
"Once canceled, no more money will be withdrawn, and the service and these terms will expire when the current month ends",0
Refund policy,0
We offer users a 30-day money-back guarantee if you wish to withdraw from these terms or if you are not satisfied with our service.,1
The 30-day period starts when your payment is made.,1
"In the event of a withdrawal, you will be refunded and the expiration date of your account's vpn time will be adjusted to reflect the refunded time.",1
"If you wish to exercise your right to a refund, please read our refund guide at mullvad.net/help/refunds/.",1
Exceptions we do not offer refunds for cash payments.,0
Refund requests for purchases made through the app store or an official reseller must be made directly with them.,0
We cannot offer refunds in these instances,0
"Privacy we want you to remain anonymous when using our service, and it is therefore our policy to never store any activity logs or metadata and to have as minimal data retention as possible.",0
"However, in some situations we might process your personal data if you, for example, pay by wire transfer, credit card, paypal, or swish, or send an e-mail to report a problem.",0
"In those cases, the general data protection regulation ( gdpr ) and other data protection laws may apply to the processing.",0
"For more information, please read our privacy policy at mullvad.net/help/privacy-policy/",0
Disclaimers mullvad vpn reserves the right to modify the service by updating the software or making changes to certain features.,0
We will attempt to prevent interruptions and defects in the service and on our website.,0
"Despite our best efforts, the service is provided on an as is and as available basis",1
", and",0
We do not guarantee that the service will be available at all times,1
",",0
Nor the accuracy of the service or any material provided by the service or on the mullvad website.,1
You are solely responsible for your use of the service,0
Applicable law and venue,0
The terms shall be construed in accordance with and governed by the substantive laws of sweden.,1
"Any dispute, controversy, or claim arising out of or in connection with the terms shall be handled by the national board for consumer disputes (arn) or the swedish courts, with the city of gothenburg's district court as the court of first instance",0
Contact information we only offer customer support via email to support@mullvad.net.,0
Our sweden-based support team operates during weekday office hours (central european time).,0
Mullvad vpn ab,0
Reg.,0
No.,0
559238-4001,0
"Address: po box 53049, 40014 gothenburg, sweden",0
"""wireguard"" is a registered trademark of jason a.",0
Donenfeld.,0
