text,highlighted
"Effective date: march 2, 2023",0
Please note that your use of and access to our service (defined below) are subject to the following terms.,0
"If you do not agree to all of the following, you may not use or access the services in any manner.",0
1.,0
Agreement.,0
Welcome to next admit.,0
"Please read on to learn the rules and restrictions that govern your use of our website, products, services and applications (the services ).",0
"These terms of use (the terms ) together with our privacy policy form a binding contract ( agreement ) between you and next admit, llc ( next admit, we, our, and us ).",0
"You must agree to and accept all of the terms, or you don t have the right to use the services.",0
Your use of the services in any way means that you agree to all terms and conditions of the agreement which will remain in effect while you use the services.,0
"Please note that, except as provided below, these terms require resolution of disputes through use of an arbitration service.",0
"You and next admit hereby agree that all disputes arising from, related to, or in connection with your use of the services will be resolved in accordance with the arbitration and governing law provisions set forth in section 20 below.",0
2.,0
Modification.,0
"Next admit reserves the right, at its sole discretion, to modify these terms at any time and without prior notice.",1
"If we modify these terms, we will either post a notification of the modification on our website or otherwise provide you with notice of the change.",1
The date of the last modification will also be posted at the beginning of these terms.,1
It is your responsibility to check from time to time for updates.,0
"By continuing to access or use the services, you are indicating that you agree to be bound by any modified terms.",0
3.,0
Privacy policy.,0
"Our privacy policy here discusses how we collect, process, and disclose personal information through your use of our services.",0
Please read that policy carefully.,0
4.,0
Eligibility.,0
Our services are intended for the use of adults over 18 years older and children over the age of 13.,1
"If you are aged 13 years or younger, you may not download or use our services or access or provide any user content.",1
"If you are 13 or older but under the age of 18, you may use our services only under the supervision of a parent or legal guardian who agrees to be bound by these terms.",1
"If you are a parent or legal guardian agreeing to these terms for the benefit of a child who is 13 or older but under the age of 18, you are fully responsible for his or her use of the services.",1
5.,0
Acceptable use.,0
"Next admit hereby grants you permission to use the services and, if you are a registered user, permission to access and use those aspects of the services that are offered to registered users, provided such use is in compliance with these terms, and you further specifically agree that your use will adhere to the following restrictions and obligations:",0
You may only use the services for personal use.,1
You may only use the services for lawful activity.,1
"It is your responsibility to comply with all applicable local, state, and federal laws and regulations.",1
"In addition, you may not use the services in any manner that is harmful, fraudulent, deceptive, threatening, harassing, defamatory, obscene, or otherwise objectionable",0
"You may not interfere with or damage the services, including, without limitation, through the use of viruses, bots, harmful code, denial-of-service attacks, backdoors, packet or ip address spoofing, forged routing, or any similar methods or technology",0
"You shall not copy, rip, or capture any content encountered on the services.",0
"This includes bulk copying or ""scraping"" any portion of the website content using a bot or other tool",0
"You may not use the services to upload, transmit, or promote any material that constitutes junk mail, spam, or commercial offers",1
"You may not use the services to upload, transmit, or promote any material that infringes or violates the intellectual property rights or any other rights of anyone else (including next admit)",0
"You may not decompile, reverse engineer, or otherwise attempt to obtain the source code or underlying ideas or information of or relating to the services.",0
A violation of any of the foregoing is grounds for termination of your right to use or access the services.,0
6.,0
User accounts.,0
You must sign up for an account using your own email address on this website in order to use certain of the website functions.,0
"If you just want to browse the website, registration is optional.",0
"You can select any username you like for your account, except that your username cannot be an impersonation of another person, a term that is the same or confusingly similar to a famous trademark, or a term that is offensive in any way.",0
"You may, but are not obligated to, use your own name.",0
"If you are a parent or legal guardian, you may link or have your account linked to your child s account.",0
"If you would like us to terminate your account, please contact us at support@nextadmit.com.",0
"Upon receipt of your request, and except as set forth below, we will remove your account and your associated information from the services within a reasonable time period.",0
Please note that any information you have submitted to publicly accessible areas of the services may not be removeable.,0
"If we intend to remove your account, we will try to provide advance notice to you prior to our removal of your account so that you are able to retrieve any important user content you may have stored in your account (to the extent allowed by law and these terms), but we may not do so if we determine it would be impractical, illegal, not in the interest of someone s safety or security, or otherwise harmful to the rights or property of next admit.",0
"You may not transfer your account to anyone else without our prior written permission, which we may grant or deny in our sole and absolute discretion.",0
"You agree you shall not share your account or password with anyone, and you must protect the security of your account and your password.",0
You re responsible for any activity associated with your account and any losses or damages that may be incurred.,0
"You may also be allowed to create a next admit account by logging into your account with certain third- party platforms (""third party information providers"" including, but not limited to, facebook).",0
You may link your next admit account with a third party information provider by either: (i) providing your third party information provider account login information to us through the services.,0
Or (ii) allowing us to access your third party information provider.,0
"Please note that your relationships with the third party information providers are governed solely by your agreement(s) with such third party information providers, and those agreements will determine what information we will be able to access and use through those third party information providers.",0
Your next admit account will be created for your use of the services based on the personal information you provide us or that we obtain via a third party information provider.,0
"You are responsible for maintaining the confidentiality of your account and password and for restricting access to your mobile device, computer, or other device, and you agree to accept responsibility for all activities that occur under your account or password.",0
"You agree to immediately notify us of any unauthorized use of your password or your account, or any other breach of security of which you become aware.",0
"By setting up your account and using our services, you expressly agree that you will receive communications from us, including email messages.",0
You acknowledge and agree that you consent to the receipt of such messages and that your receipt of such messages does not violate the can-spam act and/or any state and federal laws related to commercial communications.,0
You may stop receiving such messages by following the opt-out instructions provided by us in any such communication or notifying us by email that you no longer wish to receive messages from us.,0
7.,0
Content.,0
Next admit content,0
"The materials displayed or performed or available on or through the services, including, but not limited to, text, graphics, data, articles, photos, images, and illustrations (all of the foregoing except user content, the next admit content ), are protected by copyright and/or other intellectual property laws./or other intellectual property laws.",0
"Further, you acknowledge that as between you and next admit, the services and next admit content, including all associated intellectual property rights, are the exclusive property of next admit.",0
"Conditioned upon your compliance with the agreement, next admit grants you a limited, non-exclusive, non-transferable sublicense, to (i) access, view, and use the services solely for the limited purpose of your personal use of our services and (ii) access and view any next admit content to which you are permitted access.",0
You agree you have no right to sublicense the licensed rights granted in this section.,0
"You may not use, copy, adapt, modify, prepare derivative works based upon, distribute, license, sell, transfer, publicly display, transmit, broadcast or otherwise exploit the services, except as expressly permitted in these terms.",0
"No licenses or rights are granted to you by implication or otherwise under any intellectual property rights owned or controlled by next admit or its licensors, except for the licenses and rights expressly granted in this agreement.",0
