text,highlighted
Acceptance of terms,0
"The open source initiative (""osi"") provides the information on this web site as provided in these terms of service (""tos"").",0
Osi may update the tos at any time and without prior notice by posting a new version at http://www.opensource.org.,1
The information on this site and your use of it is subject to the most recent version of the tos posted.,0
Description of service,0
"Osi provides you with access to discussion lists, forums, licenses and a variety of other services.",0
"(""osi service"").",0
"Unless explicitly stated otherwise, any new features that augment or enhance the current osi service shall be subject to the tos.",0
Your registration obligations,0
"In consideration of your use of the osi service, you represent that you are of legal age to form a binding contract and are not a person barred from receiving services under the laws of the united states or other applicable jurisdiction.",0
You also agree to:,0
"Provide true, accurate, current and complete information about yourself as prompted by the osi service's registration form (the ""registration data"") and",0
"Maintain and promptly update the registration data to keep it true, accurate, current and complete.",0
"If you provide any information that is untrue, inaccurate, not current or incomplete, or osi has reasonable grounds to suspect that such information is untrue, inaccurate, not current or incomplete, osi has the right to suspend or terminate your account and refuse any and all current or future use of the osi services (or any portion thereof).",0
Osi privacy policy,0
Registration data and certain other information about you is subject to our privacy policy.,0
Conduct,0
"You understand that all information, data, text, software, graphics or other materials (""content""), whether publicly posted or privately transmitted, are the sole responsibility of the person from whom such content originated.",0
"This means that you, and not osi, are entirely responsible for all content that you upload, post, email, transmit or otherwise make available via the osi service.",0
"Osi does not control the content posted via the osi service and, as such, does not guarantee the accuracy, integrity or quality of such content.",0
"Under no circumstances will osi be liable in any way for any content, including, but not limited to, any errors or omissions in any content, or any loss or damage of any kind incurred as a result of the use of any content posted, emailed, transmitted or otherwise made available via the osi service.",0
You agree to not use the osi service to:,1
"Upload, post, email, transmit or otherwise make available any content that is unlawful, harmful, threatening, abusive, harassing, tortuous, defamatory",1
", vulgar, obscene, libelous, invasive of another's privacy, hateful, or racially, ethnically or otherwise objectionable",0
Or harm minors,1
Impersonate any person or entity or falsely state or otherwise misrepresent your affiliation with a person or entity.,0
Forge headers or otherwise manipulate identifiers in order to disguise the origin of any content transmitted through the osi service,0
"Upload, post, email, transmit or otherwise make available any content that you do not have a right to make available under any law or under contractual or other relationships",0
"Upload, post, email, transmit or otherwise make available any content that infringes any patent, trademark, trade secret, copyright or other proprietary rights of any party",0
"Upload, post, email, transmit or otherwise make available any unsolicited or unauthorized advertising, promotional materials, ""junk mail,"" ""spam,"" or any other form of solicitation.",1
"Upload, post, email, transmit or otherwise make available any material that contains software viruses or any other computer code, files or programs designed to interrupt, destroy or limit the functionality of any computer software or hardware or telecommunications equipment",0
