text,highlighted
Cookies,0
We employ the use of cookies.,1
By using this website you consent to the use of cookies in accordance with the privacy policy.,0
Most of the modern day interactive web sites use cookies to enable us to retrieve user details for each visit.,0
Cookies are used in some areas of our site to enable the functionality of this area and ease of use for those people visiting.,0
Some of our affiliate / advertising partners may also use cookies.,1
"Licenseunless otherwise stated, orchid labs inc.",0
And/or its licensors own the intellectual property rights for all material on this site.,0
All intellectual property rights are reserved.,0
You may view and/or print pages from this site for your own personal use subject to restrictions set in these terms and conditions.,0
You must not:,0
"Republish material from either this site or any of the associated applications, including ios and android",0
"Sell, rent or sub-license material from either this site or any of the associated applications, including ios and android.",0
"Reproduce, duplicate or copy material from either this site or any of the associated applications, including ios and android.",0
Redistribute content from either this site or any of the associated applications (unless content is specifically made for redistribution).user comments,0
This agreement shall begin on the date hereof.,0
"Certain parts of this website offer the opportunity for users to post and exchange opinions, information, material and data ('comments') in areas of the website.",0
Orchid labs inc.,1
"Does not screen, edit, publish or review comments prior to their appearance on the website and comments do not reflect the views or opinions of orchid labs inc., its agents or affiliates.",1
Comments reflect the view and opinion of the person who posts such view or opinion.,1
To the extent permitted by applicable laws orchid labs inc.,0
"Shall not be responsible or liable for the comments or for any loss cost, liability, damages or expenses caused and or suffered as a result of any use of and/or posting of and/or appearance of the comments on this website.",0
Orchid labs inc.,1
"Reserves the right to monitor all comments and to remove any comments which it considers in its absolute discretion to be inappropriate, offensive or otherwise in breach of these terms and conditions.",1
You warrant and represent that:,0
You are entitled to post the comments on our website and have all necessary licenses and consents to do so,0
"The comments do not infringe any intellectual property right, including without limitation copyright, patent or trademark, or other proprietary right of any third party",0
"The comments do not contain any defamatory, libelous, offensive, indecent",1
Or otherwise unlawful material or material which is an invasion of privacy,0
The comments will not be used to solicit or promote business or custom or present commercial activities or unlawful activity.,1
You hereby grant to orchid labs inc,1
A non-exclusive royalty-free license,1
"To use, reproduce, edit and authorize others to use, reproduce and edit any of your comments in any and all forms, formats or media.",0
Hyperlinking to our content,0
The following organizations may link to our web site without prior written approval:,0
Government agencies,0
Search engines,0
News organizations,0
Online directory distributors when they list us in the directory may link to our web site in the same manner as they hyperlink to the web sites of other listed businesses.,0
And,0
"Systemwide accredited businesses except soliciting non-profit organizations, charity shopping malls, and charity fundraising groups which may not hyperlink to our web site.",0
"These organizations may link to our home page, to publications or to other web site information so long as the link: (a) is not in any way misleading.",0
"(b) does not falsely imply sponsorship, endorsement or approval of the linking party and its products or services.",0
And (c) fits within the context of the linking party's site.,0
We may consider and approve in our sole discretion other link requests from the following types of organizations:,0
"Commonly-known consumer and/or business information sources such as chambers of commerce, american automobile association, aarp and consumers union",0
Dot.com community sites,0
"Associations or other groups representing charities, including charity giving sites,",0
Online directory distributors,0
Internet portals,0
"Accounting, law and consulting firms whose primary clients are businesses.",0
And,0
Educational institutions and trade associations.,0
"We will approve link requests from these organizations if we determine that: (a) the link would not reflect unfavorably on us or our accredited businesses (for example, trade associations or other organizations representing inherently suspect types of business, such as work-at-home opportunities, shall not be allowed to link).",0
(b)the organization does not have an unsatisfactory record with us.,0
(c) the benefit to us from the visibility associated with the hyperlink outweighs the absence of orchid labs inc..,0
