text,highlighted
Features &amp.,0
Benefits,0
For writing,0
For groups,0
For teaching,0
For universities,0
For publishers,0
For enterprises,0
Templates,0
Plans &amp.,0
Pricing,0
Help,0
Documentation,0
Contact us,0
Register,0
Log in,0
Privacy and terms,0
Overleaf privacy &amp.,0
Terms overview,0
Last modified: 5th november 2020,1
Thank you for using overleaf!,0
"Below you will find the full terms of service, privacy notice, cookie policy, security overview and acceptable use policy for the overleaf services.",0
"If you have any questions, please get in touch.",0
Terms of service,0
Privacy notice,0
Cookie policy,0
Security overview,0
Acceptable use policy,0
Overleaf terms of service,0
Last modified: 21st august 2020,0
"These terms of service (the terms ) govern your access to and use of the website at www.overleaf.com or www.sharelatex.com (the site ) and services (the services ) provided by writelatex limited ( we or our or writelatex ), so please carefully read them before using the services.",0
"By using the services, you agree to be bound by these terms.",0
"If you are using the services on behalf of an organization, you are agreeing to these terms for that organization and promising that you have the authority to bind that organization to these terms.",0
"In that case, you and your will refer to that organization.",0
"By accessing or otherwise using any part of the services, including to register an account, you acknowledge your agreement to these terms, in consideration for the mutual promises and obligations contained herein and to the exclusion (to the maximum extent permitted by applicable law) of all other terms and/or conditions which you may purport to apply, including under any purchase order or similar document, even if they do not explicitly contradict.",0
You may use the services only in compliance with these terms.,0
"You may use the services only if you have the power to form a contract with us and are not barred under any applicable laws from doing so, including if you are too young to enter into a binding contract.",0
The services may continue to change over time as we refine and add more features.,0
"We may stop, suspend, or modify the services at any time without prior notice to you (but recognising your work is important to you, please read the note below on access to your files in these circumstances).",0
We may also remove any content from our services at our discretion.,0
Your stuff &amp.,0
Your privacy,0
"By using our services, you may provide us with information, files, and folders via our products, services and otherwise (together, your stuff ).",0
You retain full ownership to your stuff.,0
We don t claim any ownership to it.,0
"These terms do not grant us any rights to your stuff or intellectual property except for the limited rights that are needed to run the services, as explained below.",1
"We may need your permission to do things you ask us to do with your stuff, for example, hosting your files, or sharing them at your direction.",1
"This includes product features visible to you, for example, image thumbnails or project previews.",1
"It also includes design choices we make to technically administer our services, for example, how we redundantly backup data to keep it safe.",1
You give us the permissions we need to do those things solely to provide the services.,1
"This permission also extends to our affiliates and trusted third parties we work with to provide the services, for example amazon web services, which provides our main storage space (again, only to provide the services).",0
"To be clear, aside from the rare exceptions we identify in our privacy notice, no matter how the services change, we won t share your content with others for any purpose unless you direct us to.",0
How we collect and use your information generally is also explained in our privacy notice.,0
"You are solely responsible for your conduct, the content of your stuff, and your communications with others while using the services.",0
