text,highlighted
"Acceptanceby accessing this site and making use of paygvpn, a service offered by critical dynamics ou (hereafter, we , us , our , company or critical dynamics ), you stipulate that you (hereafter, you , yourself or user ):",0
Are the legal owner of the device used for utilising paygvpn.,0
"Agree, on behalf of yourself and/or those who may gain access to your device, to comply with and be legally bound by these terms of service (hereafter, terms or tos ) in their entirety.",0
And,0
Are at least eighteen (18) years of age,1
And of full mental capacity,0
Will cease using paygvpn immediately in case you disagree with any of the provisions included hereunder.,0
"Modificationwe reserve the right to modify and update these terms at our sole discretion, at any time, for any reason, and without liability.",0
"We also reserve the right to modify or update the operation of the service at our sole discretion, at any time, for any reason, and without notice or liability.",0
"We may even suspend our service entirely, in which event we will notify you in advance unless extenuating circumstances, such as safety or security concerns, prevent us from doing so.severabilityif any part of these tos are deemed invalid or unenforceable, then you and us (hereafter, parties ) agree to deem the invalid and unenforceable provision(s) superseded by those valid and enforceable provision(s) that reflect as closely as possible the intent of the original provision(s), and the remainder of these tos will continue in full effect.licencewe retain all right, title and interest in and to the service and any portion thereof, including, without limitation, all copyrights, trademarks, service marks, patents, trade secrets and other intellectual property rights.",0
"You shall not take any action to jeopardise, limit or interfere in any manner with our ownership of and rights with respect to the service.",0
All rights are reserved unless otherwise noted.,0
"Subject to the tos, we grant you a limited, revocable, non-exclusive, personal, non-transferable, non-sublicensable, fixed-term licence to:",0
Download and use a copy of our paygvpn solution.,0
And,0
Use the provided service made available on or through our software or our website.,0
"No other right or license, express or implied, of any kind is granted to you with respect to the service and/or solution we provide.",0
"The license provided herein is effective until terminated and it will automatically terminate, if you fail to comply with these terms, or if/when you cease using the service and your user accounts is deactivated.paymentsour paygvpn solution is available to you upon successfully opening a user account and purchasing credits under one of the provided plans.",0
"The purchasing of credits will, in turn, secure the corresponding bandwidth and assign it to your account for you to use.",0
Depletion of the allocated bandwidth will downgrade the account to basic bandwidth speeds for further use and can be reinstated by purchasing additional credits for your account.,0
"Therefore, by accepting these tos you agree to and acknowledge understanding of the fact you are being provided with access to the service on a pay-as-you-go basis, operated in the fashion described above.",0
"A full list of the available plans, what each includes, and the corresponding pricing is available on the site.",0
