text,highlighted
Terms of service these terms and conditions govern your use of this website.,0
"By using this website, you accept these terms and conditions in full.",0
"If you disagree with these terms and conditions or any part of these terms and conditions, you must not use this website",0
Website usage the content and information on this site is owned and operated by piano marvel llc.,0
"You are not permitted to copy or use any page, text, image or other digital asset of this site without the express permission of piano marvel llc.",0
"Furthermore, you are not permitted to:",0
Edit or otherwise modify any material on the website,0
Republish material from this website (including republication on another website),0
Show any material from the website in public,0
"Reproduce, duplicate, copy or otherwise exploit material on this website for a commercial purpose",0
Redistribute material from this website (except for content specifically and expressly made available for redistribution),0
"Sell, rent or sub-license material from the website",0
"Accessibility subject to certain limitations as described herein, you are granted the right to access our lessons, text, files, images, photos, videos, sounds, musical works, works of authorship, applications, or any other materials (collectively, service content ) under certain terms and conditions as set forth in this agreement.",0
Some of the services are not compatible with all mobile devices and computers.,0
You shall be solely responsible for procuring a compatible device if you wish to use any of the services offered by us.,0
"In order to use the services, you must obtain access to the internet and pay any service fees associated with such access.",0
"In addition, you must provide all equipment necessary to make such connection to the internet and to be able to access the service content.",0
Please note that the download and use of software content may be subject to an additional license agreement.,0
"Subject to your acceptance of these terms and your compliance with them, piano marvel llc grants you a limited, non-exclusive, non-transferable license to use and display the services and related software and any other service content for, unless otherwise stated.",0
"You further agree that you will not, and will not attempt to, copy or distribute the content of the services to any other person unless specifically permitted by piano marvel llc.",0
Your license to use the services and related software(s) is automatically revoked if you violate these terms.,0
"Piano marvel llc reserves the right to modify the license granted in this section and the restrictions described in these terms, including, without limitation, by charging fees therefor and/or making certain features available that may invite you to use the service content in a manner not described in these terms.",0
"However, changes in pricing or fees will be announced on this website and you will be notified by email if any changes in pricing occur, or additional fees are charged to your account.",0
"Piano marvel llc may add, change, discontinue, remove or suspend any of the service content at any time, without notice and without liability",0
"Information collection and use certain areas and functions of the services require registration, while other areas and functions do not.",0
If you are under 13 you are forbidden to disclose any personal information without appropriate parental or legal guardian approval.,0
We respect your privacy rights and recognize the importance of protecting any information collected about you.,0
Our privacy policy as amended from time to time is available here and applicable to these terms.,0
"Privacy policy defines how, why and to which extent piano marvel llc and its affiliates collect and use personal and aggregate information in relation to our products and services.",0
"By installing, accessing or using the services, you consent to these information collection and usage terms, including (where applicable) the transfer of data outside of your country of residence.",0
"For further information on the processing of your data, please see our privacy policy",0
Change of terms,0
Piano marvel llc reserves the right to change or modify these terms at any time.,1
Please review them frequently.,0
"Piano marvel llc reserves the right, at any time, to:",0
"Add, change or discontinue the services, or any aspect or feature of the services, including, but not limited to, content, financial terms availability and equipment needed for access or use",0
"Impose, change or modify its terms and conditions applicable to your use of the services, or any part thereof.",0
"And/or to impose, change or modify the terms and conditions of these terms ( changes ).",0
Such changes shall be effective immediately upon notice by posting the changes on sites or by any other method of notice we deem appropriate (including email).,0
Your continued use of the services shall constitute your acceptance of the changed terms.,1
"If as a result of changes or modifications made in the terms or the privacy policy you are no longer agreeing to either one of them, you must stop using our services when the changes become effective.",1
"Account security and information you agree to provide true, accurate, current and complete information about yourself as prompted by the service registration process (collectively registration data ).",0
"You further consent and authorize us to verify your registration data as required for your use of and access to the services, as applicable.",0
"Once registered for the services, you shall receive a unique user id and password in connection with your account.",0
You acknowledge that the complete privacy of your data and messages transmitted while using the service cannot be guaranteed.,0
You are responsible for safeguarding the password that you use to access the services and you agree not to disclose your password to any third party.,0
"You are responsible for any activity using your account, whether or not you authorized that activity.",0
You should immediately notify piano marvel by phone or email of any unauthorized use of your account.,0
Piano marvel reserves the right to suspend or terminate your account at any time and for any reason,0
External services the services may contain links to third-party websites or resources.,0
"Piano marvel assumes no responsibility for such third-party services and/or content in third-party services and does not endorse the related content, products, or services.",0
"Further, such third-party websites or resources may be subject to the relevant third-party service provider s terms and conditions applicable to use of such third-party services.",1
You are solely responsible for your use of any such websites or resources and you agree to access external locations at your own risk.,0
"Also, if we provide you with any software under an open source license, there may be provisions in those licenses that expressly conflict with these terms, in which case the open source provisions will apply.",0
"You agree that piano marvel llc shall not be held responsible or liable, directly or indirectly, for any loss or damage caused or alleged to have been caused in any way whatsoever related to any such external location and you hereby irrevocably waive any and all claims related thereto against piano marvel",0
"Intellectual property unless otherwise specified in writing on the services, all materials that are part of the services (including past, present and future versions), including, without limitation: graphics.",0
Layout.,0
Text.,0
Images.,0
Audio and/or video.,0
Designs.,0
Advertising copy.,0
Logos.,0
Domain names.,0
Trade names and marks.,0
Service marks and trade identities.,0
Any and all copyrightable material (including source and object code).,0
The look and feel of the services.,0
"The compilation, assembly and arrangement of the materials of the services.",0
"And all other service content are owned, controlled or licensed by piano marvel llc and are protected from unauthorized use, copying and dissemination by copyright, trademark, patent, publicity and other laws, rules, regulations and international treaties",0
"Content rights any communications or materials you transmit to piano marvel as part of the service, by an application, website, e-mail or otherwise including, without limitation, data, questions, comments, ideas, images, videos, writings, music, sounds, audio visual effects, artwork, design elements, graphics, suggestions, concepts, biographical information, notes or chat or message postings, will be treated as non-confidential and nonproprietary.",0
"The services may invite you to participate in blogs, message boards, online forums and other functionality and may provide you with the opportunity, to create, submit, post, display, transmit, perform, publish, distribute, broadcast, and comment on content and materials to piano marvel llc and/or to or via the services, including, without limitation, text, writings, compositions, notes, videos, photographs, videos, graphics, comments, suggestions or personally identifiable information or other material (collectively, excluding service content , user content ).",0
Except as otherwise described in the privacy policy you agree that your user content will be treated as non-confidential and nonproprietary and will not be returned.,0
"You acknowledge and agree that piano marvel llc will not have any obligation to review, monitor, display, archive, maintain, accept or exploit any user content.",0
"Piano marvel does not endorse any user content submitted to the service by any user or other licensor, or any opinion, recommendation, or advice expressed therein, and piano marvel expressly disclaims any and all liability in connection with user content.",1
Piano marvel llc does not permit copyright infringing activities and infringement of intellectual property rights on the service.,0
"Piano marvel llc may delete, move, re-format, edit, alter, distort, remove or refuse to exploit user content without notice to you or liability.",0
"Provided, however, that we reserve the right to treat user content on the services, or on certain portions of the services, as content stored at the direction of users for which we will not exercise editorial control except to enforce the rights of third parties and the content restrictions set forth below when violations are brought to our attention.",0
"Such user content posted at your or other users direction need not, however, be maintained on the services by us for any period of time and you will not have the right, once posted, to access, archive, maintain or otherwise use such user content on the services.",0
You also agree and understand that piano marvel llc is not obligated to use user content and that you will not receive any additional consideration or compensation for your user content or for any exploitation thereof,0
"Representations and warranties you affirm, represent, and warrant that you own or have the necessary licenses, rights, consents, and permissions to submit, publish and share the user content you submit, including the right to grant all of the rights and licenses in these terms without piano marvel llc incurring any third party obligations or liability arising out of its exercise of the rights thereto granted herein by you.",0
"You shall be solely responsible for the user content and the consequences of submitting, publishing, and sharing the user content on the service",0
License grant you retain all of your ownership rights in the user content you submit and/or share with piano marvel llc.,0
"However, by submitting and/or sharing the user content with piano marvel, you hereby grant to piano marvel a sublicensable, transferable, worldwide, and royalty-free non-exclusive license in the user content.",0
"Piano marvel llc can use, reproduce, distribute, prepare derivative works of, display, and perform all or any portion of the user content, in connection with the services, and other services and products, of piano marvel llc (and its successors and affiliates), including without limitation for promoting and redistributing part or all of the services (and derivative works thereof) in any media formats and through any media channels.",0
You also grant to piano marvel llc the right to sub-license and authorize others to exercise any of the rights granted to piano marvel under these terms.,0
And each such third party will be entitled to benefit from the rights and licenses granted to piano marvel under these terms.,0
"Without limiting the generality of the foregoing, you authorize piano marvel to publish your user content in a searchable format that may be accessed by users of the services and in the internet.",0
"Except as prohibited by law, you waive any rights of attribution and/or any so-called moral rights you may have in any user content you submit, even if such user content is altered or changed in a manner not agreeable to you.",1
"You also hereby grant each user of the services a non-exclusive license to access your user content through the services, and to use, reproduce, distribute, prepare derivative works of, display and perform such content as permitted through the functionality of the services and under these terms",0
"Unsolicited idea submission policy you further agree that piano marvel is free to use any ideas, information, concepts, know-how or techniques contained in any user content you submit in services or send to piano marvel, for any purposes whatsoever, including, without limitation, developing, producing, marketing and otherwise exploiting products and/or services using such user content, and without remuneration of any kind",0
"Reporting infringements if you discover any content in the service that you believe infringes your copyright ( disputed content ), please report this to piano marvel by phone or email.",0
Contact information for piano marvel llc is available on this website,0
"Policy regarding users who repeatedly infringe copyright if piano marvel discovers that you are loading and sharing copyrighted material to which you do not have the rights, your account may be subject to termination and such content will be removed from piano marvel s servers",0
"Usage restrictions as a user of the services, you agree that your user content, and your conduct on the services will not:",0
"Include any offensive comments that are connected to race, national origin, gender, sexual preference or physical handicap",0
"Include profanity or any obscene, indecent, pornographic, sexual or otherwise objectionable content or language",1
"Violate the contractual, personal, intellectual property or other rights of any party, or promote or constitute illegal activity",0
"In addition, your activities on the services and in connection with the service content not:",1
"Reveal any personal information about another individual, including another person s address, phone number, e-mail address, credit card number or any information that may be used to track, contact or impersonate that individual",1
Attempt to impersonate any other party,0
"Trick, defraud or mislead other users",0
"Engage in any commercial activities, including, without limitation, any attempt to raise money for anyone or advertise or promote a product, service, pyramid scheme or other multi-tiered marketing scheme",0
Violate these terms.,0
"Or any local, state, federal or international law, rule or regulation or any other requirements or restrictions posted by piano marvel on the services",0
"Upload or transmit (or attempt to upload or to transmit) viruses, trojan horses or other material that interferes with any party s uninterrupted use and enjoyment of the services, the service content, the user content or modifies, impairs, disrupts, alters or interferes with the use, features, functions, operation or maintenance of the services, the service content or the user content",0
"Copy or adapt the object code of the service s software, html, javascript or other code",0
"Reverse engineer, decompile, reverse assemble, modify or attempt to discover any source code that the services create to generate its web pages or any software or other products or processes accessible through the services",0
Upload or transmit (or attempt to upload or to transmit) any material that acts as a passive or active information collection or transmission mechanism,0
"Except as may be the result of standard search engine or internet browser usage, use or launch any automated system, including, without limitation, any spider, robot (or bot ), scraper or offline reader that accesses the services or use or launch any unauthorized script",0
"Cover or obscure any notice, banner or advertisement on the services",0
Disguise the source of your user content or other information you submit to the services.,0
And/or interfere with or circumvent any security feature of the services or any feature that restricts or enforces limitations on use of or access to the services or the service content.,0
"Piano marvel does not control or endorse the content, messages or information found in user content portions of the services or external sites that may be linked to or from the services and, therefore, piano marvel specifically disclaims any responsibility with regard thereto",0
"Payment policy you may access parts of service(s) for free, and other services and products require payment of subscription and/or other fees.",0
By choosing to access the paid content and making the payment you authorize us to charge your credit card or other approved payment method for all the costs and charges (including any additional payment processing fees which may be applicable) you incur by choosing to access the paid content.,0
Fees may be based on one-time or renewing payments as more fully described in the service.,0
"If you choose to sign up for an auto-renewable subscription you understand and authorize that your payment will automatically renew at the end of the subscription period, unless you cancel your subscription before the end of the current subscription period, and give permission for such billing transactions to take place.",0
"You are responsible for all applicable fees and charges incurred, including applicable taxes, and all subscriptions made by you or by anyone that has used your account(s), including your family members or friends.",0
Please note that we may use a third-party payment processor to facilitate your payments.,0
"If you make a purchase through a third party application store, including but not limited to the apple itunes store or google play store, or through our mac, iphone, ipad applications your purchase will be subject to such third party s applicable payment policy",0
"Payment information to access the paid-for parts of service(s), you must provide valid and accepted payment information.",0
"If the payment information provided by you is declined for payment of your subscription and/or other fees, you must provide us new eligible payment information promptly or your access to the paid content may be suspended.",0
The paid-for service(s) begins as soon as the initial payment has been processed,0
"Trials when you register for paid-for parts of our service(s), including any services and products that require payment of subscription and/or other fees, you may be eligible for a trial period without payment or at a reduced rate.",0
"This may vary depending on promotions, type of subscription and the term you select at the time of purchase.",0
"We reserve the right, in our absolute discretion, to determine your eligibility for a trial.",0
We may require you to provide your valid payment information to start the trial.,0
"Unless you cancel your paid subscription prior to the end of the trial period, after the end of the trial period your subscription for such paid-for parts of our service(s) will automatically continue as a paid-for subscription billed on a recurring basis until you cancel your paid-for subscription (turn off automatic renewal from your account settings or via the apple itunes store or the google play store).",0
"If you cancel your paid-for subscription, then your account will only have access to those parts of our service(s) that you may access for free",0
Billing &amp.,0
Renewals our auto-renewable subscription plans may be billed as one payment for the term (e.g.,0
"1, 3, 6 or 12 months) or in monthly installments charged every month for the duration of the term.",0
"The pricing and terms applicable to your subscription may vary depending on promotions, type of subscription and the term you select at the time of purchase.",0
"All subscriptions renew automatically using the payment information you have provided for your account, and as such payment details are updated from time to time.",0
"When you purchase a subscription with automatic renewal, you acknowledge and agree that we are authorized to use the payment information for the renewal fee.",0
"If your subscription started with a promotion or trial at a reduced rate, your renewal rate may be higher than your initial rate.",0
Auto-renewal of the subscriptions made on our site can be cancelled at any time before the renewal date from your account settings or by contacting our support.,0
Cancelling auto-renewal of the subscriptions made on our mobile apps is bound to the terms and conditions and applicable payment policy the store operator (e.g.,0
Apple inc.) has set for the purchasing account.,0
"In some cases, your payment billing dates or billing term of your subscription may change if your payment has not successfully settled on the original due date.",0
We will inform you of the billing term change through email.,0
"If you have registered for a paid-for subscription, you may however change your mind and receive a full refund of all monies paid within fourteen (14) days (the cooling-off period ) from your subscription for such paid-for parts of our service(s) provided that during that cooling-off period you have not at any time accessed our service(s)",0
Pricing change our prices may change in the future.,0
"If the pricing for your subscription does change, we will notify you via email, and provide you an opportunity to review those changes to your subscription.",0
Applying those changes to your account or charging your payment details in connection with an automatic renewal is subject to your approval of the changed pricing,0
Refunds,0
"Except as specifically provided otherwise, any payments are always final and non-refundable, however, without limiting the possibility of a refund (if any) from the application store (in accordance with the relevant terms and conditions applicable to purchases from that application store).",1
"Disclaimer of warranties the services and software are provided as is and an as available basis, at your own risk, without express or implied warranty or condition of any kind.",0
"We also disclaim any warranties of merchantability, fitness for a particular purpose or non-infringement.",0
"We make no representation or warranty that any material, content, products or services displayed on or offered through the services are accurate, complete, appropriate, reliable, or timely.",0
"We also make no representations or warranties that the services will meet your requirements and/or your access to and use of the services will be uninterrupted or error-free, free of viruses, malicious code, or other harmful components, or otherwise secure.",0
Some jurisdictions do not allow the exclusion of certain warranties.,0
"Accordingly, some of the above exclusions may not apply to you.",0
Piano marvel llc may distribute content supplied by third parties and users of the services and may provide links to external locations operated by third parties.,0
"All communication expressed or made available by third parties whatsoever, including, without limitation, by other users, is solely made by the respective author(s) or distributor(s), and piano marvel does not guarantee the accuracy, completeness or usefulness thereof, or its merchantability or fitness for any particular purpose.",0
"Nor do they make any guarantee, endorsement or warranty with respect thereto",0
