text,highlighted
Pillowfort p,0
Login pillowfort terms of service agreement,0
1.,0
Acceptance of terms,0
"The following terms of service agreement (the ""terms"") is a legally binding agreement that shall govern the relationship with our users and others which may interact or interface with pillowfort blogging llc, ( pillowfort ), located at po box 91022, austin, texas 78709-1022 and our subsidiaries and affiliates, in association with the use of the pillowfort website, which includes pillowfort.io and its services, which shall be defined below.",0
Please read these terms carefully.,0
"By accessing and using the services (as defined in paragraph 2), you agree to be bound by these terms and all terms incorporated herein by reference.",0
2.,0
Description of services offered,0
Pillowfort is a social networking and blogging website and platform that allows users to create their own multimedia blog posts and share the posts of other users to their own blogs.,0
It also features forum-like community spaces and commenting sections so that users can have comprehensive conversations with one another.,0
"Services, for the purposes of these terms, include the pillowfort.io website and platform, and any associated webpages, apis and other software, email notifications, mobile applications, widgets, buttons, and other online services provided by pillowfort.",0
"At its discretion and without prior notice, pillowfort may offer additional services and/or products, or update, modify, discontinue, or revise any current content and services, and these terms shall apply to any and all additional and updated services.",0
"Pillowfort is not liable to you or to any third party for any such alteration, modification, suspension and/or discontinuance of the services, or any part thereof.",0
3.,0
Who may access and use the services,0
"Any and all visitors to our site, despite whether they are registered or not, shall be deemed as ""users"" of the herein contained services provided for the purpose of these terms.",0
"Once you register for our services, through the process of creating an account ( account ), the user shall then be considered a ""member.""",0
"To become and remain ""member"" of the services, you must be in good standing and not have been previously barred from receiving pillowfort's services under these terms or the laws and statutes of the united states or another applicable jurisdiction.",0
Anyone under the age of 13 is not allowed to create an account or otherwise use the services.,0
"In addition, the laws of your local jurisdiction (including within the european economic zone) may require you to be over a certain age to use the services, and/or require you to provide verifiable consent from your parent or legal guardian.",0
"Also, certain services require you to be older than 13 years of age, as explained in notices and additional terms provided when accessing the services.",0
"When you register, pillowfort may collect information such as your name, e-mail address, birth date, and personal interests.",0
You can edit your account information at any time.,0
"Once you register with pillowfort and sign in to our services, you are no longer anonymous to us.",0
"You agree that when creating an account, you will furnish factual, correct, current and complete information with regards to yourself as may be requested by the data registration process.",0
"Knowingly providing any registration information that is false is a ground under these terms for pillowfort to suspend or terminate a member from accessing and using the services, or any portion thereof.",0
"You are the sole authorized user of your account, and you responsible for maintaining the secrecy and confidentiality of your password and for all activities that transpire on or through your account.",0
You are responsible for any act or omission of any user(s) that access your account information that is a violation of these terms.,0
"You are responsible for notifying pillowfort immediately if you notice any unauthorized access or use of your account or password, or any other breach of your account s security.",0
Pillowfort is not responsible for any loss and/or damage arising from your failure to secure your password and activities on the services made through your account.,0
"Pillowfort reserves the right to access, preserve and/or disclose member account information and/or content if it is requested to do so by law or in good faith belief that any such action is deemed reasonably necessary for (1) enforcement of these terms.",0
(2) responding to any claim that therein contained content is in violation of the rights of any third party.,0
(3) responding to requests for customer service.,0
"Or (4) protecting the rights, property or the personal safety of pillowfort, its visitors, users and members.",0
4.,0
Privacy policy,0
"The pillowfort online privacy policy explains how pillowfort collects, handles, and protects information you provide to us.",0
"As a member, you herein consent to the collection and use of the information provided, as set forth in the pillowfort online privacy policy, including the transfer of information within the united states and/or other countries for storage, processing or use by pillowfort and/or our subsidiaries and affiliates.",0
5.,0
Your license to use the services,0
"The services are protected by copyright, trademark, and other laws of both the united states and foreign countries.",0
"The services provided and all right, title, and interest therein are the sole property of pillowfort.",0
"Pillowfort grants you a non-assignable, non-exclusive, revocable, and personal license to access and use the services, but only as permitted under these terms.",0
"Non-compliance with these terms may result in revocation of your license, at pillowfort s sole discretion.",0
Pillowfort reserves all rights not expressly granted to you by these terms.,0
"By accessing and using the services, you agree not to replicate, duplicate, copy, sell, resell nor exploit for any commercial reason any part, use of, or access to pillowfort's sites.",0
6.,0
Your content,0
"The services contain content such as images, text, links, videos, communications, and other material ( content ) created with or submitted by users and members, or through member accounts.",0
"By submitting any content to the services, you represent and warrant that you have all rights, powers, and authority necessary to grant any and all rights to such content contained in these terms.",0
"Pillowfort does not take any responsibility for or endorse, expressly or implicitly, any content you may submit to the services.",0
You are responsible for any content you submit and for ensuring compliance with these terms (see pillowfort s content and conduct standards).,0
Pillowfort shall not lay claim to ownership of any content submitted by any member or user.,1
"But by submitting content to or including content on the services, you hereby grant pillowfort the below listed worldwide, royalty-free and non-exclusive license permitting pillowfort to use, distribute, reproduce, modify, adapt, distribute, publicly perform and/or publicly display said content on the services.",1
"You agree that this license permits pillowfort to remove metadata associated with your content, and does not require pillowfort to provide any attribution for your content.",0
You further agree that you waive any claims of moral rights or attribution over your content.,1
"This license shall be available so long as you are a member of pillowfort blogging llc's sites, and shall terminate at such time when you elect to discontinue your membership.",0
"Pillowfort may, in its sole discretion and without having any obligation to do so, delete or remove your content at any time for a violation of these terms including but not limited to the pillowfort content and conduct standards, a violation of a law of the united states or another county, or if your content creates liability for pillowfort.",0
"This includes content in publicly-accessible areas, closed community pages, and private pages.",0
"You acknowledge and agree that pillowfort may review your content in any part of the services you use and access, including closed community and private areas.",0
"Any ideas, feedback, or suggestions about the services that you provide to pillowfort are deemed entirely voluntary, and you agree that pillowfort may use such ideas, feedback, or suggestions without providing you compensation and without any obligation to keep the same confidential.",0
7.,0
Third party links and other content,0
Either pillowfort or any third parties may provide links to other websites and/or resources not under pillowfort s control.,0
"Thus, you acknowledge and agree that pillowfort is not responsible for the availability of any such external sites or resources, and as such, we do not endorse nor are we responsible or liable for any content, products, advertising or any other materials, on or available from such third party sites or resources.",0
"Furthermore, you acknowledge and agree that accessing any third-party content is at your own risk, and that pillowfort is not responsible or liable, directly or indirectly, for any such damage or loss in connection with the use of or the reliance on any third-party content.",0
8.,0
Pillowfort content and conduct standards,0
Pillowfort is a platform for individuals and groups to share and discuss content.,0
"Pillowfort is committed to providing an environment that is open and authentic and allows users and members to share with the entire platform, or just a small group of friend.",0
We also demand of ourselves and our community members that we ensure pillowfort is a platform where respect for others is the primary value by which we all abide.,0
Prohibited content and conduct,0
Pillowfort is a platform that endeavors to welcome a wide-range of content.,0
But there are types of content which pillowfort does not allow anywhere on its platform.,0
Prohibited content and conduct includes.,0
"Content or conduct that violates any local, state, federal, national or international law, or that encourages or incites illegal activity.",0
Content that encourages or incites violence.,0
Content or conduct that encourages a pillowfort user to harm another to harm himself or herself.,0
"Persistently posting sexual, violent, or other content with the primary intent to offend or disturb other users.",0
Persistently submitting or posting content that is unrelated to the subject of a community or tag.,0
"Intentionally harassing, bullying, intimidating, or stalking other users, or intentionally attempting to do the same.",0
"Creating content, communities, or making any other use of the services for the purpose of spreading accusations or condemnation of other pillowfort users.",0
"If a user has done something worthy of being removed from the site, do not engage in any conduct to bring the user community against that user.",0
You instead should report that user to a moderator or administrator.,0
"Content or conduct that disparages another user s racial, religious, gender, or sexual identity, or mental or physical disability or condition.",0
Or that disparages these identities or conditions generally.,0
"Content that promotes the ideology of, or attempts to recruit for, groups that promote discrimination against racial, religious, gender, or sexual identity, or mental or physical disability or condition.",0
"Content that displays or conveys personal or confidential information about an individual, including but not limited to doxxing, where such information is not part of the public record.",0
Sexually explicit artwork that features,0
Fictional characters who appear pre-pubescent.,0
Or,0
"Fictional characters who otherwise can be definitively and reasonably identified as minors, and lacks legitimate artistic, political, literary, or scientific value.",0
"This section applies to visual content such as illustrations, drawings, paintings, comics, digitally-generated images, and related visual content that appears to (1) show a minor engaged in sexual conduct or (2) show a minor with exposed genitalia in a way that is intended to sexualize them.",0
"Sexually suggestive or explicit commentary concerning real minors, i.e.",0
As a caption to a photo of a minor or in reference to a public figure who is a minor.,0
"Content that is involuntary pornography, including but not limited to revenge porn",0
"Content that infringes any copyright, trademark, or other intellectual property or proprietary information of another.",0
Content or conduct that misleadingly or deceptively impersonates another.,0
Content that is intended primarily for reliance by others relevant to any financial trading or investing.,0
Content that is spam.,0
Abusing the flagging system (i.e.,0
"Intentionally flagging posts in bad faith to interrupt the functioning of the moderation system, harass users, etc.",0
).,0
'nsfw' content,0
"Content that contains nudity, pornography, erotic themes, or profanity, which a reasonable viewer may not want to be seen accessing or viewing in a workplace or public space, should be marked as nsfw using the toggle provided when creating or editing a post.",0
Prohibited use of the services,0
Prohibited use of the pillowfort services include:,0
"Uploading, posting, transmitting, or otherwise offering any source that may contain a software virus or other computer code, any files and/or programs which have been designed to interfere, destroy and/or limit the operation of any computer software, hardware, or telecommunication equipment",0
"Disrupting the normal flow of communication on the platform, or otherwise acting in any manner that would negatively affect other users' ability to participate in any real time interactions",0
"Knowingly interfering with or disrupting any pillowfort services, servers and/or networks that may be connected or related to our website, including, but not limited to, the use of any device software and/or routine to bypass the robot exclusion headers",0
Collecting or storing of any personal data relating to any other member or user in connection with the prohibited conduct and/or activities which have been set forth in the aforementioned paragraphs,0
Making any attempt to override or circumvent any of the embedded usage rules in our services.,0
And,0
"Making any unauthorized reproduction, publication, distribution, or exhibition of any information or materials supplied by our services, despite whether done so in whole or in part.",0
Reporting violations of these standards,0
"Please report any and all violations of this tos via the site s flagging system that allows you to submit posts, messages, communities, comments, and users for review by a moderator.",0
"If necessary, you can also submit a report to info@pillowfort.social.",0
Enforcement of these standards,0
"Pillowfort may enforce these standards in a number of ways, including but not limited to:",0
A moderator warning,0
Temporary or permanent suspension of accounts,0
Removal of content,0
Adding restrictions to communities,0
Banning users,0
Banning communities,0
Adding nsfw tags.,0
9.,0
Moderators and moderation rules,0
Pillowfort may allow volunteer moderators to help monitor content in communities available in the services.,0
Voluntary moderators are not agents or otherwise authorized to act on behalf of pillowfort.,0
Voluntary moderators may not perform any action on the services in exchange for any compensation from a third-party.,0
Compensating or offering to compensate a volunteer moderator to take action on these services will be considered a violation of these terms.,0
Pillowfort has the right (but no obligation) to reverse any decision or action made by a volunteer moderator if pillowfort believes the decision or action is not in its best interest or the best interest of the services.,0
10.,0
Dmca and other intellectual property notices,0
"Pillowfort will always respect the intellectual property of others, and we ask that all of our users and member do the same.",0
"At its sole discretion, pillowfort may remove any infringing content from the services, and may disable and/or terminate the account of any member who infringes the intellectual property rights of others.",0
"If you feel that content on the services constitutes copyright infringement of your work, you may notify pillowfort s designated agent by contacting info@pillowfort.io.",1
Please see 17 u.s.c.,1
512 for the requirements of a proper dmca take-down notification.,1
"Please note that if you misrepresent that any activity or content on the services is copyright infringement, you may be liable to pillowfort for costs and damages under the dmca.",1
"If you feel your trademark has been infringed, please notify pillowfort at info@pillowfort.io.",1
Pillowfort will notify you if it removes your content in response to a dmca take-down notice or a notice alleging trademark infringement.,1
"If you believe your content was wrongfully removed, you can send a counter-notification to pillowfort s designated agent at info@pillowfort.io.",0
Please see 17 u.s.c.,1
512 for the requirements of a proper dmca counter-notification.,0
11.,0
Warranty disclaimers,0
"You understand and agree that the services are provided ""as is, and that your access and use of the services are at your own risk.",0
