text,highlighted
Skip to main content policy header navigation - actions,0
Sign up,0
Open menu,0
Terms,0
Privacy,0
Community,0
Merchant,0
Advertising,0
Developers,0
Copyright,0
Trademark,0
Terms,0
Privacy,0
Community,0
Merchant,0
Advertising,0
Developers,0
Copyright,0
Trademark,0
Terms of service thank you for using pinterest!,0
"These terms of service (""terms"") govern your access to and use of the pinterest website, apps, apis, and widgets ( pinterest or the service ).",0
"Please read these terms carefully, and contact us if you have any questions.",0
"By accessing or using pinterest, you agree to be bound by these terms, our privacy policy, our cookies policy and our community guidelines.",0
More simply put,1
Every company has its terms.,0
These are ours.,0
1.,0
Our service,0
Pinterest helps you discover and do what you love.,0
"To do that, we show you things we think will be relevant, interesting and personal to you based on your onsite and offsite activity.",0
"To provide our service, we need to be able to identify you and your interests.",0
Some of the things we show you are promoted by advertisers.,0
As part of our service we try to ensure that even promoted content is relevant and interesting to you.,0
You can identify promoted content because it will be clearly labelled.,0
More simply put,1
Pinterest helps you discover and do what you love.,0
It s customized to you.,0
We need to know what you like to make everything on pinterest relevant to you.,0
2.,0
Using pinterest,0
A.,0
"Who can use pinterest you may use pinterest only if you can legally form a binding contract with pinterest, and only in compliance with these terms and all applicable laws.",0
"When you create your pinterest account, you must provide us with accurate and complete information.",0
You can t use pinterest if it would be prohibited by u.s.,0
Sanctions.,0
Any use or access by anyone under the age of 13 is not allowed.,1
"If you re based in the eea, you may only use pinterest if you are over the age at which you can provide consent to data processing under the laws of your country.",0
"Using pinterest may include downloading software to your computer, phone, tablet, or other device.",0
"You agree that we may automatically update that software, and these terms will apply to any updates.",0
B.,0
"Our license to you subject to these terms and our policies (including our community guidelines), we grant you a limited, non-exclusive, non-transferable, and revocable license to use our service.",0
C.,0
Commercial use of pinterest if you want to use pinterest for commercial purposes you must create a business account and agree to our business terms of service.,0
"If you do open an account for a company, organization, or other entity, then ""you"" includes you and that entity, and you promise that you are authorized to grant all permissions and licenses provided in these terms and bind the entity to these terms, and that you agree to these terms on the entity's behalf.",0
More simply put,1
You cannot use pinterest if you're under 13 (or older in some countries).,0
"Also, if you are using pinterest for work, you need to set up a business account.",0
3.,0
Your content,0
A.,0
"Posting content pinterest allows you to post content, including photos, comments, links, and other materials.",0
"Anything that you post or otherwise make available on pinterest is referred to as ""user content.""",0
"You retain all rights in, and are solely responsible for, the user content you post to pinterest.",1
More simply put,1
"If you post your content on pinterest, it still belongs to you.",0
B.,0
How pinterest and other users can use your content,0
"You grant pinterest and our users a non-exclusive,",1
"Royalty-free,",0
"Transferable, sublicensable, worldwide license",1
"To use, store, display, reproduce, save, modify, create derivative works, perform, and distribute your user content on pinterest solely for the purposes of operating, developing, providing, and using pinterest.",1
"Nothing in these terms restricts other legal rights pinterest may have to user content, for example under other licenses.",0
"We reserve the right to remove or modify user content, or change the way it s used in pinterest, for any reason.",1
"This includes user content that we believe violates these terms, our community guidelines, or any other policies.",1
More simply put,1
"If you post your content on pinterest, we can show it to people and others can save it.",0
Don't post porn or spam or be a jerk to other people on pinterest,0
C.,0
How long we keep your content,0
"Following termination or deactivation of your account, or if you remove any user content from pinterest, we may keep your user content for a reasonable period of time for backup, archival, or audit purposes.",1
"Pinterest and its users may retain and continue to use, store, display, reproduce, re-pin, modify, create derivative works, perform, and distribute any of your user content that other users have stored or shared on pinterest.",1
More simply put,1
"If you choose to post content, you give us permission to use it to provide and improve pinterest.",0
Copies of content shared with others may remain even after you delete the content from your account.,0
D.,0
"Feedback you provide we value hearing from our users, and are always interested in learning about ways we can make pinterest more awesome.",0
"If you choose to submit comments, ideas or feedback, you agree that we are free to use them without any restriction or compensation to you.",0
"By accepting your submission, pinterest doesn t waive any rights to use similar or related feedback previously known to pinterest, or developed by its employees, or obtained from sources other than you.",0
More simply put,1
We can use your suggestions to make pinterest better.,0
4.,0
Copyright policy,0
Pinterest has adopted and implemented the pinterest copyright policy in accordance with the digital millennium copyright act and other applicable copyright laws.,0
"For more information, please read our copyright policy",0
More simply put,1
We respect copyrights.,0
"You should, too.",0
5.,0
Security,0
We care about the security of our users.,0
"While we work to protect the security of your content and account, pinterest can t guarantee that unauthorized third parties won t be able to defeat our security measures.",1
We ask that you keep your password secure.,1
Please notify us immediately of any compromise or unauthorized use of your account.,1
More simply put,1
You can help us fight spammers by keeping these security tips in mind.,0
6.,0
"Third party links, sites, and services",0
"Pinterest may contain links to third party websites, advertisers, services, special offers, or other events or activities that are not owned or controlled by pinterest.",1
"We don t endorse or assume any responsibility for any such third party sites, information, materials, products, or services.",1
"If you access any third party website, service, or content from pinterest, you do so at your own risk and you agree that pinterest has no liability arising from your use of or access to any third party website, service, or content.",1
More simply put,1
Pinterest has links to content off of pinterest.,0
"Most of that stuff is awesome, but we're not responsible when it's not.",0
7.,0
Termination,0
Pinterest may terminate or suspend your right to access or use pinterest for any reason on appropriate notice.,1
"We may terminate or suspend your access immediately and without notice if we have a good reason, including any violation of our community guidelines.",1
"Upon termination, you continue to be bound by sections 3 and 8 of these terms.",1
More simply put,1
Pinterest is provided to you for free.,0
"We reserve the right to refuse service to anyone, but we will provide appropriate notice.",0
8.,0
Indemnity,0
"If you use pinterest for commercial purposes (i.e., you are not a consumer) without agreeing to our business terms as required by section 2(c) of these terms, you agree to indemnify and hold harmless pinterest inc, pinterest europe ltd, their affiliates and their respective officers, directors, employees and agents, from and against any claims, suits, proceedings, disputes, demands, liabilities, damages, losses, costs and expenses, including, without limitation, reasonable legal and accounting fees (including costs of defense of claims, suits or proceedings brought by third parties), in any way related to your access to or use of our service, your user content, or your breach of any of these terms.",1
More simply put,1
"If we are sued because of something your business does on pinterest, you have to pay our costs.",0
"Also, you should have created a business account and agreed to our business terms in the first place.",0
9.,0
Disclaimers,0
"Our service and all content on pinterest is provided on an ""as is"" basis without warranty of any kind, whether express or implied.",1
"Pinterest specifically disclaims any and all warranties and conditions of merchantability, fitness for a particular purpose, and non-infringement, and any warranties arising out of course of dealing or usage of trade.",1
Pinterest takes no responsibility and assumes no liability for any user content that you or any other person or third party posts or sends using our service.,1
