text,highlighted
Openopen the pocket mobile menupocket,0
Discover,0
My list,0
"Log insign upterms of serviceposted december 23, 2019",0
"Please read the following terms of service (""agreement"" or ""terms of service"") before you install the pocket application or use any of the products or services we provide through our application, software or website (all of which are referred to collectively herein as the ""pocket technologies"").",0
"The pocket technologies are owned, licensed and operated by read it later, inc.",0
"(referred to herein as ""we,"" ""us,"" ""our,"" ""read it later"" or ""pocket""), which has developed applications and services for use in connection with a variety of devices and platforms, including without limitation, windows, mac, iphone, ipad, kindle fire, android, blackberry, windows phone, chrome, safari, firefox and other mobile devices and computers.",0
"The terms of service constitute a binding legal agreement, which govern your use of the pocket technologies via any platform or device.",0
"By installing the pocket application, visiting our website or installing or using any of the pocket technologies, you are accepting these terms of service.",0
"If you do not agree to these terms, please do not install our application, access our website or use any of our products or services.",0
"This agreement includes the following provisions, and you can jump to each by selecting the links below:",0
The pocket service,0
License grant,0
Ownership,0
License restrictions,0
Information you provide,0
Copyright infringement,0
Third party websites and opinions,0
Proprietary rights notices,0
Disclaimer of warranties,0
Limitation of liability,0
Indemnification,1
Disputes,1
Governing law,1
"Automatic renewal, payments, and refunds",0
Cancellation policy for pocket premium,0
Termination,0
Assignment,0
Severability,0
Relationship of the parties,0
Force majeure,0
Entire agreement,0
International access,0
U.s.,0
Government restricted rights,0
Access by children,0
Electronic communications,0
Revisions to agreement,0
Copyright notice,0
"If you have questions or concerns regarding this agreement, the pocket technologies or your pocket premium subscription, you should contact us at legal@getpocket.com.",0
"Alternatively, you may contact us at:read it later, inc233 sansome, ste 1200san francisco, ca 94104the pocket servicethe pocket software application, supporting files and accompanying documentation (referred to collectively herein as the ""pocket application"") is provided solely for your personal, noncommercial use.",0
"The videos, articles and other content that you choose to save may be protected by copyright and other laws.",0
"Please refer to the website you were visiting when you saved such content for copyright notices, information and restrictions that may be applicable to such content.",0
"We respect the intellectual property of others, and we ask our users to do the same.",0
The pocket technologies allow you to time-shift across devices and platforms so that you can access information later that you had the right to access when you saved such content to pocket.,0
"As a condition to your use of the pocket technologies, you agree not to use the pocket technologies to infringe any intellectual property rights.",0
"We reserve the right, at any time, in our sole discretion, with or without notice, to terminate the accounts of, and block access to the pocket technologies to, any users who infringe any copyrights or other intellectual property rights.",0
"We offer a paid subscription service (""pocket premium"") which, among other things, provides paid subscribers with certain features that are not made available to users of the standard, free version of the pocket technologies.",0
"Each paid subscriber has a separate, personal library in which an archival copy of saved content is stored for that subscriber s own personal non-commercial use at a later time.",0
"The pocket premium subscription service also includes other features, such as full-text searching of saved content and suggested tags for an item.",0
"Subscriptions to pocket premium are available on monthly and yearly subscription plans.license grantsubject to the terms and conditions of this agreement, we grant you a limited, non-exclusive, personal, nontransferable, non-sublicensable, noncommercial right and license to: (1) download and use a copy of the pocket application.",0
"And (2) view and use the pocket technologies, including, without limitation, the products and services made available on or through the pocket application or our website.",0
No other right or license of any kind is granted to you hereunder with respect to the pocket technologies.,0
"Nothing contained herein shall be construed as conferring by implication, estoppel or otherwise, any license or other grant of right to use any patent, copyright, trademark, service mark, trade secret or other intellectual property right, except as expressly provided herein.",0
"If you want to make commercial use of any of the pocket technologies, you must enter into a separate written agreement with us in advance.",0
