text,highlighted
Privacy policy | terms of serviceterms of servicehello!,0
Welcome to podyssey s terms of service.,0
"Please read this carefully before using our site, apps, sdks, services, or products.",0
This is a contract between you and podyssey.,0
"Please feel free to contact us if you have any questions or suggestions!accepting the terms of serviceplease read these terms of service (the agreement ) carefully before using podyssey.fm (the site ) and/or the other domains, websites, products, applications, mobile applications, services, and/or content provided by podyssey (all of those collectively with the site, the services ).",0
Podyssey is a product owned by podyssey podcasts inc.,0
"(podyssey podcasts inc., is a british columbia corporation, collectively with its agents, representatives, consultants, employees, officers, and directors, podyssey, we, or us ).",0
"By using or accessing the services, you ( subscriber or you ) agree to be bound by all the terms and conditions of this agreement.",0
"If you don t agree to all the terms and conditions of this agreement, you shouldn t, and aren t permitted to, use the services.modifications to this agreement",0
"Podyssey reserves the right to modify this agreement by (1) posting a revised agreement on and/or through the services and (2) providing notice to you that this agreement has changed, generally via email where practicable, and otherwise through the services (such as through a notification on your dashboard).",1
Modifications will not apply retroactively.,0
You are responsible for reviewing and becoming familiar with any modifications to this agreement.,0
We may sometimes ask you to review and to explicitly agree to (or reject) a revised version of this agreement.,0
"In such cases, modifications will be effective at the time of your agreement to the modified version of this agreement.",0
"If you do not agree at that time, you are not permitted to use the services.",0
"In cases where we do not ask for your explicit agreement to a modified version of this agreement, but otherwise provide notice as set forth above, the modified version of this agreement will become effective fourteen days after we have posted the modified agreement and provided you notification of the modifications.",1
Your use of the services following that period constitutes your acceptance of the terms and conditions of this agreement as modified.,1
"If you do not agree to the modifications, you are not permitted to use, and should discontinue your use of, the services.",0
"Note that, if you have prepaid for any paid services (as defined below) prior to a modification of this agreement, your use of such prepaid paid services is governed by the version of this agreement in effect at the time podyssey received your prepayment.use of the serviceseligibility:you may only use the services if you can form a binding contract with podyssey and are not legally prohibited from using the services.service changes and limitationsthe services change frequently, and their form and functionality may change without prior notice to you.",0
Podyssey retains the right to create limits on and related to use of the services in its sole discretion at any time with or without notice.,0
Podyssey may also impose limits on certain services or aspects of those services or restrict your access to parts or all of the services without notice or liability.,0
