text,highlighted
Pure dating,0
Free dating sites,0
Free sexting sites,0
Free hookup sites,0
Sex app,0
About us,0
Terms of useversion 1.0,0
The pure dating website located at http://pure.dating is a copyrighted work belonging to pure dating.,0
"Certain features of the site may be subject to additional guidelines, terms, or rules, which will be posted on the site in connection with such features.",0
All such additional,0
"Terms, guidelines, and rules are incorporated by reference into these terms.",0
These terms,1
Of use described the legally binding terms and conditions that oversee your use,0
Of the site.,0
"By logging into the site, you are being compliant that these terms",0
And you represent that you have the authority and capacity to enter into these terms.,0
You should be at least 18 years of age to access the site.,1
If you disagree with,0
"All of the provision of these terms, do not log into and/or use the site.",0
These terms,1
Require the use of arbitration section 10.2 on an individual basis to resolve disputes,0
And also limit the remedies available to you in the event of a dispute.,0
These terms,1
Of use were created with the help of the terms of use generator and the privacy policy sample.access to the site,0
Subject to,0
These terms,1
Company,1
"Grants you a non-transferable, non-exclusive, revocable, limited license to access",1
"The site solely for your own personal, noncommercial use.",1
Certain restrictions,0
The rights approved to you in these,0
"Terms are subject to the following restrictions: (a) you shall not sell, rent, lease,",0
"Transfer, assign, distribute, host, or otherwise commercially exploit the site.",0
"(b) you shall not change, make derivative works of, disassemble, reverse compile",0
Or reverse engineer any part of the site.,0
(c) you shall not access the site in order,0
To build a similar or competitive website.,0
"And (d) except as expressly stated herein,",0
"No part of the site may be copied, reproduced, distributed, republished, downloaded,",0
"Displayed, posted or transmitted in any form or by any means unless otherwise indicated,",0
"Any future release, update, or other addition to functionality of the site shall",0
Be subject to these terms.,0
All copyright and other proprietary notices on the site,0
Must be retained on all copies thereof.,0
Company reserves,1
"The right to change, suspend, or cease the site with or without notice to you.",1
You,0
Approved that company will not be held liable to you or any third-party for any,0
"Change, interruption, or termination of the site or any part.",0
No support,0
Or maintenance,0
You,0
Agree that company will have no obligation to provide you with any support in connection,0
With the site.,0
Excluding any,0
"User content that you may provide, you are aware that all the intellectual property",0
"Rights, including copyrights, patents, trademarks, and trade secrets, in the site",0
And its content are owned by company or company s suppliers.,0
Note that these terms,0
"And access to the site do not give you any rights, title or interest in or to any",0
