text,highlighted
This website uses cookies to ensure you get the best experience on our website.,0
Learn moregot it!,0
Features,0
Pricing,0
Sign in,0
Register,0
Terms of service | privacy policy | legal notice terms of service,0
"Version: 1.1, 22.03.2018",1
Deutsche version preamble runalyze is an interactive sports diary that allows users to document and analyze their training and network with other athletes.,0
Your health is very important to us.,0
Runalyze is in no way a substitute for the competence of a physician and assumes no responsibility for your health and actions.,0
You can see how we collect and use your personal information in our privacy policy.,0
"Registration at runalyze in order to use runalyze, a free registration is required.",0
"By registering, these terms of use are accepted.",0
This registration can be done via the registration form.,0
"Upon registration, the user must provide",0
"His username,",0
A password,0
And the e-mail address.,0
"If the registration of the runalyze account is not properly carried out by the user (activation of the account, acceptance of the terms of use, missing personal data), the created user account will be deleted within 7 days.",0
The data entered during registration will be used for the purpose of using the offer.,0
"Users can be informed by e-mail about information relevant to offers or registration, such as changes to the scope of offers or technical circumstances.",1
The data collected can be seen in the input mask during registration.,0
"This includes username, name &amp.",0
E-mail address for the online version of runalyze.,0
There is no entitlement to membership.,0
You must be at least 16 years old to register at runalyze,1
Limitation of liability,0
"Runalyze does not assume any liability for the correctness, completeness and topicality of contents.",0
"In the case of advertisements and their content, the advertiser alone is responsible for the content.",0
"Despite the utmost care, uninterrupted operation of runalyze cannot be guaranteed.",1
Any liability for this is expressly excluded.,1
Runalyze is not liable for data loss by users.,0
Duties of the user,0
The user undertakes vis- -vis runalyze not to publish any content that offends against morality or applicable law.,1
The user undertakes to publish only correct and deception-free content in runalyze.,0
Termination of a user relationship,0
The user can properly delete his account at any time in his account settings.,0
"When an account is deleted, all personal data is removed from the database.",1
"For security reasons, this account data only ages after 30 days from all data backups and is only then finally deleted.",1
Runalyze reserves the right to exclude the user from the platform in the event of a violation of the user's obligations or other gross violations.,1
Amendments or termination of offers runalyze is entitled to make changes to the offer of its service at any time.,0
Runalyze is entitled to terminate the service between the user with a period of compliance of 4 weeks.,1
Right of modification runalyze reserves the right to make changes to these terms of service.,1
We will inform users in good time of any changes to the terms of service.,1
Runalyze deutsch english polski catal nederlandse italiano espa ol fran ais norsk suomi (31 ) follow us,0
Customer care,0
Blog,0
Forum,0
Community,0
Documentation,0
Help and support,0
Glossary,0
Translations,0
Status,0
Api,0
About,0
Pricing,0
Features,0
Compatible devices,0
Changelog,0
Legal,0
Terms of service,0
Privacy policy,0
Legal notice,0
