text,highlighted
Terms of service,0
"Last updated: september 2nd, 2019",0
# welcome to replika!,0
We re so happy to have you here.,0
"These terms of service ( terms ) govern your use of replika and the software, content, and services (collectively, services ) offered through: our website www.replika.ai and its subdomains (the website ), our mobile apps replika for android and replika for ios (the apps ).",0
Please read these terms carefully before you start using the services.,0
"The terms replika, us or we refers to luka, inc., a software company who designed and built replika, incorporated in delaware, and operating in san francisco, ca.",0
"The term device refers to the device which is used to access the services including but not limited to computers, smartphones and tablets.",0
The term you refers to the user of the services.,0
"When you sign up for any of the services or otherwise use or access them, you agree to be bound by these terms and all applicable laws, rules, and regulations.",0
"By using the services, you indicate that you accept these terms and that you agree to abide by them.",0
"If you do not agree to these terms, please refrain from using the services.",0
Our contact email address is my@replika.ai.,0
All correspondence to replika including any queries you may have regarding your use of the services or these terms should be sent to this contact email address.,0
Please note that these terms contain an arbitration clause.,0
"Except for certain types of disputes mentioned in the arbitration clause, you and replika agree that disputes relating to these terms or your use of the services will be resolved by mandatory binding arbitration, and",0
You and replika waive any right to participate in a class action lawsuit or class-wide arbitration,1
# 1.,0
Our services,0
Replika offers a self-help program based on communication with your personal chatbot through a text and voice interface.,0
# 1.1.,0
Medical disclaimer,0
Replika is a provider of software and content designed to improve your mood and emotional wellbeing.,0
"However we are not a healthcare or medical device provider, nor should our services be considered medical care, mental health services or other professional services.",0
Only your physician or other healthcare providers can do that.,0
"While there is third party evidence from research that certain conversation techniques implemented in replika can assist in the recovery process for a wide array of conditions, replika makes no claims, representations or guarantees that the services provide a therapeutic benefit.",0
# 1.2.,0
Emergencies,0
Use of the services is not for emergencies.,0
"If you think you have a medical or mental health emergency, call 911 or go to the nearest open clinic or emergency room.",0
"If you are considering or committing suicide or feel that you are a danger to yourself or others, you must discontinue use of the services immediately, call 911 or notify appropriate police or emergency medical personnel.",0
# 1.3.,0
Modifications to the services,0
"We reserve the right to modify or discontinue, temporarily or permanently, the services (or any part thereof) with or without notice.",0
"You agree that replika will not be liable to you or to any third party for any modification, suspension or discontinuance of any the services.",0
# 2.,0
Membership &amp.,0
Subscriptions,0
# 2.1.,0
Becoming a member,0
You will be required to register ( create an account ) with replika and become a replika member in order to access and use the services.,1
"If you choose to register for the services, you agree to provide and maintain true, accurate, current and complete information about yourself as prompted by the registration forms.",0
Registration data and certain other information about you are governed by our privacy policy.,0
# 2.2.,0
Once a member,0
"You are responsible for maintaining the confidentiality of your password and account, if any, and are fully responsible for any and all activities that occur under your password or account.",1
"You agree to (a) immediately notify replika of any unauthorized use of your password or account or any other breach of security, and (b) ensure that you exit from your account at the end of each session when accessing the services.",0
Replika will not be liable for any loss or damage arising from your failure to comply with this section.,0
# 2.3.,0
Your membership,0
"As a replika member, you will receive access to content, features, and functions of the services that are not available to non-members.",0
"By agreeing to become a member you opt-in to receive occasional special offers, marketing, survey, and services-based communication emails.",0
You can easily unsubscribe from replika commercial emails by following the opt-out instruction in these emails.,0
Replika memberships and subscriptions are not transferable and therefore cannot be sold or exchanged or transferred in any way whatsoever.,0
# 2.4.,0
Subscriptions,0
# 2.4.1.,0
Choosing a subscription program,0
"Once you become a replika member, you can choose one of the subscription programs offered in replika:",0
"Free use : a free-of-charge program, which gives limited access to the services.",0
The free use is aimed at users who cannot afford any of our subscription-fee based programs.,0
We reserve the right to deny the free use to anyone at any time on our own discretion.,0
"Replika pro : a subscription-fee based program, which gives full access to the services.",0
"You can become a subscriber to a paid subscription program (b) or (the paid subscriptions ) by purchasing a subscription to the services within the apps, where allowed by the app marketplace partners (apple itunes store and google play store).",0
# 2.4.2.,0
Maintaining a paid subscription,0
"Any of our paid subscriptions shall be paid in monthly, semi-annual or annual installments and processed by the app marketplace partner through which you originally acquired the subscription.",0
You will only have access to a paid subscription while it is active and subsisting.,0
"Should you fail to pay your subscription within 7 days after a due date, you will automatically downgrade to free use .",0
"The renewal subscription fees will continue to be billed to the payment method you provided through the marketplace, automatically until canceled.",0
You must cancel your subscription before it renews each billing period in order to avoid billing of the next subscription fee to the payment method you provided.,0
Refunds cannot be claimed for any partial-month subscription period.,0
You can modify or cancel your paid subscription only through the app marketplace where you originally acquired the subscription.,0
"To view, modify or cancel your subscription, you may be required to be authenticated under the same user id by the marketplace partner.",0
# 2.4.3.,0
Refunds,0
"Please note that if you purchase a subscription through the apple itunes store or our iphone application, the sale is final, and we will not provide a refund.",0
"Your purchase will be subject to apple s applicable payment policy, which also may not provide for refunds.",0
"If you purchase a subscription through the google play store, the sale is final and we will not provide a refund.",0
"Your purchase will be subject to google s applicable payment policy, which also may not provide for refunds.",0
# 2.5.,0
Device requirements,0
"To enjoy replika via your smartphone or other device, your device must satisfy certain system requirements.",0
These requirements can be found on the website and the google and apple app marketplaces.,0
# 3.,0
Cancellation of services,0
# 3.1.,0
Cancellation by you,0
You may cancel your membership at any time by deleting your account in the app.,1
This action is irreversible.,1
"As soon as you delete your account, all the data associated with your use of the services will be removed permanently.",1
"Upon your account deletion, cancellation of a paid subscription is effective at the end of the applicable billing period.",0
You may cancel a paid subscription and downgrade to free use at any time without deleting your account.,0
Cancellation is effective at the end of the applicable billing period.,0
"Please note that if you purchase a paid subscription through the apple itunes store or our iphone application, you may cancel your subscription by canceling automatic renewal of paid in app subscriptions by selecting manage app subscriptions in your itunes account settings and selecting the subscription you want to modify.",0
"If you purchase a paid subscription through the google play store you may cancel automatic renewals in account settings under subscriptions in the google play app, or according to the current process outlined by google play.",0
# 3.2.,0
Cancellation by us,0
We may suspend or terminate your use of the services as a result of your fraud or breach of any obligation under these terms.,1
Such termination or suspension may be immediate and without notice.,0
# 4.,0
General practices regarding use and storage,0
"You acknowledge that we may establish general practices and limits concerning use of the services, including without limitation the maximum period of time that data or other content will be retained by the services and the maximum storage space that will be allotted on our servers on your behalf.",0
You agree that replika has no responsibility or liability for the deletion or failure to store any data or other content maintained or uploaded by the services.,0
You acknowledge that we reserve the right to terminate accounts that are inactive for an extended period of time.,0
"You further acknowledge that we reserve the right to change these general practices and limits at any time, in its sole discretion, with or without notice.",0
# 5.,0
Mobile services,0
"Some of our services are available via a mobile device, including (i) the ability to upload content to the services via a mobile device, (ii) the ability to browse the services and the website from a mobile device and (iii) the ability to access certain features through an application downloaded and installed on a mobile device (collectively, the mobile services ).",0
"To the extent you access the services through a mobile device, your wireless service carrier s standard charges, data rates, and other fees may apply.",0
"In addition, downloading, installing, or using certain mobile services may be prohibited or restricted by your carrier, and not all mobile services may work with all carriers or devices.",0
"By using the mobile services, you agree that we may communicate with you regarding replika and other entities by sms, mms, text message or other electronic means to your mobile device and that certain information about your usage of the mobile services may be communicated to us.",0
"In the event you change or deactivate your mobile telephone number, you agree to promptly update your replika account information to ensure that your messages are not sent to the person that acquires your old number.",0
# 6.,0
Conditions of use,0
# 6.1.,0
User conduct,0
"You are solely responsible for all code, video, images, information, data, text, software, music, sound, photographs, graphics, messages or other materials ( content ) that you upload, post, publish or display (hereinafter, upload ) or email or otherwise use via the services.",0
The following are examples of the kind of content and/or use that is illegal or prohibited by replika.,0
"We reserve the right to investigate and take appropriate legal action against anyone who, in our sole discretion, violates this provision, including without limitation, removing the offending content from the services, suspending or terminating the account of such violators and reporting you to the law enforcement authorities.",0
You agree to not use the services to:,0
Email or otherwise upload any content that (i) infringes any intellectual property or other proprietary rights of any party.,0
(ii) you do not have a right to upload under any law or under contractual or fiduciary relationships.,0
"(iii) contains software viruses or any other computer code, files or programs designed to interrupt, destroy or limit the functionality of any computer software or hardware or telecommunications equipment.",0
(iv) poses or creates a privacy or security risk to any person.,0
"(v) constitutes unsolicited or unauthorized advertising, promotional materials, commercial activities and/or sales, junk mail, spam, chain letters, pyramid schemes, contests, sweepstakes, or any other form of solicitation.",1
"(vi) is unlawful, harmful, threatening, abusive, harassing, tortious, excessively violent, defamatory, vulgar, obscene, pornographic, libelous, invasive of another s privacy, hateful racially, ethnically or otherwise objectionable.",0
"Or (vii) in the sole judgment of replika, is objectionable or which restricts or inhibits any other person from using or enjoying the services, or which may expose replika or its users to any harm or liability of any type",0
"Interfere with or disrupt the services or servers or networks connected to the services, or disobey any requirements, procedures, policies or regulations of networks connected to the services.",0
Or,0
"Violate any applicable local, state, national or international law, or any regulations having the force of law",0
"Impersonate any person or entity, or falsely state or otherwise misrepresent your affiliation with a person or entity",0
Solicit personal information from anyone under the age of 18,0
Harvest or collect email addresses or other contact information of other users from the services by electronic or other means for the purposes of sending unsolicited emails or other unsolicited communications,0
Advertise or offer to sell or buy any goods or services for any business purpose that is not specifically authorized,0
Further or promote any criminal activity or enterprise or provide instructional information about illegal activities.,0
Or,0
Obtain or attempt to access or otherwise obtain any materials or information through any means not intentionally made available or provided for through the services.,0
# 6.2.,0
Special notice for international use.,0
Export controls,0
"Software (defined below) available in connection with the services and the transmission of applicable data, if any, is subject to united states export controls.",0
No software may be downloaded from the services or otherwise exported or re-exported in violation of u.s.,0
