text,highlighted
"Last modified: january 15, 2020",1
"Greetings players,",0
"These terms of service (the terms ) set out the terms and conditions by which riot games offers you access to use and enjoy our games, apps, websites and other services (the riot services ).",0
Riot games is a global gaming company headquartered in los angeles with offices and operations around the world.,0
"When we say riot games, we re referring to the riot games entity responsible for providing the riot services in your region (see section 19, below) and these terms are an agreement between you and that entity.",0
Please read these terms carefully and pay particular attention to these items:,0
Dispute resolution.,0
"If you reside in the united states, please read the binding arbitration clause and class action waiver in part a of section 17.",0
It affects how disputes between us are resolved.,0
Virtual content,0
"When you click to purchase, earn or are gifted virtual content, you only get a license to access virtual content.",0
You have no ownership in any of the virtual content you unlock and you can t transfer it to someone else.,0
"Virtual content has no monetary value, is generally game specific and you can t redeem virtual content for any type of real world money.",0
Refund policy,0
"You lose the right to change your mind, cancel the order and get a refund if you get immediate access to or download your digital content.",0
"There are some exceptions to this rule, but we have a strict policy on refunds.",0
Read about it here.,0
User rules,1
You agree to follow our user rules (section 7).,0
These rules govern both in-game behavior and certain out-of-game conduct while using the riot services.,0
Attention parents!,0
We provide game rating info on our website about age appropriateness.,0
"We also encourage you to supervise your child s online activities, review the content they are accessing and, as appropriate, monitor their social interactions.",0
"For more info on game ratings and content descriptors, please check your local ratings system.",0
Table of contents,0
Your account,0
Account termination,0
Limited license,0
"Virtual goods, game currency and purchases",0
Fees &amp.,0
Taxes,0
Unsolicited idea submission policy,0
User rules,1
User generated content,0
Monitoring,0
Updates and modifications,0
Boards and links,0
Notice and procedure for claims of copyright infringement,0
Warranty disclaimer,0
Indemnification,0
Limitation of liability,0
Governing law,0
Dispute resolution,0
Additional terms applicable to riot services,0
Riot legal entities,0
Miscellaneous,0
1.,0
Your account 1.1.,0
Am i eligible to create an account and use the riot services?,0
(you either must be an adult or have permission from your parents or legal guardian.,0
),0
"To create an account and use the riot services, you must: (i) be an adult.",0
(ii) be an emancipated minor.,0
Or (iii) have valid parent or legal guardian consent to be bound by these terms.,0
"If you re not an adult or emancipated minor, or don t understand this section, please talk to your parents or legal guardian and ask for help.",0
"If you are the parent or legal guardian of a minor who creates an account with us, you and the minor accept and agree to be bound by these terms.",0
"You are also responsible for all use of the account and compliance with these terms by the minor, including all purchases made on the account.",0
You may not create or use an account or use any of the riot services on behalf of any other person or other legal entity or for a commercial purpose.,0
1.2.,0
Do i need to provide my real name and stuff?,0
(yes.,0
Please don t try to pull any kind of definitely not blitzcrank or definitely not udyr funny business.,0
),0
You must always supply us with accurate and complete info including your real name.,1
1.3.,0
I have a ton of different email accounts.,0
Does it matter which one i use to register my account?,0
(yes.,0
"Otherwise, you might miss important notices!",0
),0
"We send account, legal and service related notices to the email address registered to your account.",0
"These notifications may be really important (e.g., a notification that we intend to terminate your account for inactivity) so you must keep the email address associated with your account current and (if we ask) verified.",0
1.4.,0
Can i share or sell my account or login credentials?,0
(no.,0
),0
"When you create an account with us, we require you to select a unique username and password (collectively, your login credentials ).",0
You agree that:,0
You can t share your account or login credentials with anyone.,0
"You can t sell, transfer or allow any other person to access your account or login credentials, or offer to do so.",0
You must keep your login credentials secret.,0
"You must notify us immediately if you become aware of any breach of security, including any unauthorized account access or any loss, theft or unauthorized use or disclosure of your login credentials or payment info so we can take appropriate steps.",1
You are responsible for all losses (including loss or use of virtual content) on your account where you have shared your login credentials or have failed to keep your account or login credentials secure.,1
2.,0
Account termination 2.1.,0
How can my account be suspended or terminated?,0
"(if you break the rules, demacian justice will be visited upon your account!",0
),0
2.1.1.,0
You.,0
You may terminate or suspend your account at any time by contacting us at support@riotgames.com .,0
2.1.2.,0
Us.,0
"We may terminate or suspend your account without notice to you if we reasonably determine, that:",0
You have breached any part of these terms (including the user rules),0
Doing so would be in the best interests of our community or the riot services or is required for upholding a third party s rights,0
"We have stopped offering the riot services in your region (though we ll normally post advance notice on our website, app or game if we plan to stop offering a material core feature of a game or all of the riot services in your region)",0
You have failed to pay any fees you owe us (except in cases of our gross negligence or willful misconduct) or we have to refund someone due to unauthorized use of a payment made from your account.,0
Or,0
You have (or we have reasonable grounds for suspecting that you have) made unauthorized use of someone else s payment info.,0
"We can make such determinations, with the assistance of automated systems and machine learning tools or by using other methods that we think are appropriate.",0
"If you think that we have made a mistake, please contact us with details and we will review your case, though we may suspend your account during our review.",0
You can also challenge our determinations (see section 17).,0
2.2.,0
"Will riot maintain my account forever, even if i stop using it?",0
"(if you abandon your account for a very long period of time, we may terminate it after giving you notice and an opportunity to re-activate it.",0
),0
"If you do not use your account for a prolonged period of time, we reserve the right to take measures against your account, including suspension or termination.",0
"If we plan to take measures against your account based on prolonged period of inactivity, we will let you know first (e.g., by email to the email address registered to your account) and give you ample opportunity to avoid such measures (e.g., deletion of your account).",0
2.3.,0
What happens if riot terminates my account?,0
(no games for you and you will lose access to any purchases including game currency and virtual goods.,0
),0
"If your account is terminated, you ll no longer have access to your account, including any of the associated data or virtual content (including game currency) (though this does not limit or affect any rights you have under data or consumer protection laws).",0
Where we terminate for a legitimate reason (e.g.,0
Where you have breached these terms):,0
You ll not be entitled to any refunds and we ll have no liability to you.,0
And,0
"We also reserve the right to terminate any other accounts you may have created, as well as your access to any other riot services (also without any refunds or liability to you).",0
"You understand and agree that using the riot services comes with the risk that your account may be terminated or suspended in accordance with these terms and that, whenever you use the riot services, you ll bear this risk in mind and always conduct yourself appropriately.",0
3.,0
Limited license 3.1.,0
What can i do with the riot services?,0
"(you can enjoy the riot services for your own, personal, non-commercial use.",0
),0
"We grant you a limited, non-exclusive, non-transferable, revocable license to use and enjoy the riot services (and any virtual content) for your individual, non-commercial, entertainment purposes only and expressly conditioned upon your compliance with these terms.",1
"If we terminate your account, any license granted by us to you in the riot services and any virtual content ends immediately.",0
"Unless otherwise expressly authorized by us in a signed written contract, you may not sell, copy, exchange, loan, reverse engineer, decompile, derive source code from, translate, lease, grant a security interest in, transfer, publish, assign or otherwise distribute any of the riot services or any of riot games intellectual property, including any of our computer code or virtual content.",0
3.2.,0
Can i do stuff with riot s intellectual property?,0
"(we reserve all the rights to our ip, but do allow for some personal, non-commercial uses, like fan art.",0
),0
"We (and our licensors) own and reserve all rights, title and interest in and to the riot services, and all data and content posted, generated, provided or otherwise made available in or through the riot services, including, user accounts, computer code, titles, objects, artifacts, characters, character names, chat logs, game recordings and broadcasts, locations, location names, stories, dialog, catch phrases, artwork, graphics, structural or landscape designs, animations, sounds, musical compositions and recordings, virtual goods, in-game currency, audio-visual effects, character likenesses, methods of operation and gameplay (collectively, game content ).",0
"For clarity, game content includes virtual content.",0
You can t create any work of authorship based on the game content or riot services except as expressly permitted by us.,0
"For more info about what fan uses we currently permit, please read our legal jibber jabber policy (though be aware that we change this from time to time).",0
"You also agree that unless we grant you a license, in a written contract signed by us, you may never use any of our trademarks, service marks, trade names, logos, domain names, taglines, or trade dress.",0
"Any reproduction, redistribution, or modification of the riot services, or use of the riot services not in accordance with these terms, is expressly prohibited and may result in severe civil and/or criminal penalties",0
4.,0
"Virtual goods, game currency and purchases 4.1.",0
What is virtual content?,0
"(virtual content includes stuff like game currency and virtual goods, such as champions, skins, emotes, accessories, etc.",0
),0
"When using the riot services, we may provide you with opportunities to acquire a limited license to access virtual goods, such as champions, skins, emotes, etc., ( virtual goods ) and in-game currency ( game currency ), associated with your account (collectively, virtual content ).",0
Game currency may only be used for the specific game for which it was purchased unless we say otherwise at the time of purchase,0
4.2.,0
How do i get a license to access virtual content?,0
"(buy it, earn it, or receive it.",0
),0
"We may provide you with various opportunities to acquire a limited license to access game currency or virtual content, including:",0
"Purchasing it (e.g., with a credit card).",0
"Earning it (e.g., by accomplishing game missions or tasks).",0
Or,0
"Receiving it (e.g., from another player as a gift or using crafting functionality like hextech ).",0
4.3.,0
Do i own the virtual content i unlock?,0
(no.,0
"What you unlock is not the virtual good itself, but rather, a non-transferable limited license to access it.",0
),0
"You have no ownership or other property interest in any of the virtual content you unlock, regardless of how you acquired access to it.",0
Virtual content has no monetary value.,0
You can t transfer (unless we allow it in the functionality of the riot services) or redeem virtual content for any type of real world money.,0
"You can t obtain any refunds for purchasing a license to access virtual content, except as expressly permitted by us.",0
You can find our current content refund policy here.,0
4.4.,0
Once again: i don t own my virtual content?,0
( no! shouted all the lawyers.,0
),0
"When you obtain virtual content from us, what we are actually giving you is a personal, non-exclusive, non-transferable, non-sublicenseable, revocable, limited right and license to use that virtual content only in connection with your use of the applicable riot services.",0
"Notwithstanding anything to the contrary in these terms, you acknowledge and agree that you shall have no ownership or other property interest in your account, and that all rights in and to your account are and shall forever be owned by and inure to the benefit of riot games.",0
"You further acknowledge and agree that you have no title, ownership, or other proprietary interest in any virtual content, regardless of any consideration offered or paid in exchange.",0
"Furthermore, except in cases of willful misconduct or gross negligence, or to the extent these terms say otherwise, riot games shall not be liable in any manner for the destruction, deletion, modification, impairment, hacking, or any other damage or loss of any kind caused to virtual content, including the deletion of virtual content upon the termination or expiration of your account or our reasonable changes to the riot services.",0
4.5.,0
Will my virtual content always be available?,0
"(not necessarily, no.",0
),0
"In an effort to constantly improve the riot services, evolve our games and keep the riot services, safe, fun, and secure, we have the right to delete, alter, move, remove, re-package, re-price, or transfer any and all game content, including virtual content, in whole or in part, at any time, with or without notice to you, and with no liability of any kind to you.",0
"For example, your virtual goods may (and likely will) evolve over time to improve the riot services or for regulatory or legal reasons.",0
"If we decide to entirely retire certain virtual goods that you recently purchased, we will provide you with a replacement.",0
"We won t delete your game currency without notice (such as through posts on our website, app or game), unless your account is terminated by us for a legitimate reason or by you under section 2.1.1.",0
"We may sometimes change the purchasing power of game currency (for example, we might increase the number of game currency needed to purchase virtual goods, such as skins).",0
"We normally only do this in incremental steps but we ll give you notice (such as through posts on our website, app or game) if we plan to make changes that will significantly impact your game currency in a negative way.",0
"We don t provide or guarantee, and expressly disclaim, any value, cash or otherwise, attributed to any data residing on servers we operate or control, including any game content or virtual content attributed to your account.",0
"If we allow the sale or transfer of your right to access certain game content or virtual content, it may only be conducted via services approved or provided by us, if any.",0
5.,0
Fees &amp.,0
Taxes 5.1.,0
Is everything about the riot services free?,0
(no.,0
),0
"Some aspects of the riot services may require you to pay a fee, and you agree that you ll provide accurate and complete payment info to us or the third-party payment provider used by us.",0
You further agree to pay all fees and applicable taxes incurred on your account.,0
We may revise the pricing for any part of the riot services at any time.,0
"This can impact on the purchasing power of your game currency, though we normally only do this in incremental steps.",0
All fees and charges are payable in accordance with payment terms in effect at the time the fee or the charge becomes due and payable.,0
