text,highlighted
Terms of serviceacceptance of terms,0
"By using roadtrip nation (""rtn"") services, including website and mobile app (including all content, information and functionality available through the roadtripnation.com domain name and/or mobile app, hereinafter collectively referred to as the ""services""), you agree to be bound by the following terms and conditions of use (""terms of use"") and the rtn privacy policy (""privacy policy""), available at http://roadtripnation.com/legal/privacy and incorporated herein by reference.",0
These terms of use and the privacy policy apply to your use of the services.,0
Please do not use the services if you do not agree to be bound by both the terms of use and privacy policy.,0
"Rtn reserves the right to modify or revise its terms of use and/or privacy policy, in its sole discretion, at any time.",0
Your continued use of the services indicates your agreement to be bound by any and all subsequent modifications or revisions.,0
"Rtn will attempt to notify users whenever it modifies or revises the terms of use and/or privacy policy, however,",0
We reserve the right to make such modifications or revisions without prior notice to you,1
Rtn recommends that users review the most up-to-date version of the terms of use and privacy policy periodically at http://roadtripnation.com.,0
"Rtn may discontinue, temporarily or permanently, the services for any reason, at our sole discretion, with or without notice to you",0
Eligibility,0
"You represent and warrant that you are capable of entering into the terms, conditions, obligations, affirmations, representations and warranties as set forth in the terms of use and privacy policy.",0
"If you are under the age of 13 years of age, you must obtain permission from your parent or legal guardian before using the services.",0
Please see our privacy policy.,0
Creation of an account,0
"When you sign up for an rtn account or other service or promotion that requires registration, we ask you to create a non-personally identifiable user name and password and provide certain other personal information (such as your first and last name, and email address).",0
Your personal information will be protected by rtn in accordance with the terms of its privacy policy.,0
Account security,0
You understand and agree that,0
You are responsible for maintaining the confidentiality of passwords associated with any account you use to access the services.,1
"Accordingly, you will be solely responsible to rtn for all activities that occur under your account",1
"If you become aware of any unauthorized use of your password or of your account, you shall notify rtn immediately through this website.",0
Use of the services,0
You agree to use the services only for purposes that are permitted by these terms of use.,0
"You further agree that you shall not do any of the following in connection with your use of the services: (a) access (or attempt to access) the services by any means other than through the interface that is provided by rtn, unless you have been specifically allowed to do so in a separate agreement with rtn.",0
(b),0
Access the services through any automated means (including use of scripts or web crawlers),1
", and shall ensure that you comply with the instructions set out in any robots.txt file present as part of the services.",0
(c) engage in any activity that interferes with or disrupts the services (or the servers and networks which are used in connection with the services).,0
"And (d) unless you have been specifically permitted to do so in a separate agreement with rtn, reproduce, duplicate, copy, sell, trade or resell the services for any purpose.",0
"You understand that by using the services, you may be exposed to material that you may find offensive, indecent or objectionable and that, in this respect, you use the services at your own risk.",0
Rtn intellectual property rights,0
"The services, including text, graphics, videos, images, music, sound, logos, button icons, photographs, editorial content, software, source code, notices, overall appearance, functionality, compilations of individual data, and other material (collectively, ""intellectual property ), are protected under copyright, patent, trademark, and other intellectual property laws.",0
Rtn owns and retains all intellectual property in the services.,0
"You may not copy, modify, publish, transmit, distribute, publicly perform, publicly display, reverse engineer, create derivative works of, sell, or otherwise exploit any intellectual property (including but not limited to any source code used in connection with the services), excluding information that is in the public domain or has been licensed by you to rtn.",0
User content,0
"All content created, submitted, posted or displayed on or through the services (e.g.",0
"A share your road profile), including the",0
"Copyright and any other rights therein, is owned solely and exclusively by the creator of such conten",1
T (the user content ).,0
"As part of the submission process, you may be asked to agree to additional terms which apply to the user content and/or your specific activity in connection with certain of the services, which terms supplement and these terms of use.",0
"Rtn has the right, but not the obligation, to pre-screen, review, flag, filter, modify, edit, refuse or remove any or all user content which is submitted through the services.",0
"In some cases, rtn may provide tools to filter out explicit sexual content.",0
"By submitting, posting or displaying any user content on or through the services,",0
"You grant to rtn a perpetual, irrevocable, worldwide",1
", royalty-free, and",0
Non-exclusive license to reproduce,1
", adapt, modify, translate, publish, publicly perform, publicly display and distribute, in all media whether now existing or hereafter created, all such user content which you submit, post or display on or through the services.",0
"You acknowledge and agree that the license rights granted to rtn in the user content is for the purpose of enabling rtn to display, distribute and promote, in any form, the services and all content therein and that the license includes the right for rtn to make such user content available to companies, organizations and/or individuals with whom rtn has a relationship (collectively, partners ) for the provision of services, and to use such user content in connection with the provision of those services.",0
"You understand that rtn, in performing the required technical steps to provide services to our partners, may (a) transmit or distribute your user content over various public networks and in various forms of media.",0
"And (b) make such changes to your user content as are necessary to conform and adapt that user content to the technical requirements of connecting networks, devices, services or media.",0
You agree that this license shall permit rtn to take these actions.,0
You hereby represent and warrant that: (a) the user content is your own original work.,0
(b) you wholly and exclusively own all rights to the user content.,0
(c) you are the sole author of the user content.,0
"And (d) when used by rtn as contemplated herein, rtn s use of the user content will not will not infringe or violate the rights of any third party anywhere in the world including without limitation, any statutory or common law copyright, trademark or right of privacy or publicity.",0
User content may be edited before it is submitted to rtn for approval.,0
"Once posted, users have the ability to make further edits to their own user content, which is then re-submitted to rtn for approval.",0
"We are reluctant to remove user content once posted, as doing so would destroy the integrity of our archive and consume a huge amount of manpower.",0
Any request to remove user content must be submitted in writing to info@roadtripnation.com .,0
"To the extent we have used the user content in some manner as permitted by the license granted to us above, we may not be able to modify our use if you subsequently edit or remove such user content.",0
"However, we will use commercially reasonable efforts to accommodate your request.",0
Link to the website,0
"Rtn grants you a limited, non-transferable, revocable and non-exclusive right to create a hyperlink to the rtn website solely for your personal, non-commercial use.",0
"If you choose to create a hyperlink to the website, you represent and warrant that any website or webpage that contains such a hyperlink will not:",0
"Duplicate content (including user content) that has been previously published, uploaded, displayed, transmitted or otherwise made available on the rtn website.",0
"Imply that rtn endorses any website or webpage, its services or products.",0
