text,highlighted
Terms of service,0
Scope and definitions,0
"These terms of service (""terms"") are between ruqqus llc (""ruqqus"") and you, regarding your use of the social platform ruqqus.com, its associated image hosting service i.ruqqus.com, and any ruqqus.com test or development servers which may exist now or in the future (collectively ""ruqqus.com"").",0
Content on this page displayed in blockquotes is provided for convenience and readability only.,0
Blockquote text is not part of the terms of service.,0
Conduct and content,0
You agree to follow the content policy here.,0
The content policy is incorporated into these terms by this reference.,0
Age,1
You warrant that you are at least 13 years old.,1
"You warrant that you are at least 18 years old, if you indicate as such in your user settings.",1
Account access,1
Your ruqqus.com account is nontransferable.,1
"You will not buy, sell, gift, loan, or otherwise grant a third party access to your ruqqus.com account.",1
You will not provide a third party with your ruqqus.com password or two-factor authentication codes.,1
"In the event that your ruqqus.com account is accessed by a third party anyways, you remain accountable for all actions taken by your account.",1
Liability,0
Ruqqus llc shall not be liable for your damages arising from any of the following:,0
Use of the ruqqus.com platform,0
Technical failure of ruqqus.com,0
"Administrative actions performed by ruqqus, including both automatic and manual actions",0
Unauthorized access of a third party to your ruqqus.com account,0
Loss or breach of ruqqus.com data,0
Force majeur,0
"You accept full liability for all content you upload to, or embed within, ruqqus.com, and indemnify ruqqus from all such liability.",0
You are responsible for everything you do with your ruqqus.com account.,0
Don't use ruqqus.com to store important data or sensitive data.,0
Intellectual property,0
"You grant ruqqus a permanent, worldwide, and irrevocable license to store, modify, copy, distribute, and distribute modifications of, all content that you submit to or upload to ruqqus, including any creative works.",0
"Additionally, you grant ruqqus a permanent, worldwide, and irrevocable license to sublicense these same rights to ruqqus's service providers.",0
"Additionally, you warrant that you are authorized to grant ruqqus these rights.",0
"You retain all other intellectual property rights, including ownership.",0
"We need to be able to store, copy, and distribute your content, because that's just how websites like ruqqus.com work.",0
We also need to be able to modify it for security and formatting purposes.,0
Acceptable use,0
You will not use ruqqus.com as a means to support any other website or service without written permission by ruqqus.,0
You will not attempt to gain access to a ruqqus account that does not belong to you.,0
You will not use ruqqus.com to engage in child sexual abuse activities.,0
More information about this is available in the csam policy.,0
The csam policy is incorporated into these terms by this reference.,0
Api terms,0
"You will not use ""/api/v1/"" endpoints (""ruqqus api"") without valid api keys and authorization tokens.",0
"You will use a unique, descriptive user agent string when accessing the ruqqus api.",0
You will honor ruqqus api rate limits.,0
Guildmaster terms,0
"Ruqqus provides you with the ability to create, manage, and moderate communities (""guilds"") within ruqqus.com.",0
"As a moderator (""guildmaster"") of a guild, you will not:",0
"Accept payment, gifts, or other compensation in exchange for performing guildmaster actions.",0
"You may execute guildmaster actions as part of employment duties, (for example, as a social media representative for your employer), but that fact must be plainly disclosed in the description of your guild.",0
Penalize users for content or conduct outside of your guild,0
Require integration with any third-party platform or service as a prerequisite for user participation in the guild.,0
Multiple accounts,0
You are permitted to create and use multiple ruqqus.com accounts.,0
You will not use multiple accounts to circumvent per-user limits.,0
"Examples of such limits include, but are not limited to:",0
Maximum one upvote or downvote per post or comment,0
Maximum ten guilds moderated at one time,0
Maximum two guilds created per day,0
"Additionally, these terms apply to all of your accounts, which may exist now or in the future.",0
Ruqqus llc reserves the right to take administrative action against all of your accounts in the event of a terms of service violation on any of your accounts.,0
Your privacy,0
"Ruqqus will never intentionally share your personal information with third parties, except:",0
As required by united states law.,0
We will share your data with our own service providers which are necessary for ruqqus.com operations.,0
"The exact service providers are subject to change without notice, but will always be available here.",0
"At our discretion, ruqqus may share your information with united states law enforcement in the event of an emergency, if we have good cause to believe that doing so would avert or mitigate the emergency.",1
Ruqqus will make all reasonable efforts to ensure that user information is kept confidential.,0
Legal forms,1
Ruqqus grants you the ability to use your ruqqus.com account to send us certain types of legal forms through our help portal.,1
"These include, but are not limited to:",1
Dmca takedown request,1
Dmca takedown counter-request,1
Subpoenas and court orders,1
You agree to refrain from making abusive or frivolous submissions to these forms.,1
"Additionally, you acknowledge that these forms are provided for the sake of convenience and speed, and that ruqqus does not waive any of its rights regarding legal process, including the right to object for lack of proper service.",1
Ruqqus considers abusive and frivolous submissions to be submissions with a clear lack of legal justification.,1
"Examples include: nonsensical data, duplicate submissions, dmca takedown requests for content that isn't your intellectual property, or legal demands from someone lacking the authority to make such a demand.",1
Payments,0
"Ruqqus offers users the ability to purchase premium coins (""coins""), a token currency that may be consumed for premium membership status, or gifted to other users.",0
Coins have no cash value and are non-refundable.,0
"If your account balance becomes negative, ruqqus reserves the right to place administrative restrictions upon your account, until the debt is paid back.",0
"You are responsible for all fees, penalties, or other expenses due to chargebacks, reversed transactions, or refunds associated with your account.",0
Enforcement,0
Ruqqus retains sole discretion in all determinations regarding content policy and terms of service violations.,0
"Ruqqus reserves the right to remove content that we deem to violate content policy or the terms of service, and to deactivate accounts responsible for such violations.",0
Severability,0
"If one clause of these terms or the content policy is determined by a court to be unenforceable, the remainder of the terms and content policy shall remain in force.",0
No implied waiver,0
"A failure by ruqqus in one or more instances to insist upon your strict adherence to these terms or the content policy, shall not be construed as a waiver of any continuing or subsequent violations of these terms or the content policy.",0
Completeness,0
These terms contain all the terms and conditions agreed upon by you and ruqqus regarding your use of the ruqqus.com service.,0
"No other agreement, oral or otherwise, will be deemed to exist or to bind either of the parties to this agreement.",0
Governing law,0
"These terms of service are governed by, and shall be interpreted in accordance with, the laws of the state of new hampshire.",1
"You consent to the sole jurisdiction of hillsborough county, new hampshire for all disputes between you and ruqqus llc, and you consent to the sole application of new hampshire state law and united states federal law for all such disputes.",0
Updates,0
Ruqqus may periodically update these terms of service and/or the content policy.,0
"When this happens, ruqqus will make reasonable efforts to notify you of such changes.",0
"Whenever ruqqus updates these terms of service or the content policy, your continued use of the ruqqus.com platform constitutes your agreement to the updated terms of service.",0
