text,highlighted
Log in start for free,0
Why ryver,0
Why ryver,0
About,0
Features,0
Ryver vs slack,0
Ryver vs trello,0
Solutions,0
For teams,0
For enterprises,0
Reviews,0
Pricing,0
Log in,0
Start for free,0
"Terms of service last updated: december 14, 2016",0
"These terms of service ( terms , tos ) govern your access to and use of the websites, services, and applications (collectively the service ) of ryver llc, a delaware corporation ( ryver , we or our ).",0
Your access to and use of the service is conditioned on your acceptance of and compliance with these terms.,0
"These terms apply to all visitors, users and others who access or use the service.",0
1.0 using the service,0
"1.1 by using the service, you signify your assent to these terms.",0
"This includes your agreement to (a) jurisdiction and venue in the state of delaware for any claim or dispute regarding the service or these terms, (b) the disclaimer of warranties and limitation of liability and (c) the information collection and privacy practices for the service.",0
"If you do not agree with all of the terms and conditions of these terms, do not use the service.",0
"1.2 you may use the service only if you can form a binding contract with ryver, and only in compliance with these terms and all applicable local, state, national, and international laws, rules and regulations.",0
"The service may change from time to time as we evolve, refine or add more features to the service, often without prior notice to you.",0
"In addition, ryver may temporarily or permanently stop providing the service, or any features within the service, to you or to users generally and may not be able to provide you with prior notice.",0
2.0 your content and account,0
"2.1 some areas of the service allow you to post or upload information, text, graphics, or other material ( content or, when posted by you, your content ), and to share your content with others.",0
"You are solely responsible for your content and any postings, data or transmissions using the service, or any other use of the service by you or any person or entity that you permit to access or otherwise use the content.",0
"You are responsible for keeping your account permissions, billing, and other account information up to date, and you must use reasonable security precautions in connection with your use of the service.",0
"You shall immediately notify ryver of any unauthorized use of your account or any other breach of security and cooperate with ryver s investigation of service outages, security issues or any suspected breach of the terms and conditions of these terms.",0
You must provide us accurate information when you create your ryver account.,0
Your ryver account gives you access to the services and functionality that we establish and maintain.,0
We may maintain different types of accounts for different types of users or organizations.,0
2.2,0
You retain full ownership to your content.,1
"Ryver does require that you grant us rights to your content as necessary to, and for the sole purpose of, providing the service.",1
"For example, we must be able to transmit and display our content over computer networks for viewing on computers, mobile devices and in email notifications by you and other users in your account.",1
"We may also use third-party services such as amazon web services in order to facilitate the administration and operation of the service, thus extending the rights granted to us to the third parties only as necessary to provide the service.",1
"2.3 if you connect to ryver with a third-party service, you give us permission to access and use your information from that service as permitted by that service, and to store your log-in credentials for that service.",0
You may never use another user s account without permission.,0
"2.4 all content in or on the service, whether publicly posted or privately transmitted by users, is the sole responsibility of the person who originated such content.",0
"We do not endorse, support, represent or guarantee the completeness, truthfulness, accuracy, or reliability of any content or communications posted via the service or endorse any opinions expressed via the service.",0
"We may not monitor or control the content posted via the service and, we cannot take responsibility for such content.",0
"If you use or rely on any content or materials posted via the service or obtained by you through the service, it is at your own risk.",0
"Under no circumstances will ryver be liable in any way for any content, or any loss or damage of any kind incurred as a result of the use of any content in the service.",0
"2.5 you agree that you are responsible for your use of the service, for your content, and for any consequences thereof, including the use of your content by other users and third parties.",0
"You understand that if you do not have the right to submit content to the service, doing so may subject you to liability.",0
Ryver will not be responsible or liable for any use of your content by ryver in accordance with these terms.,0
"You represent and warrant that you have all the rights, power and authority necessary to grant the rights granted herein to any content that you submit including all necessary rights to upload your content for use in accordance with these terms.",0
3.0 your license,0
3.1,0
"Subject to your adherence to these terms, ryver gives you a limited, personal, worldwide, royalty-free, non-assignable, non-sublicensable and non-exclusive license to use the service.",1
We can terminate this license at any time for any reason or for no reason.,1
3.2 we may make available software to access the service via a mobile device or desktop application ( software ).,0
