text,highlighted
Toggle navigation your place on the web create account or sign in,0
Features,0
Opinions,0
Pricing,0
Advertising,0
Terms of service here is a non-binding summary of the legal text:,0
We provide wiki-based hosting of websites.,0
We respect your privacy.,0
Please respect copyright and licenses of materials you are going to use.,0
"Do not spam, we fight spam.",0
Do not vandalize.,0
Some content is not allowed.,0
See the prohibited usage list below!,0
"Basic functionality is free, there are fees for useful upgrades.",0
Free sites cannot be used to place any advertising.,0
We can terminate any account and block any site if there is any improper activity.,0
We do our best to keep wikidot.com online and error-free but do not guarantee anything.,0
Use at your own risk.,0
Introduction,0
"Welcome to wikidot.com - wiki hosting project that allows users to build web sites (""wikidot sites"", ""sites""), collaboratively edit content and communicate (""services"") under these terms of service (""terms"").",0
Wikidot is owned by wikidot inc.,1
"(""we"" or ""wikidot.com"") and located in poland.",1
Wikidot inc.,0
"Is incorporated in delaware, usa (division of corporations, file no.",0
"4326793), registered and operating in poland as wikidot inc.",0
S.a.,0
"Oddzia w polsce (krs: 0000294101), address: ul.",0
W.,0
"Okietka 5, 87100 toru , poland.",0
"By using the services by viewing or displaying or publishing (""posting"") any text, files, images, music, photos, video, sounds or any other work (""content"") to any of the wiki sites or using any other feature provided by the services, you agree to be bound by these terms of service and obey any applicable law.",0
The current version of the terms is always available at http://www.wikidot.com/legal:terms-of-service.,0
When new terms are published they apply immediately to all unregistered users of the services.,0
"Registered users will be presented with the changes, and the option of accepting the new terms, or canceling their account, at their next authenticated visit to the services.",0
"If you are a registered user and you choose to continue to use the services, you agree to be bound by the new terms.",0
Privacy,0
Some information is a subject to privacy policy which is a part of these terms.,0
We follow polish legislation for personal data management.,1
Content and use,0
By using the wikidot.com services you warrant that all the registration (and profile) information you submit is accurate and you will maintain the accuracy of such information and your use of services does not violate any applicable law or regulation.,0
Wikidot.com may delete content that in sole judgment of wikidot.com violates these terms.,1
We however assume no responsibility for monitoring any of the wiki sites for inappropriate content nor review any content before it is posted.,0
You as a wikidot.com user are solely responsible for the content you post through any of the services and any information or materials you transmit directly to other users.,0
By becoming an administrator of a wiki site (by creating a new wiki site or joining an existing one) you agree to control the content posted to the site and asure the site is not being used against these terms either by monitoring changes for improper use and acting accordingly or by setting strict permissions that allow content editing only to a limited number of users.,0
Copyrighted materials,0
Wikidot.com does not claim any copyrights to the content you post to the services.,0
"However by posting any content through the services to a public wikidot.com site, you hereby grant to wikidot.com a limited non-exclusive, fully-paid, royalty-free, sublicensable and worldwide license to use, modify, display and perform, reproduce and distribute the content solely on and through the services.",0
The license will terminate at the time the content is removed from the services.,0
This right is required for proper and legal operation of the services.,0
"The license does not allow us to do anything more that you would expect, e.g.",0
It does not give us the right to distribute your content outside wikidot services or sell your content to anyone.,0
"Although we might reuse content from public wikis in various places such as ""featured content"" or ""top wikis"", we will not disclose any content from non-public (private) sites to unauthorized users.",0
"Wikidot services contain content that is protected by various licenses, copyrights and trademarks (wikidot content).",0
"Wherever required, we grant you a limited, revocable and nonsublicensable license to reproduce and display wikidot content solely for your personal use in connection with using the services.",0
Prohibited content and usage,0
The following is a list of prohibited or illegal usage of the services.,0
"We reserve the right to investigate and take appropriate actions against anyone (in our sole discretion) violates these rules, including removing offending content and terminating the wikidot membership.",1
"Prohibited usage includes but is not limited to uploading, posting or otherwise making available or promote:",0
"Any content that is unlawful, harmful, threatening, abusive, harassing, tortuous, defamatory, vulgar, obscene, libelous, invasive of another's privacy, hateful, harm minors or racially, ethnically or otherwise objectionable,",0
"Pornography and ""adult content""",1
"Any content that contains nudity, violence, pornography, ""adult content"" or contains links to any other web site with such materials",0
Any information that you know is false or misleading,0
Any content that promotes illegal or fraudulent activities,0
Any content that you do not have a right to make publicly available or promotes the illegal use of any work without rights or license,0
"Any content that infringes any patent, trademark, trade secret, copyright or other proprietary rights of any party.",0
In particular it is not allowed to upload content that is not compatible with the particular wiki site content license,1
"Any ""junk"", ""spam"", ""chain letters,"" ""pyramid schemes"" etc.",1
