text,highlighted
Terms of servicelast updated 11/26/2019,0
* follow the content policy (see below) * be 13 years of age or older * don't be stupid stibarc content policy,0
The following types of content are prohibited: * content that is illegal in the state of ohio or in your jurisdiction,1
*,0
Pornography or nudity,1
* any content that may be interpreted as sexualization of minors *,0
"Content that encourages, glorifies, or incites violence against or abuse of people or animals",1
*,0
Threats or harassment,1
* other people's personal information without their permission * impersonation for a deceptive purpose * facilitation of transfer of weapons or controlled substances *,0
Spam,1
* excessive profanity * hate speech *,0
Offensive content in any way,1
"Additionally, the following actions are prohibited: *",0
Actions that are illegal in the state of ohio or in your jurisdiction,1
* intentionally preventing users from using stibarc normally *,0
Creating additional account(s) for the purpose of evading bans or other restrictions,1
"Stibarc and it's owner, joshua herron (aka herronjo), are not legally responsible for any content posted to this site.",0
The user who submitted the content will be held liable for any legal consequences their content may have.,0
"Stibarc (the organization), moderators, and the owner (joshua herron, aka herronjo), collectively referred to as they, reserve the right to remove or modify posts or content as needed, whether or not they violate any of the content policies defined above.",1
"They also reserve the right to ban or commandeer any user account as they see fit, as long as a reason is provided",0
Bots also apply to the content policies and additional terms above,0
Contact us questions and concerns regarding privacy may be directed to herronjo110@gmail.com,0
