text,highlighted
Last updated date: 1/7/19,1
|,0
Leer estos t rminos de uso en espa ol,1
Please read this terms of use carefully.,0
"These terms of use ( agreement ) govern your use of our schoology software, products, and/or services (collectively, products ) and any information, content or appearing on or through the products (collectively referred to as content ).",0
"By accessing or using the products, you agree to the terms of this agreement.",0
"If you have entered into another agreement with schoology concerning specific products, then the terms of that agreement controls where it conflicts with these terms.",0
"Schoology reserves the right, at any time, to modify, alter, update or remove portions of this agreement.",1
"Please check this agreement (as well as our privacy policy (""privacy policy"")) from time to time as",0
Your continued use of the product signifies your acceptance of any changed items,1
1.,0
Your license to use our products.,0
"Subject to the terms and conditions of this agreement and any agreement entered into by your institution relating to the products, schoology grants you a limited, non-exclusive, non-transferable, license to access and use the products.",0
"You shall not (a) copy the product or any part, feature, function or user interface thereof (b)",0
"Use the product to store or transmit infringing, libelous, or otherwise unlawful or tortious material",1
", or to store or transmit material in violation of third-party privacy rights (c)",0
Attempt to gain unauthorized access to the product or its related systems or networks.,1
And (d) reverse engineer the product (to the extent such restriction is permitted by law).,0
"You agree, further, not to use or attempt to use any engine, software, tool, agent or other device or other mechanism (including without limitation browsers, spiders, robots, avatars or intelligent agents) to navigate or search the products or content.",1
2.,0
Privacy.,0
Schoology s current privacy policy (located at https://www.schoology.com/privacy) is incorporated herein by reference and made part of this agreement.,0
"You understand that through your use of the products, you consent to the collection and use (as set forth in this agreement, the privacy policy and any agreement entered into by your institution relating to the product) of your information for hosting, processing and use by schoology.",0
3.,0
Schoology's rights.,0
"All right, title, and interest in and to the products and all underlying ideas, concepts, procedures, processes, principles, know-how, methods of operation, images, source code, and specifications related thereto, together with any updates, enhancements, modifications, improvements or derivatives works thereto, in each case including all copyrights, trade names, trademarks and other intellectual property rights therein (collectively, the schoology ip ), is, and shall remain the sole and exclusive property of schoology.",0
Certain schoology ip is protected by united states copyright laws (and other laws relating to intellectual property).,0
"The products are licensed, not sold, to you hereunder and, except for the express limited license rights granted to you in accordance with the terms of this agreement, no right, title or interest in or to the schoology ip is granted or otherwise transferred by schoology in connection with this agreement.",0
"Schoology shall have, and you hereby grant to schoology, a royalty-free, perpetual, worldwide, non-exclusive, irrevocable right to use or incorporate into the products and/or any specifications, without restriction or obligation, any suggestions, enhancements, recommendations or other feedback provided by you with respect to the products.",0
4.,0
Termination.,0
"Schoology may suspend or terminate your account or cease providing you with access to our products, without notice, for any conduct that schoology, in its sole discretion, believes is in violation of any applicable law or the terms of this agreement.",1
"The sections titled privacy, your content, schoology s rights, termination, indemnification , limitation of liability, disclaimer of warranties, indemnification, miscellaneous shall survive any termination of this agreement.",0
5.,0
Indemnification.,0
"You agree to indemnify, defend and hold harmless schoology and schoology s officers, directors, employees, agents, and representatives, from and against any and all claims, damages, expenses, judgments, fines, and amounts paid in settlement in connection with any proceeding arising from your breach of this agreement or your use of the products",1
(except for any gross negligence on the part of schoology).,0
6.,0
Disclaimer of warranties &amp.,0
Limitation of liability.,0
"You expressly understand and agree that to the maximum extent permitted by applicable law,",0
"Your use of our products is at your sole risk, and our products are provided as-is",1
