text,highlighted
Session app terms of service,0
This page explains the terms you agree to when you use the session app as released by the oxen privacy tech foundation.,0
"This document comprises the terms of service, and end user license agreement.",0
"To learn about our data privacy practices, visit the session privacy policy.",0
"If you have any concerns about these terms, we d love to hear from you, reach out to us via our email, support@getsession.org.session general terms of servicelag foundation ltd",0
"( session , we ) utilizes state-of-the-art security and end-to-end encryption to provide private messaging and other services to users worldwide.",1
"The user ( you ) agrees to our terms of service ( terms ) by installing or using our apps, services, or website (together, services ).our services",0
Keeping your account secure session embraces privacy by design and does not have the ability to access your messages.,0
You are responsible for keeping your device and your session account safe and secure.,0
"If you lose your phone, follow the steps in our documentation to re-register for our services",0
Privacy of user data session does not sell or otherwise monetise your personal data or content in any way.,0
"Session couldn t sell your data even if we wanted to, as the session application preserves the privacy and secrecy of your messages.",0
Please read our privacy policy to understand how we safeguard the limited information which is generated when you use our services.,0
"For the purpose of operating our services, you agree to our data practices as described in our privacy policy, as well as the transfer of your encrypted information to the service node network.",0
"Software in order to enable new features and enhanced functionality, you consent to downloading and installing updates to our services.",0
"We strongly recommend you install the most recent version(s) of the session application, as we can not guarantee the compatibility, stability, or security of older versions.",0
Fees and taxes you are responsible for data and mobile carrier fees and taxes associated with the devices on which you use our services.,0
Our terms and policies you must use our services according to our terms and posted policies.,0
"If we (or the network) block your device for a violation of our terms, you will not create another account without our permission.",0
Minimum age,0
You must be at least 13 years old to use our services.,1
The minimum age to use our services without parental approval may be higher in your country of residence.,1
P,0
Legal and acceptable use,0
"You agree to use our services only for legal, authorized, and acceptable purposes.",1
"You will not use (or assist others in using) our services in ways that: (a) violate or infringe the rights of session, our users, or others, including privacy, publicity, intellectual property, or other rights.",0
"(b) involve sending illegal or impermissible communications such as bulk messaging, auto-messaging, and auto-dialing.",0
(c) involve the distribution of morally objectionable content in any way shape or form.,0
"Harm to session you must not (or assist others to) access, use, modify, distribute, transfer, or exploit our services in unauthorized manners, or in ways that harm session, our services, or systems.",0
For example you must not (a) gain or try to gain unauthorized access to our services or systems.,1
(b) disrupt the integrity or performance of our services.,0
(c) create accounts for our services through unauthorized or automated means.,0
(d) collect information about our users in any unauthorized manner.,0
"Or (e) sell, rent, or charge for our services.",0
"No access to emergency services our services do not provide access to public emergency service providers like the police, fire department, hospitals, or other public safety organizations.",0
"Make sure you contact local emergency service providers through a mobile, fixed-line telephone, or other service.",0
"Third-party services our services may allow you to access, use, or interact with third-party websites, apps, content, and other products and services, including open groups run by third parties.",0
"When you use third-party services, their terms and privacy policies govern your use of those services.",0
"Open group chats you may use open groups run by session in accordance with these terms of service, however, you also agree to follow the rules of the open group, and session may restrict or block your access to these chats at any time",0
Your rights and license with session,0
Your rights,0
You own the information you submit through our services.,1
"We can not access this information unless you explicitly send it to us, or it is published in an open group.",0
"Session s rights we own all copyrights, trademarks, domains, logos, trade dress, trade secrets, patents, and other intellectual property rights associated with our services.",0
"You may not use our copyrights, trademarks, domains, logos, trade dress, patents, and other intellectual property rights unless you have our written permission.",0
"To report copyright, trademark, or other intellectual property infringement, please contact support@getsession.org.",0
"Session s license to you session grants you a limited, revocable, non-exclusive, and non-transferable license to use our services in accordance with these terms.disclaimers and limitations",0
Disclaimers,0
You use our services at your own risk and subject to the following disclaimers.,1
We provide our services on an as is basis,1
"Without any express or implied warranties, including, but not limited to, warranties of merchantability, fitness for a particular purpose",1
", title, non-infringement, and freedom from computer virus or other harmful code.",0
"Session does not warrant that any information provided by us is accurate, complete, or useful, that our services will be operational, error-free, secure, or safe, or that our services will function without disruptions, delays, or imperfections.",0
"We do not control, and are not responsible for, controlling how or when our users use our services.",1
We are not responsible for the actions or information (including content) of our users or other third parties.,1
"You release us, affiliates, directors, officers, employees, partners, and agents (together, session parties ) from any claim, complaint, cause of action, controversy, or dispute (together, claim ) and damages, known and unknown, relating to, arising out of, or in any way connected with any such claim you have against any third parties.",0
Limitation of liability,0
"The session parties will not be liable to you for any lost profits or consequential, special, punitive, indirect, or incidental damages relating to, arising out of, or in any way in connection with our terms, us, or our services, even if the session parties have been advised of the possibility of such damages.",1
"Our aggregate liability relating to, arising out of, or in any way in connection with our terms, us, or our services will not exceed ten dollars ($10).",1
The foregoing disclaimer of certain damages and limitation of liability will apply to the maximum extent permitted by applicable law.,0
"The laws of some states or jurisdictions may not allow the exclusion or limitation of certain damages, so some or all of the exclusions and limitations set forth above may not apply to you.",0
"Notwithstanding anything to the contrary in our terms, in such cases, the liability of the session parties will be limited to the fullest extent permitted by applicable law.",0
Availability of our services,0
"Our services may be interrupted, including for maintenance, upgrades, or network or equipment failures.",1
"We may discontinue some or all of our services, including certain features and the support for certain devices and platforms, at any time.",1
Resolving disputes and ending terms,0
Resolving disputes,0
"You agree to resolve any claim you have with us relating to or arising out of our terms, us, or our services exclusively in the state of victoria, australia.",1
You also agree to submit to the personal jurisdiction of such courts for the purpose of litigating all such disputes.,1
"The laws of australia govern our terms, as well as any disputes, whether in court or arbitration, which might arise between session and you, without regard to conflict of law provisions.",0
Ending these terms you may end these terms with session at any time by deleting session from your device and discontinuing use of our services.,0
"We may modify, suspend, or terminate your access to or use of our services anytime for any reason, such as if you violate the letter or spirit of our terms or create harm, risk, or possible legal exposure for session.",1
"The following provisions will survive termination of your relationship with session: licenses, disclaimers, limitation of liability, resolving dispute, availability and ending these terms, and general .general",0
Session may update the terms at any time.,1
"When we update our terms, we will update the last modified date associated with the updated terms",1
Your continued use of our services confirms your acceptance of our updated terms and supersedes any prior agreed terms.,0
You will comply with all applicable export control and trade sanctions laws.,0
Our terms cover the entire agreement between you and session regarding our services.,0
"If you do not agree with our terms, you should stop using our services.",0
"If we fail to enforce our terms, we do not waive the right to enforce them.",0
"If any provision of the terms is deemed unlawful, void, or unenforceable, that provision shall be deemed severable from our terms and shall not affect the enforceability of the remaining provisions.",0
Our services are not intended for distribution to or use in any country where such distribution or use would violate local law or would subject us to any regulations in another country.,0
"If you have specific questions about these terms, please contact us at support@getsession.org.",0
