text,highlighted
Get signal support blog developers careers donate,0
Signal terms &amp.,1
Privacy policysignal is designed to never collect or store any sensitive information.,1
"Signal messages and calls cannot be accessed by us or other third parties because they are always end-to-end encrypted, private, and secure.",1
Our terms of service and privacy policy are available below.,0
Terms of service,0
Privacy policy,1
Terms of servicesignal messenger llc.,0
"( signal ) utilizes state-of-the-art security and end-to-end encryption to provide private messaging, internet calling, and other services to users worldwide.",0
"You agree to our terms of service ( terms ) by installing or using our apps, services, or website (together, services ).about our services",0
Minimum age,0
You must be at least 13 years old to use our services.,1
The minimum age to use our services without parental approval may be higher in your home country.,1
Account registration,0
To create an account you must register for our services using your phone number.,1
You agree to receive text messages and phone calls (from us or our third-party providers) with verification codes to register for our services.,1
Privacy of user data,0
"Signal does not sell, rent or monetize your personal data or content in any way ever.",1
Please read our privacy policy to understand how we safeguard the information you provide when using our services.,0
"For the purpose of operating our services, you agree to our data practices as described in our privacy policy, as well as the transfer of your encrypted information and metadata to the united states and other countries where we have or use facilities, service providers or partners.",0
Examples would be third party providers sending you a verification code and processing your support tickets.,0
Software,0
"In order to enable new features and enhanced functionality, you consent to downloading and installing updates to our services.",0
Fees and taxes,0
You are responsible for data and mobile carrier fees and taxes associated with the devices on which you use our services.using signal,0
Our terms and policies,0
You must use our services according to our terms and posted policies.,1
"If we disable your account for a violation of our terms, you will not create another account without our permission.",1
Legal and acceptable use,0
"You agree to use our services only for legal, authorized, and acceptable purposes.",1
"You will not use (or assist others in using) our services in ways that: (a) violate or infringe the rights of signal, our users, or others, including privacy, publicity, intellectual property, or other proprietary rights.",0
"(b) involve sending illegal or impermissible communications such as bulk messaging, auto-messaging, and auto-dialing.",0
Harm to signal,0
"You must not (or assist others to) access, use, modify, distribute, transfer, or exploit our services in unauthorized manners, or in ways that harm signal, our services, or systems.",0
For example you must not (a) gain or try to gain unauthorized access to our services or systems.,0
(b) disrupt the integrity or performance of our services.,0
(c) create accounts for our services through unauthorized or automated means.,0
(d) collect information about our users in any unauthorized manner.,0
"Or (e) sell, rent, or charge for our services.",0
Keeping your account secure,0
Signal embraces privacy by design and does not have the ability to access your messages.,0
You are responsible for keeping your device and your signal account safe and secure.,1
"If you lose your phone, follow the steps on our support site to re-register for our services.",0
"When you register with a new device, your old device will stop receiving all messages and calls.",0
No access to emergency services,0
"Our services do not provide access to emergency service providers like the police, fire department, hospitals, or other public safety organizations.",0
"Make sure you can contact emergency service providers through a mobile, fixed-line telephone, or other service.",0
Third-party services,0
