text,highlighted
Close,0
Home smart survey work terms of service the smart survey work web app (ssw) is provided by sjhrjh* under the following,0
Terms and conditions updated on 30 december 2020,1
^ (terms).,0
By logging onto or using ssw you are agreeing to abide by these terms.,0
If you are not comfortable with these terms please do not use ssw.,0
"* sjhrjh is an australian business (abn 13 630 044 883) and is referred to as ""we"", ""us"" or ""our"" in the following.",0
^ changes made on this date are shown in italics.,0
"Right to use - by agreeing to these terms and your company making monthly service fee payments, you are granted a non-exclusive right to use ssw on a month-by-month basis.",0
Pricing - ssw service fees are applied based on usage i.e.,0
$250for each company setup1 in ssw by us.,0
$2.00per quote created.,0
$4.00per job created.,0
$0.40per whse form and risk review.,0
$100per hour of training2 or assistance.,0
All prices are exclusive of gst.,0
1 includes up to 1 day training of and assistance to one person in order to set the initial configuration of company settings.,0
"2 for training or assistance after the initial setup, can be at your office or via video.",0
Invoices are issued monthly with a dated log of invoicable events showing the name of the staff member and address of the related site.,0
"Warranty - ssw is intended for commercial use and provided with commercial level of skill and care however ssw uses 'javascript' and relies on 3rd party products so there is no warranty that ssw is continuously available, will respond in a timely fashion or is free from defects.",0
"There is no warranty that the spatial data, which is accessed from 3rd parties, is current or accurate.",0
You agree to use ssw at your own risk.,1
Security -,0
You are responsible for security of your password and agree to taking responsibly for all activities that occur under your password or account.,1
Liability - ssw generated material is based on configurable data for which you or your company is solely responsible.,0
We are not responsible for the business outcomes from using the material generated by ssw.,0
"To the extent permitted by law, we will in no way be liable for any loss, damage or injury, directly or indirectly, arising as a result of your use of or reliance on ssw.",1
"In the event that we are held liable to you, our maximum total liability will be the total amount of the service fee paid by you to us in the continuous 1 month period immediately prior to the bringing of such claim.",1
"Intellectual property - you agree that we hold the intellectual property rights (ip) on ssw and agree that you are not to share, copy or take advantage of the concepts, code or database forming ssw without prior written agreement from us.",0
We acknowledge your ip rights over your configuration and transactional data held in ssw and agree not to share this data with others without prior written agreement from you.,1
Indemnity -,0
"You agree to indemnify and hold us and our officers, directors, agents, and employees, harmless from any claim or demand, including reasonable legal fees, made by any third party due to or arising out of your use of ssw or your breach of these terms or any applicable law or the rights of a third party.",1
"Privacy - we respect your privacy, the privacy of your data and the privacy of all users and visitors.",0
All information and data entered by you into the system is treated as confidential.,0
"We will not sell or give away your data, our user list, email addresses or any other personal information unless required by law to do so.",1
"Staff and contractor names and business email addresses are collected in order to show names during activities such as scheduling and to send system related emails such as event notifications, which youyour company can configure.",0
"Client names, address, email and phone numbers are collected to enable quotes to be sent and for ease in ongoing contact of clients.",0
Note that nsw whse law requires that a register of incidents be kept.,0
"All people involved in an incident can have their name, address, occupation and age at the time, along with the nature of any injury, captured in ssw and this information will be available to be viewed by all staff in your company.",0
"Termination - you do not have to use ssw in order to maintain access however your access may be revoked after a period of inactivity, at our sole discretion.",0
Your access will be terminated if your company does not maintain payments however we will give youyour company notice before revoking access.,0
We may terminate your access immediately and without notice in the event of any breach of these terms by you or on the occurrence of any external event requiring us to cease provision of ssw.,1
"Those clauses which are, by implication, intended to survive termination shall survive termination e.g.",0
"Ip, privacy.",0
Force majeure - we shall not be liable for any delay or failure in providing ssw or our obligations under these terms if such results from circumstances outside our reasonable control.,0
"Severence - any part of these terms which is found to be unlawful, void or unenforceable shall to the extent required be severed and be rendered ineffective as far as possible without modifying the remaining terms and conditions.",0
Changes -,0
We may adjust these terms from time to time and will advise youyour company should this happen.,1
At that time you have the options to accept the changes or stop using ssw should you wish to do so.,1
