text,highlighted
"United states | smartnews terms of service last updated: march 23, 2020 welcome to smartnews!",0
"You are now reading the terms of service (the terms ) that serve as an agreement between you and smartnews, inc.",0
"( smartnews,",0
"We, or us ) for your use of our mobile device application ( app ), and our news mining and delivery services, accessible via our app.",0
"To make these terms easier to read, our services, the site and the app are collectively called the services",0
Agreement to terms,0
"By using our services, you agree to be bound by these terms.",0
"If you don t agree to these terms, please do not use the services.",0
Changes to terms or services,0
"We may modify the terms at any time, in our sole discretion.",0
"If we do so, we ll let you know by posting the modified terms on the app or through other communications.",0
"It s important that you review the terms whenever we modify them because if you continue to use the services after we have posted modified terms, you are indicating to us that you agree to be bound by the modified terms.",0
"If you don t agree to be bound by the modified terms, then you may not use the services anymore.",0
"Because our services are evolving over time we may change or discontinue all or any part of the services, at any time and without notice, at our sole discretion",0
Who may use the services,0
You may use the services only if you are 13 years or older and are not barred from using the services under applicable law,0
Account,0
You can create an account in order to enable certain function(s) of the services.,0
"You shall be responsible for the management of your own account, and shall not lend, sell, pledge, or otherwise transfer the account to any third party",0
Feedback,0
"We welcome feedback, comments and suggestions for improvements to the services ( feedback ).",0
Y,0
Ou can submit feedback by emailing us at support@smartnews.com.,1
"You grant to us a non-exclusive, worldwide, perpetual, irrevocable, fully-paid, royalty-free, sublicensable and transferable license under any and all intellectual property rights that you own or control to use, copy, modify, create derivative works based upon and otherwise exploit the feedback for any purpose",1
Privacy policy,0
"Please refer to our privacy policy (https://www.smartnews.com/privacy) for information on how we collect, use and disclose information from our users",0
Content ownership,0
"Smartnews and its licensors exclusively own all right, title and interest in and to the services and all content that is not news content, advertising content or user content, including all associated intellectual property rights.",0
All rights to the news content and advertising content are retained by the third-party that is the source of such content.,0
"You acknowledge that the services and content are protected by copyright, trademark, and other laws of the united states and foreign countries.",0
"You agree not to remove, alter or obscure any copyright, trademark, service mark or other proprietary rights notices incorporated in or accompanying the services or content.",0
"Content means text, graphics, images, music, software, audio, video, content, works of authorship of any kind, and information or other materials that are posted, generated, distributed, disseminated, provided or otherwise made available through the services.",0
News content means any and all content provided via the services that comprises news content.,0
Advertising content means advertising provided via the services on behalf of third-parties.,0
User content means any and all content provided by users via the services.,0
"This agreement does not authorize you to, and you may not, copy, distribute, transfer, modify, publicly display, publicly perform or create derivative works based upon content without our or our partners permission.",0
"Users who post the user content shall grant the smartnews a worldwide, non-exclusive, royalty-free license(with the right to sublicense such content to other third parties working together with the company), for an indefinite period, to use (after modifying such content, if the company believes it necessary and proper) such content for the services and/or promotional purposes",0
Rights and terms for apps,0
Rights in app granted by smartnews,0
"Subject to your compliance with these terms, smartnews grants you a limited non-exclusive, non-transferable, non-sublicenseable license to download and install a copy of the app on a mobile device or computer that you own or control and to run such copy of the app solely for your own personal non-commercial purposes.",0
"You may not copy the app, except for making a reasonable number of copies for backup or archival purposes.",0
"Except as expressly permitted in these terms, you may not: (i) copy, modify or create derivative works based on the app.",0
"(ii) distribute, transfer, sublicense, lease, lend or rent the app to any third party.",0
"(iii) reverse engineer, decompile or disassemble the app.",0
Or (iv) make the functionality of the app available to multiple users through any means.,0
Smartnews reserves all rights in and to the app not expressly granted to you under these terms.,0
Additional terms for app store apps,0
"If you accessed or downloaded the app from the apple store, then you agree to use the app only: (i) on an apple-branded product or device that runs ios (apple s proprietary operating system software).",0
And (ii) as permitted by the usage rules set forth in the apple store terms of service.,0
