text,highlighted
Soundcloud soundcloud,0
Home,0
Feed,0
Library,0
Search sign in create account upload,0
Settings and more,0
"Limited time offer: get 50% off the first year of our best annual plan for artists with unlimited uploads, releases, and insights.",0
Redeem now soundcloud terms of use,0
"Welcome to soundcloud , a service provided by soundcloud global limited &amp.",0
Co.,0
"Kg (""soundcloud"", ""we""",0
"""our"", or ""us"").",0
"These terms of use govern your use of soundcloud.com and m.soundcloud.com (together, the ""website""), our mobile and desktop apps (our ""apps"") and all related players, widgets, tools, features, applications, data, software, apis (which may also be subject to separate api terms of use) and other services provided by soundcloud (the ""services"").",0
"These terms of use, together with our community guidelines and any other terms specifically referred to in any of those documents, all of which are incorporated by reference into these terms of use, constitute a legally binding contract (the ""agreement""), between you and soundcloud in relation to your use of the website, apps and services (together, the ""platform"").",0
"Please also be sure to review our privacy policy and cookies policy for more information on how we collect and use data relating to the use and performance of the platform, as well as our responsibilities and your rights in relation to any processing of your personal data.",0
These terms of use consist of the following sections:,0
Acceptance of terms of use,0
"Basically, by using soundcloud you accept our terms of use and community guidelines and agree to abide by them.",0
Changes to terms of use,0
This section explains that our terms of use may change from time to time.,0
Description of the platform,0
"This provides a general description of the platform, its features and functionality.",0
Your soundcloud account,0
This section explains your responsibilities should you choose to register for a soundcloud account.,0
Your use of the platform,0
"This section sets out your right to use the platform, and the conditions that apply to your use of the platform.",0
Your content,0
"This section deals with ownership of your content, and includes your agreement not to upload anything that infringes on anyone else s rights.",0
Grant of license,0
"This section explains how your content will be used on soundcloud and the permissions that you grant by uploading your content - for example, the right for other users to listen to your sounds.",0
Representations and warranties,0
"This section includes important promises and guarantees that you give when uploading content to soundcloud - in particular, your promise that everything you upload and share is owned by you and won t infringe anyone else s rights.",0
Liability for content,0
This section explains that soundcloud is a hosting service and that its users are solely liable for material that they upload to soundcloud .,0
Reporting infringements,0
"This section explains how to notify us of any content on soundcloud that you believe infringes your copyright or any other intellectual property right, or that is unlawful, abusive, defamatory or otherwise contrary to our terms of use or community guidelines.",0
You can find further information on reporting copyright infringement on our copyright information pages.,0
Third party websites and services through soundcloud you may have access to other websites and services.,0
This section explains,0
That these are separate third party services that are not under the control of soundcloud.,0
Blocking and removal of content,0
This section makes it clear that soundcloud may block or remove content from the platform.,0
Repeat infringers,0
"Users who repeatedly infringe third party rights or breach our terms of use or community guidelines risk having their soundcloud accounts suspended or terminated, as explained in this section.",1
Disclaimer,0
This section explains that soundcloud cannot give any guarantees that the platform will always be available sometimes even a platform as awesome as ours will have a few problems.,0
Limitation of liability,0
This section explains some of those things that soundcloud will not be liable for.,0
Please make sure you read and understand this section.,0
Indemnification,0
"If you use the platform in a way that results in damage to us, you will need to take responsibility for that.",0
"Data protection, privacy and cookies",0
It is really important to us that you understand how we use your personal information.,0
"All information is collected, stored and used in accordance with our privacy policy, so please make sure that you read and understand that policy.",0
"Like most other websites, we also use cookies to help us analyze how people use soundcloud, so that we can keep improving our service.",0
Our use of cookies is explained in our cookies policy.,0
Meetups,0
"This section deals with soundcloud meetups and explains that these are not ""official"" soundcloud events, so we cannot be responsible for anything that happens at meetups.",0
Competitions and other promotions,0
"This section deals with competitions, contests and sweepstakes on soundcloud .",0
"These are not run by soundcloud, and therefore we cannot be responsible for them.",0
"If you want to run your own competition on soundcloud, make sure you read and understand our competition terms.",0
Use of soundcloud players and widget,0
"This section includes a few restrictions on how you can use our players and widgets basically, don t try to use our players to create a new music or audio streaming service.",0
Subscriptions and gift codes,0
"This section links you to information explaining how to purchase ""pro"" and ""next pro"" plans and ""soundcloud go"" subscriptions as well as gift codes and how you can cancel your purchases in certain circumstances.",0
"Changes to the platform, accounts and pricing",0
"From time to time, we may need to make some changes to soundcloud .",0
This section explains your rights in this situation.,0
Termination,0
"This section explains how you can terminate your soundcloud account, and the grounds on which we can terminate your use of soundcloud .",0
Assignment to third parties,0
This section deals with soundcloud s right to transfer this agreement to someone else.,0
Severability,0
"This is a standard legal provision, which says that any term that is not valid will be removed from the agreement without affecting the validity of the rest of the agreement.",0
Entire agreement,0
"Your use of soundcloud is governed by these terms of use, our privacy policy, cookies policy and community guidelines.",0
Any changes need to be made in writing.,0
Third party rights,0
These terms of use apply to the relationship between you and soundcloud only.,0
Applicable law and jurisdiction,0
All of our documents are generally governed by german law.,0
Disclosures,0
"This section provides information about soundcloud, including how to contact us.",0
Acceptance of terms of use,0
"Please read these terms of use, privacy policy, cookies policy and community guidelines, very carefully.",0
"If you do not agree to any of the provisions set out in those documents, you should not use the website, apps or any of the services",0
"By accessing or using the platform, registering an account, or by viewing, accessing, streaming, uploading or downloading any information or content from or to the platform, you represent and warrant that you have read and understood the terms of use and community guidelines, will abide by them, and that you are either 18 years of age or more, or the applicable age of majority in your jurisdiction, or if you are under 18 years of age or the age of majority in your jurisdiction, you are 16 years of age or more if you reside in the european union and uk or 13 years of age or more if you reside in the united states or anywhere else.",0
Changes to terms of use,0
"We reserve the right to change, alter, replace or otherwise modify these terms of use at any time, for example to address legal or regulatory changes or changes to features or functionality made available through the platform, at our discretion.",1
The date of last modification is stated at the end of these terms of use.,1
It is your responsibility to check this page from time to time for updates.,1
"When we make any material changes to these terms of use, we will provide you with prominent notice under the circumstances, including for example displaying a notice within the platform and/or by sending you an email to the email address that you have provided us or a message to your soundcloud account, and the revised terms of use will become effective two (2) weeks after such notification.",1
"You will have no obligation to continue using the platform following any such notification, but if you do not terminate your account as described in the termination section below during such two (2) week period, your continued use of the platform after the end of that two (2) week period will constitute your acceptance of the revised terms of use.",0
Description of the platform,0
The platform is a hosting service.,0
"Registered users of the platform may submit, upload and post audio, text, photos, pictures, graphics, comments, and other content, data or information (""content""), which will be stored by soundcloud at the direction of such registered users, and may be shared and distributed by such registered users, and other users of the platform, using the tools and features provided as part of the platform and accessible via the website, apps and elsewhere.",0
"The platform also enables registered users to interact with one another and to contribute to discussions, and enables any user of the website, apps or certain services (who may or may not be registered users of the platform) to view, listen to and share content uploaded and made available by registered users.",0
The platform also includes social and interactive features that enable users to engage with and learn from the soundcloud community in order to build a following and ensure you get the content that interests you most.,0
"For example, users who upload content to soundcloud will gain access to our creator stats feature, which provides creators with insights into how the content they upload fares among users, including which users are top listeners and downloaders of such content.",0
Some features of our platform are only available to registered users who subscribe to a certain service (see subscriptions and gift codes below).,0
Soundcloud however remains free for users that choose not to subscribe to such services.,0
"In order to make the platform available for free and provide you with personally relevant features, we serve tailored ads on the platform on behalf of third party advertisers.",0
"To that end, we use information that you make available to us when you interact with the platform to inform the nature of the ads we show you and provide you with a customized experience.",0
More information on how we use data to show you personalized ads is described in our privacy policy.,0
"We may, from time to time, release new tools and resources on the website, release new versions of our apps, or introduce other services and/or features for the platform.",0
Any new services and features will be subject to these terms of use as well as any additional terms and conditions that we may release for those specific services or features.,0
Your soundcloud account,0
You are not obliged to register to use the platform.,0
"However, access to the apps and certain services is only available to registered users.",0
"As an example, our app, soundcloud pulse, enables registered users, who upload and make available their content to other users, to receive instant feedback on the performance of their tracks, communicate with their listeners, and manage their content anytime.",0
"In order for you to engage with other soundcloud listeners and creators, we enable you to create and personalize a public profile on soundcloud.",0
"To enable you to do that, you must provide us with the information you want to display on such profile.",0
"In order to help you to navigate and discover content on the platform that interests you, as a registered user you will also receive auto-generated personalized recommendations of other content that might appeal to you, based on your listening habits.",0
"When you register to use the platform, you will provide us with your email address, and will choose a username and password for your account.",0
"You must ensure that the email address that you provide is, and remains, valid.",0
Your email address and any other information you chose to provide about yourself will be treated in accordance with our privacy policy.,0
"You are solely responsible for maintaining the confidentiality and security of your username and password, and you will remain responsible for all use of your username and password, and all activity emanating from your account, whether or not such activity was authorized by you.",1
"If your username or password is lost or stolen, or if you believe that your account has been accessed by unauthorized third parties, you are advised to notify soundcloud in writing, and should change your password at the earliest possible opportunity.",0
"We reserve the right to disallow, cancel, remove or reassign certain usernames",1
"And permalinks in appropriate circumstances, as determined by us in our sole discretion, and may, with or without prior notice, suspend or terminate your account if activities occur on that account which, in our sole discretion, would or might constitute a violation of these terms of use or our community guidelines, or an infringement or violation of the rights of any third party, or of any applicable laws or regulations.",0
You may terminate your account at any time as described in the termination section below.,1
Your use of the platform,0
"Subject to your strict compliance with these terms of use and our community guidelines at any and all times during your use of the platform, soundcloud grants you a limited, personal, non-exclusive, revocable, non-assignable and non-transferable right and license to use the platform in order to view content uploaded and posted to the website, to listen to audio content streamed from the platform or offline and to share and download audio content using the features of the platform where the appropriate functionality has been enabled by the user who uploaded the relevant content (the ""uploader""), and subject to the territorial availability of that feature and audio content.",0
"In addition, if you register to use the platform, and subject to your strict compliance with these terms of use and our community guidelines at any and all times during your use of the platform, soundcloud grants you a limited, personal, non-exclusive, revocable, non-assignable and non-transferable right and license to:",0
"(i) submit, upload or post content to and keep such content available on the platform strictly as permitted in accordance with these terms of use and any other applicable terms posted on the website from time to time",0
(ii) participate in the community areas and communicate with other members of the soundcloud community strictly in accordance with these terms of use and our community guidelines.,0
And,0
(iii) use apps and other services provided as part of the platform strictly as permitted in accordance with these terms of use and any other terms applicable to those apps or services from time to time.,0
"The above licenses are conditional upon your strict compliance with these terms of use and our community guidelines at any and all times during your use of the platform, including, without limitation, the following:",0
"(i) you must not copy, rip or capture, or attempt to copy, rip or capture, any audio content from the platform or any part of the platform, other than by means of download or store for offline listening in circumstances where the relevant uploader has elected to permit downloads or offline listening of the relevant item of content.",0
"(ii) you must not adapt, copy, republish, make available or otherwise communicate to the public, display, perform, transfer, share, distribute or otherwise use or exploit any content on or from the platform at any and all times, except (i) where such content is your content at any and all times during your use of the applicable content, or (ii) as permitted under these terms of use, and within the parameters set by the uploader (for example, under the terms of creative commons licenses selected by the uploader).",0
(iii) you must not use any content (other than your content) in any way that is designed to create a separate content service or that replicates any part of the platform offering.,0
"(iv) you must not employ scraping or similar techniques to aggregate, repurpose, republish or otherwise make use of any content.",0
"(v) you must not employ any techniques or make use of any services, automated or otherwise, designed to misrepresent the popularity of your content on the platform, or to misrepresent your activity on the platform, including without limitation by the use of bots, botnets, scripts, apps, plugins, extensions or other automated means to register accounts, log in, add followers to your account, play content, follow or unfollow other users, send messages, post comments, or otherwise to act on your behalf, particularly where such activity occurs in a multiple or repetitive fashion.",0
You must not offer or promote the availability of any such techniques or services to any other users of the platform.,0
"(vi) you must not alter or remove, or attempt to alter or remove, any trademark, copyright or other proprietary or legal notices contained in, or appearing on, the platform or any content appearing on the platform (other than your content).",0
"(vii) you must not, and must not permit any third party to, copy or adapt the object code of the website or any of the apps or services, or reverse engineer, reverse assemble, decompile, modify or attempt to discover any source or object code of any part of the platform, or circumvent or attempt to circumvent or copy any copy protection mechanism or territorial restrictions or access any rights management information pertaining to content other than your content.",0
"(viii) you must not use the platform to upload, post, store, transmit, display, copy, distribute, promote, make available, continue to make available or otherwise communicate to the public:",0
"Any content that is abusive, libellous, defamatory",0
", pornographic or obscene,",1
"That promotes or incites violence, terrorism, illegal acts, or hatred on the grounds of race, ethnicity, cultural identity, religious belief, disability, gender, identity or sexual orientation",1
", or is otherwise objectionable in soundcloud s reasonable discretion",0
"Any information, content or other material that violates, plagiarizes, misappropriates or infringes the rights of third parties including, without limitation, copyright, trademark rights, rights of privacy or publicity, confidential information or any other right.",0
Or,0
"Any content that violates, breaches or is contrary to any law, rule, regulation, court order or is otherwise is illegal or unlawful in soundcloud s reasonable opinion",0
"Any material of any kind that contains any virus, trojan horse, spyware, adware, malware, bot, time bomb, worm, or other harmful or malicious component, which or might overburden, impair or disrupt the platform or servers or networks forming part of, or connected to, the platform,",0
Or which does or might restrict or inhibit any other user's use and enjoyment of the platform.,1
Or,0
"Any unsolicited or unauthorized advertising, promotional messages, spam or any other form of solicitation.",1
"(ix) you must not commit or engage in, or encourage, induce, solicit or promote, any conduct that would constitute a criminal offense, give rise to civil liability or otherwise violate any law or regulation.",0
"(x) you must not rent, sell or lease access to the platform, or any content on the platform, although this shall not prevent you from including links from your content to any legitimate online download store from where any item of your content may be purchased.",0
