text,highlighted
These are the terms of service for sr.ht.,0
Please read them before using sr.ht.,0
"If you have any questions, please reach out to drew devault sir@cmpwn.com via",0
Email.,0
#tldr,0
You need to be old enough to have an account and you are responsible for,0
Your account.,0
We can cut you off at any time.,0
Use our services in good faith and don't get us in trouble.,0
You grant us enough rights to your content to provide our services.,0
We can terminate service at any time.,0
Some services may require payment.,0
We'll email you before these terms change.,0
"This is for quick reference only, binding terms follow.",0
#definitions,0
"The ""services"" are any software, application, product, or service provided by",0
Sr.ht.,0
"Collectively they are also referred to as the ""network"".",0
"""sr.ht"", ""we"", and ""us"" refers to sr.ht and its authorized agents.",0
"The ""user"", ""you"", and ""your"" refers to any individual or organization which",0
Accesses our services.,0
"""content"" refers to any content displayed by our services, including but not",0
"Limited to text, source code, images, data, and so on.",0
"""user generated content""",0
Refers to content created or uploaded by our users.,0
"""your content"" refers to",0
Content you created or own.,0
#account terms,0
"Accounts are only available to users who are 13 years of age or older, or the",1
"Minimum age for accessing internet services in their country, whichever is",1
Older.,1
"You must also be a human, accounts registered through automated means",0
Are not permitted.,0
"Accounts utilized by an automated process are permitted, so",0
Long as the initial account registration was manually performed by a human.,0
"You are responsible for your account, any activity performed with it, and the",1
Security of your account credentials.,1
"Your account may be disabled without notice at any time, temporarily or",1
"Permanently, for any reason.",1
We require an email address to register an account.,0
This email address must be,0
Kept up-to-date and we must be able to reach you for official communication at,0
This address.,0
"If we are unable to reach you, your account may be terminated.",0
#permissible use,0
"You must obey all local, us, and dutch laws in the course of using the service.",1
You will not utilize the service to transmit or store content which is unlawful.,0
The following additional types of content are explicitly prohibited:,1
Explicit sexual content,1
Malware in executable form.,0
Or in source form without obvious disclaimers,0
Describing the legal and practical risks of use,0
Any content which utilizes our platform for malware delivery or activation,0
"Content which infringes on any copyright, patent, or trademark you do not own",0
Content related to cryptocurrency or blockchain technologies,0
You must not deliberately use the services for the purpose of:,0
Impacting service availability for other users,0
Obtaining or disclosing private information of other users,1
Impersonating any person other than yourself or organizations you are,0
Authorized to represent,0
"Spamming, unsolicited advertising, or solicitation",0
Threatening or harassing others,0
Cryptocurrency mining,0
You may use automated tools to obtain public information from the services for,0
The purposes of archival or open-access research.,0
You may not use this data for,0
"Recruiting, solicitation, or profit.",0
#content rights,0
"When uploading content to sourcehut, you must have the right to do so.",0
You grant,0
Sourcehut sufficient rights for the operation of the services in relation to,0
"Your content, such as the right to display the content on the website.",0
These,0
Rights are revoked upon the removal of your content from our services.,0
We may,0
Retain your content in our system (e.g.,0
"For backups) for up to six weeks, but it",0
Will not displayed on our website during this period.,0
"If you own the copyright for the content you upload, these rights are granted",0
Automatically when you upload the content.,0
"If you do not own the copyright, in",0
"Part or in full, you must have received a license which provides for these",0
Rights.,0
You may not upload content for which you do not own the copyright and,0
Have not received a suitable license.,0
"""free software"" and ""open source"" licenses (defined respectively by the free",0
"Software foundation and the open source initiative) provide for these rights, as",0
Well as all creative commons licenses.,0
Other licenses may or may not provide,0
"These rights, and it is your responsibility to check.",0
You are encouraged to add a free software license to your project.,0
Read our,0
Recommendations here.,0
You may request an archive of all of your content on the service by writing an,0
Email to drew devault sir@cmpwn.com and allowing up to 2 weeks for an archive,0
To be prepared.,0
#service availability,0
"We may disable or terminate all or part of our services, permanently or",1
"Temporarily, at any time with or without notice.",1
"This software is provided by the copyright holders and contributors ""as is"" and",0
"Any express or implied warranties, including, but not limited to, the implied",1
Warranties of merchantability and fitness for a particular purpose are,1
Disclaimed.,1
In no event shall the copyright holder or contributors be liable for,1
"Any direct, indirect, incidental, special, exemplary, or consequential damages",1
"(including, but not limited to, procurement of substitute goods or services.",1
"Loss of use, data, or profits.",1
Or business interruption) however caused and on,1
"Any theory of liability, whether in contract, strict liability, or tort",1
(including negligence or otherwise) arising in any way out of the use of this,1
"Software, even if advised of the possibility of such damage.",1
#payments,0
"Some services require payment for service, or for different degrees of service.",0
"When you request paid services, you are billed immediately for the displayed",0
Term.,0
"These services will be remitted to you at the displayed price, which will",0
Not change during the payment term.,0
If you authorize us to automatically renew,1
"Your service at the end of the term, you will be notified at least 1 week in",1
Advance of renewal when the price has changed during the previous payment term.,1
No refunds are given for partial service or when you request your services are,0
Downgraded.,0
"In the event that your services are downgraded, you are billed the",0
Reduced price at the start of the next billing term.,0
#changes to these terms,0
We may make changes to these terms with no less than 2 weeks notice.,0
Notice of,0
Changes to these terms will be sent to the email on file for your account.,0
