text,highlighted
"Posted as of december 31, 2020 effective as of december 31, 2020",0
"These terms of service ( terms ) apply to your use of any website, products, and services operated or provided by spideroak, inc.",0
"( spideroak ), including spideroakone, spideroak groups, spideroak crossclave, and semaphor (collectively, the services ).",0
Please read these terms carefully and let us know if you have any questions.,0
"By using spideroak s services, you agree to be bound by these terms and our privacy policy.",0
"If you re using spideroak s services on behalf of an organization, you agree to these terms on behalf of that organization.",0
If you do not agree to these terms of use you must not access or use the services.,0
Contentall content on spideroak s services is subject to united states and other intellectual property laws.,0
You ll find a few different types of content on our service.,0
Your content.,0
"You can back up, host, store, and share your own files on spideroak s services, as well as collaborate and communicate with others using tools like semaphor and spideroak crossclave.",0
The files and other materials you upload to the spideroak services are yours and yours alone,1
"You give us permission to use that material solely to do what s necessary to provide our services, including storing, displaying, reproducing, distributing the content, and as otherwise required by applicable law.",0
"You re responsible for the content you upload to spideroak s services and therefore are responsible for all risks associated with it, including intellectual property or other legal claims against you, spideroak, or any suppliers or contractors of spideroak.",0
"By storing and sharing content through spideroak s services, you represent that you have the necessary rights to that material, and that your use of the services doesn t conflict with any licenses you ve granted to others.",0
You may have the option to try out some spideroak services on a trial basis from time to time.,0
"Please note that if you decide to upgrade to another plan later, the content you store with us during the trial period may not be able to be restored after the trial timeframe expires.",0
"The spideroak services allow you to share your files, information, or data with others.",0
"Please familiarize yourself with the settings and controls for those services and be careful about what you choose to provide, upload, download, transfer, or otherwise share with or from others.",0
We don t pre-screen anyone s content.,0
"However, we have the right but no duty to review and remove files for any reason",1
We assume no liability for any content that you or anyone else stores with or shares through spideroak s services.,0
Spideroak s content and brand features.,0
"Spideroak s services are protected by copyright, trademark, and other laws.",0
"Spideroak gives you a personal, worldwide, royalty-free, non-assignable and non-exclusive license to use the any software we provide you to use our services.",0
This license is for the sole purpose of enabling you to use spideroak s services as permitted by these terms.,0
"If you violate these terms, we may terminate this license at our sole discretion.",0
"All rights to spideroak s services, trademarks, logos, or other intellectual property except third-party content are and remain the exclusive property of spideroak and its licensors.",0
"Nothing in these terms authorizes you to use any of spideroak s trademarks, logos, domain names, or other distinctive brand features, except as otherwise permitted by law.",0
Prohibited activitieswe strive to maintain great services.,0
"To that end, spideroak requires you to respect these limitations, and we may terminate your account if you don t follow them.",0
"Don t use spideroak s services in a manner that is unlawful, threatening, abusive, hateful, defamatory, slanderous, libelous, deceptive, fraudulent, promoting of violence, invasive of another s privacy, tortious, indecent or obscene",0
"Don t use spideroak s services in a manner that violates or infringes the rights of others, including without limitation patent, trademark, trade secret, copyright, publicity or other proprietary rights",0
"Don t use spideroak s services in a manner that involves uploading, posting, emailing, transmitting or otherwise making available any data that you not have the right to make available under any law or under contractual or fiduciary relationships (such as insider information, proprietary and confidential information learned or disclosed as part of employment relationships or under non-disclosure agreements, etc.",0
"Don t use spideroak s services to do anything that victimizes, harasses, stalks, degrades, attacks or intimidates an individual or group of individuals on any basis, including but not limited to religion, gender, sexual orientation, race, ethnicity, age or disability",0
"Don t use spideroak s services for the purpose of exploiting, harming, or attempting to exploit or harm minors in any way by exposing them to inappropriate content, asking for personally identifiable information, or otherwise",0
Don t use spideroak s services to promote sexually explicit or pornographic material,0
"Don t impersonate any person, business or entity (including but not limited to a spideroak official), or in any way falsely state or misrepresent your affiliation with a person or entity",0
Don t use spideroak s services in any manner that involves forging headers or otherwise manipulating identifiers in order to disguise the origin of any content transmitted or shared through the services,0
"Don t use spideroak s services in any manner that permits the creation, support, distribution, or other transfer of any viruses or any other computer code, files or programs that interrupt, impair, destroy or limit the functionality of any computer software or hardware or telecommunications equipment, or otherwise permit the unauthorized use of a computer or computer network",0
"Don t interfere with the proper functioning of any software, hardware, or equipment on spideroak s services",0
"Don t engage in any conduct that inhibits or disupts anyone else s use or enjoyment of our services, or which we determine may harm spideroak or our users",0
Don t instigate or encourage others to commit illegal activities or cause injury to any person or property damage,0
Don t encourages or otherwise engage in any conduct that would constitute a criminal offense or that gives rise to civil liability,0
"Don t use spideroak s services contrary to our policies, any agreement you have with spideroak, or our rules, policies, or other guidelines applicable to the services",0
"Don t violate the itar act 22 usc 2778 and its amendments, including but not limited to the import or use of the services in afghanistan, belarus, burma, the central african republic, china, the ivory coast, cuba, cyprus, democratic republic of congo, eritrea, haiti, iran, iraq, kyrgyzstan, lebanon, liberia, libya, north korea, russia, somalia, sri lanka, sudan, syria, venezuela, vietnam, or zimbabwe.",0
And,0
Please don t use spideroak s services if you re under sixteen years old or the age of majority in your jurisdiction.,0
"Our rightswe re always working to improve spideroak s services, so we do reserve some rights.",0
"In our sole discretion, we may, at any time with or without notice change, eliminate or restrict access to our services, and modify, suspend, or terminate a user account.",0
Spideroak is not liable for any damages as a result of these actions.,0
Other sites and servicesspideroak contains links to websites and services that we neither own nor control.,0
"We don t endorse or assume responsibility for any third-party sites, information, materials, products, or services.",0
Privacyour privacy policy governs our collection and use of your personal information.,0
"Please review those provisions, too.",0
Securitywe take the security of spideroak s services very seriously.,0
"We work to protect your content and account, but we can t 100% guarantee that third parties won t be able to defeat our security measures and access your account and any content you have uploaded or shared through the services.",0
You acknowledge and agree that all use of the services is at your own risk.,0
Please let us know immediately if you discover any compromise or unauthorized use of your account.,0
"Copyrightwhere appropriate, spideroak may warn and/or suspend repeat copyright infringers.",0
"In more serious cases, we may permanently terminate user accounts.",0
Section 512 of the digital millennium copyright act ( dmca ) sets out the legal requirements to formally report copyright infringement to a service provider like spideroak.,0
It also explains how the person who posted the content can oppose a notice of alleged infringement by submitting a counter-notice.,1
"Please think carefully before sending us a copyright notice or counter-notice, because the dmca imposes legal and financial penalties for making fraudulent or bad-faith claims.",1
